,MGH258,ZH1019T1
BMP1,-0.014627345907510724,0.03264136890471203
NDP,0.04882719122083216,0.04296821357829763
TNFSF18,-0.01927998481725503,0.33236564137709
RTN4,-0.02311892153677271,0.029670310633941738
HEBP1,-0.004553116577189805,0.004210675280107326
WNT7B,0.22884178275283876,
PTMA,0.04726553177960111,-0.08991120924688609
FASLG,-0.016985067559718677,
CEACAM1,-0.023583914954667863,0.02561471439514579
PDAP1,0.030722292330695292,0.034335684425831625
QDPR,0.056650522733306286,-0.03296768534004979
POMC,0.02715308550932771,0.005509740853888118
VEGFD,,-0.04572200803147665
WNT5A,-0.027746018716437098,-0.04183996530321246
CXCL8,,0.033339674259094794
GRN,0.003961834453845758,0.01365248396050997
MIA,-0.022231988437019522,-0.11013124463472984
COL4A4,-0.019670777853612296,-0.03580123274845358
TAC1,-0.016985058318842283,
RARRES2,-0.039928452530495616,-0.13106689493369494
FGF7,-0.04594964655524365,0.0013720656992901813
HBEGF,0.00691443603129019,-0.059885752322263654
PCSK1N,-0.03285882995901569,0.05101433966052113
SFRP1,0.012089861791661669,-0.024752640572582685
MICA,0.00044221869796006466,-0.08550315162626121
TG,-0.01967077342072677,0.014585968086174277
ADA,-0.03472133535838188,0.036822725504195325
LAMC3,-0.04963245673961848,0.011071661546108981
NGF,,0.05797576878164959
TNFSF15,,0.028861743511536555
HMGB1,-0.08186608901908292,-0.09176667467195303
ITGB3BP,-0.0112731886358724,-0.004769938282075559
RELN,-0.01630759268032365,-0.054672589717781106
IL15,-0.002715545908321118,0.03801266365214659
BSG,-0.03400639012913005,0.017619044854259868
ADAMTS3,-0.008257308725476533,
CD34,-0.020276806038064428,-0.04406697926574705
PLAT,-0.016512754662771148,0.025874880610605954
CKLF,0.04843455095010374,0.029870079754231855
CD24,0.029483655924172705,-0.01827482947851465
HSP90AA1,0.06993489121115211,0.06221270286778705
BMP4,-0.020244081562036526,0.03411386070237798
SCGB3A1,,0.009436341983836711
IGFBP4,-0.027526575213768764,0.021614430624251776
RSPO4,,-0.044856993275189785
LEFTY2,0.00496548980173514,
ANGPTL2,-0.013738838911023617,0.009643909930293194
LRIG2,0.030571591236531154,0.042156924499695596
ICOSLG,-0.014237283660317342,0.04163417211707738
NPPC,0.011671212279051128,-0.05218034732183249
LYZ,0.04590728150289963,0.01874469924410256
SPTAN1,-0.010080402414751239,-0.05330235150632553
LIPC,-0.02518447840532692,0.10409412417212896
COL8A1,-0.0044914115069419145,0.0024219660327805164
GSTM2,-0.05624018648896935,-0.065439010864105
SPX,0.0018898416292353784,
MFGE8,-0.014922304169860416,0.006364647792199418
TGFA,-0.007095271602467163,-0.024689326090419617
SLIT2,0.07362082062118362,-0.011470099790988847
PLTP,-0.06605874841723353,0.08413972583596244
APOD,0.06533927032039936,0.007484651313095059
B2M,0.05966534104284712,0.029406213317026277
OMG,0.02506422354681254,-0.0440283977643155
CXCL3,-0.01584093622431927,
CXCL10,-0.031514125154862335,-0.05449679073658962
CORT,-0.019670777536977515,
NCAN,-0.05751648902687778,0.08261643737642686
TGM2,-0.009977996347293728,0.0028931081580829314
VEGFC,0.026834783959083213,0.04540102827706775
NRG4,,-0.0358011932565278
COL9A1,-0.025013918652262393,-0.08833096591293549
GDF11,0.022554400601922087,-0.03150492317777593
SORBS1,-0.05046024343998691,-0.02199814865979148
DLL1,0.07334793745134155,-0.02809535115198088
TLN1,0.03169809237199204,-0.09012736824546345
COL2A1,-0.01847589073029717,
PON2,-0.07818490678917343,0.12096261024176594
