,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.02872794874585846,,,,,,,,,,-0.015666974488390207,,,-0.014443594650716684,,
BMP1,0.0261860002817702,0.09351759003232635,0.016169273711333514,0.05423608314815115,0.011933588337666673,-0.00862559926537088,-0.01712385155380776,0.0906438951704782,0.040648262031527424,0.03779041373748137,-0.036907991600451585,-0.010031571377119432,0.05719210052220334,0.041818698075601846,0.052124662776688424,-0.0026326271554877423,-0.03704112085527061,0.1089561381738763,-0.00031773769902450203,0.08009463968322222,0.03983486688574605,-0.007670361553858767,0.067893584777026
NDP,0.0027231307553513017,0.11991970066270928,0.04562543939390757,0.02511155751256264,-0.02204590085756873,0.02204147728648419,0.0614067006187031,0.046452504022919006,0.047008548130822225,-0.0011588915293104425,0.007103973923464048,0.004641458708506039,0.0827067309187178,0.11598456235055601,0.06328363293147246,0.0511783767902767,0.03204414968408846,-0.05857385265769271,-0.026853227141352284,-0.01506768235254402,0.1265200721840396,0.08145634100681573,0.10109650704096723
TNFSF18,0.0581983345721173,-0.006824167374167995,0.027752711078530196,-0.03412816400627975,,,-0.023454293390001796,0.05943282483853924,-0.02554448185006491,,,,,0.024566017822950086,,,,0.00431903070487456,,-0.03642678441940856,-0.03992641796562292,0.11079393292965549,
IL36G,,,,,,,,,,,,-0.017297020953495005,,,,,,,,,,,
RTN4,0.014400739153053775,-0.10080876977477658,0.016492114162375462,0.016833190965569317,-0.014094214578636601,0.03731316626433316,-0.0006260620106150906,-0.08621084425241006,-0.02049046348260258,-0.03243948141310189,0.10529373154015227,0.056506945130968475,-0.08344764817794711,0.01282302763193161,-0.037447653061177186,-0.08257416382500057,0.020151713007286392,-0.04251624625820034,0.050544320932848205,-0.10720966414288793,-0.05836397302576262,-0.008766081601306222,-0.05662341618327459
HEBP1,-0.0003046050317610692,0.030525968614313805,0.0212689330193679,-0.06509046556181187,-0.03136632268424761,0.03633626001053445,-0.004496622214200528,0.07607094967235192,0.016038673301647037,-0.008275045088624007,0.02848391616105706,0.004995736265497723,0.08136112428429144,-0.03242164457475023,0.0014247693868839693,0.0026006963001665006,0.004262191578463976,0.01814344807650501,0.03131253984084869,0.01689573003065457,0.14592169129425328,0.09245868142320124,-0.03976211992117927
WNT7B,0.07504963768759719,0.010366804098112409,0.020012685900804388,0.037169749943522436,-0.029469542074035453,0.06549089144466037,0.086625375129496,-0.07796461423968058,-0.02891943151154949,0.02728443476666851,,-0.019011419360792616,0.06317729963303441,,-0.013920923883989043,0.025510234282159813,-0.005943893668009307,0.03231790488698007,0.014283085122403746,-0.03642674664756949,0.03414816435813819,0.11672343103062553,0.06827776480489577
PTMA,0.007477497877951969,-0.19408646432971566,0.045992607037725515,0.025318786325335792,-0.013625382012751047,-0.013838984030859659,-0.06849133795818413,-0.045111529530671005,-0.07107156924463216,-0.022336864722269742,-0.05698238520190515,-0.03556056560897543,-0.014784538062616506,-0.01041944535631902,-0.09223295275095279,-0.014534584954881306,-0.03430067595670202,-0.05662844091864956,-0.03679138064671296,0.09421622550342865,-0.08918442713843197,0.004222394104195666,0.012856603942615834
FASLG,-0.020161099172616857,,,,,,,,,,,,,,,,,,,,-0.009311805820292821,,
CEACAM1,0.05371625640714608,,-0.01950606367300763,0.012156675890200976,0.002883722797479929,-0.035204526605144816,,0.018976032278233274,-0.026057098456977703,,,,-0.05903804840057925,0.06030105239056188,0.06853662495802526,-0.021078384932885302,0.09141049452747767,-0.01663556836472094,-0.021514598144372572,,-0.02216191574065761,,
PDAP1,0.020113153129093446,-0.006477595240667951,-0.05313008670292594,0.0043268652309134455,-0.029398092588264573,-0.030482342934864917,0.0030824576145321953,0.07369161537715879,0.0013783243936517197,-0.01555176100781879,-0.0917612853299817,-0.03864579588436414,-0.030403508194225274,0.05355784049858136,0.06593337229272722,0.0006099854599613386,-0.07491095994767492,-0.0686853976622728,-0.027711242171241417,-0.05467893122854273,0.05642873161366628,-0.018373960619906097,0.12659056207677755
