,UKF260,UKF266,UKF269,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1
IGFL3,,,-0.018276107419171364,,,,
BMP1,0.057464548845696295,0.09979850063003039,0.12997146860824854,-0.03463264016529521,-0.058020233428066205,-0.026254123672534553,0.017832803162136125
NDP,0.03747298706119132,0.022936104111505876,-0.00703001421613222,-0.13102545981356276,0.006459906410077617,0.029724438929526694,-0.027445172516272005
TNFSF18,,0.08161040331548931,0.0014714557692779926,-0.04841719928910384,,,
RTN4,-0.013253596880365797,-0.10829928432323203,-0.14926323778649825,0.04798393633598728,0.032828515291249256,0.0007375466777732407,0.07124293872937122
HEBP1,-0.037201336754998336,0.03889108127724949,0.0566715400027081,-0.0510817674115174,0.036929844063193225,0.10563363390405997,0.05307424676863869
WNT7B,-0.01925170427627295,-0.01618543601530566,-0.007750992804921549,,0.08239194328971838,0.08684459391790418,0.08920519082678509
PTMA,-0.009911748239268992,0.15619789119022,-0.053971976396993554,0.09766798561797806,0.040010172889967735,-0.07398149316800502,0.002541539028201988
CEACAM1,-0.016010995247480838,,0.06824752052272992,-0.03404550819481973,0.09642707495024534,0.07627136518741293,-0.020868183084446823
PDAP1,-0.006287418209212962,0.09084664380725063,0.07212552600413197,-0.015334515732467522,-0.06992382177207507,-0.015124274923398583,0.03163144653451183
QDPR,0.002227049759416672,-0.07478025709030507,-0.14731104552312166,0.011810700495166582,0.03953372961631535,0.09940650320069454,0.006764765481314893
POMC,0.0851173205391842,0.03315844847209581,-0.029776536919828223,0.07144066865281877,0.05287748077415462,0.12673440185795737,0.010108953073233274
CCL18,,,,,0.011180048053606914,-0.03369686827116051,0.01338908690298408
CCL17,,,,,-0.01796588120948036,-0.030235172873699746,
VEGFD,0.08074059434891924,,0.0069295257021141895,-0.005371614255256428,,-0.02094482713495617,
TNFSF13,,0.009716241590666988,,,-0.03447382752423475,0.08145515314404138,-0.02343357096529737
WNT5A,0.047656854787895234,0.11235289825119549,0.10109626776130912,0.07885682499815413,-0.023473104030593106,0.05816927950946157,-0.014865447749532372
CXCL8,-0.09387433018362143,0.04797034967603394,0.06340363730079049,-0.08144700779236423,-0.07880100989736886,-0.10894944834310777,0.04396317360577811
GRN,0.05831054163183746,0.044046284389203924,0.1240152906198403,-0.02194791235206603,-0.041684294188186956,-0.023821284178857677,-0.08806201154908667
MIA,-0.013199406121200675,0.12688935311838595,0.09957598212910078,-0.017416033948022006,0.10430742220265564,0.07512497191571622,-0.08168895595730066
COL4A4,0.02569147621595768,0.06505117221297751,-0.018009747314465686,0.06440940019128442,0.04965852872533417,-0.009618060550020338,0.013914100323319733
TAC1,0.002463738505572042,-0.10634921825680466,-0.07502016960919551,,,,-0.03600356080067919
RARRES2,-0.04529972205991956,0.05692384481415834,0.12913947890090893,0.11468588685999996,-0.041825667709430796,-0.024954665955923893,-0.007290331619019626
FGF7,0.05649443145055712,0.016747367576611296,0.04922505035344015,0.02758390766190863,0.02409695556618886,0.01136819684762007,0.11563465503199521
EFNA2,,,,,,-0.01990665649949302,
HBEGF,0.056446284765339506,0.10094087916358477,0.07431631003677422,0.02067695257380397,0.016059355597335956,0.0132555996261371,-0.002975664028848376
CSF3,-0.03672531251726114,,0.0009435560573180577,,-0.05427639221736709,-0.09407219175008445,-0.029917391017523342
PI3,-0.04699072096491869,,0.01597706176673712,,-0.09136927333867582,-0.13901084434047487,-0.03545324098270348
PCSK1N,0.05197335530122617,-0.09794877456952153,-0.04663851487231591,0.03291118452795458,-0.03351486595742122,0.069626489131941,0.019696679180565536
NTS,0.04147199312410582,0.02505380972235494,-0.023419616258923026,,-0.04191253068240768,0.009391701084563903,-0.008577182048407022
SFRP1,-0.017475657282722927,0.11050219272184582,-0.00016077615160315915,0.007525531683733219,0.06532378252574493,0.0892512325012899,0.011102007313090615
CXCL13,-0.017318599541516672,,,,-0.04035505271824966,-0.051145875338812076,-0.033354959101153235
MICA,-0.0030878901091692616,-0.01652661694630922,0.05387020025066878,-0.028307472987698548,-0.049570349740074855,-0.025021583818248674,-0.008942854183367344
TG,0.014735746045218857,-0.01980521540026572,0.010088276983902118,-0.017286200585726847,0.12070016851734244,-0.029869584488777544,0.06897799321382968
ADA,0.03498984804103809,-0.009828685988006706,0.05669724788400449,0.050993691297430366,-0.001318055809648009,0.04528148936086881,0.04291519405693464
LAMC3,0.028379524570220086,0.06604377968855844,0.10939588892789193,0.02107692511260774,0.011564845395266768,0.020967425559139784,-0.06099460331948189
CCL7,0.04182323962297305,,,,-0.026926714786219986,,
NGF,-0.024508761092009376,-0.01889948758778291,,-0.0031008189002408254,0.06818328264648672,-0.019639077545469938,-0.0300403130084231
TNFSF15,0.06826469987931637,0.04015512166526725,,0.002373449081033148,-0.02625052330727179,,-0.018578186203651276
HMGB1,0.06112261801864614,0.111146605047885,0.09687359146923945,-0.044400616598893064,-0.014643678056995036,-0.083514182936778,-0.00942707158362914
ITGB3BP,0.04530984784889633,0.13966154833288671,0.08866129798015882,-0.07250505850141671,-0.022563723048094477,-0.03023621799359697,0.04189703782235017
AANAT,-0.01531841592651225,,-0.017187192981645776,,-0.023622326642033217,0.0672100662822921,
RELN,-0.04611564266103453,0.013585626609492188,-0.027933433051247642,0.06204393698609601,,,-0.022440435572722486
IL15,0.0019764487980424954,-0.01632895257208835,0.036444211832621136,0.05849887326942137,-0.043277070254706534,-0.04856814984857278,0.018077446368011865
UTS2,,,0.12919533876236064,,-0.020116139996808263,,
BSG,0.00465583917882278,0.016809427706681892,0.05193267531582641,0.0001774252774698644,-0.03844460252732513,-0.04177237415988141,0.004107269023894286
ADAMTS3,0.03130777222703057,0.02994091397496068,0.12640901411867556,,0.007359077347182477,0.06287022743281877,-0.044181122072726134
CD34,0.11612237893344006,0.10591312299965241,0.06720648836117482,-0.004026798420773965,-0.037275650462048907,-0.005545175833993096,-0.04838655580472581
CCL23,,,0.08005717697732787,,,,
PLAT,0.05378711061476653,0.10491228824926602,0.12424654351853053,0.043295679903290495,0.08082435079234006,0.07572082244368976,-0.008225679631763055
NTF3,,,,,-0.02034517486172947,0.16076280757949687,-0.006283022391425321
CKLF,0.055269987077592224,0.1317051424285052,0.10839976996208626,-0.030368907658087016,0.031407822174850816,-0.0017518261165609585,-0.014209150399373448
