,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.02991480694207327,,,,,,,,,-0.026033768535816428,,-0.007740036008183323,,
BMP1,0.002817343942718363,0.10318040029742201,0.0022817135046095264,0.028531356598122847,0.0083166039459025,-0.044253890087589634,0.03122971057129575,-0.18534789277573535,-0.008903487806992462,-0.010493966593302933,-0.04367203380622042,-0.004365669171044346,0.057049716625620736,0.09395039062581238,0.0039571172273627254,-0.005995294535058707,-0.02882987955110638,-0.08239183344730822,0.02740216617947226,0.0906260533623439,0.0004411160840089885
NDP,0.016973457009574495,0.12444669199730832,0.07050721367368568,0.03063450714054685,-0.027355726222274734,0.003089873083773774,0.09161184527662822,-0.0701294907401556,0.011089193859583792,0.060750301621236326,-0.02325406350348908,0.025775535137205947,0.048927833986832724,0.10349539061473569,0.07016895482962525,0.04855929913940029,-0.011170363077574541,0.007434605372325688,0.11779391981076734,0.08796438915718162,0.005064095814163578
TNFSF18,0.09495950685333211,-0.023852456026318306,0.034396924330407426,-0.015045576731973744,,,0.03816252214784545,-0.010605834404974658,-0.022388189248701864,,,,0.02732830885813246,,,,-0.02684816596798732,,0.05536166787392827,-0.005480087883571457,
IL36G,,,,,,,,,,,,0.04148109048625236,,,,,,,,,
RTN4,0.04168334543035985,0.027334370372210745,-0.03153764385060642,0.012458195171497068,0.008334857529818648,-0.016712544652429575,0.05319899383303187,0.25575947623440826,0.0978312459697557,-0.013349616696220075,0.12117704077291476,0.032502596899915255,4.226379656832114e-06,-0.09042687626930727,0.03483310554837927,-0.0775478898143941,-0.03666265862473387,0.1389889547219832,-0.017687881049242904,-0.08686752396742041,0.003196517690288998
HEBP1,-0.024639161054821234,0.03294782288263606,-0.01783416294169879,-0.03922689641642422,-0.02114932233310681,-0.02468450111593039,-0.014552099324751197,-0.0902965082735058,0.01281727633148823,-0.011253457309800614,-0.031107800800501746,-0.0015650338992246108,0.022455847408938454,0.015124302434447854,0.025543757244111023,0.05343702792006507,0.03300655275094302,0.06409960547250927,0.10073060113837778,0.023260540441643215,0.013068335102732129
WNT7B,0.059701959708659595,0.1549589337351394,-0.013672720868817911,-0.009770748972353397,-0.044447216803133016,-0.021082351886083154,0.09347077203510393,0.2606305367424668,0.004952836610793265,-0.014267908005545572,,-0.023607567258407475,0.07033313747204603,0.06895769729310348,-0.008136105566024163,0.08379108543246912,-0.03866935851100218,0.04078718732723781,-0.04128733180876557,0.0032767508539761642,0.057149563190135484
PTMA,0.041121650040602704,-0.07529661174164225,0.07144041357798954,0.02225059510406697,-0.032762853587605945,-0.026705088736671496,-0.011133981099577793,0.013510569725240151,0.008218007496750777,-0.027527819887605085,-0.15050479297508768,-0.04290233725712413,0.023286761162549754,-0.0058293473701918576,-0.08785794201526842,-0.022709223670880088,0.004056948936900009,-0.042168318160926165,-0.12522423295542454,0.04645576287538185,-0.021695688812708648
FASLG,0.0619143938546743,,,,,,,,,,,,,,,,,,0.18078454490214513,,
