,UKF251,UKF266,UKF269,UKF296,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,0.08939990162007307,,,,-0.021302993310542397,
BMP1,-0.016180603735810636,0.13803812775283988,0.048722029958861886,0.007275423785025143,0.0590168280910486,0.011470005943609878,-0.0007854384399820404,-0.01604378398920138
NDP,-0.00025272691197000927,0.052136395907076985,-0.027799949124885575,0.02266759472357619,0.0023056282131802648,0.019284495010248207,0.02710658755477192,-0.009072440115233664
TNFSF18,-0.029043207552270536,-0.015682681319108556,-0.021552441764510526,,,,-0.02196940098124866,
RTN4,-0.030066278596238644,-0.13850574181491201,-0.078965620333809,0.008189189571259583,-0.030680839475988344,-0.022111366432062983,0.04508346564636889,0.04564680096496018
HEBP1,-0.02120865979860931,0.04393629305623102,0.011693403165542262,-0.01715171877684955,0.06508496745165086,0.02930653763062582,-0.010245860609093547,-0.004759701857736789
WNT7B,-0.018040740228151733,0.029608955687249087,-0.0016474758013934677,-0.010749565097123891,-0.04909353351241141,0.018983168413225376,-0.04593979473008494,0.035155791404605945
PTMA,0.07313584360478008,0.14159466471856466,-0.05237684557915314,-0.03761925196473151,-0.06305514357494948,-0.059585076202746314,0.014980789697408252,0.06875369081413622
CEACAM1,-0.013845183047647293,,0.0007248816676120169,,0.03646348920250814,0.06120524590914988,0.06195097552351143,0.04360673202920763
PDAP1,0.03940323554803164,0.03918885862775673,0.052681957856448455,0.0432768026945875,-0.05089235177157037,-0.01275838957925294,-0.005721826054045685,0.01782379931030403
QDPR,-0.031013155364531156,-0.038716261665343595,-0.06333670348972002,0.01094419761779847,0.03311093941964838,0.09760987591225252,-0.03232234311239947,-0.03053473141659551
POMC,0.028880176579197902,0.003843749065575917,-0.025959400841501598,0.06403578971430411,0.04905391630105599,-0.03909452381455696,0.08983467758764407,-0.01464979587023786
CCL18,,,,,-0.005954957684386306,0.03992764844634144,,-0.03887018577464235
CCL17,,,,-0.01330494818660623,-0.01951667876762809,0.0455797403943709,0.0475755939963918,
VEGFD,-0.019830446965456137,,0.007025094174256469,-0.009759340397275917,,0.018611481664092485,-0.029622869287074197,
TNFSF13,,-0.015208929287661599,,,-0.014709017086622802,-0.01551341087182735,-0.0301194243873111,-0.02528269356618251
WNT5A,0.044134821498783235,0.09990804271966844,0.0405811793681501,0.004728226424509783,-0.004015052348486421,0.03569025569997887,-0.03445413577383522,-0.030658324572030243
CXCL8,-0.018568055150376225,-0.004718067569060757,0.0028292773117377873,-0.009088322128171449,-0.09162195413717686,-0.10559422956574807,0.08905514857933054,-0.05473198849106888
GRN,0.03879661100472537,0.07163191905633064,0.07350181199923368,-0.024985669146543814,0.0032726914694241956,-0.017404182006719462,0.025303014618518447,0.007175791587922382
MIA,-0.017635812731929573,0.012643313884666591,-0.02173570109328164,-0.011099194403951127,0.10553556008209022,0.14218748242405135,0.015752668532428384,0.04664060627180591
COL4A4,-0.007106738660645757,-0.014470624280389357,-0.014302195952202975,-0.01864576390898833,0.10226927786748051,-0.016938334580362792,-0.006376947533002723,-0.0030964387851665828
TAC1,-0.048280569111709026,-0.06488056896132453,-0.03133374390063675,0.03929473369450294,,,,-0.02003755905063977
RARRES2,0.0446998709770322,0.05927644590973667,0.06820696659475295,0.013069766170409457,-0.038668557556140466,-0.01671362640506745,-0.050227406134505964,0.007455157989564722
FGF7,-0.022382326207458902,0.058683634173755606,0.03534897485982101,0.005931866801314592,0.019139580199277917,-0.009513079809821693,0.03666104473155434,0.08131159466019802
EFNA2,,,,,,0.028368824700768985,,
HBEGF,0.023641846180320336,0.16104083851679335,0.041384849385967475,-0.02506292189120703,0.039651348134340465,0.020707670733943754,0.011951136851843151,0.045534976571901524
CSF3,,,-0.01513144803434255,,-0.04840251579926525,-0.06217360614796236,,0.02908388313735796
PI3,,,-0.01703821020016666,,-0.09143843690437269,-0.107579465204466,0.16252393197236273,-0.028080595890668237
PCSK1N,-0.015213249999492057,-0.06839569571190063,-0.01289755991991153,0.0757626818863293,0.08678347260483235,-0.005042469389433316,0.019855665273569696,0.051672233502669765
NTS,,0.06476981619049883,-0.018598369816742386,-0.006391567536104033,0.012407400202595422,0.033324646171850394,,0.11361232353926697
SFRP1,-0.027553704179402717,0.1048152285809609,-0.03191452638197716,0.008548752621611058,0.06682344067455936,0.03320338056112737,0.031253925219475995,0.030984013532819325
CXCL13,-0.033478840431979455,,,,-0.033387289654078285,0.006758537000226222,,0.017617717079865366
MICA,0.03493712954188499,0.04020814427099036,0.05821193007500262,0.04589617033291269,0.042681733679491955,0.036115860165940636,0.0555853057373782,-0.021122864996498215
TG,0.0499112569213929,-0.02039046425940726,0.022810121537452092,-0.009628733224297817,0.10870836419579936,-0.045361314681438385,,-0.026565410319958387
ADA,0.039471016788493817,0.10260306819084407,0.05058961504703526,-0.01563783709950094,0.006461885658118921,-0.006977763375281372,0.023998021018725564,0.019009897512093456
LAMC3,0.006733440222673021,0.12962378105020875,0.08460386292994335,-0.044912065727078045,-0.03143275646431034,0.0656001186438208,0.022542619377359047,0.03235799934211659
CCL7,,,,,-0.029251002866081902,,,
NGF,,0.11167075416720164,,,-0.03378256659048914,0.06896764198260022,,0.024082678457526766
TNFSF15,,0.02298685454327418,,,-0.028516443190095872,,,0.09297194687163242
HMGB1,0.03000597110129776,0.08335017064982647,0.03853652635524822,0.011838739096376429,-0.02381241372562937,-0.04886868176343441,-0.036359398115890965,0.030430533873371676
ITGB3BP,0.03075283500698915,0.14646295990533145,0.05469604467344229,-0.02064401550049152,-0.0011707562313329409,-0.01632905699610828,-0.0032934199026271346,0.055714723478451654
AANAT,,,0.013975922668538724,-0.011099195021316658,0.09166963360244539,0.01266023602617915,0.021933139118977894,
RELN,-0.00793293052852682,-0.001986416569306071,-0.04005037695182461,-0.01730702117137269,,,0.03003177835442948,-0.024211190727908942
IL15,0.0024611798149162404,-0.01681147703196687,-0.03560209029909736,0.04788442033436065,0.017751107971968706,-0.0025450405362737478,-0.031322327495793854,0.0035227101314734737
UTS2,,,-0.0185242360422097,,0.060062878041914416,,,
