,UKF243,UKF248,UKF260,UKF269,UKF275,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,-0.018697406141118155,,,,,,,-0.016113806938538387,,
BMP1,0.040413500674971334,0.011108136137801927,-0.028133801873517685,0.08187846824415183,0.023669461581139986,0.009742628510977519,0.04653831107211139,0.051939859122111784,0.05773973616352853,-0.003750160417544089,0.03491474580428064,0.011804703800707967,0.05055273174197098
NDP,-0.023409069823234693,0.02444928276963985,-0.022338730315587682,0.10679363993709709,-0.023850268530728094,0.05889388840935899,-0.023815411758635965,-0.030993721236885614,0.06706165303744376,0.01735201251822812,0.10495804327455652,0.0297175221330844,0.0033128202286173956
TNFSF18,-0.032927439956016255,0.04730581382999297,,0.06756282942905574,0.03163890147952996,-0.024124922868578577,-0.04899941091221558,,,,-0.01661788467031928,,-0.0020839738509280917
RTN4,0.062379412514014604,0.039605112211610255,0.049049252408337074,-0.01110254867512901,0.025363597197162267,0.018417812001718995,0.041856829164045574,-0.008197508707679045,-0.024095958039566427,-0.03237221779476694,-0.021978115607331275,-0.04524345062185833,-0.11178189509272969
HEBP1,0.09858344292078804,0.05445234223161028,0.05339272919886354,0.04023009337813335,0.011116921894744836,0.001252462928569448,0.02485856198032021,0.012156464558631837,0.032769192546438126,0.06176247966819909,0.06413119911877231,0.07915359034625429,0.03061782286780369
WNT7B,-0.00642423412807729,-0.04266744590375306,0.03398848517171115,0.019181476669022028,0.0020948139112221963,0.08430574860109379,,-0.030936027544056333,0.0157263800928782,0.07324871922516726,-0.006509241789152206,0.0172922337140365,-0.04677461084683492
PTMA,-0.11410741556802953,-0.030365602474437713,0.0156592876340649,-0.06503988928469073,-0.020327115527570484,-0.05535000515261382,-0.05399357903734195,-0.04385834165369567,-0.04789864052861115,-0.005513841343187721,-0.07965659435818476,0.007418227954167693,-0.0038079885148098753
CEACAM1,,-0.018350454620388167,-0.015610030376448187,0.093413154018242,-0.01985153968813039,,-0.03445490177554737,-0.0018761138253895516,-0.022726798161753114,-0.015839917511700087,-0.0031812967159789295,-0.01351765766452986,
PDAP1,0.01239150802559398,0.03699877438100212,0.07102709600762351,0.011450746693061807,-0.0058273276630695404,0.10392201730484008,-0.10927372849234163,0.061196296085311706,0.001950570435145197,0.04484827293798039,0.005265804825034588,-0.036365276977187576,0.0951835099567693
QDPR,0.042729659017883406,0.015245012744975363,-0.08410472543347954,-0.05390148313031305,-0.008506095934676557,-0.026349561063686567,-0.027677263329632454,-0.09152241812839096,0.010687039556709107,0.011777331264205318,-0.0650437525334425,0.04542131511998743,-0.057973662297900304
POMC,-0.052983186658448596,-0.03405486001349834,-0.031411072454619535,-0.04709857033140275,-0.014645674462481979,0.003079204244342721,0.08891816205101477,0.003798230195630361,-0.017261149263790593,0.009425536692835412,0.01971679188993383,0.011203216546991957,-0.04323486754774475
CCL18,0.035513447217963796,0.03723167613715733,,,,,,-0.019670898989261096,0.06746830260782256,0.013817186182065785,,0.022775165247608444,
CCL17,,,,,0.019247357942151707,,,,-0.01612356328781236,0.04727859590057429,0.07125528210966474,,
VEGFD,-0.037394801357634753,0.08237335532027074,0.0811761265858877,-0.031323170748985524,-0.01677198578689285,,-0.0468406839250718,,,-0.015839917511700087,-0.022407048141035085,,
TNFSF13,,-0.01728080380272677,,,,,,,-0.0025937152841117865,0.0760208810668357,-0.022782647612101168,-0.015179423569579693,-0.021080241595332453
WNT5A,0.02940787791974824,-0.0152097808364408,-0.08972400829410551,0.023108823238901725,-0.003030742077545954,0.020263027845689344,-0.08795013864400553,0.02755081524449374,-0.004595071975980837,-0.03323476755903934,-0.0421500941858478,-0.025450768321948293,0.05822265600826326
CXCL8,0.07084613489687247,0.030074886752456072,0.10379719939024995,-0.009631388736329136,0.046685274609233426,,0.004893830196997724,-0.03463371472053144,0.024372655694780844,0.026546163675064516,0.02311847723825674,-0.002605838542074693,-0.022010799025149998
GRN,0.04736518843388714,-0.01888933866212941,-0.0266628516009584,-0.024035786967935346,0.02200082622030699,0.04805459137077797,0.0714744931358552,0.022774058894031477,0.03345413284605016,-0.0287546693791735,-0.0058032834028477,0.047878935808465264,-0.06053144803612996
MIA,-0.04319525201687657,-0.02155900532037662,0.09005575946422888,0.007871328006802415,0.024910224821528885,-0.007360230593429202,-0.0026174762080902934,0.05320086380904361,0.032116990252676704,0.10353043922240779,0.06672836449523185,-0.04086424420185962,-0.0680291336308371
COL4A4,-0.0500856964925347,0.022651425654451062,0.012949163689649925,0.06342639826469278,-0.016435346959405277,,-0.03667717800460051,0.08685291946838866,-0.00040302356241928266,0.006864064987517399,-0.03272639560820758,0.002659571755009189,0.04711261550317417
TAC1,-0.014766901477320226,-0.0063985400909326775,-0.0720538291097168,0.026908387624554508,-0.01701827162199632,,,,,,,-0.02332181041532054,-0.05688501108603309
RARRES2,-0.0031501964514477486,-0.03803871632431784,0.12919265594682844,0.013568173375128716,-0.060443008801725456,-0.03676351372105481,0.008663100785419282,-0.08084958123866474,0.06051676169120283,0.06358279115722133,-0.049118158124771834,-0.04197068808880669,0.07441002956761968
FGF7,0.018472579431928447,,-0.015609029666345123,0.011781472984740603,-0.006177114269198255,0.09793335430499392,-0.05994198858253305,0.022590131447770032,0.03365077124846546,0.0024793641838252276,0.05546969176267511,-0.04062402332371094,0.0713825039055603
EFNA2,,,,,,,,,,-0.015054781538848814,,,
HBEGF,0.06513952697129348,0.056181947563218745,0.07460363825475169,0.03877870654027346,0.0239308125481384,0.04116849570144821,0.03261340334306377,0.051526110798344064,0.007279107815981326,0.014353227700617562,0.06115596153791143,-0.03065045411111606,0.06275409608979679
CSF3,0.07560992993349917,,0.02709025658713184,0.04022034824348564,,,,,0.047274465490329126,-0.023933677119031292,,-0.019379408756106446,0.0056416289717065755
PI3,-0.004381442607781609,-0.02409137997426458,0.10226923212176262,0.04890948477563443,,,,,-0.0032607804793286137,-0.003005225492473804,0.010311503318684224,-0.022876180710392675,-0.01497373814458506
PCSK1N,-0.05578746670397614,-0.052277543761908615,-0.1101118368901386,-3.3423034137414204e-05,-0.019241308616118443,0.026029370869059525,0.049039181233835875,-0.07276042887852933,-0.020610882891153225,-0.020882302466663248,-0.0013304232002101818,-0.04640058176635558,-0.060422974385994546
NTS,,,0.016983099718100778,0.023665334218464434,-0.018775473414429384,,,,-0.015197943806361983,-0.018341394458197484,,0.02066312184902068,
