,MGH258,UKF243,UKF248,UKF259,UKF260,UKF269,UKF275,UKF296,UKF334,ZH1007inf,ZH1007nec,ZH8811Bbulk,ZH8812bulk,ZH916bulk
IGFL3,,,,,,-0.02627443282867348,,,,,,,0.015354351247842134,
BMP1,0.038750116518407964,0.006600789543581698,-0.00460437879186248,-0.0046055250363547726,0.011001455525057335,0.12982368242293132,-0.007507704254695013,0.01071736424130039,0.024861244241196147,-0.020219231880112327,0.004625696954366812,-0.018974076930842642,0.03396466731047008,0.026023424218165586
NDP,-0.017595186999086368,-0.043006603160154463,-0.004130589352638876,-0.035862636266658116,-0.03168347084081964,0.059638328437696154,0.018091833732613135,-0.021283482669721538,0.05141339679673931,0.11386053009195918,0.046849633304112175,0.02231845962406957,-0.009657390596827235,0.14042955419593883
TNFSF18,-0.02427899263716213,-0.0188281481296914,0.012442728353512173,,,0.08111711020504689,0.06311799690845153,,,-0.03248977828580051,,,-0.016360148368740387,0.10272601968891229
IL36G,,,,,,,,,0.023639980874142187,,,,,
RTN4,-0.05559296251343074,-0.023720276112261015,0.0008191745783071529,0.007903786289186462,-0.03428059623150423,-0.16369531528375839,-0.03577729445870679,-0.061210571272866277,-0.055121991413593856,0.01676831899016571,-0.05268789601050453,-0.063243726313063,0.05089045632863302,-0.03210359554832541
HEBP1,-0.011941839459369816,-0.07360503793893729,-0.025372090314815597,-0.014178234368335874,-0.00942945359816805,0.050089722808428466,0.030859160531026514,-4.9481615096532115e-05,0.006632425412838979,0.012247942278161136,0.03525853802426004,-0.010185442877292707,-0.0191220026425676,0.01845796900469119
WNT7B,-0.021389032074144197,0.07590077685943551,0.0063991738037660305,0.03875183382576011,0.03837398511148551,-0.07568390309230257,0.04075055537249426,-0.02052280841894155,0.017603240667401855,-0.0357680747145404,0.01936050130249344,0.03581884812943963,-0.03421039374060122,0.067730757880118
PTMA,-0.05469736926405799,0.08283346731634013,0.0010917006641226912,-0.02277928631880154,0.06262726215534745,-0.028993779677242794,-0.043222676971724674,0.025222227528714603,0.06943047235110045,-0.029598089303571714,0.038791477467775004,0.025745402467116832,0.0693942687638001,-0.05477357261187829
FASLG,-0.021389038120768773,,,,,,,,,,,,,
CEACAM1,-0.029698866620858747,,-0.005661798776207785,0.011561066436457514,0.036396336944461816,-9.20131129942891e-05,0.05267059982162402,,,,-0.04819805630517222,-0.0149473399013013,-0.023507825183272234,
PDAP1,0.06278318319000438,-0.009086352929894811,0.027788764603844315,0.032073634598440766,0.06246280796912856,0.09049968422175715,0.028624989131841305,0.07504535345516447,0.016041666240099853,0.020954299085689094,0.017271089677035677,-0.02833323003359898,-0.028422747904453545,0.02483387785874226
QDPR,-0.08953992793980155,-0.11288880907910369,-0.0027345800381226347,-0.011423766608579463,0.013698192091408268,-0.0950736686149408,0.05198588297118931,-0.016100211199216813,-0.04045679039119093,0.07863991855493255,0.08469205758228383,0.054140739328353234,0.11320264806027924,0.013345270736591235
POMC,-0.029377542315485658,0.018637038000426966,0.0036159917983224505,0.006204902440847282,-0.029302358341554854,-0.028525566396279817,-0.01663802573575207,0.020492494485466497,0.018730510792188834,-0.04292633641852115,0.06629287868881667,0.0401577516945924,-0.050842625322088164,0.007678474179083961
CCL18,,0.011340581450317752,0.020127919780586995,,,,,,,,-0.02837211256283579,0.010578122078117133,,
CCL17,,,,-0.014185057929214288,,,-0.017883722533660478,-0.02540148370567297,0.09879372880484964,,,-0.021577423533065635,-0.020915620830300696,
VEGFD,,0.025335496042181296,0.06713541276784209,-0.028582264625982318,-0.013932178351726499,0.03963743575515186,0.04037572286342924,0.04378298854504807,-0.013176916238637823,,0.004138085717027105,-0.0149473399013013,0.02364221393982363,
TNFSF13,,,-0.027951360163122753,0.04213880212276849,,,,,,,,-0.02345392167180203,-0.02242929846735678,0.016157345807683816
WNT5A,0.05768329290007701,0.02074146708776809,-0.004309514780501993,0.046166222608565614,0.04265460428911343,0.1062634828179975,0.07921846307938728,0.0793177067153028,0.013776804052461681,0.09605317852550953,0.02258185026310152,0.014631999181228234,0.01686795622409191,-0.01705960402721899
CXCL8,,0.04632836822698852,0.04190542672083661,0.040097262156101376,-0.013693786723390208,0.0967502306957501,0.04945735461062777,-0.017351203718557296,0.0664180109311254,,0.030131737795312825,-0.06102976571307505,0.04037542904850566,-0.017938895585717617
GRN,-0.08166574983114401,0.01984070126657469,-0.03541667138425968,-0.005890191056787605,-0.050824429196616915,0.12023449572537344,-0.024677678966186913,-0.006718869061265409,-0.03306877485090221,0.02614837556476382,0.0013997807260351229,-0.051570434390084206,-0.006433360786585947,-0.03214341586489374
MIA,-0.027996406049489813,0.04440356681782358,0.0268007897375079,0.07865907024034283,-0.02462135345521013,0.01625531557526431,-0.027334823070959233,-0.0211903121939159,0.02008511231609276,-0.028944276196737895,0.035583909642076667,0.11252634861295015,-0.015825975918316637,0.05697298292981996
COL4A4,0.12883105374313664,-0.03177761241127949,0.06420092303877172,-0.025356781770330055,-0.004902394669412638,-0.025891503328489725,-0.01867115962375816,0.06594432675251387,-0.01622968575596785,,,-0.023933028331797716,0.001266544409569673,0.039081243598776946
TAC1,-0.021389026483873207,-0.06788628217999788,0.008591707322370903,0.07817694434215904,-0.0451356865029041,-0.1257034869729244,-0.033890736556643465,-0.04230317187414139,-0.025660960381359777,,,,,-0.05167920409183267
RARRES2,0.12185625260579935,-0.035758691693120695,-0.0005179277121175947,0.049388990708431314,0.026314586791139596,0.1832667966015828,0.03289189219322947,-0.0017918964064403168,0.1100279449019064,0.02206331296866834,0.08148395100140479,-0.020559714916746057,-0.030820019056341713,-0.057683772396221106
