,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.026789161093625745,,,,,,,,,,,,,0.017969752911022683,,
BMP1,-0.025600207146243996,0.06533502546722979,-0.0015856466466242752,0.05113398172865547,0.03674056945052697,-0.01745403218098145,-0.0013811248216771626,0.18312939786056892,-0.007825950461271332,7.263765129083356e-05,-0.010753414716895327,0.03222068531899863,7.545500516974786e-05,0.057841135593101396,-0.060509722565818214,0.03342161875267355,-0.1232817523447141,-0.015453137019719922,-0.03219817358583393,0.0589862496214522,-0.018753612749202928,0.018174392083478916,0.010390716966196588
NDP,-0.018147907830153562,-0.04147087305053585,-0.025777595138228547,-0.043793072867512384,-0.007966529845071083,-0.05664243661694451,-0.048052005543559366,0.01857284953907825,-0.02939677998089929,-0.01682182183317948,0.004638748788594997,0.013651864201251616,0.056044605965131764,0.10470599933705917,-0.022731565272385824,0.014061170097962794,0.02663540797861245,0.061852601163651884,0.009725574327209606,-0.012859215070416858,-0.032390809134434,0.04506605459862425,0.022914282280640758
TNFSF18,-0.009293218787303385,-0.02731100400199785,-0.03557822492385881,-0.00012117312907370166,,,0.15492016384033797,0.010822206417063175,-0.020702783207238402,,,,,0.12663081227020315,,,,,,-0.028438982096957433,-0.05152579687951633,-0.01940790349212697,
IL36G,,,,,,,,,,,,,0.13971005035591266,,,,,,,,,,
RTN4,0.09912031291355652,0.10478703497324153,-0.019921325661638786,-0.01703911525264807,-0.018914436611984334,-0.10961815545819498,0.021058544492561643,-0.17400050724131175,-0.01191873885780782,0.030234919292202973,-0.028311317441304353,-0.05520459219060285,-0.010815156844704582,-0.0067763691878775165,-0.1280889025095405,-0.06942484776697468,-0.017446853806591858,-0.013778776653436095,0.010086673346660555,0.05982977997240874,0.04705480572793869,0.011475333639691245,0.04560803534160792
HEBP1,0.04622690503195965,0.030834854990083385,0.03636802383879138,0.006543921102321258,0.05547497839778478,0.0180666136140922,0.002661842134420032,0.04226836020158438,-0.0014262486739620927,0.043831843079910324,0.004273469601043571,-0.005961598003652974,0.0012866221416419743,0.038029428304984673,-0.09665458096029075,-0.00868676744884637,0.007139201209755019,0.018445039842507352,-0.02374957588442585,-0.04182886967421992,-0.013036429936715888,0.033054856851557804,-0.04227465980512902
WNT7B,0.03579050325444951,-0.0542427965402986,0.013382963543741693,-0.007953767726446362,0.029146574035775304,0.08341594845010594,0.03554702709749262,-0.08025871734542497,-0.019723273023199806,-0.005974466085167089,,0.048907463140060156,0.10238516472918426,-0.017533637294605397,-0.056283865669651344,0.012529083737709392,0.015210428447468782,0.01578473338167232,-0.01420665615657999,-0.028438952607869335,0.10708558441743928,0.04204552993877287,-0.04319133072431856
PTMA,0.06514204117669854,-0.05159570575546357,-0.06512443823033039,0.08322303321870897,0.041395047452067346,0.08228700578056751,-0.02314484309407893,-0.1491166402524167,-0.004922055412869573,0.04864032439088896,0.0004062863406560225,0.0805737535315546,-0.007837959868930783,0.09716844855091288,0.026928435727792206,-0.029516912906408087,0.07622134411036313,-0.004837575958021927,0.0626710110369225,-0.09764207646818909,-0.031724733713356275,0.021249468908321335,0.0410076092058347
FASLG,-0.023853510954632905,,,,,,,,,,,,,,,,,,,,0.017853693458331633,,
