,UKF243,UKF248,UKF269,UKF275,UKF334,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,-0.012644893308563191,,,,-0.019505713416933905,,-0.028724605310474716,
BMP1,-0.004396994548225835,0.02648233411551131,0.11565248432420346,0.03163693051151813,0.06516772007304021,-0.003708168997006987,0.051501658758441045,0.01643216651766968,0.1375449909526047,0.04080104068229796
NDP,0.01713765404808563,0.03937993803450876,0.03009329514135972,-0.0336667905796349,0.08112097750719048,-0.09575744588766033,-0.04254857997127494,0.07058410969368403,-0.012125946191901498,0.08718684206635724
TNFSF18,-0.02181210511034524,0.026124224222289952,-0.01877728695311675,-0.012622089446573373,,,-0.020115897950823327,,-0.03957544901646782,0.1166853582877862
IL36G,,,,,-0.015263923331100718,,,,,
RTN4,-0.017388682515159758,-0.023352722134981043,-0.06136620285646875,-0.0020350327280939193,-0.05087862006176548,0.04150519698314212,-0.021984161639753155,-0.0433825272065907,-0.012211793323781975,-0.023705166703620457
HEBP1,-0.03135343367422505,-0.018765917035738405,0.02841295773091069,0.03586030604816336,0.03855824109810101,-0.023201991560238687,0.03893257000737548,0.0001665718424584033,-0.020127801143707363,-0.019326828214101848
WNT7B,0.03888039563458358,-0.01578279748311103,-0.001613463390262144,-0.003605241827294189,-0.016776810776766002,-0.008836445743133617,-0.02924838099584254,0.02502647003131522,0.041149240661736794,0.026099951560260758
PTMA,0.021546059370740295,0.013714114535619498,-0.038356680952501006,-0.06938981350499566,0.01428631858071466,0.05715421879311186,-0.01866771255822428,0.04833073355231282,0.06338800156049791,-0.06057434809158816
FASLG,,,,,,,,,0.007962892479727885,
CEACAM1,,-0.020060547251295177,-0.024709840156004276,0.022561642926540882,,-0.019563784282536065,-0.028904445227161926,0.062107364462012545,0.0013825784915582088,
PDAP1,0.021090806065588923,0.01285776934382625,0.0723167039532076,0.004743338087240504,-0.05541013079806417,0.019289677755927673,-0.005480314680897875,0.02589774076255174,0.052433311668353785,0.03076307807134422
QDPR,-0.004911104311312892,0.019123307659097748,-0.11213105376772463,0.005636228567996818,-0.01622045921106819,0.00522379958440829,-0.00824785188316883,-0.026989415319214744,-0.02566663298433571,0.011770984399424244
POMC,0.062086141157214926,-0.022648044210607746,-0.0061404966673093975,-0.014645674462481979,-0.000994537640989418,-0.02900183910515216,-0.02689522266561948,-0.006359253956377677,0.03372863063437504,0.03469754481229611
CCL18,-0.029251826436445475,0.002296085577047945,,,,0.1039212790352966,,0.015863602470259662,,
CCL17,,,,-0.01574220298520926,-0.01394402730559695,-0.013879558034682988,-0.025717156392319272,,-0.022580691609382694,
VEGFD,0.037473997311205175,0.0032708355502165092,-0.021183588205628125,-0.01677198578689285,-0.014944245956461783,,0.1233672115619333,,,
TNFSF13,,0.016821896464963435,,,,-0.026632787126955926,-0.009048406642324286,0.06504488549629489,-0.0021919606514938655,-0.026588248905867348
WNT5A,0.051271289133594154,-0.007100400418964176,0.0900022749849252,0.04447457190824352,0.03579156126202692,0.05383994770064326,-0.030086704957686457,0.03856436805340925,0.07558039141746474,-0.03719110560915354
CXCL8,-0.02856545843110619,-0.0458229558579427,-0.003927331330251739,-0.038830111648811824,0.005688377486504251,-0.053235877648877716,-0.02301127911784713,-0.031186092471116797,-0.025968869207769255,0.03241352169496173
GRN,0.012612717562116642,-0.015959852851946947,0.09723251701650043,-0.05595769056901712,0.0245708904661234,0.004222979269124783,0.020293922978680646,-0.015333522375040416,0.03606366026111992,-0.021395713917156254
MIA,-0.023186997100617147,-0.049875718614381635,0.0344569187262013,0.06367138387850665,-0.003982200433033398,-0.05480047829981262,-0.046816549510413176,0.05462850860731516,0.020865674046191374,0.03913634491175967
COL4A4,0.09751277566895311,0.055781073162733036,-0.012460603786269842,-0.016435346959405277,0.08390961135252839,0.01807185208720859,-0.026394380153063685,0.002596580579783852,-0.02713728171288985,0.02729217556481782
TAC1,0.015070358130402195,0.0260630417901961,-0.06801944939812421,-0.04685536303739221,-0.02548874365928989,,,-0.010578740987000188,0.026091103646584214,0.03238193338744031
RARRES2,-0.0063034433363992936,-0.026808174850788322,0.08103598039516516,0.0036032284183762876,0.01473520818337894,0.007122358421523883,0.012655645984695487,0.030803591317550446,-0.02372838394374879,0.01596608549997033
FGF7,0.021438669195283904,,0.03227391759744845,0.0010105856042917922,0.010654688142276693,-0.030304382196816134,0.07730595465571459,-0.038588874395988376,-0.0011547739620326725,0.011309086984857792
HBEGF,-0.03181916941454026,-0.022135772600514865,0.028097668780849565,0.03736483685616849,-0.03378831472277861,-0.025350126592042138,-0.0030347292302102253,0.07117824613981169,0.03374244529814361,-0.012742225129245745
CSF3,0.035532384484379315,,-0.013183078969032876,,,-0.002850744326730141,,0.028337798299911336,-0.02377398478184796,-0.046589931458046414
PI3,-0.039304540689931874,0.06899029534274446,0.010555010740101456,,,-0.015563512447100884,0.02410461686993254,0.0022545098580080696,-0.0516529707987986,0.04863605631242676
PCSK1N,0.02071278651297504,-0.024001403144628633,-0.015040538531224643,0.04405826221741167,0.014353543160716426,0.06805644992602598,0.024908289185264495,-0.0035316899905633347,-0.02854662886890504,0.027378787810762882
NTS,,,-0.0162035898635028,0.010697210897411574,,0.026199671465908722,,0.024187125082017126,-0.035206029612407486,
SFRP1,-0.014910352802456861,-0.00019523901830604512,-0.02979927679408964,-0.001217128451891905,-0.021200757314516875,0.054132000714516015,0.021979439595479225,0.015178961581657546,0.131761567614705,-0.009754852214302055
CXCL13,,,,,,0.0263395498328518,,0.020843375052891768,,-0.011669219364447276
