,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH916bulk
IGFL3,,,-0.01503157347560824,,,,,
BMP1,-0.07783278932220462,-0.07132784569165973,-0.10685438095188955,0.01289522224358944,-0.016499892961263578,-0.12024360198964937,-0.08175287187065161,0.028232071316285877
NDP,0.14165830574148452,-0.012348777856813237,0.04077442205428292,0.06660041586722437,-0.06420464559226967,-0.054122366474176266,-0.05444280519054974,0.06418425787589621
TNFSF18,,0.004086263182210824,-0.0223214353510766,-0.016604478960754034,,,,-0.02430873417830757
IL36G,,,,,,,-0.012063443436711278,
RTN4,0.17729340332314875,0.19131522956859734,0.12964685581804708,0.08943445589625185,0.024051854592544313,0.2892594164022999,0.12557980288039744,-0.02587490021923994
HEBP1,-0.027064196326183638,-0.0893299329436116,0.023074800042122166,-0.026650465356918306,0.037979253663704075,-0.06719835422041899,0.0008798177335777772,0.055081396165170916
WNT7B,0.021083508902287718,0.053109787614467614,0.08439245708994764,6.46968111310659e-05,-0.01490162713517927,,0.08944604388028886,0.10819664913189012
PTMA,-0.14198046774492665,-0.19317514500939012,0.04320509986920299,0.01633552167650746,-0.030987693475478584,-0.303210738073244,-0.13000685999305278,-0.03166180281638587
CEACAM1,-0.023094446028289303,,-0.02937373758812028,-0.02611488965320402,,,,
PDAP1,-0.05509088851215271,-0.04179477620476672,-0.04222165466133662,-0.000396008046713315,0.038675729667852835,0.04881632198724953,0.006214023360093687,-0.05320599529059512
QDPR,0.11426907036013659,0.08034026807626192,0.08897545863979547,0.010170084623526197,0.0360704306633757,-0.21753067918161,-0.02730426106893683,0.06516389946976811
POMC,0.23927024444792264,0.04292603201958244,0.019812832825406697,0.010320587342748776,0.014469053008592466,-0.05180580214198155,-0.02584605686075017,0.03125589701040208
CCL18,,,,,,-0.12192655755972331,,
CCL17,,,,-0.0073423402472499654,-0.018444037050646137,,-0.0110202980604788,
VEGFD,-0.02209545839486058,,-0.02518191769750162,0.0032806610617061287,-0.013528924228237727,0.13001840428515044,-0.011810794766818159,
TNFSF13,,-0.03502235031709246,,,,,,-0.026444435395783682
WNT5A,-0.12511307805397756,-0.10965852799847824,-0.09542187723196707,-0.05242204861654228,0.036011334826172484,0.014042379914288899,-0.006883336214273413,-0.013656537597674833
CXCL8,-0.02168198489128137,-0.034536743906638905,-0.011443166095577086,-0.02552991233988579,-0.012598722498517186,-0.0988398343571169,-0.03551054062813176,-0.060956993589031123
GRN,-0.05924549286470764,-0.08257857057670552,-0.14579972311414197,-0.08369955278578356,-0.025563822723494254,-0.24715455859940974,0.01255953945728758,0.029666175620356474
MIA,-0.044257506324987116,-0.023870522191388757,-0.04293907694730354,-0.04070384892767186,-0.015386302144707296,,-0.01617542469306626,-0.026484359872619743
COL4A4,-0.0972981690125372,-0.033322219024712205,-0.014812499939158449,-0.02162085556082192,0.02013145986114712,,-0.015690762045946743,0.006375685587265665
