,UKF248,ZH1019T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,0.02885331449422822,
BMP1,-0.09368992633221233,0.042342510725354235,-0.039980767098014305,-0.04941714269988233,0.004994628280964166
NDP,-0.04449182763618849,0.0332341818860938,0.0554304258866481,-0.022532806487977387,-0.08302256027269467
TNFSF18,0.008816725260029233,0.12270906284251266,0.000493047434041211,-0.008818126811408492,-0.03593492641983178
RTN4,0.01597198552951093,0.008684070134631999,0.018926149458975756,0.07840249407230258,-0.047571586075111146
HEBP1,0.004455916478523692,-0.0123165983816925,0.030615455908539806,-0.06158671306635602,0.051529999651439694
WNT7B,0.007653194808421587,,-0.0321481071000563,0.03824290075391582,0.1147716024156081
PTMA,-0.10753483751855383,0.015950960751755387,0.07138432432268882,0.01806487738870838,0.044043494257848474
FASLG,,,,-0.020579530574974757,
CEACAM1,-0.02850370020044778,-0.029222865854639266,,0.029002497203594185,
PDAP1,-0.07328944753103524,-0.030767889998258968,-0.11464265486984261,0.034771917690653395,0.10871055181591951
QDPR,-0.054107759589786905,-0.04014645997753653,-0.03907611996283072,0.019412747174840962,-0.11708638334953035
POMC,-0.005966342600903052,0.022111854559633114,,-0.020421165750689717,0.015861002382594126
CCL18,0.220808792463404,,,,
CCL17,,,,0.048772887371012104,
VEGFD,-0.00744149497870383,0.007859017919851248,,,
TNFSF13,-0.01404789378026239,,,-0.0027008980211695155,-0.03909207419814907
WNT5A,0.023764936540826672,-0.020344498667748658,-0.015809486323306036,0.014264197645474253,0.08448570470682303
CXCL8,0.15983694221317316,-0.01060758068078394,0.06316412152205839,0.026468538576944856,0.20031041318091153
GRN,-0.049223924823598234,0.11467494102921753,-0.07854465594259223,-0.03327643133194357,-0.11159660313333503
MIA,-0.03864660174498948,-0.03295891378167891,,-0.057779345323308744,0.13949060295482532
COL4A4,-0.009836730912728728,-6.361387470491828e-05,,0.019725880610853664,0.008294425617405421
TAC1,-0.03902448701597644,,-0.060036009275836584,-0.024521308573991492,-0.021594195726626304
RARRES2,-0.045834694407402225,-0.0498191347752218,0.04152112194740389,0.08139268311730792,0.1783918945414394
FGF7,,-0.00285708247036136,-0.009316191180362069,0.06539703913330036,0.022608649123368813
HBEGF,0.023614541980875335,0.0759183842103468,0.010918973074394838,0.07124494357754055,0.06732033732911455
CSF3,,,-0.028893840593649286,-0.01963876615921208,0.28538172661601097
PI3,0.04828191324102668,,,0.130437487990954,0.25278661260767277
PCSK1N,-0.1114067432219037,0.046434642833973215,-0.07646102091297682,-0.007262130952284472,-0.1331487968006127
NTS,,,,-0.029082334715729703,
SFRP1,-0.02186158897653285,0.10290800234712302,-0.057013389653446704,-0.013621670810220293,0.04411241591257797
CXCL13,,,,,-0.02274474765338536
