,UKF260,ZH1007nec,ZH1019inf
BMP1,0.05219725439079574,-0.006413475773616373,0.07196079200677237
NDP,-0.04731922228949695,0.02217807828748839,0.018813618686057732
RTN4,-0.056923806187074634,0.0593510298563469,-0.002975173084500245
HEBP1,-0.0052016585025168064,0.03953372217576714,0.05042683370496858
WNT7B,0.0007051213518848832,-0.06250362373825888,-0.030467307486792588
PTMA,0.006794498670487577,0.061187036640571416,0.0697696979952831
CEACAM1,0.009345407445778801,0.04785136134697397,-0.0013450580026605813
PDAP1,0.008010971669138238,-0.011847242470841323,-0.01694872678862702
QDPR,-0.05479465749884207,0.0810921598255405,0.03668242231248369
POMC,-0.02973546003754249,0.019309450789523803,0.0451669684672276
CCL18,,-0.04035731698266949,-0.019372859918551536
VEGFD,-0.014138102052563162,0.024717926515466178,
WNT5A,0.050449972359999574,0.04970428192443355,0.010539252752094006
CXCL8,0.023208015807816208,-0.06795969692739003,-0.03410897001231235
GRN,-0.0035172530773299416,-0.004764116338806636,0.03238424629131449
MIA,-0.032852708378670714,0.06327128688915896,-0.050450932968249755
COL4A4,0.028185367921905572,,0.08787534979898941
TAC1,-0.026502642991294675,,
RARRES2,0.027671581634782956,0.08028157450879485,-0.05401258866294985
FGF7,-0.027070353675094867,0.018581332821350282,-0.031227627522936438
HBEGF,0.004914909624494823,0.023968663574617015,-0.04226663245747513
CSF3,0.001774887796618866,,
PI3,-0.04337000030249744,0.04610770640726587,
PCSK1N,-0.018504428710140082,0.10066840037496577,-0.009243594004352778
NTS,0.0032498657550587883,,
SFRP1,-0.016129126050308223,0.08035859497616747,0.07796002272175276
CXCL13,0.029749398400180947,,
MICA,-0.02130583669124543,0.14075042035097604,0.005469286021368731
TG,0.014456219342628524,0.010775746443237151,-0.03154354528052014
ADA,0.03810405301797832,0.04502506703600176,0.011562812400749876
LAMC3,0.07973730119424212,-0.010101140414051624,0.021057559501252574
CCL7,0.04612213690947261,,
NGF,-0.022620316397525264,,-0.028789292947559584
TNFSF15,-0.015690527954472483,,0.0700568024908401
HMGB1,0.026117291142175647,-0.018187699839032116,0.059173478055663815
ITGB3BP,0.019274112638728743,-0.06268792723846205,0.029831213336037943
AANAT,0.03745526890773006,-0.05496111877960822,-0.020177645679432112
RELN,0.06151731219128866,,
IL15,-0.000767366100224522,0.011196774470510583,-0.034109059159132774
UTS2,,-0.01212230539013341,
BSG,0.03290243797312852,-0.03484208989948221,-0.07598696210076916
ADAMTS3,0.03148377321428782,0.10918948628955197,0.09084771434771273
CD34,-0.010997201305660271,-0.003217995572485725,-0.029049431746845975
