,UKF248,UKF251,UKF255,UKF259,UKF269,UKF275,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8812bulk,ZH916T1
IGFL3,,,,,-0.02156144506620633,,,,,,-0.016360147526298743,0.009191410644505408
BMP1,0.04778070894769713,0.005852543567027076,-0.04425911794135794,-0.007460532050042747,0.14636200455207146,0.0019899255771535953,0.042214968689279944,0.013595711515474018,0.01524152927453895,-0.028950054965835526,-0.04234112740073679,0.10452237246417798
NDP,-0.017565179838334298,0.04431054949529042,-0.019849575753389928,0.030951717727559485,0.010238288837690051,-0.002121189405702785,0.02193370682587786,-0.022135556134603402,0.05693869611266001,-0.038436096985198134,0.010626597323287391,0.025531973982407887
TNFSF18,0.0037196277472519527,-0.03750887693172241,,,0.04409303010816057,-0.013506322837818734,,,,-0.048999350600163534,0.10270961774395647,0.006257392045197215
IL36G,,,,,,,,-0.02054052298951685,,,,
RTN4,0.02236814973218736,-0.004660157443764663,0.04992913791873118,0.06351780497800266,-0.1613243255826328,-0.042167250802897224,-0.010255564356381548,-0.051103499429577495,0.005696868303750247,0.05949060842676432,-0.026502005528964364,-0.008553139104481858
HEBP1,0.061983211111355185,-0.025584992186975495,-0.04955196971203523,0.04871006970023789,0.04146209639161871,-0.010788085052182369,-0.03192621858997339,0.008244443253787141,0.0028030514749133825,-0.034240374230781634,-0.048455166457980245,-0.0048044899956734945
WNT7B,0.007156483911416998,0.03185435123541018,-0.01525034906866165,-0.027528984616670204,-0.026728121853030907,-0.0027340413278376242,0.062380775084407834,-0.022576401884094488,-0.03478669925463595,,-0.0038863308069786396,0.010886696736497259
PTMA,0.004678247126049926,0.02276121915645814,0.07825790653883072,0.027639877399505526,-0.04880824673213742,-0.01829149853350852,0.051045875335425,0.07318298750684478,0.058767153683050355,-0.04178983855966772,-0.06194936239575348,0.09665096970863793
FASLG,,,,,,,,,,,,-0.021834925331447274
CEACAM1,-0.015340649039788207,-0.017880851007821018,,-0.01218594292445953,0.00482177156003978,-0.021242228158068525,,,-0.04247576140870884,0.02011665453424754,-0.024243203925658957,-0.03038009163191649
PDAP1,0.015518390443129469,0.016025932543254153,0.0303980983909994,0.011787389774798958,0.13371433066898256,-0.023126316904349138,0.05486360100133604,0.017363141243074812,0.0816224016837998,-0.00533280507362806,0.005954333735556748,-0.042464901077790225
QDPR,-0.002527332839645743,-0.03494789511030816,-0.019771966269322705,0.06012254706326395,-0.1292736515176932,0.0074184901876619205,0.03853393416577764,-0.06204974149519428,0.060802246284052605,0.08344040748592055,-0.018708641862529195,0.03892469436524942
POMC,-0.026616376585616976,0.050429209488481175,,-0.008847778449539453,0.021130186620164228,-0.01567166896615361,-0.004288378861309935,-0.012327111507603794,-0.03864959729852467,0.06450383026166007,0.006633215575037324,0.00878902746815167
CCL18,-0.019143680555355026,,,,,,0.034958612657294205,,0.21977677336671808,,,
CCL17,,,,-0.002502048550093008,,-0.016845014179045582,,-0.018764350896173596,,,0.002453110451646382,-0.019790907322464534
VEGFD,-0.019143686634370237,0.025555903231955637,,-0.020527225207765527,0.0652327890396839,0.08753961897433406,-0.014284022351190013,-0.02011033604998864,-0.013004436231128822,-0.04684062627013851,-0.022749596952131735,
TNFSF13,-0.014446440251596401,,,-0.012708991997322292,,,,,,,-0.02313093841792431,-0.032247631602040985
WNT5A,-0.0009717651359458227,0.08134814180854774,-0.008932790365595623,0.013849894463134749,0.08991294762404986,-0.0012130319381587033,0.021421837030837446,-0.025504070699564608,-0.026589489456082673,-0.051627040722194754,-0.042356735100726656,0.033992926809313706
CXCL8,0.05425348731694403,0.0028799378234583522,-0.07199145787731899,-0.01861645916135201,0.09228338621618791,-0.006937755129533142,0.04442261020238705,0.017774523405541306,-0.03735552917735831,0.08724631246634769,0.11010408203106953,0.04697362860420472
