,UKF248,UKF251,UKF259,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,,,,,-0.016113801619570833,,-0.0168803252371633
BMP1,0.10421760909152175,0.01292726061374671,0.035417353560582475,0.046730820866546285,0.03194263847965121,0.028931760543521853,0.0826991321017113,-0.05480828987395742,-0.02417893908583633
NDP,0.06347193546196316,0.04462690141777275,0.015368740753506856,0.017415186681197882,-0.00015041698614976656,0.014895841219828353,0.06614089150367583,-0.0573670652343997,0.019207465752207033
TNFSF18,-0.036629893960741525,-0.027057274861207577,,,,,-0.016617879184961926,,-0.028474090782721766
IL36G,,,,-0.015082913624073224,,,,,
RTN4,0.029760313075585285,0.02531505514573537,0.017598602752848906,-0.045316026361962226,-0.0071002593981996575,0.013813472216005157,-0.11450568567092315,-0.02291750471901686,0.05354398570397104
HEBP1,0.04799990616887099,0.0561236236911264,-0.03918020045075774,0.054093994033724876,0.053975262333367344,0.011581825613995013,0.016151277735075183,-0.02552282033784632,0.01377957966802953
WNT7B,0.0393072219389891,-0.016807140401907325,-0.0047650842465008615,-0.016577860248930827,-0.02367100280875244,0.012874011821120968,-0.034749329727200975,-0.028343102717744446,0.014989650929955241
PTMA,0.1284692468082922,0.06667680767304923,0.005405922366454078,0.08439644048972776,-0.017221399652029994,-0.018521166754291288,-0.10324649345182048,0.04627846353214556,0.013615487791800388
FASLG,,,,,,,,,-0.014640300319385562
CEACAM1,0.020618185462623426,-0.012898469377038141,-0.01724202227462346,,-0.03130871987457693,-0.023793302605426753,0.13105362225014094,0.0197576166621014,-0.0203698276257045
PDAP1,0.06279236612968532,0.056053398546014196,-0.009406325967247612,0.010027285372293585,-0.0028520213617706843,0.012093043811599863,0.030823267043690674,0.04588895630901532,0.02085594244151217
QDPR,-0.11033564475662075,-0.03487029623575598,-0.0028585141245476998,-0.058460076160821876,0.04637581476816054,0.05207065651120661,-0.10331216940501949,-0.019039986008321404,0.01761029164872958
POMC,0.02444704606308262,0.006422291240496124,0.010157507806321783,-0.02113119146239335,-0.004352688614236327,0.08218829789861003,-0.009121072897080836,0.02044281796343068,-0.019099556389615382
CCL18,0.024788816768660005,,,,-0.01075157048521919,0.014490088321654862,,0.05376466552094644,
CCL17,,,0.0226031363773631,-0.01377866979936349,-0.02221202136637401,-0.03434712604100153,-0.02124511662134582,,-0.013269787846570237
VEGFD,0.004843443382581131,0.10239415263940446,0.0029880745157625714,-0.01476702719535766,,-0.023793302605426753,0.02287144240848237,,
TNFSF13,0.09633313054754114,,-0.01745398391720911,,0.04813173241321894,0.07561913875972714,-0.0001592586856866269,-0.02112431140450555,-0.021622011711798044
