,MGH258,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,-0.015200524434267962,,,,,0.0173840167333851,
BMP1,-0.03162206224942884,0.033241532199483226,0.02189924740722304,-0.1244636398922586,0.01838617745726758,0.02053414139930903,-0.0785796491974472,-0.056703922639329364,0.07293306576291904,0.021792422639136572
NDP,0.04209851350264889,0.017249291929192497,0.04409195284609451,-0.014462393380508396,0.04660799215318071,0.04004699686617304,0.08328206243574211,-0.03757902162370968,-0.00865076061127817,0.06465774287166351
TNFSF18,-0.018998240692298884,,-0.0240695725110699,-0.02257232245263952,0.009331874697437894,,,,0.046773113777826295,-0.032568320692747385
RTN4,-0.06571682093638961,0.05179029078762625,0.05835189589294587,0.16530819578970934,0.03311018547399497,-0.04169337188613033,0.1228940565591543,-0.05299570236101764,0.0052744458596611105,0.10594751272909922
HEBP1,0.09005704903304311,-0.01450750457408418,0.008683680422135584,-0.024311997715773817,-0.014856871231396227,0.04353849011873373,-0.017341416595748168,0.02037852678107882,0.08907539923328997,0.016941107553970113
WNT7B,0.09278202038795687,0.031280014671669874,-0.01394264219089869,0.0824476625658068,-0.01893141603503758,-0.013874672388782974,,-0.025860405098310637,0.05213878144161748,0.06939179856094949
PTMA,0.05273414398156979,-0.05433869912533067,-0.09073711959866487,0.03191712830446182,0.02758384251310487,-0.026211341011679653,-0.15512510897765022,0.057278356612954405,0.050764250963471653,-0.05885778491209006
FASLG,0.01094373080089339,,,,,,,,-0.018635513215513808,
CEACAM1,0.016952323500677713,0.06525724906173186,,-0.029703890724316236,0.036829540237960354,,,-0.017163926969733963,0.03676827295245261,
PDAP1,0.04776416820176009,0.024166657660236353,0.028560806824791826,-0.05640656896969924,-0.001679657934368629,0.0023486650394432163,0.008396466061893745,0.016514212742736636,-0.001004395735611192,0.08949014641580919
QDPR,-0.03312403983944995,0.022210705044853226,0.10968017772790674,0.01995652104678629,-0.021821662475505012,0.02532198960198614,-0.11538756591962748,0.03470863996979024,0.013649029301602828,0.03641544466231019
POMC,0.00276136162742533,-0.034903494652146975,0.03015482200551625,-0.005521938116586408,-0.014645674004122807,0.004125740034468358,-0.013400492018003132,-0.028077929772378867,0.0026900911536321486,0.07305873252963645
CCL18,,,,,,,-0.0006615480016227688,-0.059108199865313356,,
CCL17,,,,,0.053579599646993874,-0.01717295495873454,,,-0.01689099959612049,
VEGFD,,-0.01659530973323154,,-0.025464955873297848,0.017347996151529797,-0.012596570142083935,-0.024001524001669643,,,
TNFSF13,,,0.027290745174608447,,,,,-0.019273939617110852,0.11208166359907212,-0.0354296873786657
WNT5A,0.015147676975412699,-0.01384539656679145,-0.061935927750279285,-0.0902117700104853,0.011633035954987755,0.05431877381693305,0.007826861510711209,-0.030649809446287653,0.0770697520336667,-0.03907084694192915
