,MGH258,UKF243,UKF248,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,0.0031796257638518556,,,,,,,,,,,-0.024544933430060364,,,,
BMP1,0.06011355026776072,-0.04077051209691705,-0.062608971436387,-0.007597218617448327,-0.0343117699347166,-0.01119038783641125,-0.06796286445094887,-0.0061548667023602795,-0.013512328995603859,-0.0023694984364730806,-0.02867185254803819,0.19318097166150625,0.04143992871040882,-0.127112396994806,-0.024707821251550244,-0.03909456221937245,0.01187972635060863,-0.01228730709554972,0.11191149919721326,-0.015110048036788967,-0.048952104705623514,-0.006047135622278491,0.1095587772041328
NDP,0.003386713216394796,0.05103971816357646,0.06648073636814841,0.0064800688542593,-0.00679170711851757,0.020627488194154806,-0.006882950778567978,0.023160456454609325,0.031853944694138374,0.02768202014248022,-0.03576548181603162,0.012784936845120562,-0.0630121315351023,-0.10686827173832217,0.1698009042023734,0.017501635732896276,0.006785630955302183,0.0508088587460862,0.0866524432738693,-0.040147812973122296,-0.05695381549406962,0.052717894492500784,0.06931563775863767
TNFSF18,-0.031449135681177465,-0.0034128066228461497,0.02630760380659138,,,,-0.03255095114634319,-0.01044741003124603,-0.022773754969631053,,,,-0.024507779611121796,,-0.07357249627055891,,,,0.11754833441787449,,0.005774710108825107,-0.038838429656184614,
IL36G,,,,,,,,,,,,-0.019758247975100725,,,,,,,,,,,
RTN4,-0.13842134030741007,-0.01731893045573939,-0.05927398061581452,-0.04547441524115025,0.017564708394223288,0.047202384200353636,0.12392751674111688,0.07340720676929013,0.08085404848830732,0.03774466785696901,0.1349298561994279,-0.28882664237121186,-0.025095336686701313,0.09363501288693508,-0.007822389536777082,0.0009650795519354285,0.03555893635186313,0.028307739992467374,-0.10727631091055072,-0.03130702964117539,0.026983975350609514,0.1928801455166523,0.007241794057182807
HEBP1,0.007069840311033336,0.036770201833858845,0.004131440975658879,0.04544855309796133,-0.009772410829706398,-0.02728390751912325,-0.010665135918305176,0.028639461185274547,-0.04150573753805226,-0.04320937929405608,-0.1768236019753007,0.06012530430209628,0.038110241226660166,-0.09819316005865548,-0.07810342104450008,-0.033202689246030724,0.04980722087485982,-0.007506904371238997,-0.0018061040417224098,-0.006731826581804341,-0.00529724915043938,-0.008190789661923643,-0.03517570496258457
WNT7B,-0.04032789233816575,-0.020679997814183462,-0.02091264585279511,-0.05652485234819549,0.012668114779589346,-0.03321272706522888,-0.020226695225723387,0.0011065583790395798,-0.060703257283496764,-0.01563037437083947,,-0.07240008955181346,-0.02698067325997131,0.09188004158248995,,-0.03230488304906893,0.07842872755144369,0.0371313253603819,-0.03439693499040014,0.02009517451558425,-0.05224440248893612,0.0745974809159673,-0.014712083070585849
PTMA,-0.061721520895691266,-0.031138329910657014,0.05076299708310809,-0.020244667047316568,0.021379123853839513,-0.08761450706010797,-0.11829729453420787,-0.037442999578724684,0.021146612187350262,-0.007955184238682658,-0.20863857051447302,0.3639216308226994,0.031719076056001376,-0.024865724162177527,-0.07101644047000201,0.037071364548948396,-0.0496931546230427,0.022589004558094893,-0.10778596933872352,0.04083430448608284,-0.0025000059365260447,-0.05394104306787002,-0.01147125243620459
FASLG,-0.043068822099867364,,,,,,,,,,,,,,,,,,,,,,
CEACAM1,0.024892078707539872,,-0.04579915343182302,,-0.03706891218856793,-0.0013135868331890094,,-0.0021929811461364576,-0.0029572653688978577,,,,,-0.06262181087021135,-0.06682330015984644,-0.028971536556966358,0.035102782084164966,0.030369902057099312,0.004590366119502935,-0.005642618853633387,,,
PDAP1,0.12745252452328096,-0.02433319333030274,0.042537563340391896,0.06678066204905889,0.01381593960463833,-0.021991162312032325,-0.06977369863217993,0.020555265772665074,-0.005549105802462733,-0.03667387221869487,-0.0174219660464014,0.17228260782936297,0.020948842246208275,-0.09527020407847357,0.1424792088998715,0.13147274374177162,-0.01769033818001834,-0.023933499327105878,-0.009284235024979486,0.03301438576951495,0.017748500128907947,-0.11900966323768948,0.15896654154246792
QDPR,-0.25881501645142185,-0.011281422681987808,0.08975814582329239,0.04077738765779584,0.013297349864197264,0.046093748089405785,0.07046793702416836,0.004367576128537956,0.07883916000564528,-0.0002985132707866106,-0.09665532314553775,-0.13380227324188854,-0.08579257715854606,-0.12182585353143081,-0.06149981664210253,-0.09014373401765557,-0.015294745554389972,0.07902819040951008,-0.08944712447374167,-0.006639563005115479,0.04689787095949141,0.14184414828825828,-0.07327200118351428
POMC,0.00930098081415218,0.07126026452249502,-0.0007586990824585301,,-0.0016145468066262108,-0.005396414885327625,0.0011040714438424388,0.03337312415314389,-0.026424864360638452,0.0008870703981333529,-0.048114729070199876,-0.03966366045314866,-0.0401483411260356,-0.07243994513218219,-0.07294578492683788,-0.012535877510523829,0.045382770062254704,0.004530991171466357,-0.015319050558528552,0.021148499818773203,,0.0027154966707654262,0.08143802962764014
CCL18,,-0.05822729428974669,-0.033649824243564636,,,,,,,,-0.06643092299146955,,,-0.008585839440857529,,-0.020541295756643402,-0.007037951683270868,-0.03568873703117445,,-0.0670997450506695,,,
CCL17,,,,,0.005014520949973084,,,,-0.008192262603421601,-0.0043540873690150975,,-0.002901442265661174,,,,,-0.02660046998754342,0.08110451629845557,0.02834729830777457,,,,
VEGFD,,0.03587622831389267,0.000396745705806723,,0.05017887690175059,0.044186404597935464,,-0.019596749170975227,-0.030261320542972904,-0.014190540979438629,0.006797629872646837,0.06428296386258117,,-0.06049333956706895,0.04036651334796792,,,-0.012112513932706782,0.03993186643334575,,,,
TNFSF13,,,0.037547690831728736,,-0.014820286010086727,,-0.03156763210049094,,,,,,,,,,-0.015539081657706226,0.0734059779036054,0.09685886950448559,-0.011857921786735769,,-0.02909372144934704,
WNT5A,0.03272635622253328,0.022926906395865827,-0.06457708913647993,-0.09144404358196935,0.06688530135257294,-0.16021487844667187,-0.13449787369186345,-0.016045159236882035,-0.04009799090783118,-0.00843082316051693,0.01741254444156562,0.013228062932937733,0.03073511727778215,0.024147883469550695,-0.05180354156591577,-0.064484443984289,0.07928672354093318,0.029652552048038676,0.06136771801252764,0.09936487304605177,-0.028963814873898226,-0.04124539399022453,-0.016784925137166402
CXCL8,,-0.07313851259991665,-0.00882388173766098,0.05273323707639535,0.032601214479865186,0.05297622679301386,-0.017772205566405373,-0.09646157709871458,-0.04515398324776647,0.029739833902969446,-0.09375306478429048,0.2226003925474565,,0.10421472149491595,-0.038069479467336305,0.2320727171627685,0.044000069981651894,-0.05733527295716407,0.021121874764295945,0.01151215398396239,-0.003925986650060777,-0.07575204226511104,0.04475709318307938
GRN,-0.27157637556787534,-0.07239917215612267,-0.10923021870707415,-0.04953257663757573,-0.03542043341149738,-0.10723678349564292,-0.0942844824164485,-0.020878647392022106,-0.013380223328370603,0.030947105485664577,-0.1664112380272849,-0.10577916303184831,-0.06556312150989022,-0.18814434634748256,-0.04398717081307526,-0.0410010810213094,0.005143305328037876,0.014153992237702464,0.11834428533552077,0.04652708681235694,0.043715103981438526,0.05678795139544251,0.11093985394207856
MIA,0.12203107265911155,-0.02177534643650728,0.06847596750721456,0.07811390749415592,0.009108268102903468,0.02504408742591605,-0.03131012500987526,-0.030772708229787043,0.009211384213146686,-0.016138751864007907,,0.09701610941487518,-0.06622517324104674,0.003542434574472664,0.04738660614355089,-0.009146400146130863,0.05012453716119844,0.054607499558701575,0.022992149893281136,0.17837085297308042,,-0.00962822464289964,
COL4A4,-0.034689665422775844,0.06845458116212344,0.055469934849526344,0.01627312339084394,0.010952831640557565,-0.10755256318210164,-0.030035207272503337,0.05133436546092332,0.02833527590300493,0.025259908568293986,,0.09135444395911342,,,0.07356111212042338,0.05587873219160839,0.034490107573853276,-0.008488674451671185,0.025753881493254686,0.020104745778101726,,-0.06901845727191319,
TAC1,0.12128512700904406,0.021813165453138716,0.15041332993913417,-0.01172777472710447,0.1483089289254507,0.12793250527282193,0.1703898659202688,0.09159354768401909,0.2078381319085615,0.09604966271260483,0.10464290707505036,-0.20613158649940497,,,,,,,,0.00988274768703924,0.1509234097067941,0.20172079393984996,0.23312877718967695
RARRES2,0.25365858539369446,0.041707897973639566,0.09763946475612938,0.10121137609836153,0.01726179978839473,-0.03742616946432233,-0.06073547995919293,-0.042392655577867075,0.047651693112660175,-0.05702468369648799,-0.021840158941726424,0.2934238446788959,0.06786964064430237,-0.09488570987282824,0.22467536498531876,0.07741276465691639,0.03307534154996338,-0.03940983229896283,-0.014033137974529349,0.0009091662712862543,0.10745428569051205,-0.09336041598260361,0.15187485040696022
FGF7,-0.0065710767333540246,-0.059132079919028656,,-0.06816441597202727,0.0027150599821768656,0.048390284914939276,-0.01991050121508607,-0.014229496584077036,-0.03885681730105871,-0.0007027958463977378,0.011338611187639827,0.08063847498762639,0.009003580625711908,-0.009722126249947064,0.028597389697225015,0.01702304508159406,0.011484604011958657,0.006379264101502937,0.022979154935117957,-0.007357384255291076,0.04369668654202884,0.020402391544381213,0.0006153598427415334
EFNA2,,,,,,,,,,,,,,,,,,-0.026463881484268207,,,,,
HBEGF,0.022228276062237484,0.010080521162845654,-0.06248366774879078,0.003434150219143209,-0.0022914872325272753,-0.04731351934934869,-0.054566374413537656,0.013550724748556007,-0.0835977448687963,-0.027959239554403797,-0.045477848432134045,0.1186547813664784,-0.04842480183801198,-0.003748198179818258,0.017372119722177018,-0.01070418558621183,0.044710800626513135,0.03022904908041123,0.02334578789021696,0.04401757557084928,0.10581333431020398,-0.021690182093213103,0.16306426997854265
CSF3,,-0.029052254680699836,,0.07820271866873518,0.05557272051111651,0.06885440648789502,,-0.013495967818991398,,,,,,,,,0.024136700080495826,0.021621002830751534,,-0.028659066258254224,0.03926791848314074,-0.04215170682015781,
PI3,,0.028860345517802227,-0.022728986052406797,0.05193384334013477,0.018335782879082926,0.04399778351900534,,-0.039330919345647815,,,,,,-0.055758639489081135,,,-0.012614161110765182,-0.09331648270042082,0.08410761480326479,0.06995796041001429,,-0.0527743727633114,
PCSK1N,0.21181896564518252,0.08338849055694215,0.07489885483694918,-0.05468133305640149,0.0422450845660837,0.002922577512793991,0.09848366969555448,0.04968946163985995,-0.03500809933542688,0.06445569709411025,0.1547802326769337,-0.2232739327972018,0.023234456649135544,-0.05119124075811631,0.09989180999605599,-0.008848056188721039,0.012201471980742742,0.01665000873634701,0.07941222341326924,0.023521404255161634,0.021226762060676575,0.15662787597556496,0.184745256936748
NTS,,,,,,-0.009346442386325725,-0.026790072021080885,0.060986573261453354,0.001825103339309733,0.014683813404224432,-0.045657267957191765,,,,,,0.027278025526146228,-0.032241217711822576,,0.026888599634615755,,,
SFRP1,-0.08518431584402102,-0.0014092533346118782,0.030412434638139973,,-0.01874701648548164,0.010849472501219783,-0.029364917289008103,-0.010595589548836468,-0.016923239720163793,-0.019346022034999313,0.009570835997732093,0.043694571274027906,0.012967674142520293,-0.04963885446201101,-0.008212733638816496,-0.059608215338052495,0.06838028561196756,0.054772451152574994,-0.05416418231984177,-0.010605449430399748,-0.00937968693383954,-0.03521210254186114,0.06826578355513593
CXCL13,,,,-0.02913356359099204,,-0.007877458353969453,,,,,,,,,,,-0.03651009288010956,0.005863689201793569,,0.07020446549781349,,0.05120277611198615,
MICA,0.032796271474884155,-0.036093607518283416,-0.0637582300659566,-0.02086940656044387,0.04945962247464466,0.05821080507144639,0.06829421243972769,-0.0047091593148354816,-0.020261900803189143,-0.005849454005438971,-0.041442179058197054,0.19972784744758298,0.01620827512453461,0.11294921118929395,-0.01943829353250763,0.04454941546667892,0.02301483680824465,-0.037260348889854425,0.12149442733834534,0.07305133664390678,-0.016486683216147862,0.0321582186746038,0.07378872704124703
TG,0.010622642016917434,-0.006275298653629878,0.09583047029151201,,0.0531973193651802,0.025746183886421043,0.06311452349304256,0.031333783227159906,-0.028615256278402886,-0.014000631993287096,,0.1337183579558309,-0.03140786394250239,-0.08484255194375209,-0.0052485757990882445,-0.033446032002727805,0.058481053472805446,0.07621162333317824,,-0.027334651061198628,,0.0047468703676479245,
ADA,0.13806254182985228,-0.030353612840558375,-0.00785091114882729,-0.0791659349709337,-0.004765525689316896,-0.012131795305509747,-0.01822335460753603,-0.006067700359139503,-0.027452753165611195,-0.009973657763292542,-0.0339460308344101,0.03296740954998249,-0.04481859423488132,-0.05024850740584835,-0.023548726803304748,-0.007173227189650354,0.03845009575273083,0.02829462532585166,0.014237730142403449,-0.04303376926797672,-0.0379832520925899,0.08755426905927154,-0.005666859835776176
LAMC3,0.08905080657441763,0.009308692011830566,-0.045576785713118524,-0.039581893369963914,0.02285508548114818,-0.008249972326185974,0.006221430618586707,0.0058859028003461445,-0.04180201221256197,-0.004723900104648013,0.0019933404150051324,-0.10440543711147379,0.03068857099186699,-0.0969441507478446,-0.11951181023840364,0.05459028734059774,-0.0124810025796023,-0.00020491205261612797,0.07847562789180845,0.024191784443538953,-0.024277025647590097,0.11440673738235563,0.02271370137420179
CCL7,,,-0.005246261454771649,,-0.014626981368400049,0.02438220159695637,,,,,,,,,,,-0.003545019974831216,,,,,-0.06452437832273869,
NGF,,-0.03804923372481343,-0.03753139677814841,,0.003445018900554548,0.056423603338650055,-0.04038693908368322,,,,-0.021408250051564357,,,,-0.07722475472594947,0.08810019635751928,0.06138072100165059,0.035644453707717426,,0.08012686542878193,,0.108347435686688,
