,UKF251,UKF260,UKF269,UKF275,UKF304,UKF313,UKF334,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,-0.013794950592681253,,,,,-0.026672791948048752,0.022998491549579284,,
BMP1,0.053249626713150734,-0.02167167540922728,0.08827730057949644,-0.008511382548670475,0.0253425838455737,0.19166214901365455,0.020556608741208536,0.07674620000831567,0.022413582891098613,0.036380656969040824,0.12489769710209941
NDP,0.013426076813489679,0.13800121371439875,-0.012640497696022964,0.05093940951733251,0.015439236155758861,0.1347144086556865,0.020136961684201683,0.03169242493057561,0.07421463060708494,0.05315239264197975,-0.0017671543914298364
TNFSF18,0.020712013629926238,,-0.020485087494366293,-0.011674764661574738,,,,-0.027507179533596902,-0.007483444858081179,-0.012764491538784728,
IL36G,,,,,,,-0.013552785995619421,,,,
RTN4,-0.004423987820634843,0.13593962138943497,-0.038748868546682365,0.004220561030557081,-0.007386984497347178,-0.10462992700187286,-0.04144880037150171,-0.06350978494607798,0.020342593744900144,-0.045751665526807,0.016408717254749048
HEBP1,0.014769779608288035,-0.029953834236947793,0.049301126940181315,0.0024715298699335675,-0.0012350136707139359,0.0029068868681754864,0.0421735819976355,0.048125775619599985,0.028189518477859134,0.04015391519650282,-0.0240236064246705
WNT7B,-0.01975488731934336,0.07024378196888471,-0.057096874449357675,0.012844614752057112,,0.01530654513322892,-0.014896073651210803,0.023947236302357896,0.02915449428058513,0.07144781468610338,-0.04503256413869014
PTMA,0.02615847057820345,-0.11744641132652148,0.07159719934149014,0.033404798859019036,0.03891185646532434,0.2698501215662817,0.06045375141362971,-0.03331782128451934,-0.04590607519624392,-0.058704320649485185,-0.06910279384389567
FASLG,,,,,,,,,-0.016834311052573193,,
CEACAM1,-0.015160687841131682,-0.017528502998783432,-0.026957208399242916,-0.01836162348633581,,,,0.010847340504772944,-0.02342247131941346,,
PDAP1,0.003172872605315174,-0.050665989985748894,0.01690662091366793,0.017538353844562583,-0.02096001728962121,0.1994402961990303,0.03292305137179084,-0.052053619176208085,0.07132288917842987,0.035008475663032335,0.05697937850013374
QDPR,0.04534959636688126,0.13533351007214062,0.04660952566302932,0.013039287009520567,0.07940952147134904,0.14468912598618755,-0.05093762739855613,0.007962101474254314,-0.025567702740906636,-0.08723478405884191,0.08698417459114147
POMC,0.022304806367179474,0.11662122566386932,-0.03474933612736772,-0.013546473694648937,-0.0057106062727011716,0.05786758486968105,-0.029036989256183126,-0.02890729398671341,-0.0351523487597584,-0.02594656776003348,0.07058348997668913
CCL18,,,,,0.03737354486002463,0.19197328165214989,,,,,
CCL17,,,,-0.01456070453984554,,,-0.0123808547704623,-0.021166909288427013,-0.015258412145755362,,
VEGFD,0.08225242312202709,-0.016770279237674234,-0.00656039488727389,-0.015513199125871216,-0.010490143631159294,0.07195799431216619,-0.013268945533888637,-0.009612469075957973,,,
TNFSF13,,,,,,,,-0.01048999427887479,-0.02486230902359421,0.027940520088352367,
WNT5A,0.017997447391251246,-0.05008510959062689,0.03693818201948942,-0.002181857980348234,0.034995760883407535,0.07237185074207036,0.038696165183201035,-0.027625238533807453,0.03608595851841486,-0.004145124227975748,-0.039230108497015366
CXCL8,-0.004602413335324847,-0.042427259189533516,-0.045952068255490794,-0.01577278418610177,0.01120358672803594,-0.08724477482723757,-0.002672921881137208,-0.04992881454564344,-0.010020933109273227,0.041702238710117884,-0.040025100832055835
GRN,-0.04243866864139799,-0.06199500041815632,0.003160605570298822,-0.016543625612204228,0.047501994707730075,0.028373237056425697,-0.0167772700692309,0.031739736170328624,0.03741576623672766,-0.05147515701490358,-0.09984247510561706
MIA,-0.0021644877198346646,-0.05088682183300689,0.0020363046722413573,-0.02861925738073749,,-0.04836560756546702,0.05930052842837226,0.0704144342653333,-0.042127813234158776,0.037481880417237774,
COL4A4,0.028199843096368922,-0.06740864244585175,-0.013593899876574068,-0.015201826028453276,,,-0.01762793030303105,-0.014621155648974244,0.010248628498929732,0.05314533159408807,
TAC1,-0.040254412054245244,0.13396768461195396,-0.049878724005395274,0.06353350092568522,-0.03523640013999773,,-0.031240381709967353,,0.001121127029555595,-0.05983750684394527,0.182640435464187
RARRES2,-0.008652568306629664,-0.14663919441741433,-0.0022415692548973533,0.052266316905686894,-0.010529528267552315,-0.14817367304840243,0.07367497328731835,0.019877559864474474,0.022924539323156638,0.008500896473228815,0.02141526358489255
FGF7,0.027723301745831243,0.06013063701714474,0.0017418340463208463,0.06344719010565554,-0.003745701504604629,-0.007959667704688176,0.008804018353680741,0.003106552955587569,0.06725889521290107,0.024593243675125928,-0.04512355675102591
HBEGF,-0.0046865740837918855,-0.0690016694707241,0.09507225155724063,-0.06210880441411025,0.07327992711536406,0.1507675688033062,0.006806391043500109,-0.03364243998457569,-0.025013486484741287,0.022140942046736847,0.05628630727146906
CSF3,,-0.014709442928736192,-0.014382084419333712,,,-0.014614440588553029,,,0.036213065052207616,0.11479320953800815,
PI3,,-0.030423417803649287,0.00797246194842582,,,,,-0.029879707379428053,-0.034903373671391354,0.024073937561284578,
PCSK1N,-0.005973593582259322,0.05156273554842212,-0.03911292067187554,0.02649624693735048,-0.052538832923749695,0.03455655253676247,-0.055867220892382885,0.04086160333429031,-0.024542380871914484,-0.04191715114998467,0.1008832951395334
NTS,,-0.05617838850532276,-0.017677311791924548,-0.017366319138439,-0.025854338217508262,,,,-0.02378971021501262,,
SFRP1,0.004825931414323794,0.09534015091510774,0.00544369672901672,-0.03224561130810252,0.053194497352137916,0.10506076610200528,-0.03535282369476438,0.0678168542979704,-0.023236897619463844,-0.005085945476593749,0.03569469190347236
CXCL13,0.008133951205302794,0.019980929122800504,,,,0.05552586337112009,,,,-0.015259637507620128,
MICA,0.019224067364489922,-0.04465942882437564,-0.005549897945311037,0.003851891761682275,0.008188178991511086,0.02185079451315012,-0.005524589354236427,0.001274514840391548,0.06838752345133041,0.02014033889769667,0.023175207444160868
TG,-0.02061548082328322,0.01409244383853471,-0.017357889158161194,-0.014669358795969116,,0.027223998020964344,0.01761183434509463,,0.1728861545398316,-0.01831925680411827,
ADA,-0.0035652865901923537,0.0013564166927262208,0.029171117546086336,0.023473999683168243,0.007115445559718095,0.1672449080106494,0.009766242622865597,0.056589557640849976,0.04439922795883607,0.011542219310871352,0.20437473413760948
LAMC3,0.026990370316083073,0.08515634723992005,0.02793067600416919,-0.027323401729094098,0.022600166700742233,0.11983082045557014,-0.022054473775586204,0.0926268518220556,-0.025256004367774698,-0.03166595462298548,-0.021780439336578233
CCL7,,-0.02513751363431112,,,,,,,-0.01683430506649312,0.014237619793229725,
NGF,,0.00038506926531053746,,,0.0551275274958489,0.17328410625771887,,,0.010716729358898128,0.06725090039359943,
TNFSF15,,0.000927301915333933,,,,-0.011097033458593406,,,-0.033720460489278875,0.031247335609436832,
HMGB1,-0.010406240539742782,-0.021449445538148367,-0.003388840083486004,0.03750806421502054,-0.0661811374745292,0.1624207272418269,0.01533192047473759,-0.009141552854803229,-0.04418304329608241,-0.031476035122642236,0.029610116182450092
ITGB3BP,0.06093488331747667,-0.047641653927715806,0.06595366962458023,0.005410196498536147,-0.016302322333176522,0.07522817606015397,0.06470057903861216,0.020708413610366176,0.03712130698425065,-0.01768832947255158,-0.028665597796436907
AANAT,,0.004838820643909474,-0.012973029353065126,0.028907767893433564,-0.02430689622811151,,-0.0166077324330251,0.06509781350874405,-0.017811396787539416,0.020703456485651636,
RELN,-0.01762186577967522,0.06131604738592848,0.006468655431442274,0.021466159266098038,-0.008832024389217184,,-0.018386193275535916,-0.054399277308381566,,-0.04335090291287874,0.008977160414144746
IL15,-0.026263807170392093,-0.03850538864065024,0.04733932976990303,-0.020791807630855492,-0.0056123877373227245,-0.04010519777221666,-0.015402904234724311,0.033611442409742655,0.027772236497539207,0.07086566295040037,
UTS2,,,-0.04279340913404002,,,,,,,,
BSG,0.07107717708999647,0.013588482512472093,-0.032293313634097376,0.003098360260768594,-0.06720346162847217,-0.05844868557053235,-0.004909876267664304,0.04520296681802724,0.059446704316342296,-0.009864709747223399,0.04298788154100756
ADAMTS3,-0.018717961353897857,-0.020062866815328942,-0.020887549819875444,-0.00283010058512693,-0.03903116384904195,-0.024117813491084338,0.07549483044036069,0.0863356550230423,0.028649717772269784,-0.009529181876004784,
CD34,-0.017614443980280583,-0.00016162888561620627,0.016236996252463973,-0.01862086687064615,-0.04620441940002563,0.18212347713582136,-0.006726672046483448,0.021486936331138167,-0.014197473820146939,0.029091194734880747,-0.03972300112443918
CCL23,,,-0.014761248070921842,,,,,,,,
PLAT,-0.0114440436621924,-0.01594068952868023,0.016356313003181307,-0.03092734880475813,0.0053577435917016554,0.05783689173010241,0.010358866562803742,0.022043497462437243,0.07901762345348354,0.005982669052844507,-0.07602825332158535
NTF3,,,,,,-0.007467762020714649,,,,,
LTA,-0.015160689396889807,,,-0.012705502056198489,,,0.028519106319158615,,-0.02397145583411014,,
CKLF,0.026245821294462585,-0.0653703625703272,0.033778118358495215,-0.0189981865020729,-0.01686494288228861,0.06769446527261257,0.04620214680491421,-0.02903796114038367,0.0387606525887902,0.027568985908346662,0.015725136858904087
APELA,,,,,,-0.03358396493063214,,,,,
CD24,0.05942222510324754,-0.013169089286701036,-0.04136293853591933,0.029975006382127196,-0.004815336581494505,0.19573311385901496,-0.0060269178447907345,-0.022068629146591436,0.033698818964914154,-0.04380730486330932,0.10776439544327969
HSP90AA1,-0.04015858302277134,0.1354389949714273,-0.0027041423153895457,0.02243433036553143,-0.055279600115339035,-0.051145084363821744,-0.04970050039031957,0.0847737450880666,-0.0034709290708775553,0.02349253542688777,0.010261249176965349
BMP4,0.12148775226808195,0.012114437322990923,-0.016671208369331194,0.08494939089337157,-0.024152591012843685,-0.030070073492502344,-0.01312486690823907,0.020772376677822377,0.05396406966591795,0.10119683691795289,
SCGB3A1,,-0.019971335138786885,,,0.0061186042238287,0.033602323690115836,-0.010747944206832274,,0.012535627038602127,0.019436323990164543,
IGFBP4,0.007657663424871161,-0.03157631654879706,0.010031441518073902,-0.017997949640812312,-0.00287892618290997,0.19289464276672222,0.08435659669753381,0.044615411823549174,-0.0012448168457517008,-0.059183740400267956,0.05951389206481069
RSPO4,-0.024508985919494315,-0.023050167193798373,,-0.01477727238263597,,,-0.005523846119016524,,0.021938187375878798,0.038926629677563516,
LEFTY2,-0.015346885729268529,-0.035777422584450026,-0.012072167072292625,0.007092824651424671,-0.025854355240874573,-0.04997284522686128,-0.019014715610950025,0.040970495244925215,0.09252229411156704,0.012881716456199866,
PF4,0.03329918078418855,,,,,,,,0.04772430621671139,-0.02317620647065324,
ANGPTL2,0.032104424024148155,-0.057030961810822775,0.04335081626546237,-0.03199750950168223,0.00220307712093533,-0.07389140181671384,0.06706375450971769,0.006518250358887164,-0.041286261757112246,-0.05200516912554858,-0.050671036323934986
LRIG2,0.0325717492874418,0.0034123881370335066,0.04256063191399168,0.01637033177076136,-0.060620244399409495,0.004934325553127071,0.03947915655990188,-0.0029186971872547404,0.03801256607511453,-0.013461069495263774,0.03450958426588212
ICOSLG,0.018474405316335412,-0.005754932276113831,0.003566957921952596,-0.027717116189478332,0.04875771855027426,0.06576061000760239,-0.03030906389012237,0.08142672093206803,-0.013626549853026042,-0.011303581127242075,-0.009823830859652364
WIF1,,0.04481055385617322,-0.06829687249266622,-0.011403271087897229,0.014627914496449772,,-0.00965445070434155,,,-0.01888538434296268,0.02616893204987022
NPPC,,0.03858499664641761,-0.03492936817023867,0.003554910041259396,-0.06418903121404294,,0.034477870716014575,0.02152153625823457,,-0.03474678595029897,0.07667764838062774
LYZ,-0.009595317602506934,-0.057224605776398804,-0.02329916471177954,-0.037512646413916786,0.04261370514686528,0.014837603091222312,0.061031016919005095,-0.037728919677805325,0.02791600405557965,0.015860980148601246,0.12007055394888544
EREG,,-0.03243705434317181,,,-0.026596575908417176,-0.024634526936637667,,,0.04799180653868329,-0.02668267920002634,
SPTAN1,0.027257886853329645,0.05469156617362048,-0.07309241502470339,0.04400536000785725,-0.10046883625046989,0.02875960276436275,0.010279383812789462,0.03219912339475652,0.0022069851827784966,-0.0007403179021544512,0.04963737201479947
LIPC,-0.020755751915793586,-0.02231635568407594,-0.03393077654905084,-0.007010439634039933,0.0007394100567809493,-0.008559758791550165,-0.024196525142714156,0.030049234939356313,0.011614933640088141,0.018789635706259744,
COL8A1,-0.03706325525711266,-0.08475872893614285,-0.034790896864003676,0.01137656313444548,0.002335721105502682,-0.1392515711579224,0.05361156440899803,-0.004459308558932244,0.049488107023916816,0.057147315788444994,
GSTM2,-0.007948812624709064,0.045589235223384116,0.059912430878683094,-0.0013365217001589573,0.04053072631481986,0.012756463187699553,-0.04280254851302775,-0.05667559640279713,0.017594535175045722,0.021824465802697736,
