,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH916bulk
IGFL3,,,,,-0.014860830185495423,,,,,
BMP1,-0.011475455657392388,0.07948557503321473,0.04803195725708218,0.0005988104877651137,-0.13221498967096576,-0.012994609452242319,-0.02095784031391344,-0.031672421257477386,-0.09424158098500751,-0.011606086442905944
NDP,0.0041182053667512914,0.00020795455937074866,-0.0018649109665006105,0.06811030876281864,0.04513262840236935,0.012454433941828134,0.005567072117472614,-0.016574083870683414,0.02399747629701495,0.06464282975740673
TNFSF18,0.031661829815073116,0.017091012373984988,,-0.024170840616904325,-0.022067886691113106,0.01933686019544377,,,,-0.03210605529678039
IL36G,,,,,,,,,-0.013950283806853042,
RTN4,0.02565928769848565,-0.05241247642817187,0.054378776261711295,0.021546691578471486,0.1355257711900188,0.03038356051036224,0.052555395993560704,0.15916760679096015,0.143950640849007,0.11148405730444005
HEBP1,0.030986810987141376,0.036876003821129606,-0.046978194946563905,0.037308775346192785,-0.03134293098938904,0.020992333900620327,-0.00785922607789476,0.057887124549800335,-0.031212945891802093,0.025875067340556515
WNT7B,0.03611835491065993,0.022085312051834165,-0.02140223929448889,-0.03717899841707929,0.03873758933273843,-0.03102772174055035,-0.017755495440742296,,0.07293254010319583,0.06532581707446124
PTMA,-0.03593081130611596,0.07570625513821164,-0.017033799400273112,-0.009991573984534518,0.05499945585715415,0.06739327868961059,-0.07221621895114509,-0.1465567511179328,-0.15002665307034715,-0.10480715042959723
CEACAM1,-0.01580393568753256,0.009204922540192539,0.07215316428064925,,-0.02904008199266019,0.009385202605662906,,,,
PDAP1,0.04576194267506396,0.05884686091551549,0.04884071258175635,-0.011418705946773548,-0.06992145862227354,0.027219409995134093,0.07420932760111201,0.009418762268141076,-0.04742258217142303,0.06745786969920689
QDPR,0.05118274760278833,-0.024911187750056466,-0.002780759744563505,0.08266539506424335,0.09528176865232334,0.048315343419497614,0.03249526111878541,-0.11470542588934798,0.07188330053455921,0.08950089401775871
POMC,-0.03745709290698404,0.017926198227867715,-0.01012977757714432,-0.01860567003154726,-0.03743427566326223,-0.003016606640131255,0.0047830307064420955,0.0071023488733691215,0.020638414917249714,-0.00890428306546131
CCL18,-0.019721818518551773,,,,,,,-0.08651483879492611,,
CCL17,,,-0.014324221551466752,,,0.03670915962843289,0.029066552884822787,,-0.012743980305983248,
VEGFD,-0.019721824781152864,-0.009289813712810369,0.1464418706663502,,-0.024895876885739722,0.0064010864976311145,0.0018747885124788758,0.08694231054259613,-0.013658118417515932,
TNFSF13,-0.01488272184950288,,-0.00988052744065706,0.05478491034437271,,,,,,-0.014735715577370244
WNT5A,0.003369392735274188,0.08129591028423881,-0.0025284980522508743,-0.01047563690883801,-0.11395610520176697,-0.020997332062658,-0.05021170855474362,0.03346842198003142,-0.051748336617018845,-0.11515172950424311
CXCL8,-0.048895927443583356,-0.012996708800709777,0.0020035276828890493,0.056279360943862954,-0.030758330201969775,-0.05181419689975202,-0.015011552621223744,-0.07959811686512897,-0.04106473599318124,-0.06831042954227562
GRN,0.015574096772924187,0.04123018267058428,0.011674663681975696,-0.0499806725784192,-0.1087025243250837,0.05047948294765566,-0.0014721156483970574,-0.04945664404967525,0.04912090474069039,0.022909512955017492
MIA,0.007398385610937125,-0.02184525350036029,-0.0019229967563947697,0.10562342754697945,-0.04245133298062655,-0.005864332866368842,-0.018332992437805163,,-0.018705419091032773,0.01189870445556333
COL4A4,-0.023685743805620017,0.012177328981863867,-0.03452330839262733,0.01308103809727416,-0.014644245100201512,-0.006388421257618766,-0.010830505397580733,,-0.018144950472485398,-0.05337146791330802
TAC1,0.0061183838966456,-0.03568706482623352,0.0685683555348501,0.07949865524912364,0.14310385436055015,0.061861350580164585,-0.026244851746569174,0.08094804709574445,0.14670975580778178,0.1122501813545735
RARRES2,0.02173060731944492,0.038988732546787655,0.03788751546956891,-0.05568411694236902,-0.14906844497622018,0.04340503557776381,0.035594498532872394,-0.0539216947051936,-0.06537237749237039,-0.002957369734128455
FGF7,,0.04603546058830909,0.024488235729464874,-0.01594590300964311,0.022496492755640005,-0.012593794715872367,-0.03142313446224266,-0.01895771062428803,0.01657770954648597,0.1285314988322739
HBEGF,0.0024761237660920667,0.009713267797249665,-0.06766588227890216,0.013158217384519893,-0.03473145605774517,-0.09799317669602951,-0.013245143182726966,-0.08575980818995932,-0.020593836137315975,-0.061661084260860276
CSF3,,,0.033977772549235306,,-0.015493329449296442,,,,,-0.056140677701034515
PI3,-0.020748184587981264,,0.009479675913271252,,-0.017445693449722428,,,,,-0.02171504591849534
PCSK1N,0.023148712381588873,-0.08437708067831777,0.029623464991847127,0.012340749173969294,0.08576231190964055,-0.024122026810415843,0.018805341332547288,0.14485542581005287,0.16623056954983842,0.12495696660518725
NTS,,,,-0.0006080031397113453,-0.019043165606930017,-0.023310282306692753,-0.01371506205761656,0.040653459129758984,,
SFRP1,0.023995325945610987,0.03198932669745749,-0.012498436986248664,0.09109297935528263,-0.0389572421659126,0.01713678917756417,-0.008489379126642478,-0.01935226123741351,-0.01440020999557201,0.018634273976542153
CXCL13,,0.0027917365755582967,,,,,,,,-0.04553771570471609
MICA,0.002176061608602454,0.0680959911652305,-0.016076014368539428,0.10724275372683285,-0.01815647183776971,0.0717162816879943,0.013714966055179736,0.04978622347479443,-0.0657637263508845,-0.011009257709549596
TG,0.03707791949969907,-0.012840101589308912,-0.013487793688571836,-0.03142668346632143,-0.018699062488483235,-0.019690234416764436,-0.01590417168689791,,-0.019143256632659904,0.11748011486658191
