,UKF243,UKF248,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8812bulk,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,-0.01964878405678314,,,,,-0.020719490976247736,,,
BMP1,0.01700966353819207,-0.02398150450376344,-0.015826905076172376,-0.11389694235351959,0.003167478708461525,-0.02308929321354588,-0.0068525160469385385,-0.15571434456136937,0.010747841408692619,-0.042774608132050286,-0.017245702359215517,-0.02480372697362762
NDP,-0.024392275222345734,0.033892938956852185,-0.0354592094704043,-0.010104390156063996,-0.005416771793215786,0.017518358018281777,-0.01072295902576088,-0.010168422364223,0.013610004669929102,-0.03889926916296385,0.004975780053851604,-0.12056442293729036
TNFSF18,-0.018058803154068402,-0.007913932951023394,0.041147295866154336,-0.029177854451661284,-0.011674764661574738,,,,-0.021367645323311608,0.061458235548971264,-0.04555492366864008,
IL36G,,,,,,,,-0.020676876641003924,,,,
RTN4,0.16727709922891246,0.060610767156603226,0.049900183060609254,0.14064300719655687,0.034976703082333006,-0.016608430267750926,0.12181303314899651,0.2185783401792798,0.003935412767443667,0.059959638638216205,0.13476602895397857,0.028691471154179058
HEBP1,-0.048068726431398444,-0.019434426600208592,-0.03648368744393787,-0.05240450069450025,-0.05315712408001609,0.007578082744163525,-0.07057346850520207,0.029077935016523778,0.011791386678157741,0.1286991177339087,-0.008017144022615713,0.040435978998302244
WNT7B,0.25655180340300926,-0.001898546894935732,0.002750067036649681,0.018753388740349163,-6.866568326840191e-05,0.06106990684164974,,0.15595932417721461,-0.02085220043746524,-0.014528881669896665,0.027752059969088465,-0.04192617542799082
PTMA,-0.019037960656356597,0.05388056932391945,-0.12632626136982417,-0.05745593922507658,0.0440035507012999,-0.025565128439291988,-0.16892630966810435,-0.22649649596947996,0.022925410655403957,-0.017623478165127434,-0.02950562467253745,-0.06571145280597503
CEACAM1,,-0.01950606108559907,,-0.02774082927495928,-0.0031546587905923015,,,,0.035090260985931765,,,
PDAP1,-0.06805044405014385,-0.06566079872918973,-0.022243897883599952,-0.03689575478261838,0.004042235035985889,-0.017391504133831347,-0.009172382776944932,-0.11791982560229387,0.036066500991053206,0.09599209335458349,0.017098360898040198,-0.07598311924717992
QDPR,0.09207328066381039,0.024287481316220053,0.03645983272978152,0.03169359445436911,0.01043594960886547,0.017594693449542256,-0.15245524298040816,0.07717674842236229,0.11255698431526451,0.0048753827617773115,0.0909504082577541,0.026112178137289988
