,MGH258,UKF243,UKF248,UKF251,UKF255,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.0359412553403766,,,,,,,,,,,,
BMP1,-0.013908427220504333,0.03349935761546499,-0.007947035571823175,-0.011814242190509623,-0.023336655250470073,0.0033939692950534974,-0.03466705176598889,-0.21463770795894724,-0.048640975726449334,0.009287096088833494,-0.11558263810994798,-0.22743991354400045,-0.14013426150026234,0.08231263841871746,-0.05147068843962539,-0.03732934114717265,-0.04209011109117158,0.0055064504398384465,-0.007522181109417975,-0.024042529032924375
NDP,-0.026204559118909246,-0.07634858571532371,0.007788739812904861,0.0565256438056951,-0.02912262454383438,0.11350509419831212,0.08753777711729313,-0.03892575600718169,0.05118799627841282,0.09944073057796653,-0.06677850022951069,0.04484874083280144,-0.09091257950918816,0.011794244861291797,0.10743962205921243,0.08593172794252776,-0.04145406566898538,0.039185453761893425,0.009071765521850612,0.0662782023703428
TNFSF18,0.10285754523012139,-0.0019165879267343845,0.0348112904173977,-0.02278756684460223,,,-0.03299762895378734,-0.05337168519440644,-0.02183875645615398,,,,0.06736247666414934,,,,,-0.0892611499063994,-0.0751379720917098,
IL36G,,,,,,,,,,,,-0.03323405987998998,,,,,,,,
RTN4,0.01893202901311834,0.1843339809670256,-0.0441671477844137,-0.016732130844115945,0.007344415149359471,0.14158512973529758,0.1379095203090196,0.32075404914099087,0.09815590897606641,0.10568625237132395,0.30960665634350276,0.35407692989414874,0.12241921818655592,-0.04655311358867534,-0.03760671072438426,-0.02851655004562922,0.14891077604578595,0.061587517883311495,0.27771727339017427,0.055123261770609604
HEBP1,0.045688805585218525,-0.04604381252778374,-0.07202261322350945,0.024373139582092453,-0.1111582233093414,-0.05225540021288847,-0.04705675788082811,-0.10720555355349652,0.009112169977542064,0.007904281504431114,-0.12722499628986442,-0.04165956313879645,0.04162707331880277,0.017721590577336195,0.0712860627928294,0.10281465379101964,-0.01014561997280593,0.021665151835318683,-0.01186531904673545,-0.003426879781377118
WNT7B,0.12220087610904691,0.23702490744011098,0.05908829152031558,-0.009243091380901479,0.05261351791671528,0.01818877958347194,0.0397974170028888,0.27488986895270334,-0.026718703313643736,-0.007932315340450895,,0.15615217920068655,,-0.03139835667390247,0.0636937007579411,0.012491049650032816,0.011295723678977632,0.11646763654596519,0.019952749940832633,0.14225414900793265
PTMA,-0.00043291706891485354,0.016721188330513035,0.06646248748287321,-0.05024252527793148,0.10225792140280882,-0.12741824383493125,-0.12803860195846653,0.07141201304420315,0.08513519845935032,-0.13665635435695955,-0.4404626328843777,-0.3126715291425103,0.019010173369842485,-0.09075162949338457,-0.088022249640842,0.0029299862433365582,-0.04839984521052418,-0.03113867071117324,0.01673183708027242,-0.11072617173222875
FASLG,0.09745504111942771,,,,,,,,,,,,,,,,,,,
CEACAM1,-0.022889771864288835,,-0.02149334777653237,0.03271819575762712,,0.0010227408027137024,,-0.07023409789194605,0.01482400232393758,,,,-0.006679888793313631,0.12233990943158887,-0.03178685442841009,-0.018951358950074076,-0.04516173196202334,,,
PDAP1,0.005533837790678531,-0.18346222383640234,0.0046392367183822275,-0.05652914627079375,0.018396623596255917,-0.10187629654606449,-0.034002446812639225,-0.16243890851630866,-0.02599618584272339,0.02174970417576816,0.023816284666469702,-0.21186755524054568,0.05307167304218086,-0.03510609003905209,-0.05145553488482388,-0.09327621997300307,0.04522216318687199,0.018002025484051973,-0.05223781628619494,0.08611498490195449
QDPR,-0.036478562027956137,0.09407629998433072,0.06256858320835666,0.053728489460102544,0.056921126656228865,0.12022127070717384,0.03464010897844872,0.0337316808457054,0.0566034918268535,0.03494829643592291,-0.28625226831007056,0.0834103362507981,0.03351417660576625,-0.12901612699620432,0.09376262928592076,0.0633677174962867,0.06382318801320032,-0.085332716250762,0.1692098815294115,-0.04435441061217922
POMC,0.04286277123820487,0.03339318500472076,0.03261449658460466,0.06997467817819117,,0.09005104236361784,0.04428343384086355,0.0016955325629937395,-0.002686610114710904,0.026878575346194495,-0.038323522422123724,0.10727700386217194,-0.09876960700921918,-0.024643781935908528,0.09365050718490794,0.015843524612231947,-0.05721245483487265,,-0.06725455988798598,-0.03557383399778535
CCL18,,-0.0480236505183794,-0.044286075527409936,,,,,,,,-0.14583312974492998,,,-0.01996487434210964,0.03774636129009625,0.01723822452994206,-0.11985836153229941,,,
CCL17,,,,,,,,,0.01360438017253423,-0.022223860810287994,,-0.01188437303373207,,,-0.043855976024544926,0.01268736254213681,,,,
VEGFD,,-0.05410861755334131,-0.032089499568060925,-0.003936438646465875,,-0.028866400744079344,,-0.015862605718306198,0.02967720018183227,0.0010193744238116305,0.05460013014039448,-0.024086598578938894,-0.06290369974410587,,,0.03924373509574315,,,,
TNFSF13,,,0.016031419674830513,,,,0.04542885341260528,,,,,,,,-0.018831060506045917,0.02615486369574535,-0.008405901979341155,,0.0582799264196505,
WNT5A,0.02387515162953139,-0.0793914712769475,-0.04368436799611604,-0.014468331458036936,0.009424681386430591,-0.03464339416705657,-0.07017834870081384,-0.1920193225587641,-0.025170839521881854,-0.027503907336259025,0.05220186869879613,-0.08201724334893862,-0.05479482033369062,0.07139394231015525,-0.02403095407328611,0.005675574945000938,0.024154483786486627,0.07965015779134371,-0.10976747621347713,0.06465719143036312
CXCL8,,-0.13475895475478034,-0.1285084813459321,-0.011285436420860225,-0.05284554745258932,-0.0865482476623724,-0.010760691537446626,-0.025122605531873614,-0.04007719656341367,-0.03240723458783108,-0.14497556101298262,-0.12255317311618073,-0.05984813042671784,-0.03515130461365135,-0.0854633263646889,-0.11599526161278136,-0.08269191085144358,0.042058845553875915,-0.14770653904831757,0.03449935667840614
GRN,-0.04399341892399961,-0.01307870811855745,-0.09320501033392804,-0.0028487352100659436,-0.015407045456207065,-0.1399572351048379,-0.08692100781613721,-0.25254751254793006,-0.03798875873566065,-0.07489894611083857,-0.282765917103648,-0.000287303233906265,0.1018281594196795,0.056880049718063756,-0.03149053609652435,-0.05422396860298561,-0.1350192859116529,-0.040203331327278685,0.10108254743538607,0.1331580664652772
MIA,0.020659963381886824,-0.011752443415239766,-0.015412331041824929,0.02530436581406238,-0.07415566011144198,-0.02948698971557797,0.022904067240102854,-0.08442790639749018,-0.013394848387190437,-0.07047106586661071,,-0.04610506963633047,0.040683501557226213,-0.0032908552331396787,0.21574520831206226,0.16580345909810615,0.02018575914679622,,-0.11750385923767727,
