,UKF248,UKF255,UKF266,UKF269,UKF304,ZH8811Bbulk
IGFL3,,,,-0.011604199514662294,,
BMP1,0.026657776546656752,0.043302791019430735,0.11266259416882764,-0.060588793675923056,-0.06555373157832924,-0.02551881717249538
NDP,0.025107192919096417,0.17108825569598615,0.041501579115762605,-0.01375239406707222,-0.09208962416372078,0.04293947796911727
TNFSF18,0.017960887910796974,,0.035389639536097695,-0.017231887911657747,,
RTN4,0.01805923681012389,0.0537999502152876,-0.0907077742689811,0.07880030218313189,0.12872135301171467,-0.08235763003461118
HEBP1,-0.01163874584725754,-0.0757828085445151,0.039191505132449365,0.002995626901865939,-0.05820188566209263,-0.03823752412364989
WNT7B,0.01427548309359117,0.07154731777121792,0.026862003959933524,-0.018999921058663053,,-0.030854031554295436
PTMA,0.05378443722031344,0.08302696212830518,0.1784568710332356,-0.01246756555981676,-0.20116285794077607,0.013511326009038883
CEACAM1,0.010219975796737888,,,-0.022676183036792183,,0.03998743962137501
PDAP1,0.04363542341366313,0.008380162175792877,0.11307724386293135,-0.07302733292248126,-0.048743155877946615,-0.024081489418876317
QDPR,0.03507226072817036,0.06453002475494844,-0.05683322197337264,0.0946315613612549,-0.17327041475024813,0.062185309745977024
POMC,-0.009702300514164855,,-0.042193465339323354,-0.029230857096216832,-0.022779329265883674,-0.03501628523403217
CCL18,-0.02658320618592448,,,,-0.04509291125675343,-0.03650041896621912
CCL17,,,,,,-0.02157742633190287
VEGFD,0.06180930641354003,,,-0.01944014694122299,-0.0049890854525495255,0.012358729054688369
TNFSF13,0.04657325364555993,,0.018702301747103585,,,-0.023453924714042416
WNT5A,0.004956116405869782,0.0781269627929309,0.16231086026104075,-0.08898354695996849,0.037286174428353476,0.008236931053474037
CXCL8,-0.006941833521569759,-0.07397193493941204,0.14018185666733865,-0.026377148780741527,-0.016212030931138093,-0.036121634886917456
GRN,0.02416637380315842,0.07500979204932766,0.05221613625795551,-0.06600008576647468,-0.07423149851731789,-0.06704702738515711
MIA,0.030611894505733248,0.02419253453008927,-0.026906220064412224,-0.03314846690404675,,0.11919086891320421
COL4A4,0.012271512446628125,0.05722566613127089,0.022004108738346382,-0.01143507729805129,,-0.023933031436183687
TAC1,0.04888264863137783,0.11831511091459249,-0.07939197830555536,0.0741798052569577,0.13815350454686778,
RARRES2,0.024244946681823025,-0.05705835247897421,0.03469990869334086,-0.09410940882086352,-0.020118532013055173,-0.04260357140705899
FGF7,,-0.022185447836190586,0.06715328145308813,0.02143760877009182,0.0022347455046843718,-0.005193398674398244
EFNA2,,,,,,-0.014206448096942725
HBEGF,0.05279383904257943,0.017977787178655173,0.08010928124438502,-0.023853827752426084,-0.10284613885017453,0.05440355295212279
CSF3,,-0.03440507465431605,,-0.01209809168343142,,-0.06713491587586566
PI3,-0.02796665370219767,-0.03847380232961037,,-0.013622610913070413,,-0.09590521496242789
PCSK1N,0.016015395191517227,0.09970900950653491,-0.03109664578718001,0.04795922404921148,0.15076717646426485,-0.004309296339248659
NTS,,,0.03935247949426736,-0.014870009974897243,-0.02295568534786406,-0.0173078611418934
SFRP1,-0.019979066104091687,,0.036393315563507174,0.020278779124094166,-0.05286717357129949,0.04113693705279466
CXCL13,,-0.02498215510353385,,,,-0.03650041499395148
MICA,0.0419055826379989,0.05746028554751349,0.02472286450012453,-0.07010403948070794,-0.018417757642580218,-0.022592249886486553
TG,0.023313956068704487,,0.04833622023013816,-0.014601314270132965,,0.056767873785444574
ADA,0.0855012796062095,0.007939159048466942,0.03492697316846189,-0.06676709707648988,-0.09860906513448636,0.1278587503650108
LAMC3,0.03744152796553606,0.12126822123104491,0.11192314647682798,-0.033917555321089206,-0.04495333464203642,0.06295268180698048
CCL7,-0.016909164824099047,,,,,
NGF,-0.02903219630930392,,-0.017945697285039235,,0.06916474422229078,-0.014015489533797785
TNFSF15,,,0.028953091025961677,,,
HMGB1,0.0012375642762467404,0.02882771696401535,0.10462670009976151,-0.04601590763002539,-0.06515777880017133,-0.06336646899748544
ITGB3BP,0.02460960309266977,0.05497387971389796,0.08759081230899884,-0.02259661979607313,-0.009588123975328927,-0.004455258471457158
AANAT,0.030464272638422947,,,-0.010912806096051268,-0.021581734442456275,0.10775838093959472
RELN,-0.05296292099410084,0.01561225500116056,-0.0036365049649564173,-0.032021597088359256,0.031318190120855134,
IL15,0.04879894786160778,,0.034818696664839326,-0.028465045221232093,-0.04422579449246179,-0.034660813080582276
UTS2,,,,-0.03599746546156015,,
BSG,0.0630550821580391,0.09086985427927419,0.09493898499221931,-0.042931986978824756,0.0585598234417034,-7.120967531769211e-05
ADAMTS3,-0.01947740792403177,,0.021720396577967784,-0.0778757224373446,0.015584486148645953,0.03407284567499034
CD34,0.04515109641458739,0.07514125493667301,0.08552733029187339,-0.05852076466763071,0.04478071274030066,-0.008250592678058742
CCL23,,,,-0.012417041043356702,,
PLAT,0.03447163212812232,0.0696390775773114,0.1133243769688122,-0.06849106276598244,-0.013480884411516137,0.05988318354266514
NTF3,,,,,,-0.0270369346730659
CKLF,0.04171704601674944,-0.05019322237760846,0.09361712598233124,-0.013147912549493672,-0.08971513531434548,0.014626653444131409
CD24,-0.01606349836231958,-0.043211419738506326,0.1466823788374853,-0.03479416530409112,0.05236145213637875,0.010606965121835886
HSP90AA1,0.025450662378757188,-0.02553223495944197,-0.12746533835807997,0.10029633167144088,0.1543341122855555,-0.10089960783593886
BMP4,0.012083773904677603,0.04199226188595464,0.13291696557209054,0.01804229818321855,0.07773553799225673,0.006311693324960225
SCGB3A1,-0.016909163133205157,-0.021773684220067386,0.04803892938812758,,0.04874150017224161,-0.02719479240866621
IGFBP4,0.05295474120088559,0.07133804952353466,0.08396721512837427,-0.05613246699431031,-0.04136346676081154,-0.015625579311258193
LEFTY2,0.010989579456314309,0.02821042960690929,0.11117301035533318,-0.06866817715825173,-0.02295570046265978,-0.016334862879377708
PF4,0.06052310654124074,,,,,-0.013021193239069289
ANGPTL2,-0.011483663936380865,0.04820465756484521,0.1340913761081352,-0.026645986453765206,-0.09209555652349495,0.037872827463974634
LRIG2,-0.013432011174712787,0.040403432434394926,0.061197945452440915,0.00621767370468544,0.08728863547394108,0.013937012752545044
