,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,,,-0.028091841396082246,,,,,-0.01611380682033905,,
BMP1,-0.030985078204904034,0.021717890492587454,-0.04455919185802344,-0.0006647346686456662,0.007769591344372466,0.08682798043396785,-0.04520987774548427,0.0008568127400344467,-0.05621082907703171,-0.08343761968378813,0.045888574330426056,0.02349403252528918,-0.05867623722930571
NDP,0.042530915785190804,0.02154535884995313,-0.04284140188230119,-0.0018859956540888433,-0.025186091887877383,0.05019432708389872,0.08240855599694305,-0.014292408905383823,0.06294817189422337,-0.06861485223912726,0.014079773170561522,-0.03967677286329164,0.009755514207865537
TNFSF18,-0.0102454631930641,0.06125095910237853,,,-0.02669272080191242,0.022370351732229798,-0.014682541663182561,,,,-0.01661788454842239,,0.03985893898236482
IL36G,,,,,,,,,,-0.016478480710404662,,,
RTN4,0.0014199813062483586,0.005410011997798019,-0.05457697427847117,-0.05500116326818531,0.02401096006491948,-0.10801163293422626,0.1174200330083024,0.017932571235874807,0.08360899624781198,0.14329740306223773,-0.05007479634419519,-0.05348571201080503,0.10765078972931635
HEBP1,-0.013209763924677369,-0.03958931598656697,0.048903987725451174,0.04094321673883861,0.0588058455834975,0.06396136755592552,0.003514448994675445,0.05013577073852936,-0.07134343144139904,0.00952385498049732,0.024366731762268428,0.03998287848485271,0.013817304071230349
WNT7B,-0.01731231121630613,0.034978177974652046,0.02739023666435586,0.06033608596358326,0.03283352248067812,-0.02703772666047514,-0.03560293645148172,0.005174680557104964,,0.01931180414856312,-0.0347493409426307,-0.019769039522968733,0.06747610885606023
PTMA,0.024732386302308985,0.018489339010712286,0.03718238686836656,-0.04446191867450161,-0.06781176561028415,-0.07092901467092032,0.0424178534680974,0.06844179881177719,-0.1284389821359476,-0.147804289767565,-0.055710887783674876,0.0019727115247091917,-0.059075820602757935
CEACAM1,-0.01580393568753256,-0.007158146414305405,0.031771106209514934,-0.0020316757707383253,,0.06730982893955206,-0.010645405551156065,,,,-0.0026524846012408267,0.09901863867735892,
PDAP1,-0.0253373722666126,0.07682367554490423,0.04381444250455906,-0.045246452496350564,-0.052041639676382,0.05641363710197647,0.0648838368801834,0.027179188953017897,0.030412567539745583,-0.06599466742907452,-0.008455066415575373,0.06432147800040126,-0.010560909147431229
QDPR,0.04107888275154026,-0.01959207610127524,-0.005029958110024111,0.04591372042257712,0.13219111072195583,-0.1374049348647204,0.023719227926253816,0.07134289424335895,-0.04544066662739315,0.002544769137713831,-0.061395467470065475,0.04809395684593489,0.14087933495452637
