,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
TNFSF4,0.011355538363453365,0.035129380805897156,0.05309844084142086,0.03436551687065056,0.03268621249868843,-0.03750291897721766,-0.021323804207678772,0.03408879866395381,0.058394190067138446,-0.02513467582285724,0.051287259383422365,-0.04065134033383096,-0.0419985095114258,0.0008604414187277516,-0.0063793386536115165,0.03679082837560285,0.04764731356025465,0.008487034297016593,0.02629586331352198,-0.025765477600476802,-0.003408411516334238,0.05037343572891424
RBP4,,0.11657861894724161,0.031337529602555744,-0.007256868711578529,-0.008866108084390775,0.035595567444175726,-0.013368316632729646,-0.07487855489404806,-0.05809184236890221,0.0444246876754957,0.09104503150935249,-0.027875776113385112,0.051627461346203135,-0.00015613370428914033,,-0.014439682680102274,0.11748726449318003,0.09060073322032618,-0.017294451872093393,0.03536656258982143,0.03661115262054177,-0.09740280500622465
DKK3,-0.017240359564853924,0.06685989550246581,-0.025699372222073653,0.0016619896947268097,-0.05326117866009735,-0.004349675196812742,-0.03349940506026523,-0.088055062870382,-0.088582425258998,-0.030587982925302612,-0.08935936608029862,-0.08200963625273602,0.02610511720637804,-0.09629902747469359,-0.00833943196202337,-0.003258470862752807,0.05530550659405378,0.10358102624971988,0.06348014953092546,0.0007469419396418994,0.02105867399026403,-0.11337077195771618
COL11A1,0.042775917313896815,,0.01568376990249407,-0.011477394240508252,-0.026378598197631553,0.0056527481851526935,0.04783933667248087,-0.023123106352988396,0.04699082140378367,0.008271208693328539,-0.011756037203537783,-0.024650675450308777,0.03420889461487577,0.06663251073634573,,0.061164383158309896,-0.017958993167426295,-0.05852950665505444,0.007597649354975812,-0.018359143391391077,0.002989817572011452,0.12393138480317747
COL5A1,-0.007006977109497955,-0.047923473430577436,-0.03252514855060183,-0.02308218168375698,0.007471159206797991,-0.021085282978312855,0.07755450238559558,0.08907296604657722,0.09939908381529605,0.0038029063730550625,-0.014633556669661247,0.09826356292703052,0.03986595852324339,-0.004651431292656838,-0.05481600467956188,0.08685121246648844,-0.07123385734954532,-0.11521702164275352,0.08992630458974403,0.01516914576875124,-0.057419783907991566,0.0013151115730576615
KISS1,,,,0.01186719312610643,-0.010655298513464953,,,,,,,-0.02408043017128411,,0.057184866520203964,,,-0.006572316112136006,0.006181605653522479,,0.052075098277733115,,
MEGF10,-0.026098465281678352,0.039094012631764735,-0.013159456344282547,-0.013722350771192762,-0.015238975990163826,-0.028567372729819435,-0.05152965258249279,-0.014776435868387287,-0.035616346581845364,0.032298909122641745,0.06257693211150753,0.052634079447171835,-0.0697595727071189,-0.06461488403886284,0.06333071324859123,-0.0065089353639094915,0.05125650244389128,0.09433080209115438,0.00947389153272413,-0.040962046227741356,0.09688883002282928,0.08529304626876894
CEACAM1,0.08961498312453343,,0.015542878792498802,-0.020694982580961526,-0.02629554966735933,-0.01943464087256544,,0.037872041502096,-0.004747831719873793,,,,,-0.023006415808370307,0.05146598121362555,-0.007486564704006541,-0.032492655072196654,0.012138684363021086,0.001126562564226498,-0.017106069047047156,0.02901405695253767,
EFEMP2,0.033365316041747264,0.0827588779627192,0.004983092086204036,-0.07988900709736381,-0.02638247762965155,-0.0742222066359746,0.017846800104130145,0.08430363767136692,0.020926799038827056,0.01985314781206949,-0.0943574955387541,0.01371435162970901,0.05583282809669398,0.13713475090317703,-0.0432826537641776,0.04721504055942413,-0.05969196171407243,-0.08271091908926644,0.13097328853619916,0.028837173085114586,-0.04037509819132679,0.1267375720996276
IGF1,0.01097632322797779,-0.008241590187955077,0.05388933929560259,0.005061805612747433,0.0226340338390301,1.8670038053459363e-05,-0.027216234792132296,0.04037210910152718,-0.016401402932148635,0.036672457487830074,0.0163929687057997,-0.043444780951851156,0.04212933611879889,-0.05190543978617462,0.09176284766641142,0.04820394671005112,0.03748715893837435,-0.014174876880048518,0.010912011040788329,0.03557486493816128,-0.03247048685791886,0.03938921035775447
