,UKF248,UKF269,UKF275,UKF296,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,0.09245994284353944,,,,,,,-0.021305657592703642
BMP1,-0.015584994847300998,0.12841721849517215,0.032447046735577065,0.0006374737170176339,0.05554654756133008,0.018723604854332734,0.021413361116000933,-0.009004697395729205,-0.053435600597772755
NDP,0.04275715421534278,0.01964145205181955,-0.050356257813807086,-0.010313872879992683,0.0562494620169861,0.06618130689885514,0.02801908418202384,-0.01291553350433981,0.03529967706365234
TNFSF18,0.026654260547846084,0.0910681699199313,-0.011674764661574738,,,,,,0.08299985608966044
IL36G,,,,,-0.01631018458150657,,,,
RTN4,0.004573725633431414,-0.12320825581870712,0.006050161546722799,-0.05313912409850779,-0.06484676379870284,0.061528528188623643,-0.07793537694364187,-0.010042078541569344,-0.029125732564679496
HEBP1,0.027041485283325353,0.07353012075323945,-0.053122770815535625,-0.024501171837232025,0.006072752083331587,-0.004572735361424825,0.04961375491716133,0.0480278393194694,0.014844106905640841
WNT7B,0.022879724686630225,-0.03994052084673747,0.03984463001022065,0.002779099287959391,0.07545472242566179,-0.018736367741123448,0.05685015997582289,0.0060221103278208735,-0.04547513018877623
PTMA,0.05801227395683246,-0.05919912346112296,0.0026785205817790236,0.03707794785401274,-0.0004076266767838326,-0.015541610576812592,-0.04202685683969679,-0.015480334872885774,-0.008657459291156204
FASLG,,,,,,,,,-0.018478389561621754
CEACAM1,0.033463447838607004,-0.012969151445327056,-0.01836162348633581,,,-0.01821210737490298,0.017129791109392133,-0.016034982149125996,-0.025709965093574635
PDAP1,0.00018689155224907642,0.10473389512046075,0.028070933149336535,-0.021845709357680595,0.05744831106756191,-0.02723620640319175,0.040132520988372056,-0.0280043063483713,0.06080998659965993
QDPR,-0.03711533754241773,-0.12897998038761282,0.017882721490256152,0.005477335398999873,-0.038060214689748496,0.003024135721895794,0.012893696999104146,0.011018429174920207,-0.01934680672642183
POMC,-0.025233451045647597,-0.02529691338821474,-0.013546473694648937,-0.02775189721989469,0.054803631600986155,-0.021567966842278123,0.011177715022156028,0.060062352658608986,0.014791761935614505
CCL18,-0.030614399365116614,,,,,0.06331128493085277,0.07213563468632109,0.029201138465302066,
CCL17,,,-0.01456070453984554,-0.019198430892926076,-0.014899816661189526,-0.012920608691718637,-0.030954215978984328,,-0.016748584651936266
VEGFD,-0.007096276692438214,-0.014325823793568435,-0.015513199125871216,-0.014082281234755823,-0.01596859501283593,,-0.021442930241747662,,
TNFSF13,0.035930503994531196,,,,,0.02879184336563283,0.0416723570463135,0.12898784748057093,-0.0272904207427707
