,UKF243,UKF255,UKF334
BMP1,-0.11176266711867147,-0.022290830424377447,0.032479507920213285
NDP,0.03413033969240036,-0.036063348935255035,0.018939052935426234
TNFSF18,-0.03121402410720421,,
IL36G,,,0.030184701882776315
RTN4,0.003323635801962185,-0.06246463700936237,-0.04197040009291963
HEBP1,-0.04703242445020412,0.013421883730356035,0.01578755563147174
WNT7B,-0.021735652246077954,0.00770476734027691,-0.016173007518399497
PTMA,0.07458912267084085,-0.08735279706824238,0.037610932961983326
PDAP1,0.029129792757032688,0.052425199504063304,0.048967598515268385
QDPR,-0.04011796521292594,-0.02875168363517774,-0.025729014084745296
POMC,-0.04870452905864605,,-0.03152612269165057
CCL18,-0.014262225591678841,,
CCL17,,,0.011205899340353175
VEGFD,0.0064086769754523555,,-0.014406397343730306
WNT5A,0.06720896110470277,-0.034788701644574455,-0.0076506911312793704
CXCL8,-0.06239472319249164,0.11687107849252755,0.202528316663276
GRN,-0.058161383771905086,-0.05573548273754146,0.033646192690811046
MIA,-0.0725123140232224,-0.020562836482872434,-0.0022456570996039517
COL4A4,0.019180258564953617,0.05139950509004581,0.033500231379688626
TAC1,-0.05946428671124565,-0.046770888639391724,-0.03391839622328288
RARRES2,0.055200547251194866,0.1596545193003701,0.004491319091413177
FGF7,0.003286497154001,-0.021741092183651726,0.07278902112354327
HBEGF,0.014646712889252596,0.07370798959349022,0.08061284516004105
CSF3,0.0035356768484733994,-0.03440506922321159,
PI3,0.008902166666536135,0.11727981096256407,
PCSK1N,0.006519967800491115,-0.0914440407525445,-0.0460583004453089
SFRP1,-0.035982328659756216,,0.0347313786108919
CXCL13,,-0.024982151159909392,
MICA,0.025817792191955898,0.04526741149602304,0.05251195823981402
TG,-0.006913053026081408,,-0.020192046449781596
ADA,-0.055971978161157565,0.024031998690565704,-0.06153109593397271
LAMC3,-0.046185241185452613,-0.006691468730582359,0.028843552279280427
NGF,-0.006066267032688277,,
TNFSF15,-0.03384059473181651,,
HMGB1,-0.03047910116806092,-0.10499972542641597,-0.03545471287198479
ITGB3BP,-0.03538901914134293,0.010146249758949354,-0.00670318012925185
AANAT,-0.022747948495077608,,0.05888457157453471
RELN,-0.03471093145675057,0.07707135288192174,-0.019962310139076022
IL15,-0.0002394014586799119,,-0.016723285063318355
BSG,0.17413649708297338,0.01064681346815651,0.06177102946676748
ADAMTS3,0.05024140104011369,,-0.027788702463036927
CD34,-0.03274152209631621,-0.057047390748337014,-0.029400507369412823
