,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.026789154659725763,,,,,,,0.03413191662730561,,0.02792829609322966,
BMP1,0.016199966673655756,0.01306789268804694,0.06024950859256532,-0.000843161716142769,0.0392410338350144,0.029819037733059665,0.12571346792113774,-0.01097280884188927,0.0048218856736046735,0.06189095180622778,0.03663657461389951,0.06152608887216898,-0.047291257200815694,-0.06150024511493573,-0.05149117397498551,-0.042864982766188955,0.03489627374280547
NDP,-0.014257244407417878,0.009094157158640388,-0.034862518812431215,-0.03075277110181832,-0.07072299449337362,-0.0036407507785880234,0.013896440211753763,-0.006484271563563186,0.07426658179112501,0.050633297130369924,0.11334854437189851,0.01898027143786584,0.07136876581459822,0.004455611142598547,-0.010930773222137237,0.12038167897546309,0.08932510273142753
TNFSF18,0.09924685507211715,-0.020587309752838737,-0.024548849186180194,,,0.017667591315333363,0.19489026505293053,-0.030956933700014937,,,-0.010181532326634535,,,-0.019900368363958594,,0.025956246359471507,-0.006721316584566344
RTN4,-0.08402010822194235,-0.0063517245042180445,-0.006684978727733999,-0.02046413404938521,-0.06384387207824416,-0.021557159871704423,-0.14828391730208854,0.011732291561336023,-0.05078385690164491,0.045042472839941575,-0.026347734195225993,-0.05137377042426293,-0.051919230591230846,0.028367274601951056,0.09388107249904742,-0.01763011893439823,-0.058400138098606114
HEBP1,0.0037084436054461876,0.044263763197210065,-0.004320056500908429,-0.011636115546415238,0.03171483257899207,0.07849381909072146,0.05913019507952748,0.025822335972488692,0.029259644303860622,0.07390830669806864,-0.025929657835010677,-0.013725550085997972,0.06046700739294389,0.07042975320364785,0.010503216128313536,0.0970785546771861,0.05005529790807684
WNT7B,-0.056650032664626274,0.047470067516507404,0.027787366279444215,0.00015814144313572353,0.0827910765164699,0.05001409475391234,-0.034800179272961126,0.011873587507528418,-0.052484380668881774,-0.05908593234613445,,-0.01082412584605757,0.01784776687334891,0.03718969118146778,0.02125566473663037,0.0024025086574609228,0.03094720548933665
PTMA,0.028482141411055206,0.04277767116795053,0.042431550411084845,-0.03878412553063852,0.0040881471320316125,0.052331444474123266,-0.09671985738688148,-0.03312856142516456,0.08994674854752607,-0.04808402770402786,-0.09578677991433257,-0.1116607988113852,-0.07997340176639982,0.012540266367747875,-0.039232530739162094,-0.09863909805030711,-0.036272343119562456
FASLG,,,,,,,,,,,,,,,,-0.03038366903336901,
CEACAM1,,-0.019877315218585618,-0.011702678155642653,-0.03585372937388557,-0.0217870223064645,,0.16993214871660156,-0.019287602167257844,,-0.04449318874528668,-0.03526147866871619,-0.03008837353256194,-0.021899049839135255,-0.02859475171243073,-0.025640814653691314,0.11400931705249305,
PDAP1,0.07046482956703848,0.03132492409492845,0.002559539148861013,-0.016965370909610845,-0.04566223694870156,-0.012809009593408993,0.12649947193348313,-0.03341429758826334,0.0036844057594597555,-0.08395648736524675,-0.001483795271189979,0.0024971474990509914,-0.05802093387597626,0.02940957454849831,-0.03295937328676178,-0.0019913453442358332,0.004160164408114004
QDPR,0.027555262601761468,0.05249522331567949,0.0025457870555511577,-0.02233781989491204,-0.014085708724149874,-0.036172378574433936,-0.21873107384309023,-0.011612884104934999,0.04019171523194197,0.03353498129656463,-0.029496175872437812,0.0010766574811570254,0.040179509901350115,0.02518630699803169,0.012487443049017981,0.06689174216687599,-0.0095489970903375
POMC,-0.02606995634089636,-0.004030804484769041,-0.020793792006905464,0.04591703956569419,-0.035519627911309026,-0.019636589754391698,-0.031921777165753576,0.014215121251176716,0.057971020798822256,0.1061082145038279,0.0035986621270343933,-0.014680138833257863,0.021905917627861513,-0.021776580538877096,0.05120391880154335,0.06573165893858166,-0.016988650414339928
CCL18,-0.006170008807657824,-0.024805011304003713,,,,,,,,-0.038150583250902204,,0.09436374546940669,-0.028052072621652154,,-0.06519459558444575,,
CCL17,,,,0.03693811194332488,,,,-0.0235221074478432,-0.019890059142201412,,,-0.02134624470313765,-0.012523088488587155,-0.025441612734953212,,-0.027539383296621728,
VEGFD,-0.028523668971734646,-0.010143742069199881,0.06002876305477872,0.04584771619647739,-0.020844589401742167,,-0.04487902007873856,0.044841227989908646,-0.03960362898229576,-0.04298089655645299,-0.04793720753614765,,0.012769774420659727,-0.026833048898935744,,,
TNFSF13,,-6.68523695078404e-05,,0.012314749212859473,,-0.011844246836053512,,,,,,0.046504061616176,0.027517929037857422,-0.02728283946974606,-0.028792916343691338,-0.04487312646291889,-0.025217724809852234
WNT5A,0.07103921027880948,0.04366924690914401,0.003872390303039049,-0.05805038116228567,-0.01810726060140282,0.050269681003527716,0.13616246246194952,0.10396748933580263,0.07077226519402874,0.016874631358622976,0.048806211589178965,-0.006549902202346951,0.01806121084129834,0.043511000313908914,0.0037428491853959828,-0.0023781823348578367,-0.04234877383099959
CXCL8,-0.015255001458428464,-0.08384070831486834,-0.0156946984849002,0.00708156123235187,-0.04839956866936297,-0.01684767291643769,0.09969003362749537,0.01710800973893598,0.07976733854401076,-0.024385758186518742,-0.06811661169820196,-0.06926790044703968,-0.1798019258833453,-0.02074223497939755,-0.023715166279251708,-0.0029348451067380747,-0.015756195380148694
GRN,-0.01086440595067213,0.057938543718561754,-0.000938933617079589,0.024427181980785494,-0.026523569334570726,0.03617306461201117,0.12538293240966467,0.06560281029528989,0.01994675619824044,0.06745858202172474,0.06693752958776711,0.01524014606510896,-0.04503415286372062,-0.041803585936708076,-0.057607448516048654,-0.1106700096117658,-0.019790186073554445
MIA,0.09058523235552869,0.002031877588182924,-0.014906718076943583,0.05157103424162731,-0.027856966607126117,0.1534587277455503,0.15598749126033623,-0.019627086851063846,-0.03606280876530278,0.08461359019733443,-0.0020033581005402075,0.1309884903852949,0.13779077482266672,0.007736604159609824,-0.07048042721072356,0.07590974254272201,0.05785346422921466
COL4A4,0.015189058614855235,-0.0185790033546967,0.07335002929759712,0.022632818794929878,0.0009072648032138392,0.05317032751434448,-0.02639872348767782,-0.011424328174884145,0.015882058927261695,,0.05963851448110462,0.007638952424808885,0.05321010374458435,-0.03919074784477095,-0.03636835443846004,0.027482652817698336,0.055290291629946024
TAC1,0.018138693377590585,0.005481450790036503,0.0046881754823552575,-0.012520094782791215,-0.045491686484146296,-0.018487583931276287,-0.07786969089227035,0.019097676873496897,-0.009109063354117758,,,,,,0.05144062917419283,0.009865708014372296,0.030350718011000075
RARRES2,0.07081885658881584,0.038605649407312086,0.005970882175317856,-0.02668330844069732,-0.02684236281665379,0.07281382322674398,0.12526649714610905,0.03522383876133116,-0.01131538769510853,0.08320723576018502,0.06225201433683822,-0.05633038680741481,-0.06202671645939176,-0.046837266143648804,0.018898531457607785,0.07411389740706104,0.062322363752109526
FGF7,-0.04484491896985591,,-0.018918721340055344,-0.03614882528203007,0.06547423699000597,0.048390191410858444,0.05041145073821622,-0.013935994071654002,0.04736604290246418,0.14611042436508587,0.009525114356919087,0.0596581151851714,-0.01457690794681959,0.02850012058314034,0.009671712095471255,0.07089622087099845,0.02142458528740026
EFNA2,,,,,,,,,,,,,0.06190454737610983,,,,
HBEGF,-0.04135343034409851,-0.005151742432135042,-0.04380520074272594,-0.0065718879768904585,0.014107436992494948,-0.005279766125891606,0.07177540388724508,-0.009068064798888132,0.034534066357432884,-0.08804604366683891,0.022183480267709207,-0.02738467943296461,-0.017003936116926653,0.0431242775768433,-0.03399111770323825,-0.06294556092405101,0.028891862484356105
CSF3,-0.052313891813542825,,,0.019175097600967382,-0.05878998111533428,,0.027009468319926035,,,,,-0.044339916480073745,-0.10460363663417296,,-0.014674408632129937,-0.028994722160029598,-0.0070693101324625085
PI3,-0.061973605952130056,-0.026095917714601485,,0.003345511338984397,0.0032368847724698418,,0.15039289262595054,,,0.036579883900863745,,-0.05566916858699662,-0.19726714877737636,0.07073842458229189,-0.06417627808429659,0.016665158504495233,0.01084837058522416
