,MGH258,UKF259,UKF269,UKF275,UKF334,ZH1019T1,ZH1019inf,ZH916T1
IGFL3,,,-0.023106811538355858,,,,,-0.015714766926867636
BMP1,0.07579335043025545,-0.05322314720954516,0.09547582341947866,0.003046901881248018,0.02942054697662237,-0.010285994692343451,0.0021614016281710745,-6.819425239485013e-05
NDP,-0.0048413236443213496,-0.007288493043417654,0.021127821162370518,0.04778202450425586,-0.0498074531406423,0.058497291970384536,0.08319045903430312,-0.042844556700721736
TNFSF18,-0.022403032495198948,,-0.02323601875334437,0.011269888723767328,,0.006835173414694769,,-0.026508002293689093
IL36G,,,,,0.09437780045585968,,,
RTN4,-0.008522497776561418,0.00024965388597526994,-0.14028594367856045,0.03905181541526573,-0.09544928500574788,0.0383674648488627,-0.08076125170165713,0.06780869105963067
HEBP1,-0.027311000774175018,0.018724788430261197,0.104136602736146,0.0019388102165488297,-0.03347318284090273,-0.025071636123037346,0.07210631722596211,0.0011767840742308215
WNT7B,-0.01973636994578018,-0.010024564045538397,-0.09143012328486154,-0.042896049099494925,-0.019873152980141272,,-0.04560676609742977,0.015338945164950251
PTMA,0.006997068135586554,0.0073338023969796865,-0.0713766112022622,-0.005860862722984916,-0.030271678289117546,-0.04848508625671269,-0.15256886795308489,0.015224418219314945
FASLG,-0.019736375525201407,,,,,,,-0.013629411994502095
CEACAM1,-0.027404130143327363,0.04994419288139569,0.06467048078379552,0.01888940265553868,,-0.0637340232335387,-0.02427168169557266,0.049509134781400246
PDAP1,-0.04627133428320306,0.013597975624303899,0.12992584305868438,0.013672787350654069,0.04131101037993258,0.011323586981141855,0.13874954933802547,-0.002903095914260381
QDPR,-0.08534411888716434,-0.03478782384918808,-0.12485856097197919,0.010645723227430902,0.07334134834735449,-0.07497208748919287,-0.04456591085632313,-0.02498019249353473
POMC,-0.014340349289117026,-3.9419309882609505e-05,0.021105622409407193,-0.02181262212550471,-0.021099647999514137,0.0073957558548651625,0.01518229655154964,0.030454101567076505
CCL18,,,,,,,-0.02899939521490894,
CCL17,,0.012575886362439588,,-0.02344574338443749,0.06486264904919786,,,-0.012353531122654797
VEGFD,,-0.026788389180216872,0.15877807565521418,-0.013605256915063871,0.019902925273242927,0.017976432595729338,,
TNFSF13,,-0.01658545761868177,,,,,,-0.020129047857019175
WNT5A,-0.012436153234876813,-0.041900925279420125,0.10815759020977156,0.04087654834627019,0.04171945574272699,-0.015020044500036295,0.08088470650528751,0.028626864186690002
CXCL8,,0.038417911472597516,0.0027128133423956705,0.06708455065705919,-0.05322424841512867,0.06400364789146422,-0.05105800103439136,0.005641021481426262
GRN,-0.04006774846944411,-0.008530138120433895,0.0718628648394919,0.027028936549089277,0.04906781421463336,0.06482850060395859,-0.08874139392006719,0.007734056294412295
MIA,-0.025833213257599796,0.04923994210443936,0.039740205067512385,0.012493818487201104,0.003494909323493782,-0.008584250018583268,0.04707922481503382,-0.004849079834983623
COL4A4,0.06144153186538483,0.013819246299952124,0.012312517481446792,-0.02447808147350532,-0.023517778163437635,-0.06784474761570287,0.0643626334932798,0.054225115652604156
TAC1,-0.019736364787451555,-0.003095882033550024,-0.10459841442903305,-0.031233346456472674,-0.04167842475924682,,,0.08805883729203337
RARRES2,0.09230547631485422,0.0804909485078575,0.17922451366586578,-0.003124700113016371,0.05690071885492948,-0.10543560879355406,0.06210288881153253,0.0011307880906547523
FGF7,-0.0026175563297947627,-0.007061198271073234,0.08876091370464836,0.036247160789816484,0.036057705242550246,0.02147475470795627,0.03701640132727876,0.01809525007123273
HBEGF,0.015295892462523665,-0.001982799295155458,0.09641539650226869,0.02796901157064835,0.01930119639392499,0.10106169738543833,-0.03822970472329639,0.03972768143935851
CSF3,,-0.008018487091234898,-0.008358458028799361,,,,,-0.013006362515045621
PI3,,-0.0053012572803788965,0.0018644356017764022,,,,,0.0008184796354842867
PCSK1N,-0.031104878908471613,0.016973861050560667,-0.025979006858651895,0.02171612284502656,-0.008572317323352563,0.03583347019867532,0.020679173946840462,-0.011742306132358684
NTS,,,0.051336840225096304,0.03463214366691416,,,,-0.01926064932135495
SFRP1,-0.028716909302111623,0.036527041712012605,0.025537285758791634,0.014944734634410452,-0.014690095788395821,0.04877159625769533,0.0353125933561291,-0.01881308062686225
MICA,-0.008249296079733468,-0.006496963222366326,0.06970901700420004,0.09547299914301788,-0.00021330456725589592,0.08960741090085039,-0.014495361075115652,-0.018878612136706385
TG,-0.022857122571789432,-0.02264061629653806,-0.02907480318879085,0.03496082752892349,0.0018716508638609533,-0.028149020812930463,0.05603824263397647,-0.025364887768873676
