,UKF266,ZH1007inf,ZH1007nec,ZH8811Bbulk,ZH916bulk
BMP1,0.0326870664790337,0.10400449613605085,-0.008704614374201192,0.023551510049602896,0.049756113766949835
NDP,0.07630181013310892,0.0033045513013659814,-0.11942785230595097,0.04120126818046907,-0.009683407204272094
TNFSF18,0.04788211705350972,-0.030665605582643796,,,-0.03090682503673645
RTN4,0.01701146285922867,0.011319921804578843,0.053481364424693846,-0.05490092284292662,-0.006117858247741521
HEBP1,0.05239918066798927,0.021531304965436208,-0.06812390668518208,0.03637431621058208,0.022063111686468337
WNT7B,-0.010327449852153118,-0.012130684759391195,-0.03561360533846428,-0.022642175209135026,-0.0331925899960469
PTMA,0.002233488716302641,0.010897344205897695,0.05822749806768984,0.03322348684340901,0.014612123476037402
CEACAM1,,,-0.08296257490895652,-0.016687431916601842,
PDAP1,0.01518938608772394,-0.02226691650656116,0.03429176235630209,0.01626594220653271,-0.02582413112391951
QDPR,-0.03619640221777459,0.009863143237467393,-0.044829738708682586,-0.009351353156288775,0.02194406067162633
POMC,-0.008428113730279902,0.11865339025379394,-0.04484128140593252,0.059572229500550494,-0.005869876220821439
CCL18,,,-0.07113607071169165,-0.04074960370481946,
CCL17,,,,-0.007074119717746637,
VEGFD,,,0.08619306894209848,0.03170698544692885,
TNFSF13,-0.012024540614128243,,,-0.026184305947403744,-0.033622217100144784
WNT5A,0.0491639565192434,0.0005308722420488632,-0.10697206855416536,-0.06886615050628096,0.02020165895630795
CXCL8,0.06979979145653765,,0.012447374413362997,-0.04841219973424541,-0.10467000618961152
GRN,0.025023024380578077,0.042619625427641056,-0.20630916213851308,0.018647238940712872,0.03864620522683887
MIA,-0.021742688497827838,-0.05163985166425197,0.028101646727645122,0.027679015119076826,0.019536466164996227
COL4A4,0.020180744324096462,,,-0.02671918772718935,-0.03757791861314623
TAC1,0.01319834842176206,,,,-0.009498879639480986
RARRES2,-0.023165413327324073,-0.055256187975092706,-0.03955314501349849,-0.024071873803375287,-0.061394684146853465
FGF7,0.025159028202711382,0.037185530408748425,-0.09845655147574932,-0.04649123734794767,0.035452270701454965
EFNA2,,,,-0.015860287262436,
HBEGF,-0.013844995297541381,0.09948303567347705,-0.02012357674603491,-0.0028403507738578256,0.04358750101916117
CSF3,,,,-0.0035073848537408225,-0.02660649143436046
PI3,,,-0.07553716908145565,-0.040078909625366796,-0.028011028079622476
PCSK1N,-0.012911073001534063,-0.021623848520606566,-0.09653219621644889,-0.043534916819286534,-0.006380279531909867
NTS,0.04028272177390172,,,-0.019322750326864455,
SFRP1,0.031691091123486906,0.03629767037099617,0.01583487320824809,-0.02537292563763435,0.008805795748930522
CXCL13,,,,0.01321567331009569,0.08089862325295268
MICA,-0.02964465306021463,-0.0135999023591608,0.11167283180839925,-0.019139099583292466,0.007099233570389414
TG,-0.01612118519264092,-0.03929940545968669,-0.034958179606395884,0.04646127673627324,-0.035332832060595155
ADA,-0.007613078718078572,0.06738925819634817,0.04814466484170855,0.022490884945039744,0.10941206417003284
LAMC3,0.059375450665335686,-0.0059351451106872425,-0.02812691217932646,0.08234526377544246,-0.03702137154425675
CCL7,,,,,-0.030981526869969966
NGF,0.1295439619799724,,,0.01015929406837532,0.035098119364663345
TNFSF15,0.021368582485019372,-0.03622410347522551,,,-0.04374708688600858
HMGB1,-0.005847096859584806,0.0056721912870817915,0.04018943842457753,0.04452823360801539,0.040985546282774496
ITGB3BP,-0.007473691658611868,0.006483471607712822,-0.005205740819803053,0.043264153197199236,-0.016400247555311432
AANAT,,,0.03922879763131249,-0.021343650965675694,-0.024135547149137477
RELN,0.014595739580161148,,,,0.04306800387390808
IL15,-0.0132915529115101,-0.036078640279849146,0.11360646098925578,-0.017679353339642413,-0.00012679756953907148
UTS2,,-0.01857305462067424,-0.0912536232807825,,
BSG,0.019171680955157568,-0.0072853264283502285,-0.07041153259394099,-0.032244180898493985,-0.001748308475551474
ADAMTS3,-0.021408846661546,0.0109817756290411,0.023691662602318562,-0.014898280751968977,-0.04335201689069376
CD34,-0.0031363108263710495,0.05576699169882506,-0.044885592244279696,0.05848435076813541,-0.0028421200642719056
CCL23,,-0.03418140866914919,,,
PLAT,0.027831728142054833,0.037183051512897435,-0.020525596939906156,-0.02150602801901118,0.061625777061437875
NTF3,,,,-0.0016102042925246044,
CKLF,-0.06264994068055961,0.03722905964713617,-0.07151999580578028,0.03277285520235839,-0.011387446927462687
CD24,-0.008881603583037133,0.04305770058801291,0.02111685292912404,-0.03722658488744615,-0.02447318473747707
HSP90AA1,-0.043072848723378805,0.053381234322943366,0.03406320388661041,-0.09536750027498145,-0.01177984444237917
BMP4,-0.0008262962326938338,0.017029899979940148,0.21389427980697065,0.004982635138379639,-0.03291304331514913
SCGB3A1,-0.01696690237011569,0.02643128113484444,-0.006096040977471602,0.024660378928675297,0.050870110748879566
IGFBP4,0.0108306973855402,0.004786028794270048,-0.05327007609493896,-0.017952435185308244,0.030999743415126752
RSPO4,,,,,-0.01370638271402276
LEFTY2,0.00580301033784252,-0.015022708688068745,0.048338232050150136,-0.018236480779117957,0.03545772601478654
PF4,,,,-0.01453705133486337,0.05994237512869988
ANGPTL2,-0.012771175322237663,-0.03712710675672304,-0.011041545351651475,0.0554669424874011,0.09908224692015563
LRIG2,-0.050331689250771604,0.05078750817926997,0.011507237717831773,0.01207963008918545,0.034702675572493714
ICOSLG,0.03161790975406037,0.06774704347163141,-0.041515303740766216,0.027750742672577478,-0.025208786342681894
WIF1,0.05319652231555852,,,,-0.0184683128842141
NPPC,-0.009411638398883693,-0.03020044768300161,0.1012264267522704,0.0032720558383651215,0.11919912220314059
LYZ,0.05073025716252075,0.02290369297636361,-0.1106616066153632,-0.07672247068921746,-0.03872962678224704
EREG,,,,0.008712235610543786,-0.008913935197425683
SPTAN1,0.06515088664424122,-0.014614492057391267,-0.02986866077253024,-0.04829334567066963,0.014630364397592108
LIPC,-0.02061179043376982,-0.007426945358478647,-0.07218348050645347,,0.02156885084524511
COL8A1,0.032107836240856044,-0.022043027724234086,-0.04156177560948219,0.02940153401047949,0.0073552581171131785
GSTM2,-0.011239797728989715,-0.0021453819782797975,-0.054181215925387445,0.03012008293630007,0.05490270337709954
IL4,,,0.03365215445391103,,
SPX,0.01007093848412365,0.09533584850288374,,0.07344805341818546,0.03217948844727477
MFGE8,0.07208476294582195,0.08197630627840649,0.03174816497386286,-0.019611426721553884,-0.022127893955625078
TGFA,0.04093705868919038,0.10368475555376644,0.05910099578138377,0.04379794977624696,-0.016765475338118875
SLIT2,0.13901374731195112,0.0158737784021793,-0.09215297535859983,0.004520072968729432,-0.007872787278511213
PLTP,0.07431294890124444,-0.05126710392876583,-0.09401349761931536,0.04451895966982206,0.03396661432039006
APOD,0.058289590899436715,-0.09916634980787441,0.0736787309483782,0.044462836234152744,-0.059855592479998936
B2M,0.015961158909898077,-0.03977207915204622,-0.11177371746518543,0.07083096177813608,0.081793450472825
OMG,0.01626755262386885,0.009078096799553294,-0.009712366104749124,0.035017676250410835,0.008555134365973695
CXCL3,,-0.031124589919098486,-0.052265142364421265,0.020726626442085706,-0.033840738193261145
CXCL10,-0.018168047056832122,-0.003486701709457144,-0.007203896508817585,-0.01949840008018738,-0.017372305463692266
RSPO3,0.033754617248138746,,,-0.030191575074493923,-0.010314853866024053
CORT,0.009361323127492573,,,-0.015212285360252282,
NCAN,-0.002912843557931744,-0.07508952140538856,0.07253868617600168,0.024313387811674032,-0.00016407985565159108
PRG4,,,,-0.02244665795033811,0.012457373759575025
ZG16B,,,,,-0.02033851950420996
TGM2,0.053292489727025445,-0.023256269990837682,0.022666797159113728,0.04283599687442863,0.05497137413558597
VEGFC,0.014284657316760433,-0.021064493821528724,-0.023243144833961896,-0.030479875618171667,-0.04615251437626369
WNT6,-0.01363303786915461,,0.06070843771937083,0.10612290813729641,-0.021015792644012387
