,UKF243,UKF248,UKF251,UKF259,UKF260,UKF275,UKF296,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,-0.015610209915523844,0.09312166088907274,
BMP1,0.0803312388278091,-0.01438167071118672,-0.010362326289174762,-0.04439902723797445,-0.026413123263268213,0.0026999711126443203,-0.011639345082808498,-0.053936247976828916,0.07571604025191755,0.007406403145184909,0.06998740470557488,-0.0021603001111860517
NDP,0.004177828085923546,0.021110546737848367,0.023696674070294726,-0.03198817680205778,0.02226880355971059,0.021241143499105247,0.027649516906125216,0.02148927451691758,0.09626015033987914,0.0093149993455097,0.02307118337387232,0.005814713578011522
TNFSF18,0.0737364087443787,-0.024102611009505972,-0.02528979802809401,,,0.04161095481762062,,,,0.1065921638909961,0.059979817150703336,-0.011627975644109325
RTN4,-0.03200195801644383,-0.024239085210079718,-0.06429330834974328,0.05101448044424213,0.043854654405707155,0.0004813415320391496,0.004836298739143507,0.05465776060131997,-0.011651185651029641,-0.1136240025661634,-0.0724113031508594,0.001351862391874885
HEBP1,0.026083185425336566,-0.023865344460591496,-0.02743001594093906,-0.004467030006489014,-0.049992155106002294,0.033689142921565565,0.04427037300643457,0.02223082923877394,0.04405572864497352,0.06332624844336533,0.06258994935455804,0.0407212226504253
WNT7B,-0.03265199727187405,-0.03566922049158544,0.005276358433149001,0.003462623608670264,0.015852211948539592,-0.0097766710929889,-0.010917753265758104,-0.015240906512909946,0.02014195383824442,-0.03366333682590088,0.03143378062636546,-0.02501890448695819
PTMA,-0.05470465414941342,0.03430280134097415,-0.06391229293616403,0.035717193123375894,-0.020555184731816105,-0.00988469716261235,-0.007906783651461783,-0.02580008517425688,-0.05760719696285015,-0.044231028679534594,0.10313089810592369,0.02399154519858008
FASLG,,,,,,,,,,,0.017469575797519454,
CEACAM1,,0.007165421028826421,0.041442977201585726,-0.025505400800701,-0.01734562447438692,-0.01674599491130014,,-0.0019223790223800521,0.03387969766679512,-0.0008675712133801623,0.026768157697312597,
PDAP1,-0.03815966157426381,0.01945666028447315,3.216344817748899e-06,0.033271177338766854,0.026244141349341644,0.02088236596979878,-0.012860480692546413,-0.017810999520031505,-0.035995422879443385,0.04835280535353567,0.019364510071162126,-0.06039857512049475
QDPR,-0.01809016482324387,-0.0014454468841859636,-0.005327735289893441,-0.006065736842169184,-0.0025977459700177205,0.0082744204163412,-0.0024967205462076035,0.002208999446747991,-0.0380630745345943,-0.0860894348409894,-0.012276814553273558,-0.015373693419362715
POMC,-0.031699749541633016,-0.02623509618298128,0.07263601670713622,0.05961281530615605,0.05168666711311801,0.03209791691684705,0.008802364432515052,-0.05234070982972545,0.017976723857475625,-0.03839215629643994,-0.014216845225325554,-0.053168503311942006
CCL18,0.05754230738226948,-0.01914368344913171,,,,,,0.015450968145926188,0.005022178297633253,,,
CCL17,,,,0.004773004335014991,,-0.013279516613040892,-0.013513117991529508,-0.015465281781634362,0.046696192074478504,0.0041236902646680515,-0.019418126743860172,
VEGFD,0.013188809216800264,-0.019143689528147843,-0.017267651916911243,0.08847435347307792,0.11348308661324506,-0.014148201754226626,-0.009912035466673179,,0.03500584954890834,-0.02170677149123973,,
TNFSF13,,-0.014446442435333844,,-0.010197152070323188,,,,-0.029675552817994704,-0.02552752789090448,0.06986623717296055,0.04739220079760054,-0.031396806199659594
WNT5A,0.022272812453495036,0.015241937771292647,0.04196385594868939,0.0046968334867240735,-0.025542549603997614,0.015224746296200664,-0.02631806370079915,0.056173455313530796,0.010658212299221944,-0.010820143381401585,-0.010987405066706799,0.04242557732206127
CXCL8,-0.037496045221020596,-0.00850236231732434,-0.016168405768625736,0.010888166109877312,-0.0015493085632077262,0.0225185739233936,-0.009230518416196523,-0.09021798828377485,0.006884226747304718,-0.011721112293269232,-0.008291586272642398,-0.010470254109571395
GRN,0.019710179685064094,0.03680592744785272,0.025224188728001355,-0.0100221121152537,-0.00696583959390688,0.009177428216019802,-0.02451082049503661,-0.012276543262263495,0.06796734721411371,0.041523161450754145,0.035366354606209,-0.03689289733667955
MIA,0.05434544222853794,-0.0381408343921529,-0.01535664203924748,0.036794040455538184,-0.020073200821342334,-0.026101065563165965,-0.011272852888108323,-0.03339144041967923,0.031035042281553463,0.050467558263558546,0.07753811796056777,-0.05751419594826024
COL4A4,0.16250308270209005,0.07919391242242607,0.0008877488078057058,-0.03562961873894404,-0.032880926157016696,-0.01386422619461683,0.010754146864032131,0.007914767097757581,-0.02604899329003482,0.021874297481329734,0.031157061098832345,0.2255579274686928
TAC1,-0.04497083094202743,-0.006796635337743802,0.012999152010636957,0.06805489360504917,0.012539011811322448,-0.01661641221697074,0.029802319707788384,,,,-0.008500654384597212,-0.01976006462858908
RARRES2,-0.09008134861107087,-0.01650480466141226,0.01556130158278134,-0.0055510821044899425,-0.018736791129137814,0.013597844644964989,0.012837113195743387,-0.06779872774137191,0.009850926332276149,-0.024236575261868745,0.031652352100671015,0.007230907807980485
FGF7,0.02021316664489116,,-0.019489738114043084,0.021500778326482842,0.08991200423057596,0.020865018424965544,-0.003690312228341068,0.013101919387968815,0.02918529500362815,-0.04197295152533798,0.020864877228157726,0.011906845290714008
EFNA2,,,,,,,,,-0.015462465427300611,,,
HBEGF,0.009373793307004585,0.03980550607724657,-0.03521533513191536,0.01822641349830338,-0.04710319555843978,-0.034377778908498066,-0.02545505747022057,-0.02829763374803215,-0.020395598617504312,0.022065629692149598,0.010508269702223898,0.07276202400699312
CSF3,0.045204326376445086,,,0.10015625109665546,0.0019161859889232653,,,-0.010616137313747267,0.008731716179925603,,-0.02044429186166752,0.04375894865292807
PI3,0.05504537153988917,0.014274242205397226,,0.042805374111896555,-0.019090321415523148,,,-0.0240264551587211,0.04991021243913566,-0.017487052173457248,-0.04441865426527561,-0.009916736202697554
PCSK1N,-0.03199318878532363,-0.0016324452207800645,-0.019884887413029552,-0.04153217085200721,0.019176335979784277,0.012357840588548993,0.060361744895870276,-0.01414089127005322,-0.04849121596668746,0.0038140699020923754,-0.011254628193641444,-0.0070781744201673345
NTS,,,,,-0.040927539035602985,-0.015838266814300537,0.0003327621636385738,0.027808062428273866,-0.01883807991278549,,-0.030275208438600702,
SFRP1,0.07182773697617904,0.03263217997919049,0.031290684371451855,-0.012898953356042102,0.05773293949832206,-0.029408338716839944,0.028378929459115132,0.025647246823457374,0.03385763804106494,0.0581696342854841,-0.02957168929496854,0.05765898376610107
CXCL13,,,0.03148373502324494,,0.05860716301910035,,,-0.034738193708589715,0.07669917867878935,,,0.05257952261692233
MICA,0.014671539185996861,-0.014713597767198291,-0.04315212751781051,0.021248779735765888,-0.05693532555254625,-0.0022243147408873877,0.01460377984261546,-0.03783800537739331,0.06978186613309602,0.06483312527144208,0.05924877666195213,0.06945441922249239
TG,-0.028623659306709872,0.05667016009806152,0.022877339602657625,-0.01392001430708704,0.05887905810140497,0.06894192059362661,0.07560505215961745,-0.02054949294574809,-0.005163404191152083,,0.03437935276363089,-0.01694901858260757
ADA,-0.0423297159789229,0.08209423411601659,0.028025496176905494,-0.014006050973432273,-0.039759518173679814,0.021209984789076267,-0.015882507387033683,-0.0449844951264195,0.030199483580780624,0.04289173116246271,0.08482966802706886,0.15604055808301706
LAMC3,-0.03643397562174164,0.04613213823499005,-0.017095717924391716,-0.036244428844864986,-0.0652503252079676,0.02464835821845015,-0.03082709988058358,0.007647223034751172,0.01708036482382089,-0.0020936929969499365,0.07870463754266986,0.05891163032255946
CCL7,,0.07304251686875204,,-0.01006414810360913,0.004671516684672737,,,-0.023178892633601986,,,-0.0014115432663757363,-0.0214709734265652
NGF,0.034265648371917194,-0.020907304111143877,,0.0017670190782181922,-0.026551738955849596,,,0.022165258191121463,-0.015254623878130336,,-0.004863643875110599,0.037584160189801014
TNFSF15,0.06279168876619404,,,-0.011206921144547115,-0.018417549737376478,,,-0.022596817552600356,,,0.07724955323384529,0.09504728059832183
HMGB1,-0.007036061273761164,0.012881266308782556,0.03568021669208973,-7.683571322785922e-07,-0.02126567597508116,0.0046831128456403465,-0.026483943988318475,0.004538380327150088,0.03746021677656691,-0.05038409281984623,-0.009688122447563053,-0.027918690746831617
ITGB3BP,0.005855938677889989,0.0028157313309943454,-0.027257355499138977,-0.0008232472865928403,0.024357211464976856,0.051809562192739196,0.07654535222867886,-0.04880109066449679,0.08864388556285445,-0.018312814023602405,0.029470625690153702,-0.04301178714844299
