,UKF259,UKF275,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
BMP1,-0.004564876073864194,-0.04231511780848813,-0.04986915578226956,-0.004334053298523234,-0.0674746528177099,-0.01042240062651261,0.012732754630925143,-0.021540178666428544,0.07923139294970759
NDP,-0.0002528192010279332,0.041724272642015024,0.0034988359786701576,0.09183360452496815,0.007244092879903514,-0.010862984289272683,-0.0005852273163797398,0.03523089612427377,0.031392235403887525
TNFSF18,,-0.010647508663312509,,,-0.001742274599987588,,,,0.05037022744721558
IL36G,,,-0.013950287340619259,,,,,,
RTN4,-0.01334201467041204,0.04610269522109452,0.09081992193529292,0.03163190967662118,-0.0362339018576558,0.022607303830702162,-0.014716990850798948,-0.05113258021170408,-0.10243046745696663
HEBP1,-0.022749058652315364,-0.01681582816510003,-0.010897179858410908,0.002663259719442791,-0.04115936710735527,-0.01976527068771925,0.03907894071588894,-0.0010256398761787214,-5.53854270445147e-05
WNT7B,-0.024950397137991392,0.019370618934984696,-0.015332973437976917,0.059456456193862285,,0.14727143134687878,0.012868999123414507,-0.009859226815851618,0.05652332964054167
PTMA,0.045759858486833976,0.06265866377850131,-0.05970703658396123,0.044424784124116184,-0.010240587011497973,-0.07582398038460059,-0.08158464638673174,0.022069614615903937,-0.02892950573989822
CEACAM1,0.001025132450420788,0.04845437588737316,,-0.04037132188760076,-0.031051999460957457,-0.028267208655499945,-0.01729748098439321,-0.01636489287696654,
PDAP1,-0.017178317029705827,-0.013649812154008383,-0.07943448688577232,0.09244763645278638,0.020427628825759065,0.03031398410723324,-0.004145597625128152,-0.024729646567164653,-0.06232246641003898
QDPR,0.0060295016202800535,0.026864786385124167,0.11724633699236121,0.05658134269955773,-0.04430107869601993,0.06884866373122403,0.023991901205488282,0.020667720870214467,-0.020519584013245586
POMC,0.039490363632626514,-0.012354527067756282,0.04344765012731838,-0.014907804805863081,-0.04461390229224469,-0.039671692146433984,0.07759760317244405,0.04475556926635568,-0.01773285957890092
CCL18,,,,0.09613767882494233,,0.07178444158642222,0.08870770170188566,-0.0014661129696120906,
CCL17,0.10360301629816109,-0.013279516309412907,0.09477834708410963,,,-0.020054216369719952,-0.02496999972703557,,
VEGFD,0.07345706917061402,-0.014148201430736689,-0.013658121877273319,-0.038999129053928515,-0.017483907493229662,,0.029205457257977654,,
TNFSF13,-0.011518564958793604,,,,,0.03161854365336329,0.0036504807753157424,-0.018376677884223692,0.07835691378678948
WNT5A,0.00689268196159045,-0.030842630822255423,-0.017834650122068977,-0.05812216610321935,0.004395905985842045,-0.018836735190151412,-0.010911956752281293,-0.032201892878796094,-0.018279898421763113
CXCL8,0.042655133391189676,-0.04137528484155393,-0.04106474639534787,-0.016397050068116835,-0.09210312456690711,-0.0586892149125842,0.03334644259755536,0.04627399947981379,0.03223457167035878
GRN,-0.008750030705292,-0.028041939709795415,-0.006396571874229654,-0.0762096470295712,-0.04176580097550605,0.00839794011992042,0.02375419702863009,0.01901485662487786,-0.015542067539882522
MIA,-0.0027884724037823263,-0.026101064966381142,-0.018705423829329063,0.0077700388133026595,-0.003976519707804786,0.0637597347867174,0.05061582751118931,-0.04016566769603178,0.04140722775714873
COL4A4,-0.012316721593154605,-0.01386422587761982,-0.018144955068808588,,-0.03305479490400325,0.038788164551523265,-0.02769597167133225,-0.020797871178860772,0.06760842406212934
TAC1,0.053381126170496604,0.07620713152862958,0.0643360503440231,,,,,-0.014407931102977773,-0.06348180797142919
RARRES2,0.0022898497218295727,0.0346889567665391,-0.030748951019259917,0.014648565705875657,-0.01859206904664369,0.0047691685967964,0.09200758967565592,0.004687497740118963,0.013354989594224383
FGF7,-0.0005729370649651835,0.04648027335861727,-0.040256074493539976,0.08934718222106182,0.04155751388113116,0.05774998128021829,-0.011423708158839975,-0.010407060171327432,0.0023358950635274166
EFNA2,,,,,,,-0.016440098075010852,,
