,MGH258,UKF243,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.020599099199321607,,,,,,,,,,-0.03187513617373155,,,0.09941977749591223,,
BMP1,0.02492950790591446,0.05583665104155834,0.05166587426272837,0.027339653369684604,-0.041363525038344826,0.2424384127951167,-0.02945216311596677,0.06199862529998361,-0.06089981019232909,0.037569205713003866,0.1328278913870487,-0.04977725464474866,-0.02502946474366041,0.012317105995668013,-0.015210854423306617,0.03603785252396634,-0.028292626562926027,0.059610886319372426,0.0012637748642133834,0.1364616983615877,0.125544450440589
NDP,0.06370120101814489,0.09692235263702187,0.015327007004032675,0.022851620222823183,0.017316701827340682,0.0980348494605767,-0.01917579840669893,0.022167363954854344,-0.007121351441210471,0.016240130043797398,0.13535127515556233,0.005565526858941692,0.05472777094154232,0.0645623247036698,0.05717434335688509,0.00973649238613557,-0.03281681358749229,0.04027043885302227,0.17730359291367437,0.12492153320493636,0.07400930149816795
TNFSF18,0.2093656703188783,-0.030822773659921164,-0.02528979701665318,,0.05440297775219605,0.023891358244161644,-0.015018611761194327,,,,-0.01979841740045026,,,,,-0.003429599337225001,,-0.045827108598492663,0.0051202328608774975,0.08664395191760435,
IL36G,,,,,,,,,,-0.0239785041068366,,,,,,,,,,,
RTN4,0.09952161578814778,-0.047688512980481164,0.003160278913814382,-0.07645137604353158,0.003719751993279825,-0.3550828216096887,-0.03460104927856024,-0.09213909277474852,0.02340107249476006,0.024177155943657828,-0.024309863211631682,-0.1316078855181531,0.07235976510595098,0.03810332920261544,0.010558181479446692,0.009757779613033788,0.02572561620291119,-0.056972734199764535,0.06291494399373278,-0.13631794625876406,0.08343656633875024
HEBP1,-0.007233180039002889,-0.0597615112817234,0.03153650458717154,0.051276731183486406,0.057477717079360384,0.132549165430763,0.039467421256895625,-0.006655354666713003,-0.009729258715655482,0.025541621975846755,0.03827946856050959,-0.053120871568247977,0.02638319236286011,0.12667175911106196,0.059159145336715714,0.03728136464687482,0.07750924259271427,-0.055832561576143386,0.12355845822395524,0.10459015801454329,0.05081778121923397
WNT7B,0.09001051615302565,0.06495862855963062,0.06778870523095806,-0.02890991097888453,0.0016847803268421216,-0.14050552922977866,-0.009031270553206556,-0.01185015318532286,,-0.0010600014166152049,-0.0031096757100669017,-0.030643300058814986,-0.053977831300089194,-0.010190406439829259,-0.004795218757040113,-0.011066952286980078,-0.009252970198148367,-0.045827061079223574,0.001196477891770411,0.021635707784461434,0.07320584803087526
PTMA,0.11882776168403154,-0.092042201101866,0.018629927753681597,-0.00721828827487715,0.019401490206904955,-0.07033240772333949,0.005539069544431244,0.08287521520928394,-0.05197859470926476,0.0384912462170704,-0.017181817231087637,-0.061397818435712015,-0.05921493022209032,-0.06023884032183337,-0.03673328443508062,0.005325088435223073,0.0005056051744217546,-0.044146679330373355,-0.16330940205607072,-0.022618076670727967,0.0022933575889482302
FASLG,0.03568210819051654,,,,,,,,,,,,,,,,,,0.09104023128724761,,
CEACAM1,0.02275069300567683,,-0.012055895283027524,0.0063518570780846766,,0.09742872676182412,0.0006962588448540718,,,,,0.011067107065403594,0.08905890433763712,0.06093308667872537,-0.020414077288156997,-0.052542425497728376,-0.0088694307317282,,0.023036554499922233,,
PDAP1,-0.02753494181694961,0.020658717146492773,0.030647777239365633,0.0015793761264894333,0.06286042716394996,0.2561014858425398,0.017614180881596584,-0.01966866708838457,0.01047900332539936,0.007647876833374406,0.0669785992436752,-0.013333852365277274,0.05092883652184912,-0.053805740588899975,-0.06022995670559641,0.02518039137732814,-0.0034093779773355093,0.10049358956102956,0.07157086022126047,0.04508399234604895,-0.0004419055134816607
