,MGH258,UKF243,UKF248,UKF259,UKF269,UKF296,UKF304,ZH1007nec,ZH8811Bbulk,ZH916T1,ZH916bulk
IGFL3,,,,,0.04626671673786265,,,,,0.1323799535372722,
BMP1,0.014548163942808607,0.0381237633852542,-0.00268461669782291,0.0021808814940082427,0.15965730777925113,-0.013947992852657132,0.02690877960570319,0.030096739039230446,-0.02724905377677374,-0.007587351113064253,-0.0229268619648229
NDP,-0.027162907992200974,0.05374325458907998,0.028146848546632294,0.0028703248743958635,0.042912683949397,-0.01983610734943185,0.08336309662704657,0.01748628573584004,0.02730001088126535,0.12220499816912325,0.021241824297593546
TNFSF18,-0.02140901978049866,-0.02528569158011113,-0.024469141910478033,,0.09001755643483093,,,,,0.06591347585465869,-0.0012923721846074129
RTN4,-0.07219764334549518,-0.04624890253213533,0.005528581629042812,0.05250047233381041,-0.15955749714302978,-0.0033867530605664756,-0.1321743198679946,-0.039857747877310355,0.021238156525064472,0.0017790143218991282,-0.07437411520550812
HEBP1,0.02720926211387438,-0.04466808980748171,-0.016540130212515804,0.014219833200565411,0.08921709298812626,-0.0018823554664961712,0.04958188846152018,0.005786623870094813,-0.017032573626958387,0.06406391554271082,-0.04398477528159681
WNT7B,-0.01886067587747321,-0.0021144377928768777,-0.006622729408751364,-0.016460253914652046,-0.0866996245739472,-0.019282122498404185,,-0.05268593376520755,0.06426517635996265,0.002339238459864295,-0.005874617905438316
PTMA,0.06962447815151082,-0.05719377880471555,-0.007130005326969197,0.008542539713949642,-0.07748409937418392,-0.002727123079313946,0.1170115565099888,0.034108850694507344,0.022728976946626667,-0.04610506525349185,-0.08526804304136167
FASLG,0.08037773924766639,,,,,,,,,-0.025154835161419108,
CEACAM1,-0.026188220921948228,,-0.01557393823212897,-0.013480422709475961,0.046573045124062754,,,-0.029833091004817177,-0.016479386928701153,-0.03499925855432334,
PDAP1,-0.005407740720772854,-0.030346143613656732,0.02022702915445161,0.03143994367374993,0.0935579279254376,-0.0008389032485216166,-0.011935547094117397,0.10293515660878597,-0.07206353403872952,-0.01800187358743601,-0.071253072906901
QDPR,-0.02004291609214215,-0.04513575611100698,0.013889246841382019,-0.002725398818394345,-0.1283352209452581,-0.042531261218842084,0.09347758925742114,-0.0538891671112026,0.014112116512353627,0.07733846288292703,0.0681203532505429
POMC,-0.013810005008404333,-0.03535187876452379,0.03306329130678734,0.014021483893729713,0.11651175582668925,0.031653903104095035,0.015109120763217458,-0.0034846506097196746,0.09510220644561294,0.04385605744515857,0.036997947469616856
CCL18,,-0.03391019150536242,-0.01943480342529391,,,,0.0826549841150619,0.013693962908715227,-0.030406323782469588,,
CCL17,,,,-0.018424767085780027,,-0.023865862334998347,,,-0.006913470620229045,-0.022800032692327048,
VEGFD,,-0.0382068743945652,-0.01943480959675427,-0.020527225175437983,0.03402112814475676,-0.017505898642750452,0.0911971024726681,0.11449498998793438,-0.016479386928701153,,
TNFSF13,,,0.031122203911362174,-0.012708991977307385,,,,,-0.025857861852156466,-0.02532449185405402,0.03969485373831734
WNT5A,0.046524161891587944,-0.031391795800724924,0.039573344564766064,-0.012119862667492185,0.08492218772724788,0.03287917637015488,0.05029806066728793,0.04408531609622823,0.026759219783630953,-0.0476903127098913,-0.020578881383149814
CXCL8,,-0.04240053864729653,-0.04522928851906026,0.020857576320918343,0.09903100748082747,-0.01630225399790791,-0.012076054087108214,-0.08369043594703461,-0.09041940603698265,-0.004825021509685987,-0.10821706550309687
GRN,-0.04167142813560658,-0.023093334669550287,0.021509378733318887,0.029867264662652885,0.18003116902755892,-0.04259681338665233,0.05598529417984651,0.004690426308411603,0.02932967402400592,-0.07278143389949858,-0.050648013219897
MIA,-0.005016833161554732,0.03310849912538615,0.02751542841155098,0.05017459234313058,0.046484075305511414,-0.019909272998202415,,0.004034066519092785,0.022291920061699846,0.13151870977805868,0.016807098459324345
COL4A4,0.10499148536058325,0.006544786215169371,-0.023341041010547795,0.04347290316389162,-0.0263987271346552,0.03484398192599833,,,-0.026386075171872247,-0.04765042997344571,-0.03959803349361701
TAC1,-0.01886067094801736,-0.02122265409191084,0.045594788981771044,-0.01479467202019441,-0.13366235899347398,0.024822212283673317,-0.06615621235861911,,,0.0240054109545349,-0.030060928387532177
RARRES2,0.021167645982192628,0.031044538471813862,-0.030583073835718587,0.01712360251859552,0.18514710482822472,0.003733136665111747,0.07852872966421172,-0.05763698178006456,-0.06179557013362176,0.015923050120805207,-0.030976273504598147
FGF7,0.012455807179772523,-0.009020523239940039,,-0.0326596091620311,0.1037642657708011,-0.020602224973462088,-0.016091894338541933,-0.015687075568913387,0.0808649951305453,0.06652738635006457,0.03268982880545262
EFNA2,,,,,,,,,-0.01566255442444718,,
HBEGF,0.09113524170766382,0.11964388939724269,-0.013560412590702002,-0.016455883110316354,0.07108570392116303,-0.037754930216845485,0.017915294570855965,-0.018799046535574866,0.04473822505942732,-0.08218696986915162,-0.006499141009990957
CSF3,,-0.038461856528280595,,-0.008728492847347882,0.046273103315854366,,,,-0.07401598672033413,-0.024004917104832536,-0.029420262114514678
PI3,,-0.017193241698165437,-0.020446232608814178,-0.02124242212486872,0.04838031617325468,,,-0.10510917214032839,-0.12480296013799048,-0.016630321445797132,-0.08677895381268032
PCSK1N,0.04949093446782674,-0.0029271275275260435,0.022561357490115792,-0.009699858668112609,-0.02302951623540832,0.006479923921019449,-0.09708219611154435,-0.0376525446657922,0.057670115666886054,0.08987085330960683,-0.06279480887505448
NTS,,,,,0.025627763287651064,0.014317948727664443,-0.027013157203395397,,0.0017931861850459222,0.17058980505021448,
SFRP1,-0.010249939687271963,-0.029416225587846703,0.014074966409498823,-0.016076321465744857,0.047918529069117095,0.001329385811780826,-0.011531611777639563,0.16434781608701016,-0.03038047422173023,-0.03472196322468682,-0.0519649729256076
CXCL13,,,,,,,,,-0.04024156724161773,,0.07220105769895291
MICA,0.05625860710679487,0.03941165238973126,-0.011796893840164486,-0.011101118560096265,0.10756395422739067,0.00043126158336772956,0.06684354518466033,-0.044252316859006637,0.05458263242546379,-0.01628373795724244,-0.034969548138928754
TG,-0.0010568462899932971,-0.030660238618493017,0.06919243095713018,-0.0008820463624835486,0.036689701173622975,-0.017271620931440274,,0.020148859325648267,-0.02350138471033628,0.025743158916001724,-0.03723225551056274
ADA,0.02606548874840796,0.048354038647284596,-0.012163308424457502,-0.02247531835350502,0.12788884090759683,-0.017914123759944743,0.052643919426973336,0.030702053642867128,0.0460505863001294,-0.010478109513519645,0.02696164638631149
LAMC3,0.03716295200448464,0.001284077531371074,0.016559513809977743,0.005276874159036958,0.10474156846550922,0.05815520575223078,0.012339883250256556,0.018131938740522442,-0.011731198577103797,-0.05274053500216174,-0.010661298411130756
CCL7,,,-0.012362176787247867,-0.012543225463847375,,,,,,-0.02515482621665998,-0.056633339241123716
NGF,,-0.022158968881848255,-0.004749955793564065,-0.028739733227875708,,,-0.027013174989767123,,-0.015452023342528431,-0.07531279153825093,-0.025966553232108884
TNFSF15,,0.014544341120179782,,-0.013967495035292899,,,,,,-0.04024173866375854,-0.0035071303039417964
HMGB1,-0.04193642511900587,0.023589002212470494,0.029399503013777896,0.0153397645110985,0.13379786395442256,-0.04403306454344508,0.09721109027323563,0.022500046905883413,-0.0328518194464345,0.11530786458623593,-0.042535791440499175
ITGB3BP,0.06233487462523705,-0.05547853311620224,-0.005047365076471476,0.031143898754187698,0.08086944106606453,-0.0087391063840473,0.03136358688467616,0.021935730316213865,0.048990632341495366,0.041921166039538146,0.005734454751977916
