,UKF248,UKF251,UKF259,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,-0.026170495964691745,,,,,,,,,,
BMP1,0.009007964307790856,-0.044975884403952684,0.007746690368741609,-0.029046940544734272,-0.1300094430243405,-0.11410379504513336,-0.0021121672586027233,-0.12901307535608908,-0.20598239264890653,-0.14866119924997453,-0.1813912599951571,-0.08926201422282021,-0.044082993524134105,0.03655694144178977,-0.010216960710592537
NDP,0.03247299633009149,0.031345046256130965,0.0293873332192248,0.09853159656573608,-0.03313035817610319,0.07189676902318592,-0.020314510590869757,-0.09362701807864555,-0.034009693253531564,0.017115843905761003,0.05354652969094636,0.0016211568505214659,-0.052561045789257944,0.10274681886471689,-0.018872287478692296
TNFSF18,-0.03243098142116606,0.040352438687761075,,-0.00999123074971144,-0.03886240084774892,-0.003349889037346426,,,,,,,0.029465058618145818,-0.035401915829988626,
IL36G,,,,,,,,,-0.029321420904486094,,,,,,
RTN4,0.06363566146321827,0.0004680190186977891,-0.015362350776019778,0.12065247357724994,0.20925407463150353,0.10680297496197928,0.08727459142763998,0.29794579223127976,0.26841732488996123,0.088434981022984,0.10102426881645057,0.33896156771816577,0.10283499223314455,0.22715954563557011,0.006933704206114385
HEBP1,0.0002980089589580073,0.03710486324814921,0.013161988417038806,-0.0016554375478052838,-0.0940915752652495,0.006274589562085709,-0.06040545722365087,-0.14304583712955657,0.007138618089486152,0.08406250187011952,0.06091729221858073,0.0751478016231545,-0.029674081358082135,0.039006407994453936,-0.004188905049303529
WNT7B,0.03135310419217273,0.015637893642222928,-0.028867303561951038,-0.017243778748213496,0.056631336073207555,-0.07107046589191394,0.08713785878905446,,0.03303377680985348,-0.032298571795141194,0.01453554042553433,0.058209993864747935,0.16884189950919373,0.060968687569084225,-0.013032570922955643
PTMA,-0.0001729471759859078,-0.01422705812778389,0.024589713025491983,-0.09434543071594927,0.03355765950712659,0.140981643071606,-0.061493350472439076,-0.3843014423773086,-0.29041973074844024,-0.05301703720769389,0.048208400700872664,0.049897544253367794,-0.10822210844984126,-0.1270571421901242,-0.1451856225409993
CEACAM1,0.035881811720742784,-0.03128117689268972,-0.015270691036932411,,-0.05114070607878995,0.002091528229203304,,,,0.09540368656093308,-0.01230695385487537,0.04819472035754574,,,
PDAP1,0.06369528415701182,0.060819328760742815,0.02757980360887782,-0.07787814958816101,-0.1194468296694159,0.025545268688612306,-0.003906940361803129,0.005780406666837524,-0.13554095213753012,-0.0779698010796254,-0.08257763549874905,0.08997104615964656,-0.020822143330572272,-0.06181193651882086,0.044380559600610985
QDPR,0.03620141814337035,0.04330475629395445,-0.008630983775590875,0.13291375484990325,0.1262089501260256,0.12276055345901975,0.005774201405808806,-0.3281181414379127,0.060498588549963296,0.16157980814255696,0.16699069610454206,-0.06216611150956125,-0.03745055970363612,0.1726463240188092,0.037202906126000426
POMC,-0.0218882529528284,0.02795365940502555,0.04898290976096826,-0.0005272655666171024,0.007223294750061569,0.0514714441355095,-0.008614105889467321,-0.013550458791463866,0.13480108430761084,0.02392183659339419,0.01662153687878452,0.047559944895542404,,-0.0014931824103832493,0.022460812355392393
CCL18,0.005746871975293199,,,,,,,-0.1550088420851621,,-0.01565035059359315,-0.07390684078194594,-0.11012463138006309,,,
CCL17,,,-0.01932048539992305,,,-0.01404276588057259,-0.04258813357711357,,-0.01373809795144058,-0.07129059634565262,-0.10318083281907421,,,,
VEGFD,0.02527723867416393,-0.029751487092812473,-0.02152515429131637,,-0.034722442206393936,0.01764449976904237,0.005928309235621954,0.03496533963435034,-0.028707332727278684,,-0.012837867893131405,,,,
TNFSF13,0.02156610628525434,,-0.01332683842363543,-0.03908588953734117,,,,,,0.07443804816497436,0.03279911670488522,-0.014078477014135619,,0.06802967770564179,
WNT5A,0.01416441951145654,0.002183632020421879,0.057050940049138014,-0.10590823107844678,-0.1538237832571548,0.043659665664708774,-0.048213501415981845,-0.0016333015262746167,-0.027496123288854108,0.06350856091415291,0.0019179162952999622,-0.006970280578993771,0.02833734521235586,-0.06598819564857479,0.031119951692558906
CXCL8,-0.023738881591230214,-0.0419518193232438,-0.016012970906761563,0.0022389279841194486,-0.05311806458768806,-0.02210061774619218,-0.037017127361640804,-0.11783672637407552,-0.03053502668772258,-0.28501975554374853,-0.361732551686223,-0.14951318623359094,0.060427630404519796,-0.11615378273353953,-0.03919229376297464
GRN,-0.03296296040285247,-0.010680221139907823,0.026130732385850775,-0.04599850671567769,-0.21305765965538187,-0.003579840137166913,-0.016233812482920048,-0.2234441941590085,-0.015881301538961026,-0.0962050958178724,-0.02033236235279687,-0.16654590860310672,-0.004978959211632866,0.09358510703907395,-0.07346965694651501
MIA,-0.016986301926187913,-0.02170497156681896,0.03018669728846614,0.021323544417974537,-0.07475843708581045,-0.04863589777828758,0.041001021178040435,,-0.01318808159697807,0.29224344287563864,0.30118674936524337,-0.24751825003135128,,-0.0055009897199496385,
COL4A4,0.02606302273554283,-0.025887980823452193,0.03704177833394145,-0.026839694912125425,-0.02578908126376683,-0.027785527290194414,-0.014182978911466495,,-0.038137986112758294,0.10938001957965773,0.07981520247158908,0.035476788110848735,,-0.05041974517885376,
TAC1,0.0743040105835234,0.05508756387561641,0.03653552829051474,0.20609407437725796,0.1846559335513085,0.2226371572875101,0.055911932545398814,0.29052508287740736,0.3363412509878649,,,-0.019852242315986108,0.17178609736106693,0.13183453585513366,0.10971451658004537
RARRES2,-0.002856764931580615,0.003315700893964831,0.017780438155829973,-0.08588486284370395,-0.18017900302876047,0.20768817274186668,-0.0010860571197693813,-0.054274040195951126,-0.07829980216003904,-0.17913577640825448,-0.1768977617177069,-0.07464898777066568,-0.036856444499625246,-0.14102853461336437,0.043863506844220676
FGF7,,0.02355687587844547,0.043619650289029886,-0.011607683392569906,0.007627367732599057,-0.007498651152464578,0.028896338487155313,0.00989261368979303,-0.033666427942224575,0.1254029014384794,0.12402116211477751,0.10046023804956065,0.05358755038182755,0.01610092430572081,-0.04740662061338736
EFNA2,,,,,,,,,,,0.03555943240352915,,,,
HBEGF,-0.06536192785760561,-0.011374223557444624,0.04922751600749521,-0.05347856849547522,-0.09882300819082825,-0.1874969877256226,-0.03171340186042197,-0.1142776300849282,-0.043852341935584675,0.047944137462316815,0.03155642869629986,-0.07069687994075383,-0.06829879318797619,-0.06108660282117824,0.0036266113350431044
