,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.06893254401231841,,,,,,,,,,,,-0.028016918936979312,
BMP1,0.09251642376781787,0.0053070640224608554,0.08801107930086917,0.1335768953367684,-0.06931847594134764,0.0010590614957652323,0.13195293446373504,0.1567953167107789,0.02337255303539135,-0.011383804652486208,-0.022545904237357334,0.059691049329959674,0.037993364041666734,0.058224538818690774,9.032464522278922e-05,0.04679629190466424,-0.003803907324126452,0.02134201704036264,0.02921114716671485,0.002883533247607906,0.02608781955687462
NDP,0.013563852215464123,-0.018706923126024573,-0.027308540743784658,0.0015174528115325884,-0.023216512083059238,0.023683904396192366,0.004973614556755952,0.023858305172633883,0.06923539136751039,0.0020871994088487223,0.0034838779800693094,0.006777908767184694,0.03540181792396185,-0.11248888586333512,0.0027987802905846447,-0.07097973506742616,0.008754034193330174,0.028962798877440795,-0.028957540563550897,0.13868924009632913,-0.030825713124742766
TNFSF18,-0.028288393593485804,0.09061163350210533,-0.03341603872169806,,,,-0.022505103014657264,0.07875684583416431,-0.008879216014315355,,,,,,-0.07000127824738396,,,,,0.026586338268319458,0.033749976459167434
IL36G,,,,,,,,,,,,,-0.015795208146118567,,,,,,,,
RTN4,-0.006253072815183848,0.03138415025102459,-0.0038996190553217853,-0.013264314188146395,0.05711691221087368,-0.06041843661800046,-0.13188012839378374,-0.19606701367369359,-0.04418154146064108,-0.055736762541470385,-0.01164182830231981,-0.0019612673636589893,-0.09238982867234387,-0.06232348200551885,-0.059726974415909184,-0.005988629098473331,0.03938175286563843,0.014561560744769893,-0.005969785118123815,0.016193210629745387,-0.010057374762140322
HEBP1,0.019198902089075293,0.048860248910138945,0.058377159869028604,-0.03382935374374151,0.015119412853685852,-0.00990932446017761,0.06945497125699533,0.06627532766546947,-0.016940938112581565,-0.01117136698487777,0.032029946910909324,0.0806916193956654,0.04122051141664476,0.019069453176760866,-0.029999685084659382,-0.005515219689512757,0.007484536009526956,-0.021927466619935308,0.10607124397777783,0.03854243660046602,-0.0023877371962298262
WNT7B,0.001676978560770679,0.005232593164762731,-0.03493129636754375,-0.042892781157217126,-0.0040429284474338455,-0.01890175331734084,0.001484135822062886,-0.07894046202410858,0.01553417055012677,-0.020799830072318014,,0.03920515644096455,0.0021777685595946055,0.023962142442140337,,-0.029509574935334723,-0.012555251600291127,0.0023301717467153387,0.05959073050720011,-0.03701186081792612,-0.031939264464315706
PTMA,-0.023993858818088236,0.0872563534725649,0.03246727568811341,0.008778315741046086,0.01842178228760856,0.05171618700917005,0.13599235572832755,-0.12064730432452007,-0.10059253366220586,0.007438642996550691,0.017070893030620433,0.027900221496674295,0.022893222894989393,-0.11463822367330558,-0.11481910794744471,-0.03866114716262039,0.04649347990776839,-0.020250091804105943,0.0631577378312458,-0.07834955019968019,0.023674663620264477
FASLG,,,,,,,,,,,,,,,,,,,,-0.024299064235932144,
CEACAM1,,-0.01948702974497915,-0.026807668986086164,,-0.025008878582205223,0.04627976519747851,,0.07489429606931543,0.00746620473258015,,,,,0.16184461059029392,-0.057558144004182264,0.18418681440992282,-0.03130872452630083,-0.022091362046334467,-0.022019696235705627,0.030116694530741044,
PDAP1,-0.011212854266144195,0.0265418654170443,-0.0003244980444990483,0.003261664009401187,-0.010639300150403583,0.0036624212437156695,0.029373835098370632,0.19569194303922854,-0.009591586983766907,-0.028951734733412362,0.013763347745896123,0.021428030520012655,-0.008570222794702707,-0.07811290394561578,-0.0020348494824019192,-0.017376237516336716,0.06797403091526306,-0.06949112158330344,-0.008769780776881638,0.017800802770848292,-0.0007510968851887741
QDPR,-0.004934042858111737,0.02979589680996846,0.005010009332427459,0.014618488977524467,0.02964186698213553,-0.04810126287241979,-0.050491836807190896,-0.18800641465044474,-0.01732369039948723,0.048623920596910855,-0.005724388987861384,0.03235039645069361,0.01588217589615416,0.059346286768584174,-0.052797842869699414,-0.06902111195503605,0.07998734908011441,0.05274329259975301,-0.0007693297339105361,0.0742935019825912,-0.05556420900843591
POMC,0.006330619035623023,-0.013384714914524164,0.09872945713659495,,0.044786371372395876,0.019247102117644885,0.0216964848688255,0.009896850244406633,-0.03936283607394302,0.020607067317941263,0.058804709169681536,0.013435711345197101,-0.033841402748207336,-0.045563107079299905,0.025237489556277606,0.014683309685333908,-0.015166343268383967,-0.03521633438386462,-0.0252678947254338,0.03809047972170901,-0.0010847285682281504
