,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,-0.017543362726042656,,-0.01732583215167148,
BMP1,-0.02571299983435029,0.017864302957082873,-0.029449676386966085,0.05570249785946121,0.033273421460357125
NDP,-0.03314185005311635,-0.0823292499744243,-0.0021329956368961673,-0.008285180203674487,0.005911448691770725
TNFSF18,,-0.01809216032083097,,-0.015035159548259834,-0.012395019736721592
RTN4,-0.02033011911743751,-0.07181469218123415,-0.0014013352145618013,0.015056843878502342,-0.0239689991365177
HEBP1,0.008860906804235421,-0.019519461059586206,0.019792900174258075,0.010678499868336574,0.043432219499445326
WNT7B,0.0008207661654139846,-0.03783217084854368,-0.019153671606679575,0.12311295326679363,0.038673136001972856
PTMA,0.014074045016451837,-0.012183195731911166,-0.002792683412574704,0.01939588711278655,0.08984948955716278
FASLG,,,,-0.015026688314351623,
CEACAM1,-0.014001060325859216,0.013734895753309183,-0.012712570410615546,-0.02090742977063308,
PDAP1,0.012242408817733546,-0.019698675031906733,-0.05021771673005093,0.016207246808878487,-0.01658593783091084
QDPR,0.040418107869865785,-0.009522344384091485,0.02449244213529242,0.014413106099691842,-0.1257384752298075
POMC,-0.03279948549999467,-0.028131800304748367,0.11179296915289037,-0.015854894419999786,-0.016781518882949476
CCL18,-0.03418966217075151,,-0.04377885981206661,,
CCL17,-0.02021140955901893,-0.0007977444434374491,,-0.013620005165054619,
VEGFD,-0.014001060325859216,0.10165448063688125,,,
TNFSF13,-0.021969111184545198,0.05604775943751998,-0.014275364542422774,-0.004006274391670854,-0.032685181130711796
WNT5A,0.012788227624816165,0.033185124652472364,0.0295939905852079,0.04600338581531295,0.04267920339977313
CXCL8,0.00046928130485713487,-0.016290935799925285,0.05208077933760676,0.016610810434888462,0.07926719968799081
GRN,0.02697924962365779,0.022031029080035444,0.03952236726316365,0.0386323784678268,0.010297683450072983
MIA,-0.0011021729421072679,0.08427387579266524,-0.018189612711589743,0.003169452348180316,-0.03970842142894857
COL4A4,-0.022417886772269437,-0.03562975720514818,0.03244214375588714,0.004839268257901366,0.12082664056676634
TAC1,,,-0.021932805547054873,0.004897472128528999,-0.06761654604577261
RARRES2,0.04775162163781714,-0.04131589778218133,-0.014557181806939998,-0.0004752905559738627,0.12913424073195226
FGF7,0.05080470957638544,-0.05832682746425174,-0.030592287430155934,-0.007297986874685769,0.029058211873841364
EFNA2,-0.013307070845688431,,,,
HBEGF,0.05553289809828217,-0.02744978567190605,-0.03895853601444576,0.053443302557200874,0.03430383047283698
CSF3,0.014912239472539092,,-0.018225206203775466,-0.014339764305011521,0.004791804611994192
PI3,0.01220969747504278,0.006269531461154313,-0.03695060134368105,-0.0035590031817538375,0.08414685538234823
PCSK1N,0.01068654450390627,0.020552744683552154,0.0584250849153154,-0.051181519046191726,-0.029776380725464652
NTS,-0.016212140630146553,,0.09068044820608466,-0.02123523554800297,
SFRP1,-0.0052880263072064455,0.05451020653967619,0.02630192853415661,0.12144564478924176,0.04060867530593133
CXCL13,-0.034189658449958915,,0.019749867671456325,,-0.03116874839406177
MICA,-0.026916719064384566,-0.04367629405631044,0.10194736364238577,-0.008976660913582141,0.012348761241313412
TG,-0.019967023439298404,,0.0358099293170117,-0.027965275595537426,-0.03434812202662865
ADA,-0.04180632384257652,-0.06312883721486152,-0.0028724797309620724,0.001444159353122672,-0.03344735533428934
LAMC3,0.0012596463841819212,0.031103181564536016,0.00268355246927252,-0.004436007733028893,0.010315505054393291
CCL7,,,,0.09242990868161856,0.13419696216734875
NGF,0.11065586082721615,,0.03415067520566023,0.030222414421723874,-0.019904884373907156
TNFSF15,,,-0.011317540164359917,0.16739428752643837,0.0051794694558959
HMGB1,0.025222687751139505,0.043071842044145076,-0.03817338297151283,-0.003641095724904062,0.04498191545501224
ITGB3BP,-0.00517538624946849,0.009040800089806966,-0.03610393764184116,-0.05631409873374232,0.0024405789105400102
AANAT,0.005349120074686092,-0.028610957061715358,,0.01012406234059207,-0.023462900376519075
RELN,,-0.008416484943972536,-0.013670362010372332,,-0.008623164473624802
IL15,-0.03246651746341379,-0.03562975268991786,-0.0276069636704516,-0.001412680196597378,-0.06319867305571367
BSG,-0.029529539898437665,-0.009625026918970445,-0.05381295016950554,0.045911825496232996,0.06650146048244356
ADAMTS3,-0.004259142611965438,0.10713185579512233,0.07344214904490928,-0.017143691606703336,0.004338369509521597
CD34,-0.02946788943575676,0.08544764299610902,-0.0246403210725469,0.031613028177194184,0.008546290176783392
PLAT,-0.0001435262136065964,0.012993963994461722,-0.019257721263229142,-0.021890012362716052,0.0068680095399480945
NTF3,-0.02091808595142668,,0.03870354621742732,,
LTA,,,,0.05772078451295265,
CKLF,0.06242360573726191,0.09128221904885593,0.06832053743954906,-0.002039668777111847,-0.007994703437815127
CD24,0.03618553879528189,0.1453035190436139,0.020509707931271447,-0.041093893821728344,-0.0022336540980582163
HSP90AA1,-0.01901866571922113,0.027881814047278172,-0.04762473225837627,0.022564764274500965,0.04436921736638962
BMP4,-0.034908726778578196,0.009796863641277681,0.04421528933379233,0.01530548306580272,0.012376442627078208
SCGB3A1,-0.025473153229186796,,0.04317020660884195,0.011997161721330713,-0.026145181487221326
IGFBP4,0.019067445315464355,0.01873010530271259,0.02826743622695086,0.03266310799860561,-0.020724737224992067
RSPO4,,,-0.01582824315335731,-0.028221017588267915,0.024846305924620178
LEFTY2,-0.015300740628986906,0.10708240654733513,-0.02152536498224953,0.03484723435290052,0.011475352653113214
PF4,-0.012196851721506896,,,0.03581170547728395,-0.023176221833707565
ANGPTL2,0.08406373872978876,-0.047368894677707295,-0.03534999351224916,0.015208374067750018,0.06208952186129996
LRIG2,0.0667101661462095,0.04961082575314517,0.021603297338196516,0.03960270466550766,0.03931388144102504
ICOSLG,-0.000870960693999878,0.01800035750368697,-0.02567320576144644,0.0038236641342145523,0.05009051537131285
WIF1,,,-0.014713885164847295,,0.02022543335794432
NPPC,-0.023077261134098415,-0.027143454192621725,-0.047995020616431266,,-0.055697814476467745
LYZ,-0.04098039683817469,-0.02356784255755537,0.05751013357627414,0.023915184310464545,-0.08305686882931233
EREG,-0.03875601964937653,,-0.019714343712801664,-0.019447269161145895,-0.006637989028521334
