,MGH258,UKF243,UKF248,UKF259,UKF269,UKF275,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,-0.01855793614074177,,,,,,,,-0.02372829522085026,
BMP1,0.06837559022009732,0.007984180131196863,0.002592763775544345,0.017538680149751705,0.09776286739430173,0.07848360190062323,-0.037615411371977575,0.02496198482415935,0.08060729953879031,-0.04742289436903629,0.013774280373045842,-0.035633233129891334,0.05799181981445948,0.05525815433156803
NDP,0.03827560059100005,-0.02498583777591457,0.05907618494569572,-0.0005622196459790033,0.013627887926528878,0.0700577778371166,-0.011523265784645444,-0.001030209293590177,-0.06093900989067238,0.03109818017973926,0.05919483477654385,-0.03294604889099301,-0.014011187505072511,-0.018565642494933626
TNFSF18,-0.022403035978319566,-0.03580964784252451,0.042533703904162834,,0.07267114045293425,-0.011390332561262671,0.10889305787643476,,,,,,-0.029232359717859483,0.02085284910618217
RTN4,-0.02810439190614336,-0.03713919960402217,-0.024074550196791836,-0.030652462853111045,-0.12057619567880887,0.06732141785881887,-0.09377294525679555,-0.03816695432504164,-0.013025468526100757,0.07504448178744147,-0.030444505512684395,0.11210550398456587,-0.02823045526241357,-0.06911404815969192
HEBP1,-0.011183843518644605,0.055241338115451254,0.008398386321227351,0.018128148136857383,0.06774435395373092,-0.010888384758497606,0.011465120274545071,0.08820641049443317,0.04242775111155783,0.06265898094775584,0.06638115656767245,0.06194665753045929,0.03724940201395504,0.00022200728418297636
WNT7B,-0.01973637301430035,0.018298166191309872,0.03657657755261872,-0.0009133678641271908,-0.03641953826903803,0.021040729062979425,-0.03576805736962408,0.030046145722649915,-0.033189187251287784,-0.012650483638989988,0.063542724301383,-0.019603208822086625,0.01385674963730658,-0.014525749950873124
PTMA,0.027105931283184857,0.06016884205020407,0.006626928388885867,0.04589204119077334,-0.12336642279991668,-0.05290275111365802,0.08402407477609623,0.03335507711409252,-0.08083596239944658,0.06373370808985653,-0.01295145330843292,0.02350817109024575,-0.019792892062618493,0.12603406500192008
FASLG,-0.019736378593722445,,,,,,,,,,,,-0.020579542350018545,
CEACAM1,0.13443336879750867,,-0.024380317451588668,0.006383578429274287,0.19132469616733497,-0.01791427955395256,,0.031689545672052545,-0.029764594729724578,0.05366432431511017,0.05551766730201207,0.05149167099153945,-0.028633410595456755,
PDAP1,0.01282484674795298,0.05623596312887184,-0.08754944056781323,-0.04345929425443491,0.11020885375699994,0.003778951190641366,-0.004756088353706448,0.04929519298503038,-0.04839437179363468,0.03545958798096395,-0.012997924540780213,0.0430637262293523,-0.028004304370662116,0.05664231929448667
QDPR,-0.08139928067338302,-0.04056422368844977,0.006114210504539607,0.00543413364900603,-0.14007364260919367,-0.025227344814859266,-0.038337462731639835,0.022989984387579297,-0.11933438552646813,0.04358615896489636,0.019953799246573516,-0.03965767335402329,-0.03412798956635501,-0.09550059280976277
POMC,-0.013179727048153617,-0.047056593237164206,0.022987534297932304,0.023266454233336346,0.0296875365231704,-0.013216441177807483,0.03928253583712221,-0.058862323639672996,0.006051484215962643,0.040481930728519716,0.06345903919924645,-0.03456401396311927,0.014734149101481459,-0.005548478902738675
CCL18,,-0.021627925514377193,-0.030424332629006186,,,,,-0.04498773265540066,0.11460409527644812,-0.041863486715877724,-0.017974268719128626,0.004531964263688554,,
CCL17,,,,-0.020178834426400297,,-0.014205962333527432,,,,-0.02233336737556973,-0.00408966375723202,,-0.01865304365393747,
VEGFD,,0.011278670764040377,0.046078862469701456,0.06676487675500944,0.04476480254088341,0.0034547197220584852,,0.01576422018140064,,,-0.021112034899669865,,,
TNFSF13,,,-0.022959185003569534,0.028137468751380665,,,,,,0.01986480079623386,0.042885650789654325,0.13454212800619633,-0.030393577727797577,0.05663656781474031
WNT5A,0.004846612211304899,-0.005650817534928607,0.040917648541449074,-0.05417415979409341,0.0814424717281815,0.04558849125143212,-0.08288463830819426,0.02674747062797162,0.014248944424981463,0.0056621770131833355,0.030530668770103426,0.03354236684049068,0.09442971293251393,0.1310962826963863
CXCL8,,-0.014323398281560514,0.020442433079047223,0.10697567426106244,0.06058352570259177,-0.06571015484190895,,-0.07975773241806361,0.019937094312117522,-0.09105904815626635,-0.057967575912435954,0.038625969474225724,0.014046600295982066,0.10520485534617587
GRN,-0.008512802080587018,-0.011641398171715467,0.004224311512113647,-0.007465182548424313,0.07567891932145539,-0.0013212802584043793,0.028111181619129327,0.033553397074917016,0.12471628360348994,0.07206966863577649,0.04391739035148824,-0.07983995030304471,0.06135585351045905,0.07368794092954167
MIA,-0.02583321727402917,0.07791670276324629,0.053532228120211835,0.09724799547042798,0.11101505636747017,-0.008386286690796026,0.0866201632267814,-0.023772262941714264,0.01301523237173734,-0.040187870797760795,0.033075366428643,-0.030649766233614963,0.04145429500976135,0.006434203662634765
COL4A4,-0.02285713127645243,0.01661430561255725,0.07064312883528662,0.021589984776853824,-0.018287468600789357,0.02261075951173575,,,-0.02668152790369446,0.02862242315608896,0.08106098101017384,-0.007108800948255919,0.03619230633986194,-0.007044504056309454
TAC1,0.0275195898188807,-0.04980711545683712,0.057275756743389736,0.01301155336882155,-0.06834475103541324,0.003216359160423362,,,,,,-0.005400043671824797,0.07782064672199163,-0.08709927815513717
RARRES2,0.08019437300876142,0.007769803093486014,-0.06667878751849853,-0.017587479980984814,0.14698880835039002,-0.027646866847005937,-0.058192959078863335,-0.053184406262483865,-0.03834667988571151,-0.10649937074028373,-0.005738017499753089,-0.005769973124144492,0.054931914869762344,-0.0036481968568044722
FGF7,-0.05748288971977908,-0.046777041184535476,,0.020765917164768544,0.05912780628027709,-0.025507210836710224,-0.07959186408126362,-0.0022466890575554895,0.05349785509295201,-0.019056774273894225,-0.03059347902148677,0.08391504296034746,-0.004811065581359114,-0.10207971305128666
EFNA2,,,,,,,,,,,-0.020065576289795245,,,
HBEGF,0.04399216383295921,-0.02962822017910926,0.076068901605883,0.03419167070747585,0.056530549295253495,-0.001912571282763024,-0.08243256365549445,-0.05928224830562214,0.15514167723645284,-0.031351680394830966,0.041036945668527405,-0.011526530828517676,-0.04573845517435246,0.09886326192800518
CSF3,,0.05532840004658059,,0.11378659257992618,-0.019347789789573713,,,,,-0.08131132127848609,-0.030292535908193793,-0.030291084732152845,-0.01963877739597623,-0.04499651941123468
PI3,,0.023416721168488617,-0.021248351843584767,0.11970711712883177,0.0864495432574583,,,-0.008112097889333638,,-0.08859905393077674,-0.02473951197296159,0.057599176755852154,-0.042668538937275145,0.03815977968753705
PCSK1N,2.6338974184953962e-05,0.016366484002763537,-0.0025548640634028346,-0.04030134597664995,-0.0037651362614362863,0.006205177511172402,0.03491956078456321,0.09076754712311452,-0.024437764261098293,0.07790779022277924,0.008676565588565905,0.053973973676352635,-0.00913237886428253,-0.06514317239314374
NTS,,,,,0.08744371410042322,0.04732412973799092,,,,0.06482825098117348,-0.02444609699665767,-0.025081489367271306,-7.189125603232163e-05,
SFRP1,-0.028716913766884813,-0.060844697979742096,0.005150991232000926,-0.01760681302143672,-0.01765940754837249,0.07896555049768185,-0.06488122698583126,-0.004736211420284989,0.009604541840670005,0.07396573234378252,-0.009735156658096723,0.03587374789081603,-0.028406551188782138,0.006221430246609198
CXCL13,,,,,,,,,,0.014626594822792582,-0.051554185583371465,-0.04941106264775332,,-0.03649828952123222
MICA,-0.022733038895623118,0.022420458612689573,0.04162216905491381,0.06618236682071292,0.09960214715248857,0.06991373848847283,0.019878624769865235,-0.053524489392298126,0.0768721408774405,-0.02436758105362924,0.026926634069627513,0.021303875483259217,0.02214614754592182,0.01719286936524316
TG,0.038607706199707534,-0.04342109228919021,0.000591307804770842,0.040695966832703045,-0.007083234534166508,-0.014311969447787941,-0.04163714776604384,-0.021859887208437078,-0.03436157367494603,-0.01494998766644436,-0.0021576591633971293,-0.024930028204963418,0.028936856641220154,0.06787369714604005
ADA,-0.051755840973796124,0.02992741182734163,-0.006015686062833317,-0.030805588041762175,0.10348924725167873,0.05392567848383434,0.043243099070731685,0.03304499870430612,0.023554757271058678,0.019583547723746625,0.05353558551765988,-0.014137010053075822,0.08870040746228362,0.039957276315000165
LAMC3,0.07448425890706319,0.03068257993823707,0.02072703418652413,-0.03022768862232429,0.07007919783609318,-0.019020306305623794,-0.0658733163241443,0.06809706681425522,0.10137177224735404,-0.0034631419638989523,0.031653079599522765,0.022733379379402504,0.05980683817275574,0.003996712211711765
CCL7,,,-0.01935244573167687,0.007165182992201218,,,,,,-0.0334725698409107,,,-0.0007732369483267941,-0.02420845496577793
NGF,,-0.03138157679802554,0.06636568317412007,0.006423754936738351,,,,,0.013351613821104636,0.03271096400528737,0.062387048028526786,-0.027974755468178333,0.04649143910770203,0.08760672063493594
TNFSF15,,-0.022405816041348163,,-0.0152972229367431,,,-0.03837891009922803,,-0.03167222379996486,-0.03263199694946739,,0.02010042213567186,0.05580179852711,-0.03947236657954172
HMGB1,0.025776864953407513,-0.11400402434617865,-0.015368706850358913,-0.07761576554052593,0.03562623271000725,-0.016746563757313353,-0.033148493924544595,0.028578946282838844,-0.039526658580823895,0.08581729545040563,0.068937636693913,-0.0425847538040232,-0.05962237632156982,0.009342303225925141
ITGB3BP,-0.06869381929430156,0.015492005876645646,0.0415272435467656,0.014873088946474657,0.05895484498182796,-0.003613805469678661,-0.02988077104275512,0.0021263194401969945,0.09196537134351389,0.018119342354754493,-0.03424553331149317,0.02614420907375049,0.0008967139738126597,0.035905146229376454
AANAT,,0.06438091697165853,0.019522036038367864,-0.013918909857219563,-0.017452229978545886,-0.012870837763805489,,-0.06126710849387052,-0.02198027052554981,-0.02936488853571216,-0.02700283101232736,,-0.021774006275482417,-0.008969638989723517
RELN,0.1044347146527789,-0.020807097585210745,-0.03573004948147604,-0.02416011044128559,-0.051210318569537935,-0.008631652378404183,,,,,,0.11014104170125824,,-0.06109594375160349
IL15,0.04161904658808771,-0.05518612063002017,0.015837892642977663,-0.005757636887129402,0.007138474874634401,0.03612175908194559,0.04028204026201659,0.03610329134917145,-0.037156284712341205,-0.04551423801412437,-0.003155362636561584,-0.012180136743105793,0.06320896520224846,0.01126999251547363
UTS2,,,,,0.23831490975546205,,-0.007201850440359007,-0.0902531626913387,,-0.025006351733531548,,,,
BSG,0.08327001958888422,0.05498605547227425,-0.015931375670865514,0.009925813051000208,-0.002480500104312408,-0.008515446603790479,-0.08607173370943419,-0.044487332427315375,0.11747606217308872,-0.06222177518608167,0.02354544312521357,-0.0237296851751128,-0.03040046428286569,0.08335527740800762
ADAMTS3,0.029605343855830846,-0.019210872228570108,-0.00962612652304022,0.015642322738988544,0.15731625908396038,0.06931895084453764,-0.028682959154905572,-0.04170189019665854,0.07925238843983289,-0.00018358879473913398,0.0043732047807999615,0.06434456574409413,0.0661472659186706,0.04098239069165895
CD34,-0.029373629843309202,-0.03153305317171907,0.045372964769725105,0.00428980815702459,0.10492579149672242,-0.011171030882265147,-0.02186559887417898,0.011311252999748188,0.0448638699277216,0.05346579658663018,0.07568605419558701,-0.04787518752796396,0.009896211354650825,-0.0182984173598761
CCL23,,,,,0.07768677151780307,,0.0643151372191328,,,,,,,
PLAT,0.0404928828720086,-0.021265330892720268,0.01977662352425497,-0.07781975148013882,0.10076032320198545,0.023800403467115906,-0.05934055392352547,0.08617120207551017,0.05692007212622652,0.08109990141454756,0.01931052197771009,0.08201685680924951,0.08080651749926947,0.03236918323644289
NTF3,,,,,,,,,,0.09862612491355266,0.04000849887534325,0.06105404378814983,,
LTA,,,,-0.0015008200308103258,,-0.012395958117616315,,,,,,,0.027087285472109177,
CKLF,-0.020718107474364766,0.0128920963075088,0.025062897150343613,-0.003875573348255895,0.1328374474414802,-0.032777606902306584,0.09657869404825559,-0.061142412573927,0.037493126272194525,0.08178727887962364,0.07934739901126653,-0.0127227730903406,0.013738551256816537,-0.05381272227878703
CD24,-0.009332438121438453,0.010783401511432169,0.01871399019385199,0.016745578722433804,-0.03425195122523764,-0.014508561915414614,0.06809669716217395,-0.05558920594865407,0.14479383648147154,0.059934752706579573,-0.005821555431230353,0.03802499417082505,0.04100364955605794,-0.001980086180596356
HSP90AA1,-0.09748524409408965,0.036718264852369224,-0.06337814201956964,-0.002886343026072611,-0.1251597421505602,-0.039885950325967916,-0.03028915887291886,-0.0029763950691316663,-0.041196843002809014,-0.0960680055816265,-0.0393119269730356,0.06497215830278805,-0.09361232274426479,-0.025015686871174916
BMP4,0.06022758562222123,0.07502068267223062,0.030180723567542655,0.023531077602761873,-0.0018540649979349269,-0.027231155322613155,0.0789492589625635,-0.021526103203518384,0.10037702977892568,-0.0024970217049498974,0.08019781203793891,-0.01197309485147723,0.012909746734214503,0.0024594283560315133
SCGB3A1,,,-0.01935244379645815,,,,-0.01111384752775612,-0.05068366035738086,,-0.0065787288530580355,0.005910178070080805,0.0878799163176846,0.02811077570384127,-0.055210808733856455
IGFBP4,-0.002216712890539483,0.028055516591757004,0.049735817069090735,0.02082357614278703,0.16824292006616087,0.03849462404321102,-0.00426258059038984,0.024506555272616186,0.09253375616965356,0.00965243499249529,0.04188433785663918,-0.11071438988851853,0.08115899353333081,0.01491454336316191
RSPO4,,-0.0383358134165067,,0.01914516375710723,,-0.014417253937509582,,,,,,0.001889323577475881,0.01841435243030725,0.008990319614189937
LEFTY2,-0.022631131357038783,0.012273355765068538,0.02408803999981005,-0.0027720989938352547,0.15792441225981219,0.05255750224753183,-0.05206468133231399,0.017345744494993667,0.22210296518579245,-0.012378397456472897,0.04642836220916829,0.02629925576517098,0.12794337383674095,0.06995352913243091
PF4,,,-0.020075053917197303,0.035525288656384914,,,,,,,-0.018391489874160644,,0.06036963508834211,-0.027139121654821425
ANGPTL2,-0.02538541688463178,-0.02491730742714544,0.0451601217154877,0.011074497400651171,0.09051894509824683,0.05477389120509871,-0.001224854216544298,0.03508757235480567,0.04191311433913013,0.05999791593621805,0.040871008514149834,-0.011061153067464982,-0.028549333507589453,0.08107152252521846
LRIG2,-0.040100463339692055,-0.016362473144804497,0.00579107550357085,0.013373420458556185,0.03830703057921309,0.0036579849647305884,-0.013101453505640282,0.025478191725342898,0.07960652390043037,-0.03139342594274332,0.04972893744362349,-0.014302612976968053,0.039810297058762066,0.06876291803821162
ICOSLG,-0.010405110604499073,0.05435650312997394,-0.028575460201034054,0.01755700134209842,0.0943815301455629,0.0014028590792361491,-0.019994408585593842,-0.05937114096490119,0.07067224857647443,0.05312409755748308,-0.014986701410152228,0.07266057057811863,0.049745200525243005,0.05103090992413604
WIF1,,0.04812397390718396,0.03305768772881324,,-0.07074114591605554,-0.011125453381075808,,,,,,0.03906325777856124,,0.01363151485489698
NPPC,0.03585629578445986,0.03038372697169617,0.01667783771002163,-0.018592584870645693,0.0023058337232636293,-0.021702224581032038,-0.031996934510058084,-0.06331814112540105,-0.026319085722572973,0.03547996606387361,0.012053282936718786,-0.016760723439248604,,-0.03320545117145225
LYZ,-0.06873702726871908,-0.03673326965052792,0.010232872713692989,0.033153501716085436,0.03756285741493003,-0.03464106933992405,-0.038587868966262186,0.10211891471929326,0.12908041842671777,0.03787873341480682,0.06048631893953291,-0.027286700182025454,0.09138401895549575,0.06596292670097001
EREG,,,,,,,,,,-0.03440897421444432,-0.02902587469495693,-0.032766095986313325,0.023157556592047317,-0.031245168522425464
SPTAN1,0.05547057987844543,-0.04515596235366173,-0.02364680694269277,-0.08743832603459102,-0.059354744503345755,0.06157583521325275,0.013804358928492537,0.04907147107277841,0.043897012613484686,0.006889164123504003,0.018144889487954112,0.07342655333497561,0.050879094365432864,-0.13461914439949138
PTH2,,,,,,,,,,,,0.052560092837729395,,
