,MGH258,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,-0.032545580276276194,,,,,,,,,,,0.08641938902748125,0.08246908967629896,,
BMP1,0.05602405794562389,0.09581984721836438,0.022805293032833563,0.07606895108525356,-0.021696524254436602,-0.027274069847699946,0.031026534429669576,0.06879886789419246,-0.009792276843024035,0.048219398143139816,0.0233783596284655,0.011709716320398626,0.06656778919904852,0.07094456176239586,0.15093000789712308,0.06301617087107454,-0.006225575610663713,-0.010204672416792675,0.022661913198623904,-0.024322554811508065,0.016299397958079522,0.004125774114475665
NDP,-0.032501052435655195,-0.037054057365190726,0.0006705294852169418,0.12123243740870553,-0.026428986273128362,0.06913103635792181,-0.01969399404428096,-0.013158674784424168,0.049555082203654316,0.004516582396466684,0.042825831676917135,0.028014852779358772,0.18605574856900256,0.045617410049819826,0.03673938407992877,0.03426241540573866,0.039582051142570754,0.06206916399787026,-0.005555386667918181,0.016133711718604258,0.022094505242914713,0.08948505121513771
TNFSF18,-0.036079074415677745,0.023792962823648973,0.02824009219527802,,,,0.027184755076340685,0.004221602785143168,-0.016644092201333612,,,,0.017277308871890006,,-0.03748720817235513,,,,-0.019252546469097166,-0.028474091395822288,-0.03310567516263051,
IL36G,,,,,,,,,,,,0.09085963915268806,,,,,,,,,,
RTN4,-0.010016526195345451,0.057150891143443745,-0.035194142475085025,-0.04676513760957749,0.04369898259463488,0.03955837537425333,-0.08695019503669749,-0.11756036916670563,0.07325634401430395,0.004029481045567173,-0.24649468514053055,0.02465181212164565,-0.014524891931035573,-0.11446469525822638,0.039835940724392206,-0.028575252194908182,-0.03075019771128017,-0.01963914235313093,-0.03058977517484295,0.06075805089777428,-0.006997199506383683,0.06041448067513527
HEBP1,0.03502581984373922,0.009336552971526886,0.01756322408702135,-0.005370846993625739,-0.04702524698368633,0.0628503952400291,-0.010562039898488865,0.017174527040679653,0.05576653277676478,0.008086220369509864,0.12466942330070553,0.0181741081908792,0.1305529685615372,0.003358769550897506,0.078291741098483,-0.004751470992827005,0.04764387684409596,0.000476068240084677,0.023604093906470957,0.030575059148429094,0.02377440854713156,0.06681468928471414
WNT7B,-0.03178453453217765,-0.012608546322285688,-0.00518544966991268,-0.02806745845891021,0.011656974174396378,0.04890931295617332,0.003776924344666144,-0.058294235522790984,-0.007764782794308118,-0.017219592465798222,,0.015553822796729653,-0.002340718384624258,0.14508686796091474,,0.023487934517195233,-0.01784133484879785,0.08787684363874472,-0.0427953577120045,0.010321072030236411,-0.018774868093563265,-0.037916587144938875
PTMA,-0.06427504985038303,0.07030574696567872,0.021439285670397643,0.11921881693042999,-0.04329845982866344,-0.04405553785020989,0.087077206758279,-0.022563390496579256,0.039242667374943876,0.07908709210422274,0.32791758997059794,-0.06430959784535242,0.018702868922545652,-0.03588037711249088,0.004816658163182691,-0.1333788859777527,-0.03955854506832085,0.03143589876008192,-0.028956246077279525,-0.06945490508224005,-0.01864423210682081,-0.009287507659720676
FASLG,-0.03178454351758414,,,,,,,,,,,,,,,,,,,0.04281480901592729,,
CEACAM1,-0.0030223094141813623,0.04850969309904387,-0.00900092507091528,,0.010768093808984358,0.01702109436206446,,-0.050904962006071384,-0.035035718417679905,,,,,0.08556882440940304,0.012975249342448406,0.09816917715213984,-0.02226729849352279,-0.02043581297054396,-0.011490386448180578,0.06216532498759269,,
PDAP1,-0.012933013459871604,0.016599608846958897,0.03496140711136721,-0.03922942023241531,0.03310682652784189,-0.018299003380761285,0.03727578394116552,0.04115366770619074,0.007772818423652866,-0.0057455366049520085,0.01696194870765843,-0.007166170698891545,0.03584283384249463,-0.023406334657170236,0.060629275869824625,0.07270294691462369,-0.06418299444887522,0.009774587176111762,-0.09521815523220221,-0.02399661815499633,-0.025561992445401565,-0.06317107147572555
