,MGH258,UKF243,UKF248,UKF260,UKF266,UKF269,UKF275,UKF304,UKF313,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,-0.02500418447908308,,,,,,,,,-0.027147254058003827
BMP1,0.030302495301069383,0.07057535828389262,0.11010709673571804,0.017738631336136176,-0.040768899780310765,0.045323015143577935,-0.005295104664052711,0.045321909869196486,0.03266814898210026,-0.04679707205752051,0.0366943457235149,0.00841384798930141,0.03173082170993399,-0.02435871186048895,0.04687833345920796
NDP,-0.03796100269326726,0.024366451753415515,-0.032119763871355476,0.08807459887587839,-0.0009426181320181519,0.017515379033813422,-0.02329188387448564,0.010987410142578547,-0.013478876614135608,0.042225967066717995,0.03544752168279113,0.09525500909662069,0.017197793730439545,0.04217108971721857,-0.0008658156415148794
TNFSF18,0.06692256985299144,0.17994219019096047,0.035443925550838064,,-0.011035271156602201,0.028106879424080924,-0.012622089446573373,,,,,,,,-0.016080718018579316
IL36G,,,,,,,,,,-0.01838598951023911,,,,,
RTN4,-0.016979852488787275,-0.07873191191445764,-0.07305046612321942,0.02016524030891365,-0.031405005168564024,-0.06640112667100986,0.0315358454116274,0.10134447813343887,-0.017174791133184632,0.04460867614318935,0.1292440667296395,-0.06979856149920105,-0.0524071295049515,0.03822565751351529,-0.03417185300061559
HEBP1,0.027878431865159554,-0.04427805922939492,0.016820160737652592,0.07412455026081591,-0.06267643535982463,0.02784893465929789,0.009517601107631366,0.038533720633026285,-0.00862681361814337,0.026923378043369188,0.045161496818020654,0.04507139964818864,0.026425760613774173,0.09370697577438529,0.009307942474833165
WNT7B,-0.01840845242002966,-0.059017100735712445,-0.00880405264328079,0.13664479068086496,-0.016105672979510783,-0.026101966206085615,-0.03618004443778265,,-0.01083796356049527,-0.020208321298914863,-0.020288405337951308,0.017623188452783576,0.010971194801362934,0.001663802288381196,0.05069454599313664
PTMA,0.0325710751144441,-0.03950442500144136,0.03912170499774278,-0.06788950134666794,0.0032183308572942327,-0.000354499315049415,-0.032635921701929214,-0.04368730545892982,-0.06100413252513112,-0.0006326727499695365,-0.008114010570425496,-0.03302078944456612,-0.02098595022918267,0.007995171363487206,-0.012773747246431084
FASLG,0.08521136878152412,,,,,,,,,,,,,,-0.005576510726977556
CEACAM1,0.09968802425765907,,0.03619450724841768,-0.024742253263639127,,0.016439335811885322,-0.01985153968813039,,,,-0.044493099957716206,-0.03522058858496307,-0.022250839081760527,0.024860885226530332,-0.03275913691848231
