,UKF243,UKF259,UKF269,UKF296,UKF334,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH881T1,ZH916T1
IGFL3,,,0.10075149108444674,,,,,,,-0.025175753265982977
BMP1,-0.034698162438954044,-0.061076972931096894,0.10081817039324213,-0.008930431025889349,-0.011767576843039043,0.00390266340314299,0.018110468412865975,-0.056743873600775485,0.012409709534973714,-0.019273634563755672
NDP,0.006195692857174688,0.04399520041609411,-0.012071870103279928,0.009723220515167509,0.05506774692473645,0.03150225237637721,0.031103187736170535,0.03870453594320369,-0.07039487949516238,0.032980285774231115
TNFSF18,-0.022337922420049318,,0.00024272143996434482,,,-0.06158813680567724,,,,0.00656323786473379
IL36G,,,,,0.08974794632931472,,,,,
RTN4,-0.01866130888618726,0.005372832079196123,-0.07378768084782539,0.018886681172639162,-0.04701965112749441,0.048929176422314445,-0.1189001549865049,-0.06222554016029516,-0.02877105597010618,0.0682658439453726
HEBP1,0.006829531344418448,0.023453568673637678,0.03271530056059702,-0.01947315838218643,-0.01579572653773725,0.010656064989926687,0.02451067263069232,-0.0019818815634701508,0.025257849584504822,0.059705545610611394
WNT7B,0.04291507383303923,0.013549503820158858,-0.05476593893877041,0.05997796071118418,-0.01736075105475881,,0.03761077177393052,-0.012097759234710697,-0.020366673885378588,0.1491317221433293
PTMA,0.04091010204894515,0.02027973207113974,-0.03199325113493207,-0.03321832036197704,0.041734931967078795,0.036274336325814525,-0.04081415271061794,-0.020217559659934808,0.0409675677872981,-0.08004714250841823
FASLG,,,,,,,,,,-0.021834922218754705
CEACAM1,,-0.005671490820856808,0.037605826395423925,,,-0.04330691256636239,-0.01249764172871278,-0.020585066983187572,-0.01351765766452986,0.026198814850391463
PDAP1,-0.09543996760433125,0.045871087594515796,0.05465401416663696,0.03810444631104626,0.0049704466859171095,-0.07740680189021736,0.0820730033198081,-0.025329917042586705,0.020735058084688313,0.029623037571140372
QDPR,0.1100944549247308,-0.0026401089815668755,-0.052502751794712005,-0.02603608038847069,0.0040708145673370635,-0.055516946735152006,-0.01525286584024757,0.02359511395751913,0.024291882832718874,0.0033195538050709203
POMC,0.05486642732291991,-0.03426416118942426,-0.03333072149513498,0.01998327181035266,-0.002603002676183768,0.018809694262734104,0.008181779357664686,0.02359265805272874,0.09994259526087859,-0.04651422100071459
CCL18,0.011239741244413196,,,,,,-0.023735732246105524,-0.03767042007057098,-0.046551375588747355,
CCL17,,-0.021326316940671344,,-0.003237277561945284,-0.014429368607320756,,,-0.014604108679323038,,-0.01979090450115834
VEGFD,0.001297625016574586,0.013070020822439866,-0.022166784962534145,-0.01352892246071854,-0.015464401262158768,0.010577040412918513,,,,
TNFSF13,,0.024412980214473246,,,,,,-0.028023090984843714,0.08538269268162268,-0.03224762700495803
WNT5A,-0.05300470623605628,-0.028026509344851323,0.0770656700844511,-0.008741608912949006,0.004382071523473996,0.05346741646458801,0.033125080596841716,0.05123325928409341,0.03999330994964092,-0.044486540696048335
CXCL8,0.00841723046976579,0.07316696113874238,0.02888689544152042,-0.012598720852526465,0.013633927192997764,-0.04576633703400847,0.18991354652498346,-0.046083166196959895,0.06061224237840779,0.006743750424293397
GRN,0.0017755749119111957,0.010263907502451753,0.08872275394802344,-0.06432236827740712,0.0034877880375932396,0.048857483154537626,-0.07506087469698486,-0.053155190781343196,0.01381785537761288,-0.052307063541545434
MIA,-0.026644796629696575,-0.03830745965257145,0.007912519099977491,0.07751752711619739,-0.021179206224307027,0.08886731410709092,-0.02202572336119632,0.007966206908702256,0.04699035800655214,0.07850683461786034
