,UKF248,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916bulk
IGFL3,,,,-0.01636014228227594,
BMP1,0.019410247444106483,0.0012842244201663141,0.05445399659556626,-0.05493721446683178,0.14122265784949
NDP,0.0035239902712122786,0.013367176348801628,0.005584649111478905,0.02782225237208906,-0.006182443986358686
TNFSF18,-0.010946903035447094,,,-0.01687192596224166,0.02871111393214331
RTN4,0.012897516104414272,-0.03040304069450933,0.051764577594062666,0.03152767442706798,-0.06344313452833947
HEBP1,0.025645069714710828,-0.015029248248108612,0.019783990119197327,0.028599651111100865,0.029902955610958074
WNT7B,0.024870251210845226,0.05340034726197498,0.02436687346439193,-0.035280562090342416,0.03587373227593376
PTMA,-0.04173992562226038,0.033059959821707195,-0.022128124674068696,-0.004167611614451095,0.015295867921228109
CEACAM1,0.04279277494602673,-0.028639464144786204,-0.019560873524952047,0.061807381922078776,
PDAP1,0.005202731512568105,0.042211301673744483,0.022885195848124595,-0.053568790310118124,-0.03099591477784178
QDPR,-0.04364005631230037,-0.00897935953329104,-0.012974572681470013,0.029500118012527148,-0.11709120706541123
POMC,-0.03517895073223399,0.10687685269616379,-0.01788960736499734,-0.029044837518780568,-0.054584098852607725
CCL18,-0.026149125384953627,-0.0006626685999304324,-0.028066620670032804,,
CCL17,,-0.020318313621696414,0.028527391316040852,-0.021569902555249418,
VEGFD,0.056467784405976156,,0.021299267361401163,-0.0009167339033896771,
TNFSF13,-0.019732975402139415,-0.027751397443613122,-0.004798671437042877,-0.023130931003616566,-0.029590236728621225
WNT5A,0.06207326166809858,-0.025331270750436747,0.009672271707491483,-0.06595850219365984,0.024063645530802414
CXCL8,0.02585003131741648,-0.01287225249981624,0.04579491584983527,-0.013037362899179889,-0.0017337405161761846
GRN,-0.007881172752317988,0.05618822974265738,-0.04655281027734342,-0.08754836472002066,0.03695685120406561
MIA,0.05456586198614533,0.04811288724944973,-0.025397049457948562,0.05026072916034407,0.054604982152682925
COL4A4,-0.020159542094421404,-0.019752812808880776,-0.03132001703036354,0.01352249187073044,0.0002973202399008664
TAC1,0.022369180033366114,,,,0.01453424446743635
RARRES2,-0.046139127918513836,-0.012465992492645689,0.08630100379612692,0.0040902793896160465,0.005424701021845578
FGF7,,0.02481812430540845,-0.04819938134747983,0.0027586238627950333,0.013605835150732234
EFNA2,,,-0.01859130121161835,,
HBEGF,0.042416479933661794,0.03844796017808602,0.04670470375703362,0.06916053216233241,0.09943169492678915
CSF3,,-0.023079832777356417,0.07940604255503525,,0.10083722379086175
PI3,-0.027509982397968296,-0.05133733420765593,0.05289593555907669,-0.018327150192313266,-0.003183466016968405
PCSK1N,0.0042268397531911904,-0.03036215924314885,-0.060284747581544104,-0.1156921008462184,-0.07554631241240765
NTS,,-0.018775813676207953,-0.02264997257738563,,
SFRP1,0.010431038085865312,0.055213936522555816,-0.006552853675475771,0.040384405669487436,0.035336868809829204
CXCL13,,0.07829865887717855,0.09180154071213076,,0.07840214818752139
MICA,0.07130881690442967,0.03931512969091491,-0.019637458298092107,-0.04611498246635924,0.035384144619742285
TG,-0.02375545864776432,-0.02699795893369253,0.033230450950495455,,-0.019288396286221064
ADA,0.028898669970807107,0.029770671810423744,0.031445392384242946,-0.01009154382034886,0.04289621726048372
LAMC3,0.014594475852462463,0.01685012005565221,-0.03097181938941936,0.014421197016790737,0.08306690721472354
CCL7,-0.016633052764505593,-0.030452468734997955,,,0.012119646757032022
NGF,-0.02855812561445453,-0.009112140368059612,0.0688135118029937,,0.019539894227916
TNFSF15,,0.032064834262910215,,,0.1207313064185319
HMGB1,-0.025443121046896434,0.06118667932939951,-0.03256498075439641,0.04937231848253852,-0.0537628866921985
ITGB3BP,-0.05160407870353924,0.03782326909989385,0.062239951739384645,-0.026262767297914137,0.04056456380340039
AANAT,0.005400754110784328,0.03727572921305372,-0.02501885605806989,-0.02668127745354655,0.04001205400926562
