,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF266,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,0.09305342152762228,,,,,,,,,,,,0.004111513518801331,
BMP1,0.05035633542817571,0.1344915321203714,0.0562303186674485,0.06952413456294633,0.07786973790400237,-0.026982137277213963,0.28579492113976707,0.22976862276670992,-0.015501753726749182,0.0874550865625966,0.028704023766533426,0.05490765320199412,0.04069870919340499,-0.10533203562534975,0.03639611466259553,0.09140639926009307,0.026340532860611623,-0.08231216168361503,-0.04116930698654525,0.030713626942186874,0.13856678267651693
NDP,-0.019882560882059003,0.2333244950626455,-0.006926766052898219,0.015237587597549259,-0.004837053976935066,0.0431610636880773,0.027419442004255428,0.09318941430235844,0.09129624859945361,0.03128484188944142,0.032748931340010105,0.05465659974804742,0.03385519994177619,-0.011442902641361044,0.032029986932291865,0.15323011176487425,0.08264723407280815,0.1352926021435146,-0.011361950309110752,0.14591009753347042,-0.0023451155625764104
TNFSF18,0.06725772084455606,0.033018424110288214,0.04005082700602503,-0.008315267753964429,,,0.07589847136327314,0.08384406957519894,0.0392178056142574,,,,0.013705254396349523,,0.02915688251363647,,,,,0.06301656614516402,0.03233845694067427
IL36G,,,,,,,,,,,,0.014810596575269884,,,,,,,,,
RTN4,-0.06095653103894628,-0.19832195074222891,0.06653462335064504,-0.048230081318103316,0.07777802818737845,0.012873433758266198,-0.3338273769534839,-0.30228571212096317,0.04094506168379735,-0.09815808614015627,-0.003910755059391462,-0.1024182505709027,-0.13648856388361638,-0.006242864401742162,0.039111082990654036,-0.1236179829746337,-0.003246212126742612,-0.03886453356135328,0.10587095593608949,0.06354888723507779,-0.2479955205668315
HEBP1,-0.012564167971713273,0.06388940923104997,-0.010126993617782198,0.012899941091480335,0.03779545373535536,-0.015655317444563926,0.1485563961048333,0.1416551319926085,-0.017927132976853218,-0.010678021290454452,-0.03749268608093415,-0.00808473452411127,0.005411559129041917,0.06338897719436734,0.04631058493760527,-0.01227366793806671,0.1115189984213022,0.09338440128891372,0.015394526923508576,0.12514780540335926,0.001986840773242209
WNT7B,0.08315181732750973,-0.13499628996372195,0.021589927500426338,0.014471023139760942,-0.023782255789587644,0.03410364913689956,0.014711549871763081,-0.123839096177635,0.07028530567337898,-0.024951805266809887,0.005894703484504994,-0.037923052352968514,-0.04561553008454658,0.04372492903706584,,0.024278454523579504,0.010263836941426624,0.10201429378768534,0.045905815588209234,0.04166269762210656,0.06047115295561189
PTMA,-0.007849999040903955,-0.1772251755268573,0.029230611387688708,0.10968946333033157,0.154975486911205,0.052986261048121576,0.4311165611048796,-0.14148883365824377,-0.03372988846518195,0.0012368413442485585,0.060164794809573145,0.1142296468627121,-0.14230308131444333,-0.08850671662738262,-0.009795004175250557,-0.31266681575139116,-0.007823101608745848,-0.01638918575414765,0.0589272696610061,-0.13322528898582228,0.13546303974924817
FASLG,-0.02178438133625323,,,,,,,,,,,,,,,,,,,0.002175999354564435,
CEACAM1,0.03397258747110967,,0.01346249699482202,-0.004699475014458283,,-0.018666020821280407,,0.11939056801279783,0.046098731927402485,,,,,-0.05315589825333022,-0.10935096743289399,0.07550251071827921,-0.052457568785322484,-0.0075426182777681644,-0.00791607898179254,0.0718415829570528,
PDAP1,0.08707435596889494,0.06570547078040456,0.0589970615681338,0.038695693772749486,-0.01621520253044446,0.06077747547093851,0.12881543779282004,0.2502300234134407,0.017672739672808305,0.051814608175013446,0.1258096578100818,0.03233645826435713,0.10573413810989866,0.03095827676669378,0.09221384868756279,0.04482311319200853,-0.04496894228915188,-0.04066658742371809,0.08033480452105728,0.033843174212393204,0.04152052055838406
QDPR,-0.014520797544741329,0.08094308377356117,0.022792917073199803,-0.05315895602837075,0.11246710589953957,-0.03498618180899988,-0.11259607167386076,-0.26004486728197024,0.015257397389950736,0.008384151089299127,0.061695145052700386,-0.0437037388275513,0.009041310674986825,0.0019048052765665156,-0.03492077636127493,-0.2885802510574723,0.08009637116341904,0.11996863729086985,-0.021215306459437262,0.14392075643163538,-0.1768313335474779
POMC,0.034694619404137664,-0.055795460647368005,-0.005405165567853091,0.12809722223483705,,-0.020294733823120338,0.025077141136556264,0.03358799089243508,0.054095799476204944,0.01479464721581072,0.05408965360192306,-0.051225539318069134,-0.07131441859971427,0.03849556500491149,-0.08389255704486417,0.03978899406671804,0.09384189615942529,0.09030816049577613,-0.020399019896741918,-0.0013409354025152001,-0.06806644326397092
CCL18,,-0.06264958138170801,-0.04431999147834049,,,,,,,,0.004377972453185613,,,-0.030523216097021872,,-0.07366319326219768,0.07293737784780642,0.035535197381070145,-0.01764150566914643,,
