,UKF243,UKF269,UKF304,ZH1007inf,ZH1007nec,ZH916T1,ZH916bulk
IGFL3,,-0.014158630043471919,,,,-0.022372718661361698,
BMP1,0.07027118281550797,0.10955505012163005,0.03801275682263443,0.05483542079209861,0.062334666317175186,0.004962159441793463,0.10889683069007608
NDP,0.12845406195029582,0.004230843646683,-0.015355187267630311,0.05660947587642431,0.11096129980912217,0.0716674920078398,0.04935131576524712
TNFSF18,0.051022428503006215,0.051904958980952355,,-0.03278539764273256,,0.020154558347146845,0.06469153094898704
RTN4,0.02489091161406983,-0.07564100139146684,-0.02030281041257727,-0.017940251438745947,-0.07386877491824155,-0.01947178080671582,-0.1626677821687012
HEBP1,0.0756995794209244,0.027447549241578422,0.003053302268644354,0.02922845247835476,-0.01629882349762211,0.07816279731536513,0.03270872704812941
WNT7B,-0.053876625191599435,0.002302159293522705,,-0.036093522772474095,-0.09088641296668522,0.024893362372242253,0.0029123644468282027
PTMA,-0.12642038497463456,-0.0347891427652979,-0.0036584121777043536,-0.07153516083271189,-0.11917544955452626,-0.09109999325612317,0.05371847786726763
FASLG,,,,,,-0.01940385126243574,
CEACAM1,,0.02782927548289049,,,0.021224365594096718,0.03603076889663934,
PDAP1,-0.008796985763748757,0.04539617008845553,-0.04353725282520028,0.025047080367363223,0.018910829562213457,-0.011671407595253572,-0.028826138086032974
QDPR,-0.014674715431227326,-0.03569780345692109,-0.01654515965239597,-0.032378165424672235,-0.037692489098888816,0.053915062934883975,-0.06640902337225717
POMC,-0.04612327628807361,-0.03566544085664786,-0.0286702066565083,-0.011011929672654566,-0.09633014696216068,0.0007555683135857678,0.003940927693566058
CCL18,0.015427619912066813,,0.015363454656900193,,-0.058683505981576435,,
CCL17,,,,,,-0.017587411736218583,
VEGFD,-0.019572341639896747,-0.023719503287040714,-0.019823609239438898,,-0.0661135292107095,,
TNFSF13,,,,,,-0.014534483751313148,-0.04094616206782797
WNT5A,-0.06162938522489577,0.054626297148048175,0.008074145781858317,-0.008895558456896796,-0.08523599617615785,-0.0003466837236272048,0.034580991396473006
CXCL8,-0.01998003218175425,-0.02848340042835243,0.051459827585723476,,-0.11409637494931978,-0.043192727639220975,0.03103284316609534
GRN,0.06830905429702597,0.0354287072102934,-0.0204411451667155,0.039128903405332045,-0.16990577902502427,-0.042906852201122246,-0.07399958375871214
MIA,-0.05196531700071286,-0.0017045564807167436,,0.08804240557839994,0.06504122304099988,0.08475551698821948,0.04449054175896977
COL4A4,-0.01957664383126381,0.013214145696880666,,,,-0.01958420575144182,0.12011221285721851
TAC1,-0.05758596153790436,-0.07616214674872014,-0.005408472333286704,,,-0.02312044109055703,-0.08631409042092535
RARRES2,-0.07237623772336031,0.030606223758717188,0.04165938019766216,0.004330253113035022,-0.0436201504618017,-0.031139577116966254,-0.023950215954666225
FGF7,-0.017532283575878747,-0.009634419214525273,-0.0345671218186918,0.0024800923076442496,0.01889316048428408,0.036278664262922554,0.02808210095310323
HBEGF,0.021652781287974997,0.029162936283755155,-0.03346217809827957,-0.03132758208561429,0.009720044565376233,-0.05079303141726248,0.06376465880785571
CSF3,0.032848657862167834,0.03632469454853009,,,,0.07392526805012642,-0.00730690272248266
PI3,-0.043149087098168476,-0.016621354010728614,,,0.01526271949077802,-0.04023092297402759,-0.022251623886520678
PCSK1N,0.02216321461271277,0.004548878473382037,0.007312877088623562,-0.011453719001225346,-0.021045672948339787,0.035306396935282036,-0.11054046523029418
NTS,,-0.018143342822681062,0.011423115428106463,,,-0.02742090229573094,
SFRP1,0.006723387219637395,-0.0187732005967267,0.05978796025941191,-0.022152635305394925,0.08391712917162475,-0.02678370999564036,-0.012907912844002683
CXCL13,,,,,,,0.10944077473956837
