,MGH258,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,0.011092555626298078,,,,,,,,,0.012688069543456436,,,,
BMP1,-0.003285535483960093,0.06470445197514284,0.04247786587514474,-0.026216057353190533,0.020573600930948076,0.06936107369849218,-0.06098335547198596,-0.03150228954658409,0.023347828119846224,0.06690281479650499,0.12365080600036979,-0.059644711428740976,0.05236241511379087,0.025322133731110086,-0.052525668599958,-0.03147522562806058,-0.05797182446488226,0.07002082084378687,-0.10193752356890502,-0.009901921846832544
NDP,-0.00391152422696306,0.02780794429812782,0.01615093234608914,0.0008485896573067107,0.00503034738334948,-0.00159431379020943,0.07704965260400551,0.048536001477474146,-0.029744449604625894,0.1093703964193792,0.0025450310574618405,0.04664033732630104,0.024750502696931746,0.021587916342568386,0.04247874242870352,-0.09708271516128338,0.022064865186691145,0.07786773889424624,0.15221623797655232,0.07015918827230848
TNFSF18,0.11766527624041301,0.13233629449811568,-0.02009039213776968,,,0.02714493878263775,-0.05865324571558956,-0.029165210614354696,,,,-0.031705832100370916,,,,0.024073915215337756,,0.0011428170095672135,-0.04676817532425106,
IL36G,,,,,,,,,,,0.01898662646300512,,,,,,,,,
RTN4,0.1857277368210749,0.05186366148632012,-0.0075505134392033135,0.010135906283434158,0.03170833615657769,-0.14192802181800643,0.09444794269477752,-0.011871512148396275,0.006685846757814391,-0.142118568523742,0.0001221062644089331,-0.0038678481683095105,0.10222068205795609,0.007151804653165181,-0.07755647049014244,0.13931370526513936,0.06999448575645933,-0.0015011927378580658,0.11806420175122354,0.09409551864279561
HEBP1,0.08064460308971513,-0.04960191578245797,0.0700496793819424,-0.048299627333122645,0.01230868347863943,0.0666630592778247,-0.020062721460997714,-0.005914518081342201,0.018260074275952286,0.2034020890754597,0.03129705000717558,-0.02594088025002992,-0.006110060695868213,0.05316871371305473,0.07259544688750127,-0.020258370218936426,0.08328580172120031,0.22699879528339753,0.014725821997959972,0.1325834503629055
WNT7B,0.0903843568559843,0.0523842207097407,0.06795941297340301,-0.034175279493624144,0.061611836556822445,-0.013209359448541177,-0.111275174984141,-0.009809109523350738,-0.01677966282813703,,-0.06981152741614223,-0.057432789846223985,0.015500736032898688,0.002185180402128849,0.08611586407317871,-0.05530432484266549,-0.02583883506710623,0.054766030999176485,0.08675289088405937,0.10049079545227942
PTMA,0.1403915524414639,0.08953298855716588,0.054076575639466364,-0.022132958531437836,-0.03810626960526558,0.24803672473808133,0.34031894569331894,0.029102083585529636,0.04124447373821525,0.3009999320265252,0.14664207474673124,0.007739843463203616,0.06663489930624644,-0.0809728865002002,-0.034852971415967104,0.19261921007542737,0.026515973752386412,0.1484406696889614,-0.07425604905305022,0.13133995925082606
FASLG,0.033174275640229886,,,,,,,,,,,,,,,,,,,
CEACAM1,0.03957871844945211,-0.024073115328078497,0.06690414423069287,-0.008662815905214508,-0.026426018262493,,-0.04281092186531013,0.05233095163050453,,,,,-0.006286617741266916,0.037795281312225884,-0.03659275758588525,0.0683761560407357,0.033747876101140495,,,
PDAP1,-0.05192561794229488,0.0427595230163433,0.017647128760018508,0.0008046748626636158,-0.08867648780724775,0.08338829581620832,-0.10328235793760775,-0.017808409150331446,0.019990536062068895,-0.018627657443409364,0.013358851210796668,-0.028950953238793643,-0.14571257277619115,-0.027260058311315147,-0.07043803529454794,-0.04023907061160205,0.013002303203747238,0.053426721164427336,-0.02622381723714193,-0.036886675184741015
QDPR,0.27089006601281934,0.02054576222085446,0.01601390415453753,0.06563610011995485,0.05607351781623745,0.11315881872976169,0.4029951054217677,0.05662460076405686,0.10487279025169162,0.4290448992845626,0.1384363811961438,0.03717493655559142,0.25404903593978856,0.02138376944871647,0.11828742821014902,0.17602542311303573,0.06737020705984222,0.15357454247061883,0.23302189779322066,0.10145898242227738
POMC,0.002484410016728582,0.008311028227052146,0.04116413651843527,0.03144803005165747,0.05325702624104821,-0.0026842086832780223,-0.018524068624040855,0.0027927616055955034,0.023251371486226868,0.06111261691884422,0.0394669463433015,0.019636405399240966,0.008303625252822244,0.07924637043999733,0.07116750052468233,0.023869830988693684,-0.022998396868331633,,0.10332848045251726,0.01270322801229846
CCL18,,-0.030040973404559284,,,,,,,,0.06876111441138377,,,-0.0601824810314254,0.007601455131659156,-0.006833542258342894,,-0.08123155862157119,,,
CCL17,,,,0.001820852799606127,,,,-0.019725757015816272,0.020097234236964436,,0.022068957609089234,,,-0.01910482528700769,-0.017527731128095227,0.04024497245580187,,,,
VEGFD,,-0.018685503697146923,-0.04122192408239228,0.03265009033688502,-0.02528291808106174,,0.005049036605313713,0.02357719392899019,-0.01523395968224996,-0.05846510067667818,-0.012439478085373984,,,,0.02088321319857564,0.05703022341351723,,,,
TNFSF13,,-0.02266988973901178,,0.020601251371363215,,-0.0033640486309820658,,,,,,,,-0.03665929013698469,0.04820451677999235,0.018902451490009606,-0.02121036279039488,,-0.008177165840642611,
WNT5A,-0.08989177949149972,0.02515800748898573,-0.0005936435767251421,-0.035418254872623185,0.043475946775142625,0.13320701366766688,-0.05719854537477429,0.05360395684234652,0.018129969712787086,-0.09470864490495688,0.0454003078623804,0.02286432959218736,-0.03888187615745888,0.06420515510885354,-0.0017285450349495935,-0.04029440198821654,-0.05221241537380153,0.06730400589305091,-0.16190900218411505,-0.06079126840585495
