,UKF248,UKF251,UKF269,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1
IGFL3,,,0.011092858699308471,,,,,
BMP1,0.06406883666483641,0.006890822571694745,0.06419437905911009,0.0032730208497671067,0.041040498153964496,0.041518484126790295,-0.006579058031700609,0.01037872882836943
NDP,-0.003142346919217879,0.010903400062368562,0.0336745836050763,-0.026950706079499922,0.0014971714881893662,0.03153192587919557,0.039837479908530884,-0.012398522548494441
TNFSF18,-0.023730667658277187,-0.0039403053019138965,0.01194707905819748,,0.0560465183218904,,,
IL36G,,,,0.06811920822668154,,,,
RTN4,-0.011322099750697362,-0.0147492162895636,-0.10052830639440202,0.011407836329391642,0.06148582737394519,0.05835768201498926,-0.015744290581286756,-0.016714193354801135
HEBP1,0.04159338888061284,0.004672946086015856,0.03279024080995255,-0.026687543897005794,0.003350471254882443,0.054972846544427516,0.031059291626115898,0.037594876207497734
WNT7B,0.006949249981749906,-0.01722763548716353,-0.025200477669668687,-0.017926775893939154,,-0.03804960381378635,0.08284879147024453,-0.025860405098310637
PTMA,0.020924791659516013,0.05483068145589295,-0.06397567103776083,0.06189615575731014,-0.07704924299295443,-0.056651095903861366,-0.07133626447378238,-0.027468279680052218
CEACAM1,0.07423444310667486,-0.013221174063895919,0.03781446283939973,,-0.028749528798633125,0.06189796718323533,0.0006536887285713734,-0.017163926969733963
PDAP1,0.03558806004570527,0.03422852409533534,0.06719952005053853,-0.01570255964428546,-0.03152456033876424,0.00758129486405722,-0.019775461698119206,-0.0082456169810907
QDPR,0.011541637495538508,0.012152308714228077,-0.024903510137365376,0.05675933461066603,0.022192902285789205,-0.0031397943644479055,0.015727144163006603,-0.018751768331962203
POMC,-0.005825309139684206,0.01777020762893508,-0.016141054845385593,-0.03494475196744228,0.013253504625821201,0.015562047069020937,0.046435255901882196,0.05377698051839687
CCL18,-0.018848264592887264,,,,,0.00687157037224725,-0.03025697362022534,-0.03205817151413464
CCL17,,,,-0.014899819512334678,,-0.015126266979365963,0.060893071085473795,
VEGFD,-0.01884827057809407,-0.018936679290759154,0.006108232334398878,-0.0159685980684965,-0.039084354389517906,,0.02302706655724797,
TNFSF13,0.07975891791030856,,,,,0.06454467148103983,-0.030972032983400483,-6.247076343885748e-05
WNT5A,-0.020781120793886856,0.07425041772050243,0.08890101189532111,-0.00042498824059328087,0.09692752195773124,0.044348715115711604,0.06073233940182502,0.09670521572859303
CXCL8,-0.04343335507634172,-0.01773118407508953,0.08713484256337527,-0.02707106393291609,0.040301897321540055,0.001479975011439701,-0.03310740423671024,0.021014164615234643
GRN,0.027349129520919304,-0.025205473046432104,0.10649291764364509,-0.016602663752586413,0.04560382940526914,0.01017744196475714,-0.05229109702435537,0.039542035789917274
MIA,0.016044289907172046,-0.0168409582657511,-0.03363773266703858,-0.006616309806215037,-0.058776489212414455,-0.023991649632500826,0.04028134075528614,0.009594237937438322
COL4A4,0.008546253464228394,-0.028321475781936032,0.08700622530161731,0.010461856916093974,-0.030603819223312935,0.04294826173442815,-0.006123470201728592,-0.03459124524625042
TAC1,0.07782182683362737,-0.03995568598173799,-0.08085793180539994,0.0021020135390964765,,,,-0.016204498915407876
RARRES2,0.01914336649113306,0.06056051199747335,0.08820311976942714,0.06913124632154707,-0.186205442292528,0.04669059247427116,-0.00836256003412449,0.03311304105089444
FGF7,,-0.021373544121830824,-0.023463047320335693,-0.011732998422957648,0.07864343768071207,0.05905722737832731,0.026750591388932172,-0.004952545727239012
EFNA2,,,,,,,0.07000306433387275,
HBEGF,0.002489527625266036,0.051006344362493135,0.040070110494399826,0.03530755459948062,0.00356157902844747,0.004368097459032037,0.02292711519224374,0.009470425129524514
CSF3,,,-0.01567134855832365,,,0.04671483746040553,0.026922148466353834,-0.02460683388063908
