,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1
IGFL3,,,,,-0.01978136972153621,,,,,,-0.015863884589441282,0.06352549426043982
BMP1,0.0183313824446057,0.025408523907179792,0.040945410229919335,0.04067803833728,0.13920511798694696,0.0037273263251367287,-0.006326222633207018,0.05663238109734045,-0.03133197917800257,0.05697247312598768,-0.008189470784987598,0.0727957247475546
NDP,-0.02629895942437739,0.04359120693550549,-0.015074865257566964,0.039605268311009904,-0.047075955287503836,-0.030331381689002377,-0.057723057112538535,0.038416433852176676,0.02864038368013168,0.030944833615527675,0.018589055930296264,0.013324953623397565
TNFSF18,-0.013770227645489231,-0.003374517917570448,,,0.0668524184318574,-0.013383383304736712,,,,,0.10389323254691414,-2.6103694194131517e-05
IL36G,,,,,,,,-0.01823410387541819,,,,
RTN4,0.05269113020992485,-0.0043957693511851356,0.00023898458885763965,0.057405798568319184,-0.12300895742550004,0.004256643695384871,0.01605702224641958,-0.020306106450918487,0.001317418651535402,-0.0666440848960918,-0.06387555533474018,0.009967783003301152
HEBP1,0.04907041843814071,-0.03699716861182149,0.023205692347049535,-0.006854137496706522,0.03504954971444298,-0.0027240864566655297,-0.002607156014436384,-0.04863531945162106,-0.01940067828696978,0.043673453701800535,-0.04264636610081481,0.04237855668751005
WNT7B,0.03600324546241308,0.0570774207670624,-0.043912615444766816,-0.0035065466643143042,0.006620171489268806,0.008262956946470416,-0.012031756098130847,-0.02004138148273355,-0.012980067502691348,0.030831286301305577,-0.03421038494623339,0.06400919960294743
PTMA,-0.049810445160138384,0.0365331426951791,-0.01583640136519524,-0.012982832746713446,-0.05385934422456398,-0.02834800655936487,0.005187311926316609,-0.011797006799676851,-0.0272626056792013,-0.009366434078952204,-0.04622569231716738,-0.03172622404238722
FASLG,,,,,,,,,,,,0.13726630661815178
CEACAM1,0.008164707517637627,-0.013221175199477332,0.07461289011342906,-0.017889043437669894,-0.027849280294242402,0.0301449712024374,,,0.04960486920092635,-0.016268860516898975,-0.023507819140183017,0.01961611960055087
PDAP1,0.008268066491664065,0.006394767132826435,0.020419879204739397,0.010056632127452171,0.11748474041030765,-0.004280216662275217,0.0010119572191031425,-0.037397179282176285,-0.0312530224941128,0.04586554393716769,-0.03496187397441498,0.013590936307285483
QDPR,-0.03860748302049572,0.015880382966117726,-0.0014363924033617842,0.03915874810776158,-0.12852310036545309,-0.02671554972143606,0.012196865667574804,-0.00805040378124697,0.038389875063473064,-0.005233110163833827,-0.02069303608071369,-0.02163739041203772
POMC,0.028399911268510897,0.13131230099372437,-0.0010818995101620243,0.03545929817377304,-0.018025329475335902,-0.015529019653794504,-0.012714721884903187,0.005117908059215908,-0.01640711744459339,-0.0023206218438318305,-0.05084261225212025,-0.0007594064877522381
CCL18,-0.02764099067130107,,,,,,,,-0.004336667561880826,-0.01798652542167441,,
CCL17,,,0.029991755182083104,,,-0.016691684645700415,0.06131286851115709,-0.016657371556228023,-0.01706726964319359,-0.023485121505997,-0.02091561545358202,0.05300514529722232
VEGFD,0.009510759391540302,-0.018936680917251696,0.029076425045856138,-0.01711522391646507,0.11160586610565651,0.12323927611985629,-0.010923418973487233,0.0009949165986170739,,-0.016268860516898975,-0.02205951871306694,
TNFSF13,-0.020858785178390637,,-0.005791689067109321,,,,,,0.03408590897051937,-0.025527524146259785,-0.02242929270152133,0.06314854526870949
WNT5A,-0.006447044393606599,0.07521191245592566,0.016237135484796,0.02523929929075225,0.09875090034498174,0.007648853894224414,-0.011169255474450891,0.03403237428774939,-0.009953711993435569,0.053824587097546804,-0.04385390467697844,0.03410714465467912
CXCL8,-0.009039158689380935,-0.01773118559804074,-0.013431499452376596,-0.021453186523166967,0.033530536583058344,-0.014356788756290484,-0.010172362714158653,0.056462515824094964,-0.082819874103327,-0.01956104084231939,-0.029695614661653304,0.03206970699452929
