,UKF248,UKF251,UKF259,UKF260,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
IGFL3,,,,,,,,,,,0.00929985909627466,,-0.02288943901151952,
BMP1,0.05797154382859561,0.028554963981901976,0.003574331222202728,-0.057372788950682964,0.031309083976494595,-0.03553235765338041,-0.09139414549780334,0.08544057990809563,-0.05002693302886976,-0.002122271188089483,-0.0014851075043293082,0.028248344237159783,-0.0012298552238183993,0.08774845255497095
NDP,0.008963633690125043,-0.010947920745666915,0.012999415185531877,-0.004377661890487654,0.011146312677027249,-0.02241295124618129,-0.09284599857612222,-0.02982573652498555,0.0038764848704918365,0.07664371958997696,0.034037065611106046,-0.005007986545204376,0.03815857019850747,0.0811974972218314
TNFSF18,-0.028831494563194192,0.01901239207647243,,,,,-0.024712813830167376,,,,-0.018788977801622524,,-0.0050507593444855045,-0.003803358559098501
IL36G,,,,,0.06791361860742419,,,,,,,,,
RTN4,0.034847865992516686,-0.015021176996811006,0.038250319181403265,0.0004898270360543872,-0.03398215187258762,0.04785647518851132,0.10977942235912423,-0.1432740190141637,-0.002092185088775723,-0.01870074830448108,0.09273729145003425,0.036830582302606434,0.0025670162481070077,-0.1184435508962
HEBP1,0.020999640747252482,0.003307913070073257,-0.04426728490225314,-0.01968755190576859,-0.007056903734165642,0.11095738452248984,0.025056371484417337,0.04058199654430369,0.029949928609559123,0.07440445748305462,0.04700142062558692,0.012518428427171399,0.022524629950873214,-0.00800442040610442
WNT7B,0.042818176860921375,0.06060322394760331,-0.03233863138791495,0.03798768534618153,-0.017360754014476225,0.013201748881401085,,-0.030936027119547488,-0.036969183891874126,0.1613660339305849,0.015272527095680546,0.05124554787345178,0.02576001059759162,0.052580965821888634
PTMA,0.004261107637910144,0.04203651379917697,0.019623528312703153,0.0311335289838411,0.08647293856679589,-0.06426098802194471,0.10707771543165441,-0.04743403036804106,0.001448966309327467,0.028100335254384917,0.09936711983644529,0.004015009865110196,-0.10741070326060204,-0.03279847732294244
FASLG,,,,,,,,,,,,,-0.019852002645845922,
