,UKF260,UKF266,UKF269,UKF296,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,-0.013231772700090058,,,,-0.01839537591135232
BMP1,0.025105479590991412,-0.04709854401995858,-0.06770027593817532,0.006995845642684814,0.08017128330246975,0.004224532287309457,0.03523532146732374
NDP,-0.006604786378430524,-0.011305145508779967,-0.00493517990135782,-0.02393718994296647,0.006242682199079029,0.018251950838164027,0.06041010280037803
TNFSF18,,-0.0241708501219523,-0.01964878523093201,,,,0.10941836624973099
RTN4,-0.027185469477454906,0.11731906717828296,0.08768746536578373,0.10711705674482673,-0.005091107490736562,-0.0003851384897147218,-0.002349929767265657
HEBP1,-0.0002127178454597167,0.024246854002684306,0.015112164608512604,-0.011411574837846824,0.011627045779651167,0.06104493425155481,0.04339599034795546
WNT7B,0.0936872346214094,0.09639430534535248,0.12381362694571538,-0.012332312690747553,-0.005043321909929581,-0.022338912311980718,0.029797893517549762
PTMA,0.002540562031068875,-0.10210018527964561,0.04253036962468552,0.007101672204497806,-0.08240436005786438,-0.05094720768963899,-0.05510212709152318
FASLG,,,,,,,-0.015954303252242688
CEACAM1,-0.016595308919999937,,-0.025856682252778734,,0.038598535894185354,-0.014826660991910582,-0.022198069714873144
PDAP1,0.010117967950687867,-0.036684590299638505,-0.028105080720245004,-0.0665158774943362,0.007225835015226585,0.05355852289662572,0.0087385830177035
QDPR,0.05732294897088802,0.010355508732185076,-0.010271522426737616,0.017058836750406772,0.03198901621876944,-0.010895644786958208,0.03568464722839928
POMC,-0.03339368587516612,0.06038494077564609,0.016329762540642535,-0.03316902792383135,0.039329053644885835,-0.024254469669081048,0.02467114852014296
CCL18,,,,,0.020311775611758277,-0.0188351765239794,
CCL17,,,,-0.015263946019111355,-0.0035819921293968903,,-0.01446078391689654
VEGFD,-0.015877451978824484,,-0.022166768613173012,-0.011196288998412855,-0.015399751345296819,,
TNFSF13,,-0.023440682294520745,,,0.2153980056325784,-0.01664934657350659,-0.02356264039999193
WNT5A,0.06329587897132442,-0.03068662719685983,-0.0641869723145772,0.015857685762242703,0.07879732823885656,-0.00990437910584709,-0.005827541079326325
