,UKF304,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916bulk
IGFL3,,,,-0.0008891962411976045,,
BMP1,0.035872193858361025,-0.061089552008575645,-0.00369673210028633,-0.03779437902628382,-0.015878588264035664,-0.00905881092155703
NDP,0.0472389329496165,0.04059026658280781,0.0334496122875903,-0.06468033494856815,0.014615888880273042,0.021323409146383265
TNFSF18,,,,-0.024243207567935594,,-0.02359244375454597
RTN4,0.003960433478366559,0.025014553647237373,0.015583220742843865,0.018598856442083745,0.012885812770237641,0.030247640578275472
HEBP1,-0.004413229189327556,0.07654271230939824,-0.0010269754145407963,0.03128527091783054,0.014282600637208357,0.02619529579589346
WNT7B,,-0.03931315915472196,-0.014479880426449142,0.03332358272201769,0.00043110352371536573,0.08114008966503275
PTMA,0.0013350261328900508,-0.08876120566933386,-0.0082443630958684,-0.020121840913152833,0.0926189618239312,-0.05172272674284355
CEACAM1,,0.05322521604191737,-0.02797478258720622,-0.03483495824999605,-0.01822827754273522,
PDAP1,-0.06227352624342118,-0.04930246592425381,-0.04025748246892086,0.013816318121015867,0.03956357186578852,0.003894135055906519
QDPR,0.02817235257594804,0.031808339030655705,0.022700908818390937,0.027974699217590014,-0.05464414393674251,0.05012111342637462
POMC,-0.011619609533607913,-0.00472780037424631,0.0071636453642629615,-0.024947076129031423,-0.029819067490723734,0.04401943980268725
CCL18,0.06667863540348695,-0.026980000259906323,-0.042297702763698874,,-0.003953777082545113,
CCL17,,-0.022694117051832333,-0.04038335490564628,-0.030993712634664654,,
VEGFD,-0.023744009523942244,,0.0004454760323331824,-0.03268880064127934,,
TNFSF13,,0.04038283238917537,0.034019506469075374,0.027473587142131658,-0.020469133975117466,-0.025665213586172332
WNT5A,0.08546950918162782,0.039289887543666135,0.035715412783781514,0.06760963860268092,-0.049106311742611944,-0.026982838833754567
CXCL8,-0.004343543024050906,-0.12664256825700498,-0.19149193163440914,-0.0440043157886321,0.006398057036778669,-0.035000800473974185
GRN,0.03795794252257995,-0.04764625033262205,-0.0006192127265148276,-0.07873721185780864,-0.0827895969376731,0.028315874275259972
MIA,,0.1131982834824249,0.04820041631164314,-0.03255527392752052,-0.014562281141650276,-0.022119095687951392
COL4A4,,0.07098707441619011,-0.02595975529728781,0.026841346781892553,-0.03673627952445467,-0.010668194003236334
TAC1,0.02931347851100465,,,,-0.008353153514188172,0.08311828300342633
RARRES2,0.029496568058986077,-0.08273906645919489,-0.08024432406305214,0.07481476484990676,0.02013207647207368,0.015756062569715765
FGF7,-0.04549029537366271,0.08863093275131868,0.049998102256453604,0.007066811953665391,-0.020745495105367245,0.11283967062581124
EFNA2,,,-0.010667984267625899,,,
HBEGF,0.005803690306567496,0.012927175625017948,0.004095758090568453,-0.09704757755172293,-0.0011247230425136326,0.008984881410049921
CSF3,,-0.036035761146045474,-0.1111389603320857,,-0.026132725815904687,0.036417630909086965
PI3,,-0.1220776653955434,-0.14258005405355398,-0.02633421384347687,0.04731146807914812,-0.013200453056929008
PCSK1N,-0.012109532613080202,0.10854275901682381,0.08027722120792564,-0.048881711459962764,-0.01800606447753487,0.046245040639018714
NTS,-0.02137723579079971,-0.016235457001226347,-0.0048372865656773085,,0.020956221907320924,
SFRP1,0.02052715734113874,0.08254205080552511,0.016301486233645714,-0.01671482775879033,0.04687647026735253,0.042866445875026124
CXCL13,,0.003668697951262032,0.007104781318682281,,-0.04262791391803868,0.017708733280125937
MICA,0.039321556158336,-0.028805249958062194,-0.0355242335128391,0.00981940229949802,0.03642751671639791,-0.012064771281540897
TG,,0.08569786990881248,-0.029818386152747404,,-0.02150763491713283,-0.02697099595599325
