,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,0.057448807342485184,,,,,,,,,,,-0.019712701496379766,,,0.08048383061780814,,
BMP1,-0.04559375469816078,0.09007201760925895,0.04854589625353548,0.043424198208319796,0.05771875831597061,-0.030064411072291648,-0.06431809727042749,0.022253145801233283,-0.13784064335453364,0.05164675442463024,-0.026678144518467502,-0.0940276077355884,0.05883481744715283,-0.11311592885436299,0.094197394570808,0.008588292689007865,0.013892629386001143,-0.022036685075179172,-0.05912760711901656,0.03225858977089886,-0.009374162040785472,0.039675926706973265,0.1711228539440885,-0.026854998949745888,0.049533953390134035
NDP,0.029555501681791854,-0.01647830406858086,0.010069923455518904,0.06204063412518607,0.0771893496877601,0.056261608192597984,0.05813877830122948,0.038922106682004375,-0.06958140350183063,0.022811373255713894,0.0005304730043887846,-0.11201380523430499,-0.001069169735759661,0.01444510634556783,0.15379340259840496,0.016315695762367438,0.126221940001366,0.1306687263772178,0.08877925142999143,-0.020522520374220175,0.052300021524833415,-0.022947055433383646,-0.049734511756645845,0.04622587687900768,-0.07468518696838537
TNFSF18,-0.01927998321590006,-0.024578317113667092,-0.008130509234005647,-0.024192830476644483,,,,-0.0008334438031814802,-0.0026945440413251986,-0.016482820509720563,,,,,0.1309656257181085,,0.05515973411112795,,,-0.020329361103601687,,-0.02899473327454463,-0.003180761103750843,-0.05817038293800161,
IL36G,,,,,,,,,,,,,,-0.0276722002669506,,,,,,,,,,,
RTN4,0.015752834740332254,0.08240868055108656,0.032575061009054836,0.004046438335592017,-0.05332374192343617,0.03893863936580368,0.11252916987233572,0.05264703386294717,0.22258271051515469,0.07087788460806421,0.07935566722665148,0.26356329440851767,0.011874103713349361,0.1740227450758566,-0.057539085151932026,0.03393734037269388,0.04722741341114661,-0.058046825772275684,-0.048143425025838134,-0.01673561817685767,0.03344175550740552,0.053478249950858765,-0.05618957322135318,0.12115090573744913,0.1198682192354194
HEBP1,0.028805949264540186,-0.05975893470755833,0.02120960400270436,0.049775419553924505,-0.03447288514484592,0.0008654239747954998,-0.03546811921358606,-0.05658495872568554,-0.038730057480653966,-0.03763430519898657,0.017657007422898243,-0.17780752089188973,-0.010203326537454802,0.0011009139818942998,0.004425771066583278,0.037239730942605964,0.05914942386306102,0.045302108876564176,0.09069402335860495,0.009475077161237843,0.01710741313092687,-0.07679740244547238,0.07192628998359106,0.02124291473975135,-0.03304084121116409
WNT7B,-0.01698506134734137,0.18856915916593406,0.019298381554527136,-0.02099761647378584,0.016642740940373588,0.03235762129071614,0.06720744380038757,0.08778546181111091,0.20999435275209807,0.025638364458282815,0.058901798359672415,,-0.021115554326614418,0.03965027717018738,-0.020964954471225865,0.026336338452601443,,0.010173037036109367,0.04712794612681341,0.056956737181811164,0.018409645928574192,-0.0289947032091843,-0.017643004029975668,0.07716771860226493,0.12720086156161728
PTMA,-0.017938555284004325,-0.0006042082464547602,0.043976157572189305,0.0419152141787434,0.14008180196222628,0.001327722427827168,-0.0947555609902343,-0.09447798868466416,0.039907292416122314,-0.014858879475230753,-0.09326992087897694,-0.34762016286636294,0.0291303286225057,-0.18559497795081117,0.03291554069516889,-0.11686187071459818,-0.09915086291970508,-0.09866191796804885,-0.038354709066738525,0.02546152993386307,-0.026330300097692348,-0.09956839067729852,0.08396684687847136,-0.08143761497577434,-0.1547005004749879
FASLG,-0.0169850661489747,,,,,,,,,,,,,,,,,,,,,,0.04653749795093887,,
CEACAM1,-0.023583912995837508,,0.003250388203637336,-0.016114407722040733,,0.015468361882981809,-0.015707585763297973,,0.00452439497414675,-0.022926433751300004,,,,,,0.08214168788976642,-0.02922287808462941,-0.01707266041254634,-0.010407661341729579,0.12808004221041208,0.018951889922335416,,0.03167873287086843,,
PDAP1,0.022500731445285197,-0.05160195786905741,-0.004424466762583778,0.028011316433351374,0.07685205795064975,0.026579021462180896,-0.036467972553540985,0.020218143953752966,-0.0917648215057416,0.014538664319434909,-0.06534830454085658,0.0009691049563744558,0.04828968092231166,-0.03531486421471591,0.050145667302516045,-0.08706204967396758,-0.009705939316000322,-0.024228299742352532,-0.029921782026982556,-0.0023089473741790536,0.00992070709383213,0.011829769186782387,-0.006509858652345216,-0.014016617293156794,0.012871875996685989
QDPR,0.04207456901905697,0.1650772274722136,0.001283362433276003,-0.028830388100201658,0.013703088666325997,-0.05017509249633523,0.12489825966122374,-0.0054058118722872086,-0.031186188880569395,0.016262022449563207,0.0322582665977982,-0.3263785314725106,-0.012983100177614653,0.012128948359586311,-0.01737960504999933,-0.10997126173579022,0.032978895220250416,0.026978027120849877,0.09228201833142544,-0.007930124347619463,-0.013517421579541071,-0.05230434320616188,-0.05887642827436673,0.1125423302854483,-0.02249496933113552
POMC,0.018812292856120457,0.11003781094884187,-0.052295090068233734,-0.028632731587600033,,0.019788380428628873,0.08245804944682025,0.08267103205530152,0.09214948496264748,0.004595617025561713,-0.02372278905176536,-0.05026974432313643,-0.0065196677511509095,0.06164581753810193,0.10007714813769161,0.11014460178897163,-0.04564359210022911,0.0698162352869225,0.010823880858329167,0.05947599824104738,0.005363085186898039,,0.01749177887374553,0.049878580541148146,-0.004032970991876918
CCL18,,-0.03296154418254257,-0.03178036995795263,,,,,,,,,-0.09530917056399486,0.01986591352237661,,,-0.027650889897203795,,0.06433152553050404,-0.03279841840817425,,0.02163925129963943,,,,
