,UKF260,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH881T1,ZH916T1
IGFL3,,,,,,,0.03218211311162324
BMP1,0.012517911772143227,0.06134129867028601,0.03651271225953945,0.08158285081066002,0.025557998954982883,-0.013371770994117637,0.0537876157101213
NDP,-0.010523557073862235,-0.06360748961022837,-0.034392646895745414,0.03116375334530351,0.014774735776161646,-0.01160378699158244,0.03106552707631472
TNFSF18,,,0.014224242825594272,,,,-0.02888790065198604
RTN4,-0.030698757405150563,-0.05137983461802454,-0.025822705917087477,-0.1431879597264311,-0.029125033858295082,-0.03583941766968746,0.03896939429880198
HEBP1,-0.02053332503305334,-0.03388660634191098,0.037131618892940886,-0.0211578992973565,0.04067545534967091,0.007822252846255583,0.03472999752623383
WNT7B,-0.024144744917017267,-0.013880560098779136,,-0.019591548170674263,0.09370096254902215,-0.023652678111050672,0.07050030037968648
PTMA,0.005710431276282612,-0.046149976670698006,0.08567132011367792,-0.1810333529247011,-0.0774443187455831,0.025110823867221955,-0.02893906505137243
FASLG,,,,,,,-0.020145819093183602
CEACAM1,-0.014777320781550952,0.0414931312119534,-0.04562824392667147,0.04845754429509004,0.042436162310178105,-0.015698626459769553,-0.028029948385922127
PDAP1,0.007517670536924166,-0.0820472497369879,0.006765939646632363,-0.036625858129922244,-0.022391732224235184,-0.06499140943741022,0.036680224208959264
QDPR,-0.027192460614878112,0.0022303052550998372,0.11867609300296654,-0.0953791361284752,0.024883718244228137,-0.018974142973606976,0.0383846483310733
POMC,-0.029735463837070805,0.042886493581779025,-0.005225035781805321,0.04806636853087111,-0.022656541073167755,0.08003400874673522,-0.032616824347230636
CCL18,,-0.035226820076583995,,-0.02447660533191353,-0.036498298379405554,-0.006174150337374364,
CCL17,,,,,0.13270633780926247,,-0.01825992223724752
VEGFD,-0.014138103859097145,-0.039686950518341875,-0.03048712386636277,,,,
TNFSF13,,,,,0.01614387829125474,-0.0176285053525759,0.0525196959807533
WNT5A,0.004424140048150247,0.0692598317530037,-0.05241810116178753,0.05193024031389555,0.07616100469786512,0.06456494347952466,-0.03868827186314979
CXCL8,-0.043957239187829206,0.05010345295015981,0.04946036801988208,-0.043094917362715576,0.07163095380194263,-0.0009154234348856306,0.05832591861614062
GRN,-0.03761989291499695,0.03392290110328419,0.046955687936322474,0.06150415863213468,0.016610206635119855,0.03655371547306498,-0.029340832124428652
MIA,-0.023882135814327916,0.01751561929184487,-0.05909530257328969,0.014379246203595967,0.07016583399069076,0.0280343748980812,0.05905937257037331
COL4A4,0.020038859613235656,,0.1026542757821408,-0.030946076934949406,0.19324210907033243,0.018742898191831107,0.02868678860903265
TAC1,0.02267543980407323,,,,,-0.027084602906935182,0.010398972408546476
RARRES2,0.06474000038202947,0.013295111420314193,-0.04518373421355094,0.03400206440697238,0.07597615185024591,0.10074715217823114,0.05870989730776328
FGF7,-0.02707035713408205,0.01327771939007511,0.04552525181068028,-0.020706951334260582,-0.04251851043439416,-1.7935044848409756e-05,0.05173100046638798
HBEGF,-0.004781901067584942,-0.11498135856259271,0.0061007897354130565,0.0488106691631795,0.04123406465673886,0.00700345055880374,0.006529746022851194
CSF3,-0.04710443648436542,,,,0.08062086148956103,-0.022506125441510313,0.06806971557740128
PI3,-0.043370005844215784,0.029238970189008673,,,0.07314922863169811,-0.01506948715244947,-0.04176927998595805
PCSK1N,0.00747202311698183,0.033161805142013286,-0.05172947951046167,0.016049628044829203,-0.0394108246769811,-0.06387595992443598,0.04613389874812402
NTS,0.06249854298534649,,,,-0.02116520903866161,-0.04468302093654094,-0.013012109348506436
SFRP1,-0.016129128111250647,-0.07908410831577568,-0.033976442190953374,-0.036735634545408735,0.10713641836164099,0.007774570400171498,-0.027807870144884388
CXCL13,-0.015984171936624603,,,,0.031549768048021315,-0.015351534168909487,
MICA,-0.03330740496559746,-0.05024164104259038,-0.055637526315818434,0.03629130674021428,0.009529140444099962,0.0322389075867905,0.0224523941425827
TG,-0.011993623081548893,0.0345644879245528,0.027067697031653612,-0.03985363605820992,0.012507147655144303,-0.018522887080558503,0.010317771707503375
ADA,-0.00877553467495155,0.05205847881389804,0.09779576526749796,0.10207049338403382,0.06079132884466399,0.030630429424312836,0.1173959084309481
LAMC3,-0.05516146386438201,-0.03561643478763022,-0.04967743620267327,0.026645216632267668,0.002311130171693329,0.054927647617979566,0.0036539900181034425
CCL7,-0.02119206087653964,,,,0.20537179065397543,,0.06091780423653459
NGF,-0.02262031928789698,,0.08234259422935264,-0.01666669603487287,-0.030843869580567566,0.09562285849610087,0.01817993537483726
TNFSF15,-0.015690529959371858,,-0.02598210441014337,0.11539074631763478,0.0733428487883797,-0.013975917516678076,0.008680654772228647
HMGB1,0.02498699348848841,-0.04492479204381694,0.022299589490507404,-0.07352317408422165,-0.04247243544084315,0.007176539664919532,-0.03670423304549953
ITGB3BP,0.03252920264360643,0.08665114402977478,0.040688426852177766,0.06494565700588201,0.036028724242789634,-0.04264528199160787,0.012632646779844301
AANAT,-0.014138105877391146,-0.0479740871596701,,0.08473967511620421,-0.023429136211726088,,0.05666617388697218
RELN,-0.04256235381474519,,0.010330917087331366,,,-0.01688139375743039,
IL15,0.007362903677484834,-0.016821766110277487,-0.056107207977290685,0.09156441017472632,0.017201420434484138,-0.0230809552297864,0.11466934421822764
UTS2,,-0.0935692917015341,,,0.17685796810286813,,
BSG,0.04725230693677455,0.00851912216082486,-0.01886831743053797,0.07614019609344437,0.09781159674886182,0.027859604786728845,0.0995842513042044
ADAMTS3,0.012259295499644638,-0.07391509901741805,,-0.030525763697423595,0.04105398502389966,0.07240173507131116,0.06437303203279797
CD34,-0.029729493243178844,-0.017032830203562263,-0.02234964198537294,0.02130902425804111,-0.003811163201220807,0.09391315894531403,0.00955144339981363
PLAT,-0.006643641959838829,-0.06046074076621865,0.017130565402088748,0.13281394908220884,-0.029290419870753842,-0.06399691375017365,0.045707278871111284
NTF3,,,,,0.005765786222410415,-0.0066002897110561416,
LTA,,,,,,,-0.028686924646102854
CKLF,-0.02961137687732544,-0.049964274053228105,0.0359642228031359,0.1483769309765702,0.005819269740093133,-0.00594350010765211,-0.018134564108719452
CD24,-0.01975291712054038,0.053355038632418625,-0.03511527442813564,-0.03195412653328158,-0.018849015830080265,-0.01549516678462217,0.06320353477931032
HSP90AA1,-0.06048444023892152,0.01765328383332658,0.025580300400970927,-0.09028781465562494,-0.047653845187131796,0.00422745278469172,-0.02394454693216755
BMP4,0.02926777705371083,-0.036257855803900126,-0.007516456352454144,0.018800229045018574,0.046731790904905784,-0.013541544336779811,0.05822239928517081
SCGB3A1,-0.016836738756424167,-0.03968691193904418,-0.007628597929323426,,0.06126500654730132,0.046273665915694054,-0.031550017732091824
IGFBP4,-0.06510563756745785,0.03374978231634663,-0.00862969631600611,-0.005299506278908889,0.01072954237353395,0.03017665674964017,0.010735550192826057
RSPO4,0.11746834189720076,,-0.06085704073326153,,,-0.01954613966751117,-0.037835050748727096
LEFTY2,-0.03016198532779541,0.02488589262164199,,-0.032578418014503535,0.052173321402991864,0.017670930338632828,0.07025486705900481
PF4,,,,,,,0.07224881844571379
ANGPTL2,0.028510179395980776,0.07462227643458852,-0.039693490200066905,0.003544487287987743,-0.008058562583697306,-0.04584980859737541,0.052907100352779415
LRIG2,0.012213073639701604,-0.021417467788465365,-0.02992866908269984,0.05658104184566765,0.04913329921460755,0.05397043094287875,0.07085318793130926
ICOSLG,-0.022100602945158213,0.0020702748036273548,-0.05624721315781506,0.04757199027018398,0.05049637628664049,0.0067669364373745215,0.0579627838241365
WIF1,0.019984221229050202,,,,,-0.018170030097296265,
NPPC,-0.022878053466043456,-0.026230415706605066,0.019841196866226,0.06305364435926626,0.028675144184946377,-0.00440860360950104,
LYZ,0.0006168137016086036,0.08269075137861132,0.005642354478066881,0.021203324459370572,0.018643592194616313,0.05227565252498315,-0.020281812094050004
EREG,-0.02734590382709342,,,,0.02201182483579875,0.005984677926364542,-0.024053629989600627
SPTAN1,-0.009288482065269206,-0.05272027901838966,-0.06598715541785784,0.14317790560486582,-0.06447176125840862,0.01725311487830019,0.005417290101185185
PTH2,,,,,,0.021163321473666955,
LIPC,-0.01881369713327295,0.02837163545408609,0.047175884266845186,-0.06272038926006218,,,-0.0014840930441034279
COL8A1,0.002458838391517383,0.03304029004597818,0.03815356523327954,-0.04216445742677281,0.0028131215223490802,-0.003142086385652725,-0.024277555475399736
GSTM2,-0.03809488967318701,0.06458181564981273,0.01581451897130007,0.10593072744547165,0.0355817048478655,-0.0014767745575790978,-0.018182792740606503
IL4,,-0.0341692873863887,,,,,
SPX,-0.03773264163346319,,,0.04848475755583234,-0.026926723604172798,0.05245327198663799,0.05746871457897408
MFGE8,-0.0373853247142634,0.003995304737114764,-0.04488443644644559,0.03741861934455626,0.05206306192981534,0.012997171763914659,0.04919544899873542
TGFA,0.031802627343708874,-0.06774743557908855,-0.014180032903271024,-0.01889448117635625,0.08175296002424001,-0.02970791228684198,0.05757321235209799
SLIT2,-0.02891483853266806,0.10665326346305884,0.00790976248232928,-0.014703816459472009,0.052471849509286184,-0.016947978302970436,0.026079552452445105
PLTP,-0.02519830179581844,0.12210129006857083,-0.06728978603781721,0.02371093800843851,0.02377056058093086,0.0630504704940459,0.0012165390668029033
APOD,-0.00854555438925058,-0.04244424524840553,0.024866727073846573,-0.14207005743495474,0.03588939927189771,0.06059316012777682,-0.08654690568744051
B2M,-0.019833667705506142,0.1037662604655386,-0.12350986514003859,-0.04179462217590843,0.08129951520551053,0.0042306278175595425,-0.04984791436174886
OMG,0.017674933515467908,-0.037260443484653,0.01231630210011529,-0.041814956336210136,0.03507751075917759,-0.035538532772068615,0.046122530671350526
CXCL3,-0.010687764094406148,0.0712923794539642,,,0.09232676283040081,0.07998223743897497,-0.013227911005655091
CXCL10,-0.018985668959207842,0.058112160053735935,-0.0060307485575515915,-0.041175506794516294,0.03687824621359901,0.0012639252108874943,-0.029130156185492865
RSPO3,-0.018813685533705764,,,,-0.02485470973308728,-0.004115973047353351,0.06021774809605596
CORT,-0.022833247983272582,,,,-0.0024131794302771153,0.0023317935232520953,
NCAN,-0.008715302829170983,-0.04923161609369274,0.04082218742688926,0.13152060280122352,0.0036207667197346222,-0.014567807986351081,0.0438051573295311
PRG4,0.013922756276807221,,,,-0.00010225488584988933,0.08356678438630365,-0.018516962261162045
ZG16B,,,,0.022242253397734994,,,0.007521729979204653
TGM2,0.0016624125017976705,0.059749087246619155,-0.019486616413760555,0.08494930714866865,0.06373784106852656,0.06154208537131403,-0.004816590972095965
VEGFC,-0.002778059237440323,0.07273933974684377,-0.011079291554328952,-0.03673444659380753,-0.03436973138585833,0.15215351029314622,0.03861384141863435
WNT6,-0.01856109525869947,0.011460158023186246,,-0.02695147405764081,0.018052424795979675,-0.025940917249489503,-0.030786276513905374
NRG4,-0.019187010257783067,,-0.04857112608831364,,,-0.025811184569003942,-0.020444062078500996
PMCH,,,,,-0.027145318980578467,-0.014861014391989327,-0.03452698938704738
COL9A1,-0.009918659563179808,0.05442350473322889,-0.09851156149204152,0.08103109884101227,0.0136770418689198,0.0013703260040150364,0.1109469731615545
GDF11,0.06538063832051313,-0.08430507892013128,-0.024240490918415618,0.010095085709099137,0.06209108452504801,0.022909665491766658,0.023859206379941947
RAET1E,,,,,,,-0.02242699084113623
IL24,,,,,-0.0202388957130597,,
SORBS1,-0.0236063220585018,0.0014811600917277474,-0.06603801424427215,0.045825360945250714,-0.017693342030019245,-0.010174180510420579,0.02056571785542783
DLL1,-0.04601400832739294,-0.00476634985332428,-0.06915660831355329,-0.02494263870600876,0.01982884539108881,0.022078274245047567,0.0848284036327592
TLN1,0.04595458918370667,-0.07647655682925564,-0.16727184114149238,0.053865219340785406,0.004651902093977251,-0.021649933064688993,-0.030442395473726097
COL2A1,-0.012031227952464753,,,,-0.024328189190511103,0.0672345136347191,0.0416616805386331
SHH,-0.03049997686947626,-0.07235813711729289,,,0.047604326150016196,0.02029902676510014,0.12168131473119104
PON2,0.027978717885303917,0.039931015712643306,0.0010951805624330021,0.04097287453752493,0.0885040607283432,0.0016988609564141798,-0.0034028382096331555
ICAM5,-0.03190674812267626,,,,-0.006416987306480924,0.0038713004950827567,-0.023756284889788315
HPX,-0.012002145831294567,0.05164119895219979,-0.012773841675054179,0.014196571183322591,0.008103723721127696,0.031285426755507904,0.03363056313304238
SFRP2,,-0.034169307497894104,,0.0050471921277385895,0.039382409568716935,-0.0257814403742282,0.003015284937942721
CD70,,,-0.0527137737375098,,0.12030241581091712,0.05414338895534715,0.022019977782232414
HP,-0.03831117782682332,0.08699660886798637,-0.1273521556807732,0.0631276446462872,0.05752837464756852,0.03555971108316105,-0.030582080814701207
CXCL2,-0.0355788607199395,-0.004267015007740512,-0.04785036025557514,,0.10981012515221313,0.02184251711483103,0.06566973901152444
NPPB,,,,,0.08778514007674296,0.010452158722336298,0.06052503531522897
CCK,-0.047712571092687436,,,0.10948568838395734,-0.015061932334186349,-0.022943632003423444,-0.026903075078000646
SEMA6A,-0.04623639831202913,-0.043286020178340864,0.031077210113628323,0.0471045290484796,0.007384801742408736,-0.02393938812104019,0.035267798115697434
IRAK4,-0.022085338362135932,0.004909132269865231,0.011617394969609215,0.059173681236569804,0.05171373472834954,0.014992108551405599,0.05059789574135531
GSTP1,0.03181670211734785,0.060730774395329354,0.060291333217874415,-0.03434625505830764,0.055787501609672586,0.0007718535203410665,0.016954777429213908
VCAM1,-0.026853968961393693,0.013357897326840997,-0.043421025542383945,0.09510865803110928,0.11919861741903602,0.027435138804280057,-0.0011251759848487195
NXPH3,0.05941647365003088,-0.003689813819154829,0.02959672267397609,0.17080775084226166,0.10699873794139385,0.03694649411329157,0.04422132753327209
MTMR4,0.007222310179650225,-0.06625200657500606,-0.06912707406134523,0.03720778081204676,0.06183843072067194,-0.03122114278218735,0.04180298489209989
LAMC2,,,0.07093268188104544,,-0.007615229713224751,0.010965180764404368,0.026007852456229087
IL10,0.002936624186641733,-0.04019730293674096,0.06106132387028587,-0.03426703339770956,0.036373599378423056,-0.03592103287583178,0.0006890359956940424
SEMA4D,-0.03953920494197441,0.016921043768818884,-0.11962944588716729,-0.06788634406012055,0.026317643861374453,-0.019625285610053337,0.008326247530244274
TRH,-0.011839640469903039,0.12241368120515167,,,0.008091295115123876,0.004764597514763666,0.08651009636737512
SEMA6D,-0.03732958880799983,0.015003416847943948,0.11878486560595244,-0.03094863092081172,0.046155881669560736,-0.013863786142990175,0.006005821365678642
CEL,-0.02335837735143887,0.11861082837033214,0.04067317276938431,0.034633213527233024,-0.030648713953441535,-0.025080652223498753,0.0036767435037964253
PDCD1LG2,0.0016662227806179322,-0.022918412931981564,-0.03303143664553222,0.03044256809911683,0.07971650846896523,0.007152555495201044,0.00175127447146642
SPINT1,-0.031579875124891445,-0.006535115622707588,-0.019424611585429002,0.019988783239801456,-0.0018792396793718819,-0.007799078080081733,-0.01212680113821041
CTHRC1,-0.029207359597814765,0.011210808472821935,0.029774596947062307,0.1068546558782452,0.08749772563220794,0.06920443500336047,0.047729776797183925
PODXL,-0.002631950857927565,-0.07397974754284772,-0.007512690359985262,0.06233732259079337,0.02142092374394978,0.031690318140905005,0.036000160760144936
JAM3,0.024216791126322367,-0.014582853747985087,-0.07722160267712264,-0.04838249316563601,0.0697760706515262,0.013793073275707661,0.0262935441846086
TGFB2,0.03329960729947577,-0.010853888503974344,0.014003814196905202,-0.01149873860897316,0.012064803892558781,0.004155315799488374,-0.07796240600998318
COL18A1,0.005314697926230168,-0.03323353897370747,-0.09594547346142243,-0.018643283479455288,-0.001885820455076811,0.06950315873122855,-0.000454160462011486
NODAL,-0.028515712842215823,-0.04050604890283265,0.07975769898157668,-0.026144583310653193,-0.030255129951119158,-0.01649599215333383,-0.005781814502225808
INHBB,-0.046654008629575916,0.12128162238483682,-0.027035456508440022,0.04979855520106078,0.04986251410786268,0.07017622090556755,0.04629078590647703
LCN1,,,,,-0.005055004644921616,,0.09772410020388678
ARF4,0.03206713939829617,-0.014838523418605526,-0.015987879766983307,0.06072335788268468,0.037230950476617154,0.04190953247268812,0.011419845494004793
CXCL14,-0.017311323762285558,0.02895288396641266,-0.08121016401359414,-0.04241035693701249,-0.016897870675905886,0.02504000195863809,0.047138194204598624
LIF,0.021250292581226127,0.00457285775748947,-0.019931296291798857,-0.03410262526530851,0.08821386085534394,-0.06123880348214221,0.04149449686075004
IL17B,,-0.04506109244416986,0.05698201463771036,,0.019218917885349976,0.2213187939568728,-0.007682595104056591
MMP1,-0.01183963788711962,-0.035011512567482764,,,0.04470273546725945,0.08748913120433255,0.023143897898411155
MATN1,,,-0.03130190849710962,,-0.03002783258875909,0.05175953710631409,0.033201543675111155
ADAM28,0.029216844686334807,0.12819388977646243,0.025267813873985356,0.08890223464253658,0.03716733334427505,0.01933415832146496,0.03126680171153791
TCN2,-0.022062543183677348,-0.05308520875524639,-0.02432096072081466,0.031177448033329173,0.03693771207226959,0.045912581780835085,0.019716852393099775
THPO,,-0.043329067133677686,-0.04857117966662017,0.06805374777231371,,0.0015280438676108477,-0.030582090124549762
CUBN,-0.02973546661173757,-0.040032703960731934,0.02376784233130844,0.02114157649708601,0.00215299809510311,-0.021098658863772442,0.06277493998659726
TIMP3,-0.018793610895381545,-0.016176998058236726,-0.04229879600276714,0.07309428242274897,0.03146202450677037,0.050342571097344954,-0.006111425111232417
PIGF,-0.012270589073642804,-0.06752737365841102,-0.018374336047241382,0.05000654428546198,0.04943364996162357,0.024724520070265564,0.06560662992645758
CRH,-0.012031230160001629,,,,0.00884187344103218,-0.014819628006245021,-0.02289655010445784
BDNF,-0.011377255591464857,0.011714450228310025,,,0.051202390054326224,-0.033020037361944685,0.021664579755518245
CCL5,-0.054012430247675644,0.08907590263270625,0.03788018780765192,0.0975933262842319,0.0759112958444946,0.09379969194613817,0.024840007594595894
GAD1,-0.0042619437861771085,-0.022576487754568438,-0.034263695112008385,0.07597700525008558,0.09150216655079368,-0.036419398084051584,0.0671482548559935
COL14A1,0.021303999834283147,0.043051502374272924,-0.05650019370399336,-0.019833935828885388,0.09385374045176438,0.05527633556254891,0.02886735450011426
HLA-A,-0.007764665044053061,0.13007662869641232,-0.027898756661198277,-0.0007024773554840239,0.07094846231780716,0.004576220554502684,0.039489777784274975
CD5L,,,,-0.0333677971790566,,,
FGF18,0.07290088082435177,,,,0.08776947648775804,0.03343745111712921,0.1912043108926217
ADM,0.004865083806728577,0.007230778499095907,0.012661562168579894,0.057916627911612686,0.0914115722367639,-0.017027286467948773,-0.024044361799380284
CCL15,,,,,,,0.0007914637877937104
GNAI2,-0.013169930768387066,0.06076030162287567,0.026205546147285385,0.14716381000000192,-0.1087967446881567,-0.01931929260809321,0.0028541601622159886
HDC,,,-0.021986577042294876,,,,0.05122720803900838
COL11A1,0.062132817932123774,-0.02209979517626853,,0.016717434609237428,0.009978154021060393,0.062233855609483565,0.03751848821692846
NUCB2,-0.008995889229611125,-0.039033101158487606,0.07497835873378583,-0.0013510391712039061,0.04767675145106323,0.05163705451629391,0.022739962729466573
CXCL1,-0.037732644283613365,0.03755144724255133,0.06478413958598223,,0.12197329537875748,0.13678480270631488,0.15764304861150857
VCAN,-0.034121094648744396,0.03705781470109361,0.07379437974978612,0.0077828669361911604,-0.02309314622846766,-0.0162883152450995,-0.03473622591494326
MMP7,,-0.005322071834064182,,,0.13339688030397642,-0.01214818053745456,-0.0003378182514723435
PTPN6,-0.013966778285772558,-0.013342849963952338,0.018872458672905445,-0.012301449638504745,0.05607840690227459,-0.00996386140294763,0.06656104362480336
PTGS2,-0.04515611005613724,0.04686748032644431,0.07213846290443776,0.004974557885878222,0.11480742244429798,-0.03920741721061845,0.04076591801913755
XCL1,-0.01258929744245276,,,,,,
CD58,-0.02259474471686852,0.11127901524624599,0.03203118773060074,0.058256471917644805,0.03339963920754554,0.03728465129419352,0.033791145203381306
TNFSF14,-0.025144930982759887,-0.0419931598739816,,0.07081939264440061,0.12483739859859354,-0.021458523159631523,-0.048319310605992864
CNTN4,-0.029649594627543942,,,0.003775260381891423,0.002937264912367761,0.05653306407372549,-0.02201681843486043
INSL3,,,,,-0.000803569213326986,-0.021458521086392672,-0.027584196060783082
BTLA,-0.013124761680213612,,,0.001092761527443334,,,-0.02667253836279305
MFNG,0.0023135618099960047,-0.06011713261150666,-0.0004388759771026539,0.015911418410607978,0.06003748940834803,0.036589907911371525,0.014022787959446673
ICAM1,-0.03264806213098235,0.02817941706273428,0.052321345478825,0.03253828545520211,0.10263814604844751,0.04482472353004889,0.056210014835350645
PROS1,-0.04159178287587387,0.047306128323610835,-0.004511541761356566,-0.015022078160035417,0.0359580557475598,-0.0029630224902871993,0.025507700471372897
CLCF1,0.00419036363967794,-0.0004862939971294847,0.03917691276155523,0.007441482661065945,0.0303328891917354,0.04418607353514028,0.07605264727635241
PSAP,0.047022804286698694,0.12337034043660826,-0.10389975812878875,0.02510171380036327,0.0462374495158741,0.012118675183792279,0.014482696434416653
EFEMP1,-0.03138494175317464,0.017414561429303005,-0.09218034278793338,0.013069382946609325,0.045761321565030086,-0.013765938890946952,-0.03278613112714229
C1QTNF1,-0.06838106313845789,0.06210803638402558,0.010914841883302752,0.014969491302810617,0.07115439521207212,0.01427965462483984,0.03874195020064696
ALB,0.1577103504519485,0.021514879164810503,-0.06488935854132798,0.07041723461980588,0.03223021770790377,-0.03592103193881822,-0.031191120395982135
CCL13,,,,,0.09394445313215036,-0.024070190395301942,
EFNA3,0.06993519511695245,-0.03558603760984448,0.09966303543336431,-0.0036350300543298852,0.06986140167060526,0.004170102728314308,0.08205163609275554
DRAXIN,-0.036125599150945126,-0.10045111130037329,-0.06829110642268017,0.1261088800442085,-0.023389993617990983,-0.0033231994343408434,0.03990315276476944
RAET1L,,,,,,-0.02607010232590175,
