,UKF243,UKF248,UKF251,UKF255,UKF296,UKF313,ZH1019T1,ZH8811Bbulk,ZH881T1
BMP1,0.024600015803467542,0.012245567901748092,0.010762427677078896,0.02679980119948481,-0.019842177469819564,0.014591267919409068,-0.029043564192179894,0.03075412977970956,-0.0028222250857543184
NDP,0.07985608974182641,0.01672653889581077,-0.004917196524914578,0.05198716806948284,-0.035456077266245854,0.004424602016479333,0.22093497143137203,0.06005242546640763,-0.0008242768221506866
TNFSF18,-0.05102773236520216,-0.024830504610871256,-0.02739773086000766,,,,-0.06535056750381132,,
RTN4,-0.10702430362604991,-0.012335131537449629,0.019347920969667292,0.014371725066988179,0.06427270072011278,0.01630635072835797,-0.04287294236945551,-0.046687001860062444,0.0818043730030473
HEBP1,-0.010566741860979926,0.016950623317313222,-0.013653101491500216,0.02271380562413726,-0.005763767340189249,-0.005297357369161612,-0.04231360056141676,0.00026497297289664626,-0.031826492860330624
WNT7B,-0.017075556371503438,0.020875064101605795,-0.01701862111464933,-0.024441809452334925,0.05565622820703271,0.05424169084765105,,0.02360003942355056,-0.02094808236176848
PTMA,-0.0028738715366571697,-0.02541224011626056,0.03634037723165966,-0.06952750847044205,-0.03974357810290554,0.04002734365338405,-0.0601975825373132,-0.03279753020641572,-0.024995079542874724
CEACAM1,,-0.01580393568753256,-0.013060768104359263,,,,0.03757532449057428,0.06641020581621376,-0.013903546926140552
PDAP1,0.04415236463243158,-0.00742146488670302,0.026737821780144274,0.03067826432327058,-0.01965916798124196,-0.023355538100491385,-0.03581856680862274,0.008976764889397356,0.0560034561506633
QDPR,-0.03462009465621474,0.031132696048500354,0.03558575349737228,-0.001845682157139474,-0.021885568740465343,-0.022915929828285553,-0.051306970934273416,0.05066949681730256,-0.0032339914794645586
POMC,-0.05398645414352668,0.000757681779575194,0.03272241042216788,,0.06346793552620687,-0.035407564744715174,-0.026910770324952094,-0.008007062371417809,-0.022744376322943502
