,UKF259,UKF260,UKF269,UKF334,ZH916T1
IGFL3,,,-0.013231779472900409,,-0.018395374234254865
BMP1,0.013293928232472023,0.0025500181474914256,0.07790245690461085,-0.00773046796690302,0.013700091078730997
NDP,-0.04334485203479559,-0.003726542686612138,0.04853905247047745,0.05831454535474185,0.04141699461512921
TNFSF18,,,-0.019648795288352058,,0.026362375024911636
IL36G,,,,0.009146917856850291,
RTN4,-0.006112063787958652,-0.0610619456704689,-0.06677397021003759,-0.05181579081889692,0.058631396296601364
HEBP1,-0.012257839707400374,-0.052771651657908536,0.02611064621395814,-0.046568214308047716,0.011782415484368458
WNT7B,0.06390295196736034,-0.026738044729148484,-0.03972112620996288,0.02688962271349005,-0.00486278107468571
PTMA,0.008657571876030942,-0.02720586739718656,-0.038041825005606045,0.042020652712370925,-0.010448732262255931
FASLG,,,,,-0.01595430179769664
CEACAM1,0.02959993176068184,-0.014777319648623886,0.00552587340787686,,-0.022198067691085954
PDAP1,-0.010996431696387888,-0.0073391687309279025,0.07781053383528798,0.03474162616674144,0.011718153708440683
QDPR,0.05816660104543809,-0.07376122572890387,-0.04580541778978172,-0.05993994995705009,0.06350001354614081
POMC,0.0519803110479234,-0.029735461557353644,0.036354364467060106,-0.03071775819183465,0.026990530190338893
CCL17,-0.018054781324662213,,,-0.013097504692787663,-0.014460782598513923
VEGFD,-0.020115020180128562,0.03697128714666884,0.01364235724581321,-0.01403700145268411,
TNFSF13,-0.012453784079814163,,,,-0.023562638251797496
WNT5A,-0.030727669149982265,0.056095813836363764,0.02558247938514301,0.02269356085796188,0.00699882789673282
CXCL8,-0.014904285885566734,-0.013242237769818027,0.12537742374181832,-0.004310783500743269,-0.03994535952827289
GRN,0.011914700079165407,0.08284870046601962,0.05188925804514007,-0.06995025761563188,-0.015406910439371866
MIA,-0.03801731235400848,0.02168112125178069,0.036964065540831585,0.03377493032957667,0.02287811991280499
COL4A4,-0.013335755235492108,-0.018123435743015837,-0.013038936539500535,-0.018648300472670992,-0.022343581677752567
TAC1,0.031858781714282976,0.029754581998321983,-0.07117642927794342,-0.033048691195938874,-0.01901016916001187
RARRES2,0.03399338913809736,-0.024856766849058493,0.06178023637003753,0.03240840473199634,-0.018085144237902813
FGF7,0.02873798844720504,-0.027070355058689582,0.0333776175788013,0.01287618611965536,0.03740841228753826
HBEGF,-0.0033932411881525274,0.026438687160820002,0.05195140504057498,-0.017389584300888626,-0.0014447994772760692
CSF3,-0.008416332972475316,-0.0385428978690006,-0.013794943890427729,,-0.015224973237216105
PI3,-0.006240752128098504,0.028349377770613103,0.15980638920320442,,-0.033078808842969466
PCSK1N,-0.02720264034665589,0.01585919392174057,-0.00795143549817997,-0.05745161800260197,0.009417038995796751
NTS,,0.07761964813549618,-0.016955645453963542,,0.07163542961974705
SFRP1,0.056825862727386836,0.006267033539951964,-0.04975921230237986,0.0025155180260631235,-0.022022194808289316
CXCL13,,-0.015984170711172353,,,
MICA,-0.014119010283526039,-0.0010790375433681388,0.0008030230035240515,0.014312536240375553,-0.00311289785020709
TG,-0.017000516553333265,0.08539191543576415,-0.01664926307004605,-0.0023217606104769723,0.05405759706982049
ADA,0.024646450456863506,0.0358334221577488,-0.01971213845367938,0.005443459267361554,0.007511172520139379
LAMC3,-0.016758826104328182,0.02574958630946254,0.03825091139378125,-0.05701352433262209,-0.006460175209780452
CCL7,-0.012291346305836438,0.031100933680292146,,,0.009419177018901674
NGF,-0.01804052485841971,-0.02262031755367382,,,-0.04776668174201159
TNFSF15,-0.013687015273595907,-0.01569052875643214,,,0.017552134692719847
HMGB1,-0.04056288614607182,0.03879701450374237,0.053302705554411814,-0.05419226580319004,0.02172621883924746
ITGB3BP,-0.04117389759139423,-0.001011779960742371,0.08822049390325676,0.08179351251475941,0.04289646527234511
AANAT,0.010994822526808463,-0.014138104793470519,0.2007846787666631,-0.017569049755519095,-0.016880310628660505
RELN,0.03410238825737643,-0.0066696455251751925,-0.026062983091400236,-0.019450454526237906,
IL15,-0.010270366041441189,0.04443984489341224,-0.019994317057825166,-0.016294481619973617,0.012659517321249432
UTS2,,,-0.030389401346331564,,
BSG,0.007818036900023374,0.017585502079990246,-0.03216634264601711,0.0071751468764867515,0.021649358361301767
