,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1019T1,ZH8812bulk,ZH881T1,ZH881inf,ZH916bulk,ZH916inf
IGFL3,,,,,,,,,-0.03651288536864908,,,,,,-0.03235446630401076,,,,
BMP1,0.042436310191411176,-0.02457664493328625,-0.007411826559003462,0.04430820619993767,0.06877759172743518,0.006496702582664266,-0.011569217812224496,0.02103488940531055,-0.2202009116090608,-0.038055101147585396,0.010065750803610343,0.028607486739870982,-0.07482767597909651,0.07075671186493916,-0.02760477856214029,-0.019525534788941756,0.02991993741942283,0.05968416675689892,-0.05532491729075685
NDP,0.0015156579705333266,0.03164515077397027,0.010788538801372139,-0.019804392479163508,0.03333406004228884,0.04396614109464639,-0.0007361521929829825,0.02358815089175886,-0.07128776909729144,0.028431488266712976,0.07738442860728806,0.058858726756075556,0.02039459505515895,-0.07803729253612382,-0.016525505042069483,0.03407188735862485,0.03956866300053775,0.016884041394223708,0.10515395459765454
TNFSF18,0.219646014306317,0.048024280505044724,0.04188127853672706,-0.052476851338768477,,,,-0.03731298838382191,-0.025029728331917984,-0.011186257998551554,,,,0.07004649078907756,0.02851980349975743,,-0.011542017448823839,-0.0008533527861468544,
IL36G,,,,,,,,,,,,,-0.0221269829113513,,,,,,
RTN4,0.06843580826296358,0.10309041027691121,-0.033198904088253406,-0.0015500786807765145,-0.00810235788583918,0.06633724024641385,0.10442744003757815,0.09412706917963529,0.2826109441319461,0.05223248106171785,-0.0017627108990350918,0.08696410653267526,0.0977811305021401,0.03523643079721108,0.076980993810475,0.04612449858371278,-0.03523700654397606,0.12497880626097752,-0.038340805646289625
HEBP1,-0.020136593411838034,-0.06455622876294499,-0.02306585431370346,-0.06352774375299286,-0.07630232942182585,-0.03175230208316768,0.06554937877165758,-0.06944985792867452,-0.03973721451612397,0.004056710862009564,0.02418935375326295,-0.0400823216931758,-0.000620467248586709,0.02266119956178351,0.02019815036103131,-0.00042052229018475464,-0.02866730455674982,-0.0014032078317434491,0.03176869563222672
WNT7B,0.11480590884624975,0.12231190683245693,-0.026494646022938318,-0.0075333186574739735,-0.004690844050101318,0.032325939769754,-0.0016793904600171756,-0.006197517352400867,0.2175155446587129,-0.05284233793029498,0.05593372452859422,,0.07512604426736665,,0.020545420054230854,-0.02313555672037987,-0.011526518999819243,0.06085945273430102,-0.05140214296056562
PTMA,0.008119838251311151,0.03995133787674201,0.13913598039899738,0.034388491284827426,0.032494838693631574,-0.038568894804022584,-0.08500877782166309,-0.14722658162914554,0.06598274913347972,0.10478618886648476,0.04424500997908814,-0.10157232676575845,-0.09773923672260616,0.02404584745711998,0.05629140697699287,-0.06697676261596243,-0.0251896483406042,-0.0712787562196117,0.013787707443014913
FASLG,-0.01722990879599531,,,,,,,,,,,,,,,,,,
CEACAM1,-0.003445259487650539,,-0.03866419701210051,-0.024839708162124594,,-0.014278550506111532,-0.00283379816645459,,-0.04945297316194098,-0.015033153008429046,,,,0.03922489848350808,-0.047944306324445976,-0.015355405471922734,,,
PDAP1,-0.006479894104312956,-0.07490815520769407,0.03016684838723504,-0.018561311260536808,-0.015848270312569822,0.04795150415421299,-0.03345655967419781,-0.00028267385286061703,-0.1448601940343111,-0.0447055236083732,0.013954238553447643,-0.042231795907908,-0.00790764351212933,0.08344242486783376,-0.019687271274550812,-0.03033250666248624,0.001616875832111723,-0.004523541834134787,0.07496181236387536
QDPR,0.013007580379122429,0.062499413616898564,-0.011863264102677724,-0.06732974927306275,-0.0022368052092169664,-0.005032949691162636,0.041253216957051114,-0.07205246644567476,0.046729657305282536,0.034541630433079513,0.021194187459296063,0.045096677402534105,-0.03824869039188604,0.059624051759034555,0.0704683954858044,-0.018569244933712377,0.017979210036467047,0.08110911614703245,0.12655670353679527
POMC,0.12705484816617613,0.026145209200640264,0.01654719636926686,-0.0002996717490368768,,-0.017454280689440917,-0.0050650109714934595,0.017926322858507735,-0.003277072702333559,-0.034503962588088834,0.015562864806023884,0.026463909106514857,0.005555572183554107,-0.044265381089805954,0.04360495803275394,-0.009955272945807319,,0.05544310725152049,-0.028219545963594
CCL18,,-0.04026951120892196,-0.060724326070730944,,,,,,,,,-0.051377859567116456,,,,0.04218668302066151,,,
CCL17,,,,,,-0.007292852311976526,,,,0.010053945756823961,-0.024585855717159023,,-0.020213627074351277,,0.06137865002007692,,,,
VEGFD,,-0.0316028147115195,0.021824470316445056,0.049905159924298725,,-0.03110533395547961,0.09282798445268817,,-0.05442934761525001,-0.032464463934705,0.0060385084453252035,0.017305081195936135,-0.021663570219060787,-0.0301860311522664,0.07027454620118725,,,,
TNFSF13,,,0.013911381185591928,,,-0.019258201550040856,,0.03368653228117322,,,,,,,-0.03482496279410745,-0.01724309118676469,,0.031441643115045194,
WNT5A,0.01007684013420613,0.03630416121080229,-0.029928775140432788,0.0957846917000362,0.005829702967400282,0.06165695550850062,-0.01648084608833127,-0.09657654401302969,-0.18831799218211792,-0.02122360475279249,-0.043392737416012676,-0.007122586173251217,-0.0011412472404374939,0.017478101923529745,-0.013663369280356885,-0.016241160749537742,0.16015722591215195,-0.08911701509745941,-0.021681349845026343
CXCL8,,-0.15208158052769263,-0.07031734889412695,-0.0428908519459789,-0.07695413817924954,-0.027753841819499473,-0.0892037683676495,-0.006324139739549182,-0.08719048189217476,-0.08841901790376887,-0.018903266680956873,-0.06353575960187437,0.028202751621341258,0.04129147399676222,0.04302424566973736,0.012624890022803141,0.00817716820205841,-0.051832431818377836,-0.004567284001948228
GRN,0.007295286932395317,0.017213967727692146,0.02374197390885485,-0.11753182475336792,0.03606452477149746,0.003654050002513454,-0.08074921425225104,-0.08587521189945144,-0.2377593442393479,-0.004744906704691845,-0.026960979444335353,-0.10686932979072213,0.008414464144455578,0.07135875377961498,0.02781946428867504,-0.04540727212648791,0.07807802500187344,0.07575227335350151,-0.13390876107720776
MIA,0.058307511578071035,-0.03327273010867032,0.009941745054654182,0.009397300713112027,-0.0190573187518019,0.004932824373272589,-0.0477973643745691,0.016561586087733532,-0.10430242695194994,-0.06830208488034993,-0.0006158724610323297,,-0.029669252203573228,-0.05455293798602047,-0.004923641669523358,-0.01812640323348727,,-0.05801574838517075,
COL4A4,-0.019954333838966363,0.00663181071548826,0.052707466632630096,0.08942122902028668,-0.048136247133111015,0.007624948059209194,0.0012927617497405014,-0.015568842458293897,-0.03598073835578474,-0.02409771638865374,0.017002847787951678,,-0.005877097388898372,-0.025517533797970456,-0.0402948662867385,-0.017780651702773376,,-0.026120901918061372,
TAC1,-0.017229899421910874,0.08015984034898187,-0.07331873318376181,0.01530700992285457,0.05228924047556348,0.03579721143320663,0.07246134620963143,0.02565820955113051,0.3075222028328396,0.07430571153707446,0.00924365531141262,0.06863024944985976,0.11710475571246134,,,-0.026492448925248976,0.003323998218228739,0.15141439314935745,0.019293980607850654
RARRES2,0.04168708520904807,0.09909433330435126,-0.031012014180937006,0.008917364101264882,-0.0308582096521434,0.050883242757179356,-0.011480126879865358,-0.026885170783463388,-0.24686635459417347,0.09931658864386017,0.0610566002231152,-0.053593079408618564,-0.038459589880416666,0.02226321275648696,0.0681929346861927,0.011702783462082431,0.09718247357878756,-0.05243915980950834,0.09063216883458902
FGF7,0.09466894543040069,0.002348613616250947,,0.012183118159073077,-0.04735025116815468,0.04584404388011505,0.04074428346304797,-0.01771444271738291,-0.04014204967846316,-0.05057858561303345,0.03803480610672312,0.021355232782173834,0.02160330048137739,-0.016640908954762335,0.004922587418592074,-0.019046014426880965,0.11172738068712605,0.016062047524894076,0.057840381329898424
HBEGF,-0.00804959348976333,0.05083526306249306,0.006289960445315123,-0.012549286622685755,0.02891412553583823,0.016983440477337325,-0.10447777011451287,-0.0791427229532618,-0.04271598438157981,-0.10101611080987202,-0.0038763111874132563,-0.07409169245959807,-0.041420926729651836,0.10427205257849081,0.05506439344003983,-0.00983424785479155,0.021241416255057648,-0.1169684476607086,0.03386716086127979
CSF3,,-0.04567476896544853,,,0.04217642152854025,-0.033277532385805095,-0.031101535617312593,,-0.03806692863720498,,,,,,,-0.022014071271902858,-0.04634105116611545,-0.06315076360906546,
PI3,,-0.05410857490603486,-0.04161363310068449,,-0.015967577418527456,0.002773451598489226,-0.04173062754921583,,-0.042863864074567604,,,,,,-0.03624449916845427,0.029618869932930177,,-0.05410877387678274,
PCSK1N,-0.0015478200725565128,0.13848357212565515,0.10352450189667076,0.008688635768125548,0.029619202434219477,-0.04088025018340737,0.044149698467163524,-0.02851506740909786,0.1593421113128695,0.00045226153271546335,-0.04277474373515859,0.07313946128453669,0.0759779158533051,-0.076719137298862,0.03816537411405608,-0.031589965112968285,0.03784668254052421,0.08561365885159598,0.06365818659377766
NTS,,,,,,,0.05584989924399473,0.0299671371024432,0.012368511246174874,-0.030608887432472906,0.0008141814038831271,0.014355947900553024,,,,-0.00390273902229908,,,
SFRP1,0.06763999319935567,0.03803889680582981,0.019371731426491328,-0.00986057813109264,,-0.02436078640409661,0.10504790114200178,-0.051276540976422855,0.004646220901857066,0.016038121093827205,0.005365718166608817,-0.016032316930428534,0.053369635551164994,-0.01728166109514514,0.011615150402527157,-0.018879994363882092,-0.02214624609480923,0.0694409409795664,0.05329728406502414
CXCL13,,,,0.0935449649207932,-0.024465499085177,,-0.015547653518131758,,,,,,,,,-0.035909531281773654,,-0.029177679938425294,
MICA,0.02559459914970658,-0.005837910826442853,-0.06958728613005785,-0.030710624301808778,-0.012262321685723464,0.006185929123473727,0.02767449154415506,0.0076655496554477445,-0.07142941410428746,-0.016692977742842167,0.020132170616913744,0.12275953286122283,-0.007568690557753363,0.05088692092543838,0.029312121774836494,0.005325421812026214,0.16471687869562143,0.021568639348424703,-0.1379811977314665
TG,0.0716508567340313,-0.03641008109672222,0.044983582010574945,0.011898448721406512,,0.09685400643698427,-0.02634451966857052,0.011580383298592468,0.061713366146141334,-0.029603108083447544,-0.013157951691175647,,-0.019480618537919856,-0.03237632332747128,,-0.018117918937781405,,0.04505125523709986,
ADA,0.0446271444015066,-0.05384456176895981,-0.029364860407892143,-0.014202037846210986,0.011649573330088944,0.03354930333970099,0.09604584870228026,0.014879118535492963,-0.12708771384993697,-0.06586913432457973,-0.0028694282439991575,-0.0391638972615771,-0.040036027439479864,-0.01895738277511911,0.017554677551592644,-0.024676405951357325,0.02135574492321084,0.032077136231616,-0.05386759871759251
LAMC3,0.006929914812182667,0.024057279244962062,-0.020338006999584168,0.003953657657214198,-0.0013321888950376488,0.0508906984544263,0.0789391816165376,0.09153804373430978,-0.16686988997433244,0.020686930187574417,-0.03456316705080689,-0.05330307999537347,-0.0017101781320053762,-0.026033303620336012,-0.02291730930871211,0.0007879752478674011,0.038040856667018064,0.07530578608232633,-0.1631000085256583
CCL7,,,-0.04204055677048166,,,0.04097807795607021,-0.0005407864310663114,,,,,,,,,,,-0.0706852687167412,
NGF,,-0.026314532774745072,-0.03168229883568857,,,0.012115919875693697,-0.01251087103446528,-0.024985843258432533,,,,0.07509936912654665,,0.005971777012629942,,-0.027436144587078246,,-0.0391851374588515,
TNFSF15,,-0.03255436118568561,,,,-0.021165237575030353,0.023614699300766737,-0.0350301529519082,,,,,,0.02855471236956816,,-0.01367036032487964,,-0.07352068394547086,
HMGB1,0.06895900742904233,0.050998764079417454,0.13183066299463572,-0.03719957635378152,0.05354069588578753,-0.005383653799406863,-0.02290921117483072,-0.060300416651747464,-0.22262767599912736,0.12473009842003492,0.03412644218450415,0.003824027603748053,0.0022478796572020037,0.015443133758266404,0.04478931941445496,-0.08386758960155279,0.05121997201543203,0.06074697623074148,-0.03949623768367722
