,UKF243,UKF248,UKF266,UKF269,UKF275,UKF304,ZH916bulk,ZH916inf
IGFL3,,,,-0.033070481139266035,,,,
BMP1,-0.002194780964463535,-0.007180684640235607,-0.009927543677580806,-0.23342947390674137,-0.04935627952652311,-0.02764009511334422,0.010213132062980732,0.0794157756383569
NDP,-0.10052719053880746,0.038795333564191764,-0.0382060168972964,-0.09592521792048224,0.019881741993949795,0.031186893558784876,-0.020620211120235887,-0.055553682891270766
TNFSF18,-0.01837266400592157,0.02840748767580274,-0.026505636709537494,-0.018527564367720514,-0.01534784659837645,,-0.03642885013192849,
RTN4,0.10257443721715863,0.05964143348487568,0.14720938127422353,0.3365407702568659,0.03669703498734589,0.12217253279857425,0.092478768995579,-0.058855035589657746
HEBP1,-0.008060178287912292,-0.01589681695526797,-0.05459829726015362,-0.11814997876455353,0.02366438059813908,0.013246425214075102,-0.0031374781254118376,-0.020019031897459183
WNT7B,0.2973798249959767,-0.005237614156451746,0.16116139922311767,0.3419590273647999,-0.02959437545350229,,0.03991847121968073,0.08790500736177387
PTMA,-0.016505280176927192,0.056986800142659284,-0.1500558068961327,0.04954780095729717,0.0486054942810467,-0.1215125220703776,-0.09281813562639793,-0.06366737601520481
CEACAM1,,0.12456123358550399,,-0.05282853175094203,-0.024138506319785324,,,
PDAP1,0.008151379091006323,0.024060858874179563,-0.005714949833377477,-0.1799566884002462,-0.020918261907780424,-0.024567042825395707,0.06874056082616917,-0.0495835172700611
QDPR,0.039515311218866436,0.05205391398167548,-0.0358676731535295,0.05000478312936596,0.05761632392250959,-0.10171340860862425,-6.62006630821542e-05,-0.08098520730467844
POMC,0.12335228194949989,0.04869379348824166,0.04254191873393763,0.07877877425261526,0.06043474749563464,-0.01921660559207853,0.05316446130022052,-0.014881266289030734
CCL18,-0.024639253110028687,0.00505467541341273,,,,-0.06785883737581415,,
CCL17,,,,,-0.019141752842124504,,,
VEGFD,-0.02776123657697123,-0.01396559015970176,,-0.055401926858630435,-0.020393918621553094,-0.02214214544676807,,
TNFSF13,,0.08006662541824974,-0.02570493822052094,,,,-0.03962939274378699,
WNT5A,-0.011726611315902347,-0.04578976743611947,-0.02917595741356778,-0.18026704523280207,0.0408675717869456,0.04927433587132601,0.016226955561596316,-0.08657600817038703
CXCL8,-0.07079485679825673,0.013928990907795305,-0.02618323052969915,-0.08794605388527969,-0.08113712096784,-0.026217070218254323,-0.04866963110651833,-0.03213220021388226
