,UKF243,UKF248,UKF269,UKF275,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
IGFL3,,,0.029296286857572688,,,,-0.032082710369222646,,0.08805289077845192
BMP1,0.05804887270473798,0.05300925970204283,0.09448166649596486,0.028669907610810876,-0.027068922127570273,-0.03129084300773453,0.12050324766152688,-0.008161040277193199,0.03092646966141769
NDP,0.054171515416106944,0.05135147977518755,-0.017425613835144144,0.09361505604775443,0.05130046963337916,0.08077261922864283,0.08662964344321283,0.08582101718941784,0.05198406163954029
TNFSF18,0.08953325816469926,0.06417371760098878,0.0997359810502563,0.06802607215538958,,,0.10902613967888004,,0.10869960153975133
RTN4,-0.06479592647023126,-0.04884610886925896,-0.16374502316811784,0.02038591308051157,-0.009159204503102108,-0.06718444520111835,-0.1536844840610882,-0.03314169900961636,0.009116397124283408
HEBP1,0.03218517749341183,0.05706406651853047,0.05652976294626738,0.06162283151451212,0.046014815657966786,0.014663708926649336,-0.0076162768084476135,0.01519186070650841,0.044155714807400014
WNT7B,-0.026734413386071222,0.007293235527559343,-0.035204249293412954,-0.001995054785164017,0.04038599977186008,0.05053110138408481,-0.060750023392063736,-0.0074050267551627295,-0.02212395109084381
PTMA,-0.08679169236386078,-0.001983133985738692,-0.03628111595824991,6.491608483829817e-05,-0.0009568320511003858,-0.06520484680404186,-0.22937839058632076,0.03870794263194471,0.008586450552077603
FASLG,,,,,,,,,0.015528885644263798
CEACAM1,,-0.017130177736007363,0.0018757540844307502,0.033951625959750265,-0.020408084778429286,-0.011132705981900836,0.049955360268597176,0.014148149780787114,0.06706345138196097
PDAP1,-0.07387776566164116,0.009964695311172405,0.13148213490384178,-0.011964565413787216,-0.052174615219649785,-0.032200522001872296,0.05169496434670285,0.07800680815589393,0.04957099915109008
QDPR,0.028324822175358498,0.00521026158042608,-0.19315186808513982,0.007868368469059105,0.061638636487193685,0.1478127995085098,-0.183960201573232,0.002687840965560856,0.016191633238951737
POMC,0.01847305978656272,-0.04808498403415473,0.02267533365497505,0.11158026509244953,0.035776130689653546,0.03374487324062173,0.029797955428415596,0.021771486302255345,0.0905523107435266
CCL18,-0.028530843669587528,-0.014469007505555877,,,0.0841019000819022,-0.031046289965283014,,0.003938880099028797,
CCL17,,,,0.01715778538859191,-0.030002338464551238,-0.03150030145065805,-0.006083962356873706,,-0.012727511647150278
VEGFD,0.18358844097723198,-0.01581194622465631,0.20440500816555296,-0.01761879015859187,,0.008498859972240508,0.03674272225944349,,
TNFSF13,,-0.025090942850341417,,,0.007449677266853521,0.001402753182734697,0.049332916604786135,0.05336139071085181,-0.0008348896970516376
WNT5A,0.019124042721869995,-0.03759410608236358,0.08468352630028991,0.025320981462782038,0.018265408695875764,-0.013319061311733375,0.07959610654538045,-0.04541941975401082,0.05587935892790896
CXCL8,-0.08325804280985002,-0.05433109835160057,-0.02509535105722164,-0.023220692465928026,-0.05196980391694557,-0.2147502368065637,-0.009598075797908768,0.01630506803299179,-0.026806973711129972
GRN,0.029330345290168116,0.03813348899230061,0.0681939316437938,-0.04077346454796354,0.003765811857337959,-0.15355406210552022,0.22080938501726954,0.008239199955496681,-0.02084531008858932
MIA,0.05338258101483037,-0.03964298869589979,0.031509878811555043,0.04815160475752689,0.17810512918440755,0.18263470325591208,0.1443959241061106,0.03634307739957443,0.00746470386966833
COL4A4,-0.03236048031319103,0.17188189294735248,-0.021843720064928285,-0.01726515470146114,0.054647630499303324,-0.023478616212394065,-0.022679211884435706,0.0007180041034914335,-0.014843386580677652
TAC1,-0.04052897873799369,0.04169529114555157,-0.05995376208549964,0.05081263091949283,,,,-0.01680080883001241,-0.0167316082480358
RARRES2,0.02520348353705942,0.005144145638394818,0.14763809605575445,0.050265813785579955,-0.06720524167097204,-0.11803316033739515,-0.03193642414987166,0.024609635691179566,-0.021229317742205656
FGF7,-0.04260292104530744,,0.011845459057696243,0.006083202714574537,0.04273564795663102,0.0567111408930184,-0.00033731602896630027,-0.03793464790742798,0.0345757145767248
EFNA2,,,,,,-0.04021588799618618,,,
HBEGF,-0.021900981681038816,0.023298494716643112,0.04047121784672355,-0.016878584687870315,0.019661751652938562,-0.006799825791324847,0.0325625075606169,-0.002195934298508094,-0.05936796810562591
CSF3,-0.0323604546933021,,-0.023110235389291862,,-0.05714187992854714,-0.12292968258233315,,0.03206847083829497,-0.013400106314033988
PI3,-0.03833578420704092,0.01276637111366791,0.004403005181212587,,-0.12653071952359474,-0.1877669431540406,0.07757018354549161,-0.011167849980352208,-0.029113979271496487
PCSK1N,0.060941707419305206,0.06679390823553151,-0.03310939458491672,0.023310131211674495,-0.0011019935261978807,-0.041554149224164345,0.09996510396356532,-0.07308087873278624,0.04404419652683913
NTS,,,-0.02840525925519544,-0.019723432300757716,-0.021528381388644886,0.005146389232818407,,0.024559942110190622,0.022146761917368963
SFRP1,-0.01445316330262579,0.052633727699659905,0.11015860958231148,-0.028297698394058424,-0.03416037393047205,0.029587078172572084,0.012712911621733453,0.024125132981443292,-0.019382612179448623
CXCL13,,,,,-0.041973387581434415,-0.03818354117138884,,-0.0014501280359898578,
