,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916inf
IGFL3,,,,,-0.016955642130544454,,,,,,,,,-0.020377993085321393,
BMP1,0.0006361744760079737,0.05972731204772978,0.0377657653458418,0.030657373055061096,0.005590556287541915,0.02255604920133157,0.008342805176520527,0.0642778742485871,-0.012175264319252454,0.1173735166239535,0.0781716277222666,-0.030583084802403397,-0.0538734401821542,0.05730600245183472,0.017110733812627527
NDP,0.039611321135766105,-0.013425009328715225,0.026657043618215644,-0.015743903966655207,-0.010230131844755519,0.045222599718201986,-0.006450487459212882,0.04764823834255044,-0.08151069284352576,0.0645635993466707,0.06896570856967656,0.036814989414636526,0.025408244018271922,0.06089954520036289,-0.03574478841274085
TNFSF18,0.07565612265163812,0.09133324785149388,,,0.006614377913996367,0.003569104535656263,,,,0.07115221927954572,,,,-0.0222939324390383,
IL36G,,,,,,,,-0.02526074558523633,,,,,,,
RTN4,-0.004660691932084644,0.03747477066039759,-0.004152587641614491,0.04971581941820274,-0.012623069106181667,0.031139894823888813,-0.0009684115838345511,-0.072220033410978,-0.06693578268110366,-0.14286437686137737,-0.08725564018514465,-0.000801562885310413,0.053658263103357966,0.027859103278637342,0.016160987106841662
HEBP1,0.02438305492207169,0.019186791990058502,-0.04698436119331987,0.028570656770576533,-0.029051703762364295,-0.02046099239036408,0.018636364179104407,0.03477349198712578,0.09691321356825282,-0.011257902084197862,0.06471424548120999,0.10937340557691073,0.023272234014296206,0.09083245669472798,-0.01778076777260994
WNT7B,0.018927060169241245,-0.01722763404856583,0.003134421999078802,0.07853997997288877,0.0038234821792075273,-0.020629415608530127,0.018511204804815395,0.023541914609425466,0.05472909768304653,,-0.04909354134697812,0.09667319860231963,-0.013391945001489094,0.09684687926164641,0.06830549496250443
PTMA,0.068831615895373,0.016698603692160193,0.010232745399319433,0.02564776123433664,0.004756359633025214,-0.06337393675913322,0.014547568484772809,0.019141280644410272,-0.041246740500864944,0.08162066046162052,-0.07750369189591294,-0.01169309433587139,0.07422907146284254,-0.03518273158501375,-0.1095630521771603
FASLG,,,,,,,,,,,,,,-0.017673826450846447,
CEACAM1,-0.023762360921694654,-0.01322117295985871,-0.014261278141885448,0.06160093409497071,0.0018662034064211195,-0.02326956533601551,,,0.12411825199813586,-0.03526144682536374,0.08636608118060579,-0.026370143221590137,0.008856812784202613,-0.024590533693742436,
PDAP1,0.009775834108457114,0.023280678748187882,0.05699665149325086,0.07686958042463331,0.03977980887673505,0.016997468849148004,-0.009291469855325064,0.035325413380703274,-0.1024749315768453,0.027701569988133164,-0.0046138332189133106,-0.07149764911590982,0.03927477543702586,-0.043844570535391224,0.0629158027972872
QDPR,-0.05333932985228645,0.07590731220990016,-0.014272547822384853,-0.0776655320707869,-0.0001010617101536582,-0.03556304242891423,-0.005219406551936631,0.006965750959971313,0.03699549262118365,0.03774994698296771,-0.01578041838165187,0.08539233009614723,-0.017166317976749102,0.023463155157611135,-0.06483290188891838
POMC,0.030479153927450403,-0.023491915009391927,0.059918493266727144,0.002558891322587252,-0.04271108502282264,-0.017167357502174404,0.033391461411869224,0.018259313391768485,0.022405439109159417,-0.04487155670152645,0.00981706035981412,-0.02590276760030576,-0.028359972496969255,-0.006834855093010047,0.08198578048841525
CCL18,-0.005163038542053167,,,,,,,,0.1007823703306967,,0.013747546881884672,-0.05017245775159343,-0.04447263581930691,,
CCL17,,,-0.016791360321205,,,-0.018452685617940834,0.008467168960721225,-0.0230764082444374,,,0.026618265223946235,0.039744284297495,,-0.016019338560240452,
VEGFD,0.03093367302893313,0.1000775302704608,-0.030683845860946142,0.04363284438466107,-0.014681679799068032,-0.019659775776293083,-0.014616152216631833,0.003519582697998664,0.03103017423227901,-0.007632670260511512,,-0.009686082735355206,,,
TNFSF13,0.0395407468124978,,-0.018997246220415202,,,,,,,,0.034541178596993356,-0.031406912823973385,0.08707201842915985,-0.010640639262238016,
WNT5A,-0.030685825936572934,0.015145034643559317,-0.041818681991544794,0.04437887977436419,0.00416800436700129,0.032036125951927424,0.01699988167746973,0.03077261635800186,0.06828849895525815,0.01007381050272499,0.11782338726581053,0.00976346049764143,0.016488119034751114,0.00728029668665906,-0.0814845205931846
CXCL8,-0.022951977827481512,-0.017731182594442885,-0.012771433077762842,0.03502838028504321,0.0020693149467318726,0.001268620044181531,-0.013611196475554359,0.0509554484351391,0.037986245733953775,-0.046682564888129004,0.022677509112041316,-0.045339139944302394,-0.059295969825063445,-0.0021537599072848092,-0.0021131573683372453
