,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH8812bulk,ZH916bulk
IGFL3,,,,,-0.01520053847626129,,,,,-0.017771226634186062,
BMP1,0.04476878944825273,0.0028955206320527256,-0.012371436010431522,0.11473359436804006,0.05489699784559325,-0.0013837298619269495,0.030074786177684006,0.01235871905837396,0.01537755472321347,0.0326950548407991,0.06665335549744897
NDP,-0.014009607937112282,-0.029259946331045325,0.01851788472379271,0.024917084704029577,0.0395674554873612,0.07912646963401099,0.14306280306418787,0.022671947714929294,0.046127932935484284,0.10992123310749355,0.06989700593612579
TNFSF18,-0.010128399863168389,0.026206494197204534,,,0.04642697132891849,0.013298394062713319,,0.053771591606341214,,0.08976163901761164,0.014931130033892393
RTN4,0.07255111017483312,-0.055585415148417444,0.027951191179061353,0.006543958791296207,-0.07007790848912818,0.03892162284416595,-0.06920227752038705,-0.01890182847480224,0.0069919514499635045,-0.14075719953655044,-0.0753719619449739
HEBP1,0.017772592406233977,0.004391352079506343,-0.07865975916077116,-0.015763506658890872,0.06916359275292973,0.05866706487184107,0.08884715392583367,0.013349269044154927,0.04006576593018364,-0.037705043510532145,0.023367957218467957
WNT7B,-0.030257751462415695,0.0046639853993997275,0.00248611783974155,0.062345830588154794,-0.0371781096366277,0.05030274531922089,-0.01962513878513506,,-0.033581891331711855,0.01288753654464934,0.030117362795243935
PTMA,0.007265213677237718,-0.01158210153112265,-0.05265405863567513,-0.021812200934676805,-0.0022810465267020883,0.024297949913651244,0.028974495496745578,-0.09762348210273776,-0.019310787620315496,-0.11920673472110721,-0.03327901722441253
CEACAM1,0.04874121287780355,-0.012055896488437145,-0.0038639822125783652,0.042607499715415886,0.02301924032103462,-0.018132159240845436,-0.0438295512830947,-0.03871609231024756,-0.016268862903385885,0.011197862340215133,
PDAP1,0.03941538662468175,-0.028553707381454168,0.021100685019996467,-0.022326347167051494,0.06493832599016393,0.01640867038035437,-0.0045474088406817865,0.03253711124268693,0.018749209800920038,0.006921321507779012,0.008772014957093536
QDPR,-0.057731814602168835,0.011795988792813858,0.02889962450500127,0.07564601673417966,-0.050039763001030406,0.03953657128552949,-0.007332486722025166,0.08052502005083877,0.04307359198952718,-0.12352149147726237,-0.06982715475285563
POMC,0.009404379448894168,-0.021421404630910947,-0.013086855522743425,-0.030284098044944002,-0.03828999729138749,-0.02074023193918737,0.048415992057509086,0.045492382979155796,-0.03811213725830868,-0.02273147604574997,0.012176055568951202
CCL18,-0.025033665820614955,,,,,,0.02516366137260374,,0.023565115533017426,,
CCL17,,,0.008944637723569699,,,-0.022293062841414336,,,-0.005977548445613209,0.12334379916928837,
VEGFD,-0.02503367376997636,0.01993302385309643,-0.016892149714289546,-0.02182301023119089,0.06498972637053001,0.025324389844467905,0.08471468183027643,-0.052633679078001046,-0.016268862903385885,-0.003899465460629282,
TNFSF13,-0.018891213552703276,,-0.021245065685005393,,,,,,0.0723388652409185,0.016469448418690406,-0.03453645052069732
WNT5A,0.008535591759032077,-0.049488568323819884,-0.00850761606141719,0.05890902930654641,0.08036848859584526,-0.029834075883485255,-0.0021168075781191243,0.05464167209581528,0.06171854679832805,0.04429138347546559,0.030952941692078236
CXCL8,-0.04479864114736595,-0.016168406738585335,-0.04976354554432294,-0.08080282485739339,-0.05063419233643009,0.003008654182850864,-0.07212106999237129,-0.09476607815449398,-0.0302713333585397,-0.018010182445847536,-0.031232180806455317
GRN,0.06553352547121152,0.029792940545417906,0.012315073827689826,0.021815726162321938,0.062451830110054236,-0.015539812891574287,0.06898195099481216,0.0360712501824828,0.0002828402242423808,0.05708713696512965,-0.05073422538859842
MIA,-0.017371478417062658,-0.015356642960508524,0.006714096553755539,0.006550734260990941,-0.006364823080585888,0.017834744429676575,0.04957930663479133,0.0035167796359104773,0.021823343403170367,0.06829879258033038,0.07658267762444171
COL4A4,-0.030065229257881514,0.028579338148275988,0.049675055410533075,0.11609383318014879,-0.014979002405846618,-0.023274647324184487,,-0.04121320729793129,0.039245201278589416,-0.03609253824945241,0.03085244271485026
TAC1,0.021667921291745395,-0.04836485559593317,0.048161208028081354,-0.013632827860928782,-0.0726274982508843,-0.0022995278524901588,,,,,-0.04505783545722669
RARRES2,-0.05265368698258963,0.018636342831237926,-0.00840121012218043,-0.07416171703652705,0.09913692768544666,0.030472579710862802,0.006532727111416616,-0.10856423742171732,-0.028980113195425965,-0.009990900648702741,0.01614624628431106
FGF7,,0.10274766409373667,-2.09544070717498e-05,-0.04178471785089783,0.049729790551635775,0.006927796888842451,-0.011118871560412224,0.094279886931246,-0.019506995199141865,0.022777301439168042,0.019507108070757923
EFNA2,,,,,,,,,-0.015462465427300611,,
