,UKF243,UKF259,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH8811Bbulk,ZH881T1,ZH916T1
IGFL3,,,,,,,,,,-0.021486819645849135
BMP1,0.0029251513357440944,-0.014121245939886907,0.0544878298956764,0.0833111448109281,0.04816631103555106,0.07305138639884559,0.0945608954722138,-0.05966919382049472,0.01763536253943776,0.039379626747663155
NDP,-0.011836121789544213,0.004129821349312187,0.016117409285149816,0.0008251787687469185,0.012857127231456301,0.04703501590911863,-0.03704771362009569,8.700479497970928e-05,-0.04283993006721569,0.08129851590774216
TNFSF18,-0.022852801629041207,,-0.012622089446573373,,,,,,,-0.01294371251577518
IL36G,,,,,,-0.019128754450026177,,,,
RTN4,-0.01824248017595548,0.03318627650866207,-0.011467137326896448,-0.03696455788869729,-0.03056162690563267,-0.01189118002380778,-0.03945393750201896,-0.09867314076346309,0.07336751921878888,-0.009105424980901979
HEBP1,-0.026763634417807745,-0.04904801067065606,0.0004958102660158245,-0.04541591776846678,-0.015459474297664467,0.00588332703190226,0.07517170759011811,-0.004400084029315048,-0.05276233703195505,0.03173513277740896
WNT7B,-0.05333869303776106,-0.004245742157950023,-0.002164709488706298,-0.013333400651793056,-0.016273306831744785,-0.021024705565012,0.10391236757454138,0.03533071576564145,-0.005178022497810045,-0.02600100874470395
PTMA,-0.08128536124269116,-0.021422366997544823,0.008989156628629494,-0.025809896151040863,-0.009737382713331428,0.05820468466591762,-0.09160098135353979,-0.015110352536627326,0.017357355802946926,-0.01595397590848161
FASLG,,,,,,,,,,0.16372948705411675
CEACAM1,,0.05171429894118943,0.03811747395969472,,,,0.12417662564083803,-0.01956087156894269,-0.014826660991910582,-0.010229300046974695
PDAP1,-0.03432889902469522,0.003907918533637228,0.024928212384178496,0.017286860903206146,0.09008426730050574,-0.019965250331842793,-0.023045806360156053,0.012990076953401113,0.024153825365978397,-0.012181710987408386
QDPR,0.019473087098065726,0.015436657831232747,-0.004800401687272572,0.003099830582791191,0.031079013315352462,0.011118898882180952,0.007450242002262693,-0.027377304549543156,-0.07929550583849983,0.04919804154948697
POMC,0.09839446769654006,-0.029007912061002162,-0.014645674462481979,-0.02700334291592066,-0.02225655111912185,-0.04098356143372344,0.16923189445551545,-0.011189133372070849,0.03618046893767229,0.027791808246771927
CCL18,0.1198546119641568,,,,-0.028997499504055096,,-0.04449295055552385,0.050565807084359725,0.024829037491269988,
CCL17,,-0.018054780999308327,-0.01574220298520926,-0.016503012281941783,,0.061637732702365056,,-0.028237346130212324,,-0.016890997903891695
VEGFD,0.0647673681910312,0.009203329044761316,0.033091957909445496,-0.012105159086754566,-0.015037425622726886,-0.018728134644092162,-0.028740393168014095,0.06355956141390401,,
TNFSF13,,-0.012453783855392335,,,,,,-0.00325584173707647,0.005365428089290681,0.0030114047809015176
WNT5A,-0.019034695887786075,-0.027988886179843766,-0.017023602408831537,0.02306005982767583,-0.055153329670865635,0.004631250948080787,0.10628859754282277,-0.019761501494620505,0.03735112419729661,0.0755897360563886
