,MGH258,UKF259,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,-0.015031585299914767,,,,,,,,,,-0.02998419606889044,,,0.16718956420983744,
BMP1,0.0881036247582287,-0.012454122128712093,0.10834032052259361,0.014458902042829389,-0.06367787134924395,0.02132257676550593,0.027766549247846075,-0.06781040372827496,0.019077595510239485,0.03575049730856315,-0.07777017264685554,-0.025832405930004347,-0.004488289174833569,0.06952121276334677,0.04712160889476209,-0.003277671741388775,0.017129002713525496
NDP,0.059023589209428504,0.0468301269253822,0.024200034197381474,-0.03902108307793408,0.025005108464379235,0.014796007637729043,0.07598997171129039,0.01419437225407624,-0.1111523645759661,-0.03717848321126798,0.009675760222259818,0.050994710801323284,0.12308521380609551,-0.046986653354931476,0.038779233608031566,0.16049367409707355,-0.03236684164091605
TNFSF18,-0.0024838621791527047,,0.06506114655345495,-0.014222981047197495,,,,-0.026700395117642797,,,,,-0.03092217215370574,,0.041401416801470865,0.020019704903741442,0.0025204274310647702
IL36G,,,,,,,-0.023007313273960515,,,,,,,,,,
RTN4,-0.03444551946061204,0.08016727056802207,-0.15331109272577398,0.017990523726357944,0.030664911768068202,-0.03649844605060357,-0.02641845836291296,-0.07785241899696191,0.1311240560381742,-0.009610435094093801,-0.04930399966634649,0.010236898176355433,-0.04830130436528799,-0.0014879619927504896,-0.12473040542242636,-0.018684399450182024,-0.06592277030997523
HEBP1,-1.9706468843853196e-07,-0.04847296197636569,0.0339423129435636,0.013418458112706328,0.009389089544635632,0.01111389286305972,0.035371961263322295,-0.028536084210772517,0.001725072262287568,0.03996250854975855,-0.019032752893831835,0.04719408886995324,0.022992636677956223,0.016645968778937634,-0.04988069099021303,0.125583094362619,0.0277405851344499
WNT7B,0.07336989646024616,0.04148683843730897,0.0035915460674061906,-0.04076885118771246,0.0027596541669483053,,-0.01154533372122824,-0.0037736634777465077,-0.05908597293752606,-0.04252981755161996,0.05138819145880418,0.06114098051990767,-0.032119973774861144,-0.03392251922033599,0.06334788976866237,0.018280035635658512,0.010202739755810101
PTMA,-0.059308742338716025,-0.007036167551940663,-0.04186276237457444,-0.03831028467260716,-0.007926218915157492,0.07359306847865442,0.017680196975534777,-0.06456670528385297,0.10614571323087492,-0.10734612667284874,0.03798950151537388,-0.031435099696814114,-0.02616402860081955,0.012908382671603116,-0.034150523320557395,-0.18547820491951575,0.012703014979290578
FASLG,-0.02016110226795097,,,,,,,,,,,,,,,0.11474737438641087,
CEACAM1,-0.02799386694271073,0.0341078336080669,0.07857225527273783,-0.02236936078904264,,,,,0.060128294089927994,0.038475777797954074,0.040075607159485035,-0.003260540048037967,0.12995227974389503,-0.02251486936549495,,0.13547455614454165,
PDAP1,0.029946240869489098,0.006733200633140972,0.0940235765707724,0.03662272635256645,0.03128892577352604,0.022889072512796142,-0.004552633118002736,-0.04399398912410351,-0.02278015069065577,-0.07380798314347697,-0.08514597381808024,-0.04012170903864405,-0.00940827871405925,0.02015379254211301,0.05843387836884075,0.053330982693449866,-0.00841369731587868
QDPR,-0.08101589268685669,-0.022272955995321895,-0.11171373309968469,0.009466113729030065,0.02905763775440869,0.017129216537430807,0.026914389748170026,-0.04442978789662559,0.07121115231140906,-0.05065216805452031,0.02856577006120249,0.06694111667339063,-0.02377191060716077,-0.026726184851299465,-0.012488815772372068,0.07605908479929938,0.009529354147742364
POMC,-0.03438021301313704,-0.014010716099354207,0.005461176178181208,-0.016503222480320476,0.03610781067959535,-0.013343889400335308,-0.03514122309168935,0.019964877461219922,0.2142329208148739,-0.022844187939774625,0.017184020835177102,0.03498086137455499,0.1637480068001449,0.07592149124582862,,0.018902676203069256,0.07916041682865815
CCL18,,,,,,0.08122380460883637,,,-0.03815060945993713,-0.027042895016117018,-0.04020655928085022,0.051149359921638646,,-0.024278959524518945,,,
CCL17,,0.03670577578590575,,-0.017738826495208485,-0.019492581491188654,,-0.021017833853165316,,,,-0.01910481947684733,-0.003984047074585618,-0.011867759076510729,,,0.09946185874774807,
VEGFD,,-0.02229326066310721,0.0698584740213976,-0.018899219260057082,0.06684738479423102,-0.006422290606276963,0.02350430340560238,,0.11384691823091321,,,-0.030248239418128365,0.019477884921462553,,,,
TNFSF13,,-0.013802395038490957,,,,,,,,,0.014696231801084036,-0.03895467055297022,0.007055442911963141,0.003685333307336297,,0.03713894088919405,0.027703051128375553
WNT5A,-0.03835756413470955,0.0050268981461980815,0.02340819445993028,0.01038012501552542,-0.027558539129550814,0.009320532333273795,0.0267168603473927,-0.08556968480645684,-0.07867407904913096,-0.04628552645895616,-0.03755574773645191,-0.014298770127044363,0.06143246327639885,0.06775777113923177,0.04266997235575275,-0.013045510665934365,0.048994914386671556
CXCL8,,-0.01622533197919885,0.1076464456130095,-0.006398159686930879,-0.013314960510698762,-0.01800857348477815,-0.06283601428676759,,0.06421611636517334,0.010970206107344102,-0.06821965386112697,-0.05501920838652412,0.06455530622214893,-0.0003916565240642003,0.020290212863903975,-0.05425709327359318,0.04065100469633799
GRN,-0.10144519232199574,0.02678508808374847,0.041908240993580426,0.05855040761280175,0.008659657790574926,-0.0050730133721315915,0.0007366360206138815,-0.027914964391616663,0.035167191717469105,-0.06112182131157329,-0.06794206530042535,-0.05083590457008104,0.06474854615736585,0.02072930983927083,0.08904037813546764,-0.11620478616245807,-0.009506370223255975
MIA,-0.02638914393026282,-0.01972164122237641,-0.03337081755697869,-0.034865898123910596,-0.016261014200969138,,0.12852705458859723,-0.04510799555052126,0.021390155049956682,0.10398397028257264,0.10504772515746422,0.12544261017095648,0.02211538101537662,0.027096046230303653,,0.12498212324118413,0.014890459055694244
COL4A4,-0.023349013043513098,-0.035533676686615646,-0.014812511591134869,-0.01851988367672334,0.07980744129580439,,-0.01855498444058981,,,-0.03419066894139001,0.021657734186292965,0.010697358376768369,0.09105333737188223,-0.02074162115578787,,-0.02979908590285743,0.04702885782759946
TAC1,-0.020161091299124776,0.04257984918619699,-0.07131057916032085,-0.009319360762070796,-0.03756417170527991,-0.05458885544701066,-0.024050971012143825,,,,,,,-0.03884456374757911,-0.05734907653771949,-0.03942925377831744,-0.07164736568721751
RARRES2,0.04711824861727321,0.03090488325822653,0.0959227428388177,0.010953818494406508,-0.0536900477773678,0.10897982083673483,0.06709533102588239,0.1015176150197527,0.053706544435418065,0.042146353530761224,-0.019113690813206324,-0.010136556729002863,0.015018549139322974,0.034460786330392734,0.031087749161250275,0.05951081452295428,0.04641836239619493
FGF7,0.0333427053091705,-0.027211991463591618,0.02494041155934189,0.012975918583842345,-1.8583088906937207e-05,-0.05454172670576052,0.012714755945588336,0.056754839149566784,0.01767674154425875,-0.06029567272995632,-0.017164583657123627,0.023082246001654216,0.03813007140337966,0.004775736982490149,0.02574508802417514,0.025932655969213438,0.018811284817196627
EFNA2,,,,,,,,,,,,-0.02874892726166995,,,,,
HBEGF,-0.008539697357582652,0.05763299545581711,0.06511139828528845,-0.0218981402504333,0.004326172691537566,0.00952862960141978,-0.005838504115515231,-7.271653093943342e-05,0.03956255121270779,-0.025407151308556072,0.03328182161088646,-0.016354985525477584,-0.010011705559352116,0.06857809487670365,-0.05440186289097009,-0.11944867567013587,0.09410660399891559
CSF3,,-0.02385008001404389,-0.01567135215797616,,,,,,,,-0.030526813385619887,-0.0678911538063725,,0.00527321708638395,-0.03471762444550809,0.05330538922974538,0.025616720778412042
PI3,,-0.041158037541009086,-0.017646149369341217,,,,,,-0.020764417398550013,,-0.11229958444989295,-0.1284095655000238,0.02516157861767872,-0.01939597434427946,,-0.04736898917909273,0.035273598871210086
PCSK1N,0.01202280901526147,-0.019536089162803444,-0.009828566760456178,0.007891018832997723,-0.03778522331122714,-0.00619388555107164,-0.05700317312926368,-0.08201990961678884,0.058867117009575504,-0.036018244535541616,-0.02829876971558568,0.00316211340939406,0.020809366465822415,0.05528590738809489,-0.05857235206338586,0.1282801061448013,-0.07973967953442505
NTS,,,-0.01926197693049198,0.005695697783490182,-0.020498221280956495,-0.024442791868759917,,,,,0.020390206956657737,-0.022161065036101785,,0.04355779224149914,,0.058365817442669374,
SFRP1,-0.029334897105097346,-0.01745942872827228,-0.05652753249943925,-0.031812178358061834,-0.01949258168749496,0.03766722021548826,0.061704559915690585,0.037686418238723124,0.004660261481576138,0.010451024199525278,0.013206680592610681,0.033880392057468976,-0.04219608588707883,-0.0006509806679838385,0.08810222781526586,-0.045676537675325035,0.006915536917067548
CXCL13,,,,,,,,,,,-0.0027798914296208806,0.008366122779621442,,-0.030963478339203866,,,-0.015711612798014495
MICA,0.055215843535568666,0.03645611854847051,0.019152347529938742,-0.015748449642971583,0.03221556842569479,0.10358641134259015,0.04972296935490475,-0.05536603676156976,0.17933525461111904,0.02488193919724885,-0.017872648136508667,0.04163007734953003,0.026709048632273125,0.019355284886749,0.016189606203489415,0.003356442609270204,-0.015915754195973228
TG,-0.02334900778172311,-0.018841489769189243,0.0013074642823589103,0.05941968273679971,-0.014106696576276995,,-0.009950254159010918,-0.03421780309650804,0.08087092700082958,-0.04403215565711986,0.008570912970725292,0.013493282131317555,,-0.026565405830843037,,0.04230696477513648,-0.004466174291528109
ADA,0.0559719454530219,0.027546465823856805,0.0283254916948734,0.004150499591815744,0.016277785247331315,0.04512745197969212,0.08275199075306681,-0.04454870417950374,0.10042065084397757,0.030830047316950437,0.030420063712755047,0.06554097312224078,0.034942939731182586,0.0406442163877169,-0.011654777548562915,-0.04064521618860373,-0.005118615486316054
LAMC3,0.02472073795806786,-0.01807210972398193,0.10228674007211631,0.03226552836970877,-0.00014487390951922768,0.019882624420346166,0.06506387731106443,-0.07544947159584488,-0.05794573811975316,-0.019399459130868085,0.025173982907828917,-0.014549509227590414,0.09144042248969687,0.049975205834196824,-0.03852045785599642,-0.07188167953430553,0.0218416102467079
CCL7,,-0.01362236699952345,,,,,,,,,-0.028633720723024187,,,,,-0.03309102541139181,-0.03997261633186885
NGF,,-0.03121232211179883,,,,0.0631149298002541,,,,-0.04018744935142761,0.006160867732104975,-0.02836249331249525,,-0.000549143114826002,,-0.047575053308497546,0.012293356665307556
TNFSF15,,-0.015169171915404612,,,,,,-0.03154015246704654,,0.10332898368603993,-0.027914662415421062,,,-0.0007668563567710141,,-0.04945841007554412,0.058083589348405885
HMGB1,-0.005008068618104795,-0.0164522311887269,0.10852368329088001,-0.0016107017635568304,0.05243417393980123,0.09376389324167221,0.012767819390756885,-0.07239954029270101,0.07843135138096079,-0.024636349901990862,-0.050453112094707805,-0.13528469087993816,-0.036431030355843066,-0.005798285083728647,0.13876916467747885,0.030229073068173417,-0.012572044320228232
ITGB3BP,0.07439036568258293,-0.013836409128057172,0.07022743234255927,0.03304294388108324,0.018781272363382263,-0.041654236342341715,0.04336479627205053,0.04572507958376116,-0.07570052747300901,0.035897438403475306,0.018636693610639195,-0.01881481629882043,-0.032701087748357734,0.013103296360160239,0.02346989310185931,0.03556096297752989,0.02576224984245703
AANAT,,-0.013802396511594307,0.04017786424254383,-0.016071671357404692,-0.016261015105448265,0.13882613784629183,-0.015971724774576212,,-0.05195588643671411,0.02182490156047855,0.008955831759872121,0.03694914533647873,0.07003222868198648,,,0.10474324898361922,0.020351976706062532
RELN,-0.01935694648349926,-0.02395786936586618,-0.0052212305136562715,0.01487451985096799,-0.002385259162910584,0.008884108970537681,-0.031212542479647356,,,,,,-0.03472103366075789,-0.008730298228743587,0.0713972288465563,,-0.05259527262639855
IL15,0.10189634915167589,-0.023700401049298082,0.04842399640608593,-0.007186487475438231,-0.025941556248329053,0.050253790084707754,0.012755719179847308,-0.05383866478372736,-0.059884558997271,-0.047613398838219564,0.0011832415052171186,0.02208216117790386,-0.02346964081349083,-0.048893902691712704,-0.03671916395245515,0.047757747161049816,0.012050490395173863
UTS2,,,0.1358423377652429,,,,,0.019362984820952136,-0.032215132724617436,,0.10057526711437291,,,,,,
BSG,0.06578616763576613,0.015838351433709225,0.020533643323452713,0.0038742403141895235,0.013331538981003303,-0.03184768976604295,-0.008981167347788203,0.01223631413453665,0.035584970656632846,0.0552216074410604,-0.015369652110099991,-0.0159882341924782,0.07466908114806568,0.042933163000267935,0.0447937085627004,0.04438792487269144,0.05476602938992107
ADAMTS3,-0.01653857176649442,0.05079176343884162,0.15845330334643692,0.0630385728310789,0.020666644865675626,0.02000402914885718,-0.0007967054463248886,-0.035223156052305395,0.022689094160087797,0.20028281427665856,0.05747135019376606,-0.009736128731985459,0.0632595171895218,-0.030258204114077758,0.005717427223405446,0.13160017885303468,-0.03398077081128686
CD34,0.005240670508981809,-0.019419591147315212,-0.0364401138799163,-0.02924269068228086,-0.02030757894356325,0.05950177474557585,0.008292299274009233,-0.0702328893073944,0.0631590245913987,0.05505803359077327,0.05030349651208133,0.07806597081286852,0.06335895766979362,0.011388647328858283,0.13867229860749813,-0.05815293813743978,-0.04738261486543187
CCL23,,,-0.016084505560243354,,,,,-0.029761587935522554,,,,,,,,,
PLAT,0.037423396332349534,0.026911107340758803,0.08769145153743732,0.06763092003407244,-0.008853722720931545,0.05890528999917024,0.08038286013209638,-0.08777754761078141,-0.022553562404416222,0.04938387724381037,0.043274116908775556,0.023867770039064852,0.057395030226769714,-0.001574161383433643,-0.010808069246217269,0.05546801837651682,0.02557070604973621
NTF3,,,,,-0.026249157518890405,,,,,,-0.014669323224717746,0.03865036488670814,,0.02299349475713517,,,
LTA,,-0.01745942791149276,,-0.015478694447281905,,,0.024875414722466134,,,,,,,,,0.008782668505085715,
CKLF,0.02372175050956304,0.010232174123095699,0.05745743841656497,-0.029149996632579642,-0.09710540700534666,0.03474868495344459,0.0510979818851841,0.011016754671446593,0.03886568504237467,0.009431296863695737,0.03489636781907425,0.04733648922148018,0.010443921810256563,-0.027173451526021325,0.028932624797910395,0.09788893037000217,0.08584517531294086
