,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF304,UKF313,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
IGFL3,,,,,,-0.022391157354301302,,,,,,,,,-0.05189902316797969,,,0.045471616876915276,,
BMP1,-0.031848328909702454,0.07411580472290659,0.028826719696049656,-0.023368703226423076,0.005469713132268982,0.15735859972347419,0.03404177987428152,0.009336798011622006,0.004436794364609903,0.06721248536074992,0.021199809864626565,0.11390409036617428,0.07654729722581413,0.025093066828834564,0.0862889590293169,0.03147174363001634,0.029773407723620724,0.05606521217443717,0.05175358174105559,0.007853532909377632
NDP,0.00038245181801159354,0.020720600183766407,0.011879710330161325,-0.015115718192598979,-0.012879993889557925,0.036663928660792544,0.005779859833856299,0.009373722431691735,0.02972674169978624,-0.00016927319463653397,-0.004083454550626761,0.013603171286596926,0.03842420884757286,0.09530599776361254,0.054900987056997676,0.06413260370111665,-0.004726791111095743,0.03600380515958861,-0.12422371487883514,0.10738498922092107
TNFSF18,0.03946329516966112,-0.03373944792041267,0.005693895918943763,,,0.061177573120022546,0.04601095903604952,,,,0.028939343115504917,,,,0.0002979235582253912,,0.0772088195102772,0.020142422731936897,0.12285227342398332,
RTN4,-0.008385408008510283,0.03741220432990278,-0.010847886283439055,-0.052814304175738375,0.0012903385751029527,-0.1765516042918912,-0.009756749492475703,-0.13632588715586583,-0.005163066035031442,-0.11795820653966457,0.06028021346626497,-0.04095544591514427,0.04407299343002116,0.06493768810410755,-0.056924815439421565,-0.05845710863357513,0.0021700941479439973,-0.020895200259317067,-0.12100255381162323,0.06595387023764619
HEBP1,-0.016426325729464415,0.017713883013796745,0.07523935128832619,-0.006270753808814216,0.04382192022849751,0.042930797814861595,0.05019514787251703,0.08608216024669187,0.01111156782920721,0.08402318098386145,-0.07241376826593902,0.05221267181593674,0.03399178918921418,-0.01538957530605462,0.05172702602772457,0.035631701154848185,0.08692768284299135,0.06861161794481059,0.058816733061693105,0.01677570510729574
WNT7B,0.0978156435224657,-0.04993068206025163,0.04151610607213239,-0.01156119623002788,-0.03208719908969472,-0.07554657374910195,0.032502410169580595,,0.012317943777951257,-0.07043500077352928,,-0.0008024444358053981,-0.002836391184374749,0.028649330743407166,-0.018588794243866225,0.0016861943295000156,0.10311234593767836,-0.0038022069955932058,0.011356611492878626,-0.03929247834436443
PTMA,-0.017051302938276815,-0.019465396953251453,0.009072620434920861,-0.03910701884032213,-0.019693449214050515,-0.07104919954014265,0.006692987425948379,0.11407485558249422,0.10392056090568105,0.016025456009596758,0.05795140687639618,-0.05111159729561989,-0.029595465306183517,-0.011671457076683567,-0.09217676903722646,-0.006886871520323546,0.05008808657259192,0.01160553266023391,0.10437539161002021,0.11992578233715057
FASLG,0.0791628255719924,,,,,,,,,,,,,,,,,0.050632972798982205,,
CEACAM1,-0.027104858933940143,0.026767125134503855,0.06580420382452198,0.0054027827913551135,0.020040907501982442,0.06074148599893801,-0.014073680136250656,,,-0.053039321869921836,0.009274043306250201,0.021098126470674078,-0.05003521894382186,0.062178528035248516,-0.03011324995143863,-0.018887805094300058,,0.08656299569029631,,
PDAP1,-0.03633970413305256,-0.0476353339163083,0.07071181590700276,-0.011328976857458683,-0.004385166341348808,0.14481604137254875,-0.011604248383691498,0.015122987535590429,0.07880984371772999,-0.04085920524225974,0.039724993271858,0.05649513816689239,0.025035195134292292,0.01297490521254754,0.006663555109359076,-0.0533627337928551,0.10287073178550571,0.022233273312687537,0.017639967181729672,0.014444210073225796
QDPR,-0.023322228273109376,-0.08705565685690785,-0.02996862337585756,-0.0230695426451478,-0.04530767578240076,-0.11951422525157934,0.019173420013259165,0.11581326833682873,0.0317876031426344,0.03150245763188304,0.08473257339475497,-0.12776978919291865,-0.025982648574615835,0.07041794432663383,-0.09234671734020633,0.021759305578314677,0.025007152685798447,0.059669095895637195,-0.07176209677427196,0.039683299992846595
