,UKF266,UKF304,ZH8811Bbulk,ZH8812bulk,ZH881T1
IGFL3,,,,-0.01754336622072638,
BMP1,0.10052381703825013,-0.023037659647541803,-0.018745669667491117,-0.03541184418097089,-0.05078974047362107
NDP,0.024928581293622236,-0.015327932688610877,0.041707152214425725,-0.05593931154764324,0.008852033532996451
TNFSF18,-0.014925467945135735,,,-0.018092163924836605,
RTN4,-0.1144758303370708,0.02561502844519016,-0.0797759447264868,-0.04311693928671015,0.012134035587948932
HEBP1,0.05416154098284487,0.028857475760795878,0.030609969297136632,0.04807517431301884,0.010007134333155714
WNT7B,0.025383472026438512,,0.03477595424140242,-0.024774726742707615,0.0035029620396216815
PTMA,0.18489799544591118,0.04578977162990323,-0.050072802382164334,0.0449363745331161,0.06391454727880166
CEACAM1,,,0.007181870271978661,-0.02599655071251099,0.02642160268891468
PDAP1,0.08996660323472853,-0.04581763961731165,-0.04536874683364152,0.022067036963194425,0.017539994677014326
QDPR,-0.06991648570915565,0.035389514811242244,0.0799183022677108,0.028505194403705206,0.021925189625569733
POMC,0.020644774350811582,0.03695003281122492,0.017005757980856177,0.02152857638267459,-0.014890989354084738
CCL18,,0.05638644106455541,0.06098066646611367,,0.015577722230892991
CCL17,,,-0.02438620510050857,0.022055891580267665,
VEGFD,,-0.02214214221550251,0.006915211299903757,-0.024394921259946575,
TNFSF13,-0.014474590278528503,,-0.011102732662066761,-0.02480384257185979,-0.01927394121925446
WNT5A,0.11587395807005006,-0.030631460203976633,0.041971066863138014,-0.04308213157843162,0.05044341987092674
CXCL8,-0.020589165861503764,-0.05045453843507626,-0.11490935983067893,0.03247153036527266,-0.044549406307782445
GRN,0.016794197523229092,0.008794950115526338,-0.08996882764508259,0.03434570189802849,-0.024544155849524192
MIA,0.14500763875705638,,0.11466813467600882,-0.006454815664740015,-0.03892286825682703
COL4A4,0.12018066421386625,,0.0031255766521036754,-0.03562976430268897,0.022665884875051993
TAC1,-0.07502132848662474,-0.03346628046568066,,,-0.004886807238022165
RARRES2,0.019484701173640744,-0.049530359368225266,-0.08898202412437435,-0.03985299878134359,-0.033061676861339685
FGF7,0.07564336743235979,-0.005722349289714695,0.05670785861570094,-0.04967476683258791,0.030986939984749735
EFNA2,,,-0.016055731193926084,,
HBEGF,0.08265267867252338,0.0692561371235345,0.053540028239791586,-0.011556831257601052,0.01791397715272307
CSF3,,,-0.07587400845547787,,-0.024606835926078797
PI3,,,-0.1457663333249984,-0.019652635170192376,-0.00263235001444979
PCSK1N,-0.07740741750401114,-0.01958447500134209,-0.03188639098373965,0.03938936976749597,-0.04817946719161667
NTS,-0.01681240128837434,-0.019935040650018603,0.042855049929236576,,0.08874068284874742
SFRP1,0.0299163167314431,0.0053386767628966995,-0.05253613985757624,0.0895553220909738,-0.01846481427126831
CXCL13,,,-0.04125175044533137,,-0.029534702559762708
MICA,-0.03568487319104468,0.02199657710762534,0.05331106254264032,0.11699707492180197,-0.033180239104022735
TG,-0.019405943058946138,,-0.024091339469201684,,0.015575022396465929
ADA,0.09890365688951543,-0.026089998985679482,0.06454859873497418,0.03720074271778428,0.034778592705748124
LAMC3,0.07711280257722421,0.005293606634614777,0.014734623365951471,-0.020185466845060594,-0.014876748457142831
NGF,0.020628027550566256,-0.0199350537759202,-0.015839915154750653,,-0.006861878401779259
TNFSF15,0.05910071430340605,,,,-0.015280422662845954
HMGB1,0.10487244977321428,0.036088801197213125,-0.12647107782092007,0.09917186420140008,0.02857540589915966
ITGB3BP,0.14476208274818883,-0.011546912592964524,-0.0333106094054309,-0.050478679477621566,0.01673448287825605
AANAT,,-0.018741882321901746,-0.021606665562325756,-0.028610962761092807,
RELN,-0.007428330381208866,-0.045345073790362976,,0.040039628753585695,-0.018457094601741653
IL15,-0.015999761548764934,0.11862904648641531,0.022241157632385437,0.02068879656356603,0.09706193447682028
BSG,0.0817308124956628,0.04855209665505568,-0.06283627386113579,0.06931043772506279,-0.07515572066879127
ADAMTS3,0.03136913688273071,0.007403607413892383,0.018465705638253362,0.08126648488529797,0.04340940168102309
CD34,0.08145536624285594,0.01785453479829102,0.06015706765839599,-5.50100558729714e-05,0.012034611568895374
PLAT,0.08933279431820425,0.08287887195194005,0.03723373064089756,0.04662336648727317,-0.04586798818765752
NTF3,,,0.06524399930930944,,0.03520485814646456
CKLF,0.09825051475342277,0.01169996507493537,0.024070553035759414,0.062053524583023024,-0.035071018333563124
CD24,0.06520446728431194,-0.019970559570666128,0.044182469838795486,0.03770848728899187,0.05349806008889835
HSP90AA1,-0.1273079512998864,-0.016348663685298873,-0.17673231731081754,0.09076405805322775,-0.06808106538236382
BMP4,0.18794172107446955,-0.029893708981205285,0.03228824496126538,-0.040591908996129876,0.018996775116363336
SCGB3A1,-0.02042397859379874,0.031544365416860475,-0.017344810205859183,,-0.03173261622464486
IGFBP4,0.10733542133495838,0.03317521130250676,-0.05812098644524005,-0.01947379189245607,-0.07525784295691014
RSPO4,,,,,0.014502838152844099
LEFTY2,0.06139479176963885,-0.0199350537759202,0.1332955734618973,0.07304145421667028,-0.002427795045481199
PF4,,,-0.014716189229287765,,
ANGPTL2,0.1504156073863343,0.0312809328620144,0.07193586726837908,0.04928204913578382,-0.004981110951362756
LRIG2,0.1004318385210989,0.09952295726107627,0.00947187379921972,0.04108213462588003,0.07018103637461638
ICOSLG,0.11682088080817632,-0.010606413064533837,0.035969745233328625,-0.0028802835818263935,0.013704330763404151
WIF1,-0.07736147262488802,-0.04566555383213966,,,0.018256577601153384
NPPC,0.030404030317880127,0.05044442909959885,0.07489671234043663,0.01211602841542507,-0.01747167365146071
LYZ,0.052202700734014375,-0.0030105632315840644,0.044588173671763265,0.006090632458227696,0.026297099910602254
EREG,,-0.02050734454794723,-0.03790397099589611,,0.001264601839437983
SPTAN1,-0.0661120784117366,-0.04450632998024308,0.053755354910849824,0.07757324506664023,0.03890283203998066
PTH2,,,,,-0.011565204377943323
LIPC,-0.024811527609226756,-0.03672828031514533,,-0.033317227439453555,
COL8A1,0.062366406121100434,-0.06727538922548654,-0.0007286758124989136,-0.002358979588344674,0.030320172227457472
GSTM2,-0.013529952799153661,-0.032617184155785926,0.04605536452024211,-0.047959860085977364,0.030247979783651086
SPX,-0.04137824213153044,0.09493315034628738,0.09261187591679189,0.07085837646695972,0.057984162319798846
MFGE8,0.06347864683591092,0.020528854520771248,0.009767212067138072,-0.00954163809527692,-0.008637181094745285
TGFA,0.10788745868423187,-0.003275876168484591,0.03229766003429989,0.037552227536533915,-0.007838456643679886
SLIT2,0.057307380620211526,-0.0388857668987013,0.052276304676125866,-0.040355659145072206,-0.04559315177741479
PLTP,0.032523542170818515,-0.023916390010214388,-0.12394383026213592,0.08366598380910341,-0.026521534251517317
APOD,-0.08321890831375711,0.02224394336551383,0.1432613951635942,0.013792939332344255,-0.03756607495497133
B2M,0.026048893038402465,-0.015450216743667956,-0.047172114607728154,0.020262403283876664,-0.05413178144528553
OMG,-0.0567184624858414,0.061049314347158025,0.1305368199067709,0.020292104272725254,0.058728427767166025
CXCL3,,-0.028869107595842314,-0.04165355802586012,-0.020147853754721747,-0.005936744262892723
CXCL10,0.012151061885681625,0.03187029095727623,0.020558107136429506,-0.02714345664826441,-0.015793709395147272
RSPO3,-0.025730586214753007,-0.03208477330349597,0.06198053179922185,,-0.029742442479277008
CORT,-0.0262619732450241,-0.03813188837613378,-0.015399744061886166,,-0.0048058617174070025
NCAN,0.07330419372137414,-0.03272480625341434,0.15064325146859447,0.011656434559005885,0.07840505442797367
PRG4,,,-0.02272326473595527,,-0.015904789431291883
TGM2,-0.010991405537926088,0.04485851476654072,-0.002142932427428287,0.017612120964380307,0.04138883085709524
VEGFC,-0.020444236544724857,0.09501863367592082,-0.030855474535364878,0.030930230233228276,0.003543909525000666
WNT6,-0.01641082547268543,,0.04270404267162241,,-0.0005194254510499192
NRG4,0.0906394906010273,-0.025816327206219212,,0.0020050677726434233,-0.0018086711323252146
PMCH,,,-0.021606664796109856,,-0.0162481340375146
COL9A1,0.21628337804753042,-0.02022305590179908,0.08991729641776564,-0.02068477697285645,0.04517212313158902
GDF11,0.09944173546213016,-0.0022938200378856536,0.033899468247607666,0.027484706856711352,-0.044435993601575345
IL24,,,-0.014481547074012478,,
SORBS1,-0.03695612410256078,-0.019380480026805588,-0.001737834808538296,-0.05166322131966689,-0.0784868260926659
DLL1,0.055340190710398314,0.029409367126058777,0.12773161940659872,0.07301673299037678,0.10941137972572682
TLN1,0.13308592492918314,-0.03905055198583092,-0.061680964218050985,-0.05106996664916829,-0.04659296407786684
COL2A1,0.045332381511286615,,-0.03774334168860777,,-0.034229311978499405
SHH,0.09300309432106611,,0.041070350342314946,0.017693805938669788,-0.052009209350099506
PON2,-0.04754832949672272,0.01244911421206227,0.09780209180992484,-0.0351084161284297,-0.007145807836845882
ICAM5,-0.009347998018100545,0.03260577434725956,0.024685449645761765,,0.005006426393187631
HPX,0.07450485441007272,,0.017231656255933807,-0.028610951044446976,0.01508362425458026
SFRP2,2.3464002034202784e-05,-0.06673266892344065,-0.0032115386814313405,-0.02591086604812576,-0.023250641208115323
CFC1,-0.027730280772377092,-0.021065232510251927,,,
CD70,,,0.0034107828933018333,,-0.041096015467470215
HP,,-0.04753359340037448,-0.08587083734436951,-0.008289789546543263,-0.003711440341048813
CXCL2,0.09142267639995119,-0.034289896418794256,-0.012444078212316152,-0.05202471259810565,0.0023290952518497687
NPPB,,,0.06238913999348022,,0.006365180346177031
CCK,-0.09678904673866581,-0.06995475911112498,0.08166446390180562,0.072090859434049,0.01907124766366602
SEMA6A,0.1210939978685866,0.06667205194173022,0.029825090077139047,0.03522397337288072,0.0051245294626947905
IRAK4,0.14820502345771083,0.023319006735539088,0.012076800052646384,0.07341426072191931,-0.04543649469559782
GSTP1,0.10064843187018037,0.04511221449328347,0.08578129624831647,-0.0066467226829527255,0.04478141029944405
VCAM1,0.03937705004114425,0.020766405775550095,0.04196320197830251,-0.010677645284970094,-0.010415254142126771
NXPH3,0.1450671228562403,0.03811762982789413,0.04746068798492551,0.01864751232602243,-0.005134921991292659
MTMR4,0.055756804618689766,-0.03827650392817285,0.03733943859697069,0.011661557699813377,0.017205049129361667
LAMC2,-0.022485485916460796,,-0.019018334752313227,-0.02063211686037212,-0.015771348431845234
IL10,,-0.007554294224114048,0.16578021923477185,0.03144153053130835,-0.018845659769707927
SEMA4D,-0.0017898862981668969,0.04991739168045931,0.07563287048512629,0.01045729910881818,0.08647826070055567
TRH,0.00549255675298921,-0.03280449811457073,0.040738691198543515,-0.04560308590830126,-0.06808038704323044
SEMA6D,0.06993695880876614,-0.04331643653072458,-0.014982132901881037,-0.033401994335397055,0.04631518795595681
CEL,,,0.029333521225069194,0.009922446213505383,-0.03992391893182613
PDCD1LG2,0.0757895577138737,0.01773295285089354,0.031038292493100018,0.0020684274527047308,0.027629096366461357
SPINT1,-0.02042398483435148,-0.031858857676825794,0.03221071310412612,0.056000992850335066,-0.04635059692043922
CTHRC1,0.1275486791259915,-0.007728733007366178,0.0060989089838477525,-0.026757861930874087,-0.023107578165646882
PODXL,0.09934057625798376,0.0727617932251563,-0.012287930001520815,0.019278938837861068,0.07064699257685869
JAM3,0.05485238591017399,0.0424411715209496,-0.0440636962236922,0.01664852097931498,-0.06491025085295593
TGFB2,0.003166139285180996,0.017610172853001888,0.017964484643382034,0.00965386316187938,0.01852969392406579
COL18A1,0.1781451616938109,-0.020415827077135615,-0.05390880588399162,-0.030550077773736205,-0.051749754359251006
NODAL,0.11871608459981536,,-0.017888121947694284,-0.031037326737080678,-0.018035719804809246
INHBB,-3.4316486168217685e-05,0.03376668248622931,-0.023945717724570277,-0.007241192486745172,-0.04647857374743428
LCN1,,,-0.01689306862710319,,
ARF4,0.04868802574003586,0.024339698801253105,0.10790174668593515,0.021647853409178734,0.03729888642152989
CXCL14,-0.1002666106469008,-0.008867338490070318,-0.13128273352896358,0.0659262528672088,0.08980262289953424
LIF,-0.019920920199317012,-0.02866043260440836,-0.11510090586989309,0.10333218261385467,-0.020552903440207736
IL17B,,,0.01823956995435286,,-0.02243811135277159
MMP1,,,-0.027844014790055698,,-0.016248132750761805
MATN1,0.05778031810656852,,-0.02987915258797122,0.0026123824731462014,0.04237982724479367
ADAM28,0.10867370703458425,0.014583451689676008,-0.03209803311638884,0.05907733280129388,-0.036065101819658794
TCN2,0.06413912719319691,0.027713296792738946,0.022509880571207074,0.027999654155188465,0.03402677594985289
THPO,-0.013869904958356967,0.00996843227836482,,,-0.02005976455580184
CUBN,-0.034212234177835435,-0.021877479895038496,0.029767705015715174,-0.03854317423385313,-0.05741682974823078
TIMP3,0.013622797944575197,0.06327519627090969,0.017627267706528397,0.007222508042356507,0.0060060567044775545
PIGF,0.10545743813276798,0.04743008373243483,0.10145109647061178,0.02675845842411588,0.011239178157980251
CRH,-0.016206521393322362,-0.024406409455914317,0.013579563341902122,0.07355356600478079,-0.004562481181986488
BDNF,-0.05382852826116918,-0.02823910387320829,-0.006860597143075047,-0.033282466946769625,-0.018320114247424142
CCL5,0.03770482710328436,-0.018095163308569934,-0.00827650154324491,-0.03927441221682717,0.045222572848935355
GAD1,-0.05676758709416245,-0.041177451763897144,0.11357207520137952,0.07842982318023332,0.010200408042446063
COL14A1,0.0934053484983556,-0.050181001656323554,-0.027974251879510876,0.08609133325791322,-0.017819888202997784
HLA-A,-0.008197197658057537,0.025460191370854143,-0.17468446928785983,-0.0010254914110738337,-0.08547658301445714
CD5L,,-0.029691203613152015,,,
FGF18,-0.022485482640998835,,0.005547669183262539,,0.03836473935946552
ADM,0.06464234235643536,-0.019390983731819113,-0.07387836139785378,0.028680425143840015,-0.026085058529796444
GNAI2,0.016516266011265088,0.022069013172082496,0.011470488680105298,-0.013139171678433021,-0.11320672451881543
COL11A1,0.1742514484807187,-0.036040228855559214,-0.030927487667292756,0.0037811211143747307,0.0072088858900058
NUCB2,0.011912096843967778,-0.055427017435486496,-0.06257406104227871,-0.047543620930598295,0.043157094236165504
CXCL1,,-0.04050802242349926,-0.04981457891015816,0.0029706313970724488,0.01016029344853495
VCAN,0.17955465805730814,-0.04708505688669847,0.1284624930767487,0.005403810314178546,-0.009052858125687036
MMP7,-0.0016699372828746905,-0.017472847663104484,-0.04642217834353501,,-0.008041325870551997
PTPN6,0.08580020750703579,-0.00882577042370751,-0.024742362835352857,0.026559598976185064,0.03686381263315633
PTGS2,0.041158576848472954,0.05818662340689174,-0.06099296919860759,0.052539879695742024,-0.058148687386346286
XCL1,,-0.022919404558620866,,,
CD58,0.11110589864314525,-0.030345603391242523,0.06835082222311872,0.022736659509833123,-0.007739708221255831
TNFSF14,,-0.049768971280313726,-0.02874892713140359,-0.016201063250708855,-0.0234614509715263
CNTN4,-0.014723994207084236,-0.043969484668310924,0.226647449055647,-0.02619071668842294,0.07283737041478801
INSL3,,,-0.016687426651537413,,-0.023461448704772365
MFNG,0.05574191555142055,-0.009863482100733652,0.02530266809500268,0.0037204033818063055,0.005058352776559704
ICAM1,0.04590796030276459,0.011088485407389057,-0.02301052134235264,-0.021290183753071828,-0.035266978351919616
PROS1,0.16036144091250948,0.0032650136066545887,-0.05161067681673919,0.003523224801706269,-0.017766895101707127
CLCF1,0.08168379033872462,0.014424616297276555,0.027138461974952524,-0.06040458767153117,0.012878893114587437
PSAP,-0.1697603326638884,-0.023702653313834664,-0.13487263414648631,-0.01682020791699266,-0.0778915406085839
EFEMP1,0.028763434894566817,-0.023482923743346335,-0.030637381182596325,0.037117129909810136,-0.019667831270820575
C1QTNF1,0.031040539323614565,-0.006245096222029635,-0.14019277846997566,0.020344247727680315,-0.05832398866382469
ALB,-0.019055537111844403,-0.02304996056385142,-0.038258127302162014,-0.017464786096115605,-0.039273883081788245
CCL13,,,,,-0.026316889919854897
EFNA3,-0.05775915374618501,0.04819304569190773,0.025926908352407085,-0.020716293187494638,0.02878266197036984
DRAXIN,0.11510101035568972,-0.023919994647200172,-0.11650804800884536,0.06518483269974705,-0.006409959754930179
RAET1L,,,0.006782991099365343,,0.02773591798047999
NPTX2,-0.10510583459165743,-0.017974926775804673,-0.005694673852316539,0.0678461696727846,-0.07000273704541844
FGF11,0.019102311587274216,-0.022736589361277152,-0.0004839437918921705,0.03483493480297473,-0.015238946629492408
CD59,-0.1279665046169109,0.0012881593898948593,-0.045927225081774256,0.028854964322014728,-0.02959649164014076
COL9A2,0.10185101471632182,0.07471424881005338,0.09317193694054034,-0.02573135561826847,0.05690073364480592
DLL3,0.06474078495340164,-0.05273951804369064,0.17358843378447109,-0.04996164733242891,0.07025088570570025
FGF5,,-0.01680455385630054,,,
LIN7C,-0.014901468101191705,0.008128690836347818,0.005815237060994244,0.009547296286452575,0.06069183982587247
GDF7,0.10720236194628759,-0.03088938376746233,-0.014481551662059812,-0.03410170077575791,-0.0190727883643689
PSPN,0.018962350980654536,-0.0472494213659347,0.01885727096909834,-0.016653541958198875,0.017919038340503103
ANGPT1,-0.03279970712858223,-0.012648633363659558,-0.01410033097579541,-0.01761826966684696,-0.029122437891625573
PNOC,-0.0381327833976487,-0.04443041917196199,-0.015399745737331393,,-0.022611569599876646
L1CAM,0.02727036263934777,-0.06484964665192156,-0.11840966552181542,-0.018528458664195772,-0.02227650327247209
APOA1,0.10259969324469176,-0.031649546046157204,0.014000871142558293,-0.02878991123366671,-0.01738437248354054
