,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
IGFL3,,,,,,,-0.015367750376530143,,,,,-0.01131700834848091,,,0.03351791842554751,
BMP1,0.060261215773280946,-0.014510208418340737,0.0869802854182045,-0.010549971629535923,-0.05681361704892398,0.014821038787643674,0.02286789935658512,0.0007377534355463646,0.007496248719779206,0.008186200833490349,-0.03406384200796706,0.02922851155112824,0.03697582889755581,0.013630963325065654,0.12210055449186125,0.035367884736097255
NDP,0.08350545641823758,0.028127511037290484,0.0270198909641328,-0.03739558961676041,-0.023884698602874004,0.044504903622404585,0.003837266426712801,0.005950341914425457,0.056296231275319304,-0.02882454948983172,0.02263433077428942,-0.009424697426372664,-0.05228863370146154,-0.05221650243760913,-0.02720972963763578,0.010507723830455014
TNFSF18,0.042550560837612904,0.014332244597879759,,,,-0.012582397291012378,-0.022820647956638504,-0.015882541990676288,0.015142506487991493,,,-0.02987017945684635,,-0.029541039732537057,0.07410466816637837,0.030961544018114132
RTN4,0.07649790597363341,-0.027025206718274908,0.007523785959471644,0.02043161629756249,-0.016838907367456375,-0.004765043485136871,-0.01370423206056749,-0.01823592927557307,0.010314436916824212,-0.001218831801589775,-0.007912821504454283,0.056646465736241,0.049533482585308514,0.00023672688832594962,-0.07357300544605778,-0.09472884077853269
HEBP1,0.08044705094554011,-0.026270994427098408,0.012631027180449353,-0.04215086069207949,0.04860756195582815,-0.01351779674741178,-0.032269865195040874,-0.03974883851039906,0.07992589611917177,0.011971339537079262,0.04524567771934792,0.01835260816440235,0.005128847242020084,-0.0716418005550694,0.04052967945957519,0.011506629842883536
WNT7B,0.018615637338933528,-0.0007699864767299831,0.0031761270917353823,0.01173829817709162,0.03570421108323049,0.07150533720058283,-0.007564644632969569,0.005611454396938107,-0.01271889557371529,0.05882679122602557,0.06690615220439744,-0.04365827217376629,0.0660480401844864,0.14339721348751502,-0.02250662674183111,0.015410367006573052
PTMA,-0.01636445988305141,0.001872267940041314,0.08797701782313207,0.0031904257530447422,0.03934034143822027,0.04536347751708591,-0.026251428551158484,0.014635472924845364,0.02227084422635682,0.03002206135059315,-0.09057679796501472,0.09921124220737913,0.09569539733282197,-0.05238321406099863,0.020485373292503026,0.047435235916956045
FASLG,,,,,,,,,,,,,,,-0.00562668606952097,
CEACAM1,0.01809947296862383,-0.014296302618219332,,0.06337319864413435,-0.01389736675836461,,-0.030030672944015742,0.03234364624998167,,-0.0030284463209201778,0.04097512326936225,0.06638629336982423,-0.01951878648209577,,0.004321494377670238,
PDAP1,-0.04972591653172144,0.033101820573412474,-0.004457634287171558,-0.006158339742488581,-0.0027053109016033426,0.037128057073118226,0.010005058027303195,0.011706969653391493,-0.0366914831082582,-0.053573002973366604,0.01505087968549591,0.02478149190864219,0.04804293619188187,-0.11184806846853018,-0.015122423020305763,-0.039800908800866196
QDPR,-0.05078894971598504,-0.013910961477890654,0.006353281646229202,-0.020659632926664184,-0.025877204840577702,-0.010273174261611324,-0.008781065914122574,-0.016464309718168563,0.009688591574540032,-0.04944221158241576,0.0037940611740004296,0.07670048923878163,-0.0484126199687729,-0.04150048623600793,0.0466537059531626,-0.05860836921994818
POMC,-0.0444231547330656,0.027393445838748202,,-0.03187560789795408,-0.027964788257813598,0.011674948403006018,-0.018553914872836936,-0.018428845764145184,0.02010419639125215,-0.054568568930535154,-0.036726356266350096,0.016472983622993348,0.017241370448257822,,0.055350958016904254,-0.033913584338156055
CCL18,-0.023389572646298724,,,,,,,,,0.05148535510115271,0.06346152590047761,,0.005101058434282116,,,
CCL17,,,,-0.01983966024880114,,,,-0.01980862209831768,,-0.016123554641820782,-0.036248170162177094,0.019901336134261333,,,-0.0019671178180924423,
VEGFD,-0.02338958007358354,0.09230323020657716,,0.018312051714894115,-0.013296213671088844,,-0.025745104183903307,-0.021104411409449204,,,-0.025110213894813892,0.09065687259240744,,,,
TNFSF13,0.020394490728169522,,,0.007114438718593058,,-0.012202300536140064,,,,-0.016039963965781993,0.03662916903931674,0.04516498560945975,-0.021918289020838484,,0.03766677557235063,-0.00788463540367093
WNT5A,0.07584554686466727,-0.027007943250238697,0.02092251648429268,-0.004301760889306506,-0.03006815270660738,0.09563816264527829,6.658460669424597e-05,0.022358828951272926,-0.013814819278422086,-0.024778812765644885,-0.0497787360164561,-0.01954692635468738,0.048165257706679614,-0.06463325707352424,-0.0017841332375050393,0.01402991007617712
CXCL8,0.04348758117022574,-0.01917306073513222,-0.12017655487255768,-0.018629130907305017,0.03980670595946926,0.003460836723723138,-0.00010325597785104429,0.02126320270748995,,-0.00859266655012819,-0.013231510331975496,-0.01624878671746224,-0.01593300497825392,0.0024502568982619904,-0.06089116722446468,0.05800882366375069
GRN,0.05806905777230446,-0.0652233746074165,0.03715982735404713,-0.0068234670605250855,-0.04243036793113371,0.05057290962132413,-0.030304739887295064,0.008463938267581218,0.026846412362846375,-0.0021143238594611576,0.011068815313581738,-0.03981140294009689,-0.009171523685352113,0.06137130447102755,0.10469513130390752,-0.0009539220117487484
