,UKF243,UKF248,UKF260,UKF266,UKF269,UKF296,UKF304,UKF334,ZH8811Bbulk,ZH916bulk
IGFL3,,,,,0.11394854434913684,,,,,
BMP1,0.0247551383076566,0.02683605354749289,-0.016440844950235452,-0.03444525561866501,-0.12851116299847312,0.015731278522260715,-0.06806992960191231,-0.11459426641479707,0.03824785979684095,-0.03516544675665869
NDP,0.008157906047826647,0.02886328273926887,0.01610559378279861,-0.04833134828812599,-0.08609152246215068,0.02074405851480092,-0.09141053490194821,0.0009416388822775227,0.0727607440924094,0.06786924684517769
TNFSF18,-0.02597606165133232,0.06574122665153465,,-0.013633039156703065,-0.029177861766355683,,,,,-0.03415807568253855
IL36G,,,,,,,,-0.01912874558845274,,
RTN4,0.0866695144647577,0.048937479173986144,0.05719475294186602,0.07065532786032698,0.12864085627812044,0.0652010216127993,0.19417576196457909,0.1375543090577643,0.04360075190334497,0.05019032472091352
HEBP1,0.04090734660243322,0.026486190975298807,-0.043027385967845624,0.08951064141832467,-0.07243408354036307,0.01000159243943323,-0.08807671320663209,-0.020785515271135407,0.022773459198093753,0.019192216932586978
WNT7B,0.14109306613815115,-0.01510291521668085,-0.0037308896408541977,-0.04279768068730043,0.11824230411907358,0.0895364315063823,,-0.02102469582512157,0.010639340562969668,0.08099242145134988
PTMA,0.0033724935041748927,-0.04673187238663516,-0.008575995706196228,-0.09020470727768429,0.05811987194832165,-0.006206085686840473,-0.21106813565258079,-0.14329319562872594,0.03193225754092372,-0.09437677048559959
CEACAM1,,-0.01733250092334249,-0.014777316034048795,,0.0017433833835591745,,,,-0.01808101922639777,
PDAP1,-0.09101489584058624,-0.019942919004363575,-0.02621600634330444,0.025039618740995483,-0.08897874764777362,-0.019551936279240827,-0.0780198696090513,-0.07296465316548408,-0.007368992345987396,0.022957062995279706
QDPR,0.09023342673533451,-0.013420358578323681,0.08736306735751498,0.08515157802871323,-0.00033337832183307446,0.04699648477753609,-0.1907143949450144,0.021718184763381918,-0.01182804267854564,0.06920358387530137
POMC,-0.012688489029391624,0.001444269562791022,0.020352919947933985,0.02797355378161478,0.07103765834071335,-0.012839769285921964,0.021700745680838466,0.03159125270540373,0.020959295874436054,0.013112368503431412
CCL18,0.001361357586261271,0.04381803758975145,,,,,-0.08432508213577469,,-0.024304312168828633,
CCL17,,,,,,-0.02312672013522343,,-0.017474652159954706,-0.026101086369456412,
VEGFD,-0.006691810631456475,0.0740165168745427,-0.014138099316955876,,-0.010139557742341428,0.11923342230269135,0.014167844126223806,-0.018728125968109577,-0.01808101922639777,
TNFSF13,,-0.016322186782995702,,-0.013221203969603112,,,,,-0.028370988515846927,0.02026403634739552
WNT5A,0.06501015972490144,0.0012887847747946853,-0.04935233982524828,-0.06870408009006698,-0.09511998680591646,-0.056221478607025845,0.07678255401252783,-0.04309744221120315,0.08977889292518373,-0.10588713985408543
CXCL8,-0.05431782784636293,0.0850920227949767,-0.023634902018187708,0.060304332425410244,-0.06545166554966324,-0.01579736195955769,-0.07746039981477629,-0.05630830873022517,-0.06963507223405337,0.0006694437821466938
GRN,-0.08668546101710371,-0.013993317981876209,-0.028190304601672312,0.020423435661096213,-0.08178745087753414,-0.022803039005901863,-0.12001925642914085,0.008979429449094854,0.016399740733947028,-0.053407831473009294
MIA,0.04747451532865451,0.030827986503811924,-0.02595210145620149,0.03777639920777813,-0.0104857808981791,-0.01929266909622522,,-0.02564902677764727,0.012945693593114382,0.008485333198425286
COL4A4,0.0038530306431187765,0.0011962458498157153,-0.029582720535269037,-0.012579391458787866,-0.019362423107708956,0.07192048040277992,,-0.024880507530086336,0.029429975859782263,-0.02925749482729723
TAC1,0.11631847906952107,0.0939510138327591,0.07891089101332582,0.0846796872960948,0.19554416139590727,0.10175384357339096,0.18107952339072575,0.25657233657927264,,0.1398072496965396
RARRES2,0.07178592173294528,-0.04781038530009232,-0.03867515095832463,-0.029773764948982574,-0.1248398178585025,0.014648306302410466,-0.021858057853390397,-0.08145690134320056,-0.01240950810250666,0.07803576358146533
FGF7,-0.005291381744769928,,0.10778760024605691,-0.0038749448903801216,-0.014083269617361087,0.03696779977353663,0.023814309798431053,-0.06693548927372546,0.049164577137803596,0.0001330010447820519
EFNA2,,,,,,,,,-0.017184798737245943,
HBEGF,-0.06287181231410273,-0.03274756648807862,-0.025705454295148124,-0.058650792536272894,-0.031173182013995333,0.01890388557784667,-0.06723715526944361,-0.05006332947707701,0.02668499085829925,-0.01970855016915619
CSF3,-0.03951197273912665,,0.0536908300235662,,-0.020485070967589655,,,,-0.045791796130976316,0.016211420450498466
PI3,-0.04680782377372332,0.0980038011414157,-0.03341297516746658,,-0.023066460283177326,,,,-0.0481535070243824,0.07737770398047225
PCSK1N,0.11646884630233244,-0.05165757644881251,0.03530721283589376,0.038930317099523236,0.07279486092023564,0.07592934927109364,0.21372090522826734,0.12442322577467145,0.04170120814143728,0.025762627574548665
NTS,,,-0.0316279119455682,-0.015356578830569319,-0.025178616396312328,0.010461569183082827,-0.030605298690052817,,-0.020936416215088006,
SFRP1,0.025117621293630314,0.03500600795455365,0.0067183720210603195,-0.03742588012974383,0.04676149429212438,-0.023126720368128496,-0.03544924188896274,-0.003228859730579523,0.09598375999869371,-0.04542021978547231
CXCL13,,,-0.015984166801398005,,,,,,-0.02327386390902443,-0.0354351126767726
MICA,-0.064531657751247,0.007926214496005462,-0.049066254664421334,-0.00888257196769814,-0.03909185770186034,-0.03257014726043503,0.009272281982153964,-0.028297291073819057,0.024879696969336156,0.02632339876365191
TG,-0.031497348849456874,0.0700116124993823,-0.022835333152827354,-0.017725540168513406,-0.024723647900055937,-0.0167367069312777,,-0.026249393269026082,-0.025785485263076603,0.10613812165571823
ADA,-0.018465898616423903,-0.016326213798837932,0.023726335586623716,-0.034628583872861704,-0.08694411309733613,-0.01646225751783526,-0.12578640929217935,-0.022948861634605716,-0.015514051602348382,0.03146162432182328
LAMC3,-0.0486508547828495,-0.019804083114363612,0.03096625240274259,-0.024146925667284345,-0.07871718362367348,-0.04398405355770881,-0.019312073362568342,-0.0016413615659093537,0.0576628977460046,-0.09407778968189069
CCL7,,0.0854906444484008,0.047505358866623396,,,,,,,0.02457687452549653
NGF,-0.02276397068204353,-0.02362193490601745,0.08955745063193199,0.005307798995866376,,,0.19597807722367794,,-0.016953806130761445,-0.009494516355156087
TNFSF15,-0.028161872754770292,,0.24020598011094152,0.05309773603191422,,,,,,-0.0072296862507236865
HMGB1,-0.018968717068287965,-0.021428317291141863,0.04431901890326391,-0.05264054667614055,-0.11235010393805073,0.007590925022881854,-0.06255511819595323,-0.00788066111847061,0.08660053537911987,-0.005195230077541032
ITGB3BP,-0.03458622150825705,0.011363052982341445,0.011157653137291597,-0.05110599715748283,-0.08957342635142534,-0.05242596803483164,0.056451184220704886,-0.0671463972872943,-0.030935433201442746,0.025445413574941116
