,MGH258,UKF248,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
DCN,0.029599744568109963,-0.04650707760082644,-0.006442279745561028,-0.008204579747132127,-0.1114345451627791,0.03951872609789947,0.041912896060310165,-0.016632591249763063,-0.0034182583019397835,0.0753686326057251,-0.03220637535311438,0.10293871547927075
RARRES2,-0.005395661602338614,0.006554879923717839,-0.03124482274383058,0.009532602752570334,-0.1232117181196217,-0.03223433105821794,0.0073470247191823055,0.00739745982956693,-0.07753489693950529,0.01052164518821646,0.040588522962148516,-0.005252450109042778
SEMA4A,0.003072183904341818,-0.02074050994617842,0.014061161698932298,0.011320680955886026,-0.05876075803245697,-0.05157737583219122,0.06612462235672645,0.0023347405112506712,0.004125348014992296,0.01112103821065285,-0.07592347101963971,0.07713958186174522
GDF11,0.021430823330057542,0.025700765761021916,0.0011251180188842026,-0.0031025832926883487,0.00596594917892358,0.024720022872932818,-0.015881441052503362,0.027301229256899564,0.014223377483892087,-0.04648639504920235,0.022644437151348444,0.019514379238141505
GPC3,0.014300874449446405,-0.03639496979694187,-0.016044946922804747,,,0.02359510744330418,0.016643881302611775,-0.04202407212309372,-0.016138081425999054,-0.011132535351509003,-0.05701557915665315,0.047327180164590865
OSTN,,,,,,,,,-0.017819748472708178,,,-0.02500377027210741
GRN,-0.08759541206165349,-0.017003921612849592,0.0465219312287591,0.02235210447018105,-0.04761576401589559,0.059430763157886785,0.02890169420436613,-0.00261139328542565,0.0037114750227682136,-0.0519881589227748,-0.020778487958990108,0.048619848192948414
CALM1,0.07411452889513048,-0.1204895956022283,0.04411762924039121,-0.021367857837290664,-0.024335532192450406,-0.016866393682588337,-0.04642053085303066,0.036302495825116785,0.06447884692677121,0.006323184492626964,-0.08628257837680126,-0.16303059400165237
ANGPTL4,0.04714563967281208,0.05589997799350475,-0.038756466355377765,0.020718717467867773,0.1089805284306382,-0.11294256431717675,0.0014331671386420216,0.03698651294423495,0.006524017601375563,0.012759486172903204,0.04935700209835403,0.06228212647981569
BMP8B,0.09096319190195085,-0.0021483334110971946,-0.031199320844786792,0.008367017516127187,-0.05099905851912981,-0.016602869332829652,0.08988174913841487,0.08342984083981865,-0.034822426093703535,0.017467635248128627,0.017180557710665,0.03442545518072483
TNFSF4,0.05055273936319349,-0.025629073066321038,0.021801203011043914,-0.014533527996944214,0.05366667887362586,0.013063519397712367,-0.03986219403737492,-0.031398909652906135,-0.029496602019514182,-0.006956177743862802,0.004502801865395547,0.05540771884068681
RBP4,,-0.05316458990631673,-0.019195184970806207,0.004628295070633393,-0.006674634658517994,,-0.04652578897396269,-0.016777625770135626,0.1263687436908742,0.008728656953924873,-0.029555186707567516,-0.0998438352410603
DKK3,-0.00028330310678746737,-0.053280819040149134,-0.00439114874829832,0.02496202765614889,-0.09933092062639949,0.06612953747908712,-0.09783912840151211,0.012385466806070337,0.0589464085630124,-0.010252042045474483,-0.03242577104703309,-0.11299477982639428
COL11A1,-0.025556949695119666,-0.008875340708193473,-0.012372060599961142,0.024571111932466277,-0.11645876566744942,,0.04159964439475963,0.05003973874263052,0.06115935898514532,-0.0015515569763474924,0.049316099256757805,0.07059781627736823
COL5A1,0.12410212224516953,-0.02586221534320463,-0.03286617691180877,0.060021861810258405,0.023244979286135566,0.029886696192857463,0.053568031433520645,0.02191103760937442,-0.01831661247665803,0.05866102745056598,0.028951345116025134,0.14111740518897184
KISS1,,,,-0.015972064799374523,0.08625447578870021,,-0.03990644256790256,6.268641015500786e-05,,-0.02848774051834574,,
MEGF10,-0.026062498068575413,0.01714992790170933,-0.020800857605445283,-0.02352657472083631,0.023841314833140906,-0.06575897641961893,0.0084585559514459,0.0034243911797288435,-0.025821579035197485,0.017099702997965555,-0.029271224669041942,-0.05877690532451405
